,https://roic.ai/company/REXR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571283/000156459014000932/rexr-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1571283/000156459015001415/rexr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128316000008/0001571283-16-000008-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128317000011/0001571283-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128318000011/0001571283-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128319000005/0001571283-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128320000013/0001571283-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128321000010/0001571283-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128322000006/0001571283-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,20928000,43499000,8997000,8606000,5201000,15525000,6620000,180601000,78857000,176293000,43987000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20928000,43499000,8997000,8606000,5201000,15525000,6620000,180601000,78857000,176293000,43987000
34,Net Receivables,15280000,16264000,17710000,19963000,10867000,20556000,19490000,27172000,35560000,51101000,72538000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,16731000,12907000,7941000,- -,- -,- -,12686000,- -,- -,14142000,15669000
37,Total Current Assets,52939000,72670000,34648000,28569000,16068000,36081000,38796000,207773000,114417000,241536000,132194000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,495000,249000,6868000,33407000,35654000,41535000,54395000,60839000,78246000,97328000,137314000
41,Intangible Assets,495000,249000,6868000,33407000,35654000,41535000,54395000,60839000,78246000,97328000,137314000
42,Investments,10191000,12697000,5687000,4018000,4087000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,319590000,334880000,507472000,866784000,1097442000,1437392000,2018182000,2519073000,3445959000,4612310000,6511657000
45,Total Non-Current Assets,330276000,347826000,520027000,904209000,1137183000,1478927000,2072577000,2579912000,3524205000,4709638000,6648971000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,383215000,420496000,554675000,932778000,1153251000,1515008000,2111373000,2787685000,3638622000,4951174000,6781165000
48,Accounts Payable,1756000,2627000,6024000,11304000,12631000,13585000,21134000,21074000,31112000,45384000,65833000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,857842000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,12660000,15829000
52,Other Current Liabilities,10837000,8458000,5628000,5244000,7806000,9282000,11970000,15938000,-836218000,29940000,40374000
53,Total Current Liabilities,12593000,11085000,11652000,16548000,20437000,22867000,33104000,37012000,52736000,87984000,122036000
54,Long-Term Debt,297000000,308991000,192491000,357106000,418154000,500184000,668941000,757371000,857842000,1283416000,1399565000
55,Deferred Revenue,399000,355000,1448000,1463000,2846000,3455000,6267000,6539000,8988000,12660000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5543000,3817000,7315000,11784000,18070000,26362000,37807000,78340000,96607000,36522000,191869000
58,Total Non-Current Liabilities,302942000,313163000,201254000,370353000,439070000,530001000,713015000,842250000,963437000,1332598000,1591434000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,106000,39000,1160000,3016000,3387000,9130000,18067000,52727000,59340000,67256000,127017000
61,Total Liabilities,315535000,324248000,212906000,386901000,459507000,552868000,746119000,879262000,1016173000,1420582000,1713470000
62,Preferred Stock,- -,- -,- -,- -,- -,86651000,159713000,159094000,242327000,242327000,155676000
63,Common Stock,10941000,11962000,255000,434000,553000,662000,782000,966000,1136000,1313000,1605000
64,Retained Earnings,-19455000,-24653000,-5993000,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-1000000,-3000000,3000000,7000000,6000000,-8000000,-17709000,-9874000
66,Other Total Stockholders Equity,- -,- -,311936000,520314000,674586000,849002000,1172551000,1710034000,2320714000,3019210000,4637172000
67,Total Stockholders Equity,-8514000,-12691000,306198000,519748000,672139000,939315000,1340046000,1876094000,2556177000,3245141000,4784579000
68,Total Liabilities And Stockholders Equity,307021000,311557000,519104000,906649000,1131646000,1492183000,2086165000,2755356000,3572350000,4665723000,6498049000
69,Minority Interest,76194000,108939000,35571000,26129000,21605000,22825000,25208000,32329000,66272000,285451000,283116000
70,Total Liabilities & Equity,383215000,420496000,554675000,932778000,1153251000,1515008000,2111373000,2787685000,3638622000,4951174000,6781165000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571283/000156459014000932/rexr-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1571283/000156459015001415/rexr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128316000008/0001571283-16-000008-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128317000011/0001571283-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128318000011/0001571283-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128319000005/0001571283-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128320000013/0001571283-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128321000010/0001571283-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128322000006/0001571283-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-3752000,-4891000,-4891000,896000,1874000,25126000,40712000,46210000,61979000,76403000,128241000
74,Depreciation and Amortization,9505000,13403000,16100000,29028000,42039000,51329000,62582000,74061000,90984000,104736000,135826000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1042000,1752000,3835000,5398000,10147000,10756000,12871000,19506000
77,Change in Working Capital,-1554000,21239000,-38589000,-10975000,-16390000,17583000,-7522000,165069000,-109080000,91871000,-6960000
78,Accounts Receivable,25000,58000,-83000000,-883000,-1228000,-988000,-2007000,-2347000,-875000,-4030000,-745000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,133000,663000,1376000000,1227000,1806000,1667000,4203000,651000,1573000,4825000,11895000
81,Other Working Capital,40346000,61585000,22996000,12021000,-4369000,13214000,5692000,170761000,61681000,153552000,-18529000
82,Other Non-Cash Items,-7548000,-28671000,40880000,4513000,11233000,-41441000,-24520000,-192712000,84875000,-102887000,-45150000
83,Cash Provided by Operating Activities,-3349000,1080000,13500000,24504000,40508000,56432000,76650000,102775000,139514000,182994000,231463000
84,CAPEX,-1321000,-4620000,-3200000,-13959000,-22181000,-31928000,-42313000,-57951000,-47169000,-78765000,-102475000
85,Acquisitions Net,-24000,-2814000,-153000000,-705000,2110000,- -,-2475000,-25000,-14526000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-42279000,-20964000,27900000,-379876000,-238884000,-361214000,-604425000,-507188000,-958216000,-987523000,-1912767000
89,Cash Used for Investing Activites,-42303000,-23778000,-128300000,-380581000,-236774000,-361214000,-606900000,-507213000,-972742000,-987523000,-1912767000
90,Debt Repayment,-24757000,-4479000,- -,-147241000,-226712000,-179223000,-443011000,-311541000,-35158000,-175671000,-1095280000
91,Common Stock Issued,- -,- -,- -,221773000,175833000,183386000,330900000,556520000,638900000,734096000,1626091000
92,Common Stock Repurchased,- -,- -,208600000,-98000,-327000,-747000,-1693000,-594000,-854000,-1278000,-91428000
93,Dividends Paid,-816000,-2842000,- -,-18372000,-27137000,-36036000,-46808000,-65468000,-89494000,-119711000,-151606000
94,Other Financing Activites,77142000,52590000,-128300000,299624000,271204000,347726000,682207000,399252000,218090000,465759000,1260002000
95,Cash Used/Provided by Financing Activities,51569000,45269000,80300000,355686000,192861000,315106000,521595000,578169000,731484000,903195000,1547779000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5917000,22571000,-34500000,-391000,-3405000,10324000,-8655000,173731000,-101744000,98666000,-133525000
98,Cash at the End of Period,20928000,43499000,9000000,8606000,5201000,15525000,6870000,180601000,78857000,177523000,43998000
99,Cash at the Beginning of Period,15011000,20928000,43500000,8997000,8606000,5201000,15525000,6870000,180601000,78857000,177523000
100,Free Cash Flow,-4670000,-3540000,10300000,10545000,18327000,24504000,34337000,44824000,92345000,104229000,128988000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1571283/000156459014000932/rexr-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1571283/000156459015001415/rexr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128316000008/0001571283-16-000008-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128317000011/0001571283-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128318000011/0001571283-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128319000005/0001571283-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1571283/000157128320000013/0001571283-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128321000010/0001571283-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1571283/000157128322000006/0001571283-22-000006-index.htm
102,false,,,,,,,,,,,
