,https://roic.ai/company/CELP,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,EPS,0.56,0.91,-1.72,0.35,0.14,0.29,0.75,0.99,-0.46
26,EPS Diluted,0.56,0.91,-1.72,0.35,0.13,0.29,0.72,0.88,-0.46
27,Weighted Average Shares Outstanding,11826000,11826000,11826000,11831608,11847226,11880646,11929000,12039000,12181000
28,Weighted Average Shares Outstanding Diluted,11826000,11826000,11826000,11831608,12003103,11982069,15757000,18289000,12181000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1587246/000114036114014701/0001140361-14-014701-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000114036115013391/0001140361-15-013391-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000143774916028292/0001437749-16-028292-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713117001401/0001387131-17-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713118001199/0001387131-18-001199-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713119001994/0001387131-19-001994-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713120002906/0001387131-20-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713121003780/0001387131-21-003780-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,582000,4343000,20757000,24150000,26693000,24508000,15380000,15700000,17893000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,582000,4343000,20757000,24150000,26693000,24508000,15380000,15700000,17893000
34,Net Receivables,3037000,3506000,54075000,48265000,38482000,41693000,48789000,52524000,18420000
35,Inventory,117000,114000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,689000,820000,2508000,2363000,1042000,4466000,1396000,988000,2033000
37,Total Current Assets,4425000,8783000,77340000,74778000,66217000,70667000,65565000,69212000,38346000
38,PP&E,46756000,38022000,24340000,18337000,14619000,13388000,12722000,16303000,13053000
39,Goodwill,33877000,34848000,55545000,65273000,56903000,53435000,50294000,50356000,50389000
40,Intangible Assets,284000,182000,30245000,32486000,29624000,25477000,22759000,20063000,17386000
41,Intangible Assets,34161000,35030000,85790000,97759000,86527000,78912000,73053000,70419000,67775000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,30000,2372000,1813000,149000,236000,1513000,1408000,812000
45,Total Non-Current Assets,80917000,73082000,112502000,117909000,101295000,92536000,87288000,88130000,81640000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,85342000,81865000,189842000,192687000,167512000,163203000,152853000,157342000,119986000
48,Accounts Payable,702000,1045000,3047000,3118000,3328000,6930000,8908000,4696000,2070000
49,Short-Term Debt,- -,- -,- -,- -,- -,136293000,- -,642000,689000
50,Tax Payable,- -,- -,546000,350000,1011000,646000,737000,1092000,328000
51,Deferred Revenue,- -,- -,- -,- -,- -,1510000,2133000,1682000,1694000
52,Other Current Liabilities,12982000,1166000,8296000,7487000,8596000,8342000,10970000,14260000,3568000
53,Total Current Liabilities,13684000,2211000,11343000,10605000,11924000,153075000,22011000,21280000,8021000
54,Long-Term Debt,- -,- -,77600000,140900000,135699000,- -,76129000,74929000,62029000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,438000,363000,362000,- -,- -,- -,- -
57,Other Non-Current Liabilities,7000,9000,33000,117000,139000,143000,426000,2942000,2031000
58,Total Non-Current Liabilities,7000,9000,78071000,141380000,136200000,143000,76555000,77871000,64060000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3426000,2538000
61,Total Liabilities,13691000,2220000,89414000,151985000,148124000,153218000,98566000,99151000,72081000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-97000,-3509000,-525000,-2791000,-2538000,-2677000,-2414000,-2577000,-2655000
66,Other Total Stockholders Equity,71748000,83154000,101428000,43702000,22388000,12985000,56287000,61191000,50560000
67,Total Stockholders Equity,71651000,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,85342000,81865000,189842000,192687000,167512000,163203000,152853000,157342000,119986000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,85342000,81865000,189842000,192687000,167512000,163203000,152853000,157342000,119986000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1587246/000114036114014701/0001140361-14-014701-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000114036115013391/0001140361-15-013391-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000143774916028292/0001437749-16-028292-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713117001401/0001387131-17-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713118001199/0001387131-18-001199-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713119001994/0001387131-19-001994-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713120002906/0001387131-20-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713121003780/0001387131-21-003780-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,6595000,10742000,-20301000,4140000,1635000,3237000,11413000,16014000,-1415000
74,Depreciation and Amortization,1398000,4084000,6513000,6004000,5788000,5544000,5480000,5537000,- -
75,Deferred Income Tax,- -,- -,-13000,-32000,-24000,-372000,51000,-36000,- -
76,Stock Based Compensation,- -,- -,785000,1167000,1086000,1059000,1247000,1107000,961000
77,Change in Working Capital,-747000,- -,15831000,59425000,-1824000,-9880000,-136701000,125962000,4378000
78,Accounts Receivable,-219000,-549000,6650000,9039000,9871000,-3406000,-7165000,-4247000,33634000
79,Inventory,- -,-47000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-408000,-2964000,-1222000,478000,4471000,5440000,-3681000,-1453000
81,Other Working Capital,-9259000,-9259000,6572000,65997000,64173000,54293000,-82408000,43554000,47932000
82,Other Non-Cash Items,- -,-4458000,10201000,-43783000,18158000,8665000,133919000,-130405000,23998000
83,Cash Provided by Operating Activities,7246000,10368000,13016000,26921000,24819000,8253000,15409000,18179000,27922000
84,CAPEX,-15236000,-2640000,-517000,-1857000,-1376000,-3345000,-5762000,-1976000,-1695000
85,Acquisitions Net,- -,-500000,-1769000,-63024000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,2000,46000,2304000,12769000,43000,41000
89,Cash Used for Investing Activites,-15236000,-3140000,-2286000,-64879000,-1330000,-1041000,7007000,-1933000,-1654000
90,Debt Repayment,-484000,- -,-5000000,-5500000,-4000000,- -,-63333000,-9191000,-52255000
91,Common Stock Issued,- -,- -,80213000,- -,- -,- -,43258000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-3467000,-98128000,-20799000,-19682000,-12326000,-12431000,-14242000,-10661000
94,Other Financing Activites,8909000,- -,6885000,68800000,2393000,2176000,1040000,7503000,38939000
95,Cash Used/Provided by Financing Activities,8425000,-3467000,-16030000,42501000,-21289000,-10150000,-31466000,-15930000,-23977000
96,Effect of Forex Changes on Cash,- -,- -,-633000,-1150000,343000,753000,-17000,4000,2000
97,Net Change In Cash,- -,3761000,-5933000,3393000,2543000,-2185000,-9067000,320000,2293000
98,Cash at the End of Period,582000,4343000,20757000,24150000,26693000,24508000,15931000,16251000,18544000
99,Cash at the Beginning of Period,- -,582000,26690000,20757000,24150000,26693000,24998000,15931000,16251000
100,Free Cash Flow,-7990000,7728000,12499000,25064000,23443000,4908000,9647000,16203000,26227000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1587246/000114036114014701/0001140361-14-014701-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000114036115013391/0001140361-15-013391-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000143774916028292/0001437749-16-028292-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713117001401/0001387131-17-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713118001199/0001387131-18-001199-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713119001994/0001387131-19-001994-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713120002906/0001387131-20-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1587246/000138713121003780/0001387131-21-003780-index.htm
102,false,,,,,,,,,
