,https://roic.ai/company/AM,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,186170213,186170213,186170213,186176000,187048000,442640000,478278000,478278000
28,Weighted Average Shares Outstanding Diluted,186170213,186170213,186170213,186176000,187398000,442640000,478278000,478278000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1598968/000155837018000645/0001558370-18-000645-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837019000642/0001558370-19-000642-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837020000723/0001558370-20-000723-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837021001148/0001558370-21-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1623925/000155837022001278/0001558370-22-001278-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,72000,9609000,5987000,2822000,1235000,640000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,72000,9609000,5987000,2822000,1235000,640000,- -
34,Net Receivables,- -,- -,217000,- -,- -,105603000,91812000,82884000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,87000,1720000,1479000,920000
37,Total Current Assets,- -,72000,9826000,5987000,2909000,108558000,93931000,83804000
38,PP&E,- -,- -,- -,- -,- -,3273410000,3254044000,3394746000
39,Goodwill,- -,- -,- -,- -,- -,575461000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,1498119000,1427447000,1356775000
41,Intangible Assets,- -,- -,- -,- -,- -,2073580000,1427447000,1356775000
42,Investments,- -,969000,7543000,23772000,43492000,709639000,722478000,696009000
43,Tax Assets,- -,- -,- -,- -,1304000,103231000,103402000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,14460000,9610000,12667000
45,Total Non-Current Assets,- -,969000,7543000,23772000,44796000,6174320000,5516981000,5460197000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1041000,17369000,29759000,47705000,6282878000,5610912000,5544001000
48,Accounts Payable,- -,- -,- -,293000,1166000,9791000,13357000,28548000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,115000,6674000,13858000,15678000,- -,3368000,5400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,115000,7100000,13858000,15678000,232293000,80648000,85461000
53,Total Current Liabilities,- -,115000,7100000,14151000,16844000,242084000,94005000,114009000
54,Long-Term Debt,- -,- -,- -,- -,- -,2892249000,3091626000,3122910000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,368000,- -,- -,- -,- -,- -,13721000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,5131000,6995000,6663000
58,Total Non-Current Liabilities,- -,368000,- -,- -,- -,2897380000,3098621000,3143294000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,483000,7100000,14151000,16844000,3139464000,3192626000,3257303000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,4840000,4766000,4775000
64,Retained Earnings,- -,- -,- -,- -,- -,-341565000,-464092000,-132475000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-87648000,-157708000,- -
66,Other Total Stockholders Equity,- -,558000,10269000,15608000,30861000,3567787000,3035320000,2414398000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,3143414000,2418286000,2286698000
68,Total Liabilities And Stockholders Equity,- -,1041000,17369000,29759000,47705000,6282878000,5610912000,5544001000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1041000,17369000,29759000,47705000,6282878000,5610912000,5544001000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1598968/000155837018000645/0001558370-18-000645-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837019000642/0001558370-19-000642-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837020000723/0001558370-20-000723-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837021001148/0001558370-21-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1623925/000155837022001278/0001558370-22-001278-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,781000,9711000,7264000,66608000,-355114000,-122527000,331617000
74,Depreciation and Amortization,- -,- -,99861000,- -,- -,152536000,179462000,179462000
75,Deferred Income Tax,- -,368000,- -,- -,-1304000,-101927000,-171000,117123000
76,Stock Based Compensation,- -,- -,26049000,34933000,35111000,73517000,12778000,13529000
77,Change in Working Capital,- -,115000,2769000,-10890000,-5771000,-119591000,133452000,4431000
78,Accounts Receivable,- -,- -,3040000,- -,- -,42669000,28740000,-6571000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,1150000,-133000,873000,-11865000,1917000,1487000
81,Other Working Capital,- -,-43000,2726000,-8164000,-13935000,-133526000,-74000,- -
82,Other Non-Cash Items,- -,-969000,240217000,-3227000,-11113000,972966000,550388000,63590000
83,Cash Provided by Operating Activities,- -,295000,378607000,28080000,83531000,622387000,753382000,709752000
84,CAPEX,- -,- -,-416320000,- -,- -,-391990000,-196724000,-186588000
85,Acquisitions Net,- -,- -,-75516000,- -,- -,465173000,-25267000,-2070000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,13673000,- -,- -,-598858000,2760000,-44584000
89,Cash Used for Investing Activites,- -,- -,-478163000,- -,- -,-525675000,-219231000,-233242000
90,Debt Repayment,- -,- -,-410000000,- -,- -,-115500000,-346000000,-733772000
91,Common Stock Issued,- -,- -,65395000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-125519000,-24713000,- -
93,Dividends Paid,- -,-223000,-182446000,-31702000,-86466000,-496197000,-590190000,-471721000
94,Other Financing Activites,- -,- -,633766000,- -,-230000,638917000,426157000,728343000
95,Cash Used/Provided by Financing Activities,- -,-223000,106715000,-31702000,-86696000,-98299000,-534746000,-477150000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-223000,7159000,-3622000,-3165000,-1587000,-595000,-477150000
98,Cash at the End of Period,- -,72000,14042000,5987000,2822000,1235000,640000,- -
99,Cash at the Beginning of Period,- -,- -,6883000,9609000,5987000,2822000,1235000,640000
100,Free Cash Flow,- -,295000,-37713000,28080000,83531000,230397000,556658000,523164000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1598968/000155837018000645/0001558370-18-000645-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837019000642/0001558370-19-000642-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837020000723/0001558370-20-000723-index.html,https://www.sec.gov/Archives/edgar/data/1623925/000155837021001148/0001558370-21-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1623925/000155837022001278/0001558370-22-001278-index.htm
102,false,,,,,,,,
