,https://roic.ai/company/LILAK,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712184/000171218418000080/0001712184-18-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218419000039/0001712184-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218420000027/0001712184-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218421000031/0001712184-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218422000059/0001712184-22-000059-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,107100000,274500000,552600000,529900000,631000000,1183000000,894200000,956700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,107100000,274500000,552600000,529900000,631000000,1183000000,894200000,956700000
34,Net Receivables,- -,124600000,91500000,531600000,556500000,607300000,- -,560700000,652800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,100400000,73000000,429500000,288400000,406500000,872000000,497000000,456700000
37,Total Current Assets,- -,332100000,439000000,1513700000,1374800000,1644800000,2055000000,1951900000,2066200000
38,PP&E,- -,824600000,843500000,3860900000,4169200000,4236900000,4301000000,4911400000,4168400000
39,Goodwill,- -,787300000,775600000,6302600000,5673600000,5133300000,4906000000,4885500000,3948000000
40,Intangible Assets,- -,70700000,117400000,1234500000,565400000,562500000,969000000,2324500000,2381000000
41,Intangible Assets,- -,858000000,893000000,7537100000,6239000000,5695800000,5875000000,7210000000,6329000000
42,Investments,- -,- -,- -,95000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,756300000,1092000000,1185400000,1833900000,1869100000,- -,1156700000,2822400000
45,Total Non-Current Assets,- -,2438900000,2828500000,12678400000,12242100000,11801800000,10176000000,13278100000,13319800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2771000000,3267500000,14192100000,13616900000,13446600000,12231000000,15230000000,15386000000
48,Accounts Payable,- -,79300000,54200000,219400000,286800000,297400000,346000000,351700000,398000000
49,Short-Term Debt,- -,700000,800000,150800000,263300000,302500000,180200000,161900000,188300000
50,Tax Payable,- -,6600000,37900000,26100000,91500000,29800000,- -,- -,- -
51,Deferred Revenue,- -,44500000,45800000,181100000,192700000,161700000,160000000,184900000,148000000
52,Other Current Liabilities,- -,303400000,298800000,800100000,844100000,847100000,889800000,1006500000,780200000
53,Total Current Liabilities,- -,427900000,399600000,1351400000,1586900000,1608700000,1576000000,1705000000,1514500000
54,Long-Term Debt,- -,2072800000,2334000000,5897100000,6108200000,6379600000,8189000000,8195300000,7459600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,185300000,152600000
56,Deferred Tax Liabilities,- -,- -,- -,- -,533400000,543000000,- -,619900000,696300000
57,Other Non-Current Liabilities,- -,201200000,264200000,1210200000,697800000,791900000,579000000,1080800000,2649600000
58,Total Non-Current Liabilities,- -,2274000000,2598200000,7107300000,7339400000,7714500000,8768000000,10081300000,10958100000
59,Other Liabilities,- -,- -,- -,- -,16039800000,16439800000,18149000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,82000000
61,Total Liabilities,- -,2701900000,2997800000,8458700000,10287300000,10334000000,10957000000,11786300000,12472600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,500000,500000,- -,2300000,2300000
64,Retained Earnings,- -,- -,- -,- -,-1010700000,-1367000000,- -,-2134500000,-2677900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-64200000,-16300000,-14800000,-125600000,-89700000
66,Other Total Stockholders Equity,- -,69100000,269700000,5733400000,4404000000,4495400000,3993900000,4972500000,5001300000
67,Total Stockholders Equity,- -,20200000,206400000,4252600000,3329600000,3112600000,3109800000,2714700000,2236000000
68,Total Liabilities And Stockholders Equity,- -,2722100000,3204200000,12711300000,13616900000,13446600000,14066800000,14501000000,14708600000
69,Minority Interest,- -,48900000,63300000,1480800000,- -,- -,-1835800000,729000000,677400000
70,Total Liabilities & Equity,- -,2771000000,3267500000,14192100000,13616900000,13446600000,12231000000,15230000000,15386000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712184/000171218418000080/0001712184-18-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218419000039/0001712184-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218420000027/0001712184-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218421000031/0001712184-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218422000059/0001712184-22-000059-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-39100000,12000000,43900000,-255500000,-778100000,-345200000,-80000000,-687200000,-440100000
74,Depreciation and Amortization,342400000,216700000,216400000,587300000,793700000,829800000,871000000,914600000,964700000
75,Deferred Income Tax,-49300000,28200000,-18600000,-55000000,-135100000,-32900000,-32700000,-65100000,104000000
76,Stock Based Compensation,6400000,11600000,2400000,15400000,14200000,39800000,57500000,97500000,118100000
77,Change in Working Capital,-50200000,-95800000,135200000,122900000,-374400000,248200000,442900000,-232100000,-170800000
78,Accounts Receivable,- -,- -,- -,- -,- -,-66200000,-11900000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-95800000,39400000,162300000,-212100000,36100000,479000000,246900000,- -
82,Other Non-Cash Items,82000000,116300000,-72800000,53100000,1053600000,77100000,-340500000,612400000,440300000
83,Cash Provided by Operating Activities,292200000,289000000,306500000,468200000,573900000,816800000,918200000,640100000,1016200000
84,CAPEX,-262100000,-223100000,-227200000,-490400000,-639300000,-776400000,-589100000,-565800000,-736300000
85,Acquisitions Net,-3000000,-1000000,-273500000,16300000,-1300000,-226400000,-83700000,-1886100000,-520600000
86,Purchases of Investments,-3000000,-1000000,-1000000,-700000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-257900000,-230200000,-216100000,-456700000,-638800000,-754100000,-551600000,-564700000,-748000000
89,Cash Used for Investing Activites,-263900000,-232200000,-490600000,-441100000,-640100000,-980500000,-635300000,-2450800000,-1268600000
90,Debt Repayment,-9400000,-125600000,-800000,-1158600000,-1470200000,-925200000,-1275900000,-1439400000,-632500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,347000000,- -
92,Common Stock Repurchased,- -,- -,- -,-20000000,- -,- -,- -,-9500000,-63000000
93,Dividends Paid,- -,- -,- -,- -,-54900000,- -,- -,- -,- -
94,Other Financing Activites,110600000,7600000,364500000,1425900000,1566900000,1181300000,2815700000,1373000000,1122100000
95,Cash Used/Provided by Financing Activities,101200000,-118000000,363700000,247300000,41800000,256100000,1539800000,271100000,426600000
96,Effect of Forex Changes on Cash,-1200000,-6700000,-12200000,3700000,1700000,-18600000,-7700000,-4900000,-12500000
97,Net Change In Cash,128300000,-67900000,167400000,278100000,-22700000,73800000,1815000000,-1544500000,161700000
98,Cash at the End of Period,175000000,107100000,274500000,552600000,529900000,642000000,2457000000,912500000,1074200000
99,Cash at the Beginning of Period,46700000,175000000,107100000,274500000,552600000,568200000,642000000,2457000000,912500000
100,Free Cash Flow,30100000,65900000,79300000,-22200000,-65400000,40400000,329100000,74300000,279900000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712184/000171218418000080/0001712184-18-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218419000039/0001712184-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218420000027/0001712184-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218421000031/0001712184-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1712184/000171218422000059/0001712184-22-000059-index.htm
102,false,,,,,,,,,
