,https://roic.ai/company/RMR,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,-31825000,10293000,7303000,37240000,42293000,96041000,74580000,28792000,35696000
74,Depreciation and Amortization,2403000,2446000,2117000,1768000,2038000,1248000,1017000,968000,973000
75,Deferred Income Tax,- -,- -,- -,795000,278000,19815000,-3000,1829000,5229000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,36887000,208107000,-155659000,34501000,39673000,153300000,99049000,7549000,-9105000
78,Accounts Receivable,21415000,- -,26229000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2321000,5483000,287000,-2467000,6385000,- -,- -,- -,- -
81,Other Working Capital,-12143000,195964000,40305000,74806000,114479000,267779000,366828000,374377000,- -
82,Other Non-Cash Items,-1337000,-189165000,248319000,24520000,41654000,-41934000,23571000,38359000,39001000
83,Cash Provided by Operating Activities,6128000,31681000,102080000,98824000,125936000,228470000,198214000,77497000,71794000
84,CAPEX,-2958000,-1417000,-1404000,-1070000,-827000,-648000,-702000,-601000,-1142000
85,Acquisitions Net,- -,- -,- -,-2000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-825000,-46386000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1096000,2895000,2369000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-15613000,2572000,-479000,-12002000,- -,-14032000,-5319000,- -
89,Cash Used for Investing Activites,-1862000,-14960000,-42849000,-3549000,-12829000,-648000,-14734000,-5920000,-1142000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,57906000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-91000,-358000,-987000,-827000,-523000,-834000
93,Dividends Paid,- -,- -,-224336000,-17209000,-16089000,-16169000,-22727000,-24789000,-139783000
94,Other Financing Activites,4710000,110577000,- -,-46662000,-53852000,-62452000,-58241000,-35050000,-139863000
95,Cash Used/Provided by Financing Activities,4710000,110577000,-166430000,-63962000,-70299000,-79608000,-81795000,-60362000,-280480000
96,Effect of Forex Changes on Cash,-62000,-132000,-35000,23000,-1000,-6000,-85000,- -,- -
97,Net Change In Cash,8914000,127166000,-107234000,31336000,42807000,148208000,101600000,11215000,-209828000
98,Cash at the End of Period,14565000,141731000,34497000,65833000,108640000,256848000,358448000,369663000,159835000
99,Cash at the Beginning of Period,5651000,14565000,141731000,34497000,65833000,108640000,256848000,358448000,369663000
100,Free Cash Flow,3170000,30264000,100676000,97754000,125109000,227822000,197512000,76896000,70652000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1644378/000155837015002884/0001558370-15-002884-index.html,https://www.sec.gov/Archives/edgar/data/1644378/000164437816000016/0001644378-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437817000040/0001644378-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437818000038/0001644378-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437819000036/0001644378-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437820000044/0001644378-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437821000041/0001644378-21-000041-index.htm
102,false,,,,,,,,,
