,https://roic.ai/company/CLLS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,1813755,3164240,6739641,3306291,3897349,1323,462592,4094314,4618109,7248328,11295000,13409000,12423000,26323000,8221000
37,Total Current Assets,42731130,48142941,74757866,47567496,70626661,51466660,27541495,160514860,365401351,311786420,323221000,487641000,391520000,315362000,225429000
38,PP&E,1479872,1987917,1272279,5204149,8578835,7252625,5342594,3172576,5512431,16861933,7226000,10042000,69324000,145518000,148267000
39,Goodwill,- -,- -,- -,- -,- -,- -,1512055,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,22924,5287937,45625041,50018515,7630700,1248845,1045197,1339868,1329000,1267000,1108000,1585000,1853000
41,Intangible Assets,13122,23666,22924,5287937,45625041,50018515,9142755,1248845,1045197,1339868,1329000,1267000,1108000,1585000,1853000
42,Investments,99144,423198,330965,307222,1244249,1880604,2085117,2404057,923841,689916,1004000,1891000,5517000,7007000,6524000
43,Tax Assets,9549915,10252805,14955012,10864477,5810382,4485942,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1392,-0,- -,1296,-0,1381,- -,1093,0,102000,-1000,- -,-1000,3000
45,Total Non-Current Assets,11142053,12688977,16581179,21663785,61259802,63637686,16571847,6825478,7482562,18891717,9661000,13199000,75949000,154109000,156647000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,53873183,60831918,91339045,69231281,131886462,115104346,44113342,167340338,372883913,330678137,332882000,500840000,467469000,469471000,382076000
48,Accounts Payable,- -,- -,6778325,11256816,25386560,27047901,12977437,11919354,7227822,9699844,9460000,15883000,29264000,24609000,23762000
49,Short-Term Debt,- -,- -,- -,744780,1572160,1306636,954183,1048203,2100234,1725842,21000,333000,1067000,6696000,10575000
50,Tax Payable,- -,- -,- -,- -,- -,- -,1797896,357508,6903112,191410,9000,291000,130000,81000,71000
51,Deferred Revenue,- -,- -,- -,4676154,- -,- -,7749455,72343013,59867054,38840394,26056000,20754000,20033000,452000,301000
52,Other Current Liabilities,8183767,12780856,8663820,341801,- -,1323,10519484,5726203,14923578,5776997,7997000,9899000,12240000,20258000,14710000
53,Total Current Liabilities,8183767,12780856,15442146,17019550,26958719,28355860,32200558,91036772,84118689,56043078,43534000,46869000,62604000,52015000,49348000
54,Long-Term Debt,- -,- -,- -,1075941,67510855,4368239,4226850,3375651,2187,29448,13000,1018000,46540000,28836000,90296000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2146179,1840354,2676371,1008113,395308,695638,1035654,542342,547745,559505,3431000,2682000,2855000,79774000,5958000
58,Total Non-Current Liabilities,2146179,1840354,2676371,2084054,67906163,5063877,5262504,3917992,549931,588953,3444000,3700000,49395000,108610000,96254000
59,Other Liabilities,- -,- -,- -,4168107,- -,- -,10525008,7835984,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1180646,381828,159622,67309,34000,1351000,47607000,82460000,79855000
61,Total Liabilities,10329946,14621210,18118517,19103604,94864882,33419737,37463062,94954764,84668620,56632031,46978000,50569000,111999000,160625000,145602000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,43543237,46210708,833859,776699,104201931,174551009,1455439,1789970,1923119,1858357,2367000,2765000,2767000,2785000,2945000
64,Retained Earnings,- -,- -,- -,-10723500,-67181647,- -,- -,- -,-149987974,-165848092,-251927000,-326628000,-406390000,-505961000,-698326000
65,Other Comprehensive Income/Loss,-2343010,-2423643,-5518941,- -,- -,-66719126,-94219669,-162092028,-1783176,2630306,1978000,-16668000,-22641000,-4089000,-18021000
66,Other Total Stockholders Equity,2343010,2423643,77905611,60074478,1296,-28904700,99712779,234218590,437270680,433534559,514373000,749832000,741387000,782838000,934695000
67,Total Stockholders Equity,43543237,46210708,73220528,50127677,37021580,78927183,6948549,73916533,287422649,272175129,266791000,409301000,315123000,275573000,221293000
68,Total Liabilities And Stockholders Equity,53873183,60831918,91339045,69231281,131886462,112346920,44411610,168871297,372091269,328807160,313769000,459870000,427122000,436198000,366895000
69,Minority Interest,0,- -,- -,- -,0,2757426,-298268,-1530960,792644,1870977,19113000,40970000,40347000,33273000,15181000
70,Total Liabilities & Equity,53873183,60831918,91339045,69231281,131886462,115104346,44113342,167340338,372883913,330678137,332882000,500840000,467469000,469471000,382076000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627281/000119312517093898/0001193125-17-093898-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312518080876/0001193125-18-080876-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312519071189/0001193125-19-071189-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312520061833/0001193125-20-061833-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-4356511,185149,-5518941,-10723500,-30896248,-29452218,-84278770,24320,-22460805,-64064000,-103683000,-88333000,-115212000,-81074000,-114197000
74,Depreciation and Amortization,852931,400924,368216,1577337,- -,- -,45933331,1668369,1907813,2101300,3371000,2377000,6875000,9819000,16570000
75,Deferred Income Tax,-2322598,-1227831,- -,-4037771,- -,- -,4683918,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,351379,281204,- -,578534,- -,- -,- -,666375,32911683,55712843,50418000,37218000,26880000,16736000,13118000
77,Change in Working Capital,333883,2148008,-1898390,-8687325,5163632,-6666755,8566931,55716475,-1521877,-24903243,-17787000,-9096000,11654000,-21828000,-4163000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-8476823,1249645,-947583,-549000,-3696000,-2674000,-8338000,-5832000
79,Inventory,- -,- -,- -,- -,- -,- -,462592,117953,-25146,47327,-109000,-37000,-2627000,1311000,1598000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9635000,5802000,-444000
81,Other Working Capital,20412,2148008,- -,- -,- -,- -,4427076,64894937,-4995299,-18769719,-17099000,-6480000,-39000,-19918000,-139000
82,Other Non-Cash Items,-481141,-8353,- -,191515,12540989,10008729,-534398,-7337419,-7298887,65851,15354000,-10303000,661000,-3915000,-15890000
83,Cash Provided by Operating Activities,-5622057,1779102,-7049115,-21101210,-13191627,-26110244,-25628987,50738120,3537927,-31087249,-52327000,-68137000,-69142000,-80262000,-104562000
84,CAPEX,-147258,-790712,-713508,-6656470,-4247294,-5485757,-1913889,-430468,-4348064,-13337680,-2656000,-4886000,-12958000,-46260000,-19743000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,614086,-3115912,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-328535,-1433,- -,- -,- -,- -,- -,-260206,-37352236,-2723000,- -,- -,-8136000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,166169,- -,39246000,- -,- -,- -
88,Other Investing Activites,454897,-29234,1005788,-3722569,-25596526,-5426244,-1491342,-1837395,14213,-297632,6890000,1092000,-22959000,-513000,27009000
89,Cash Used for Investing Activites,316386,-1119247,316637,-5686926,-29413518,-6096755,-2083736,-1645265,-7614851,-50500610,1784000,35623000,-35872000,-54342000,7279000
90,Debt Repayment,- -,- -,-383976,-1307355,- -,- -,-530255,-1254925,-616623,-86240,-41000,-127000,-3393000,-6607000,-12465000
91,Common Stock Issued,- -,- -,31289759,123687,2225390,3576057,8033914,72769833,217967332,678348,41307000,236621000,- -,9205000,48517000
92,Common Stock Repurchased,- -,- -,- -,- -,-19441,-33063,- -,- -,- -,-130411,- -,- -,-469000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,34793766,4045438,- -,0,64181194,1383342,0,-1102923,-0,-1052,- -,- -,- -,24724000,11473000
95,Cash Used/Provided by Financing Activities,34793766,4045438,30905783,-1183668,66387143,4926336,7503659,70411985,217350710,460645,41266000,236494000,-3862000,27322000,47525000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-16849,70093,-73186,7917457,7454136,4630642,11089000,-8860000,-2103000,7908000,-5754000
97,Net Change In Cash,29489553,4703901,24173305,-27971805,23765148,-27211892,-19676047,127423513,220727921,-76496571,1812000,195121000,-110979000,-99374000,-55512000
98,Cash at the End of Period,36737283,39780605,65326093,31982976,54933575,28841220,10438013,136615351,343557169,253988053,256380000,451501000,340522000,241148000,185636000
99,Cash at the Beginning of Period,7247729,35076705,41152788,59954781,31168427,56053112,30114060,9191838,122829248,330484624,254568000,256380000,451501000,340522000,241148000
100,Free Cash Flow,-5769315,988390,-7762622,-27757681,-17438922,-31596001,-27542876,50307651,-810137,-44424930,-54983000,-73023000,-82100000,-126522000,-124305000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627281/000119312517093898/0001193125-17-093898-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312518080876/0001193125-18-080876-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312519071189/0001193125-19-071189-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312520061833/0001193125-20-061833-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,
