,https://roic.ai/company/HMY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0425,0.1255,0.1957,0.0937,0.3317,0.1668,0.0196,-0.4663,0.0126,-0.0746,0.1316,0.4111,0.1565,0.1752,0.3164,0.0510,0.0614,-0.1439,0.2191,0.1285,-0.0713,0.0700,0.0013,0.2608
17,Operating Income,-63028350,253996878,347048274,310536610,1635300000,1474550910,-988032850,-3311943397,-261216839,1032010355,570130000,1657205300,169126760,27311200,2254903440,-1935675300,-1549565160,-5312230190,1641525720,-1054275750,-4621964850,-2538000000,-358000000,6450000000
18,Operating Income ratio,-0.0547,0.1126,0.1166,0.0635,0.2079,0.1635,-0.1139,-0.3937,-0.0289,0.1088,0.0575,0.1676,0.0148,0.0022,0.1413,-0.1082,-0.0964,-0.3212,0.0878,-0.0572,-0.2115,-0.0943,-0.0122,0.1546
19,Total Other Income Expenses (Gains),43589700,-69381570,100054166,-70539900,641700000,-553892220,165694950,-1456410413,-768814091,-2356592648,-874720000,15487900,15375160,68278000,-212418440,19853080,10613460,-36805290,-29577040,793960750,-55187640,-208000000,-237000000,-68000000
20,Income Before Tax,-19438650,184615308,447102439,239996710,2277000000,920658690,-822337900,-4768353810,-1030030930,-1324582292,-304590000,1672693200,184501920,95589200,2042485000,-1915822220,-1538951700,-5349035480,1611948680,-260315000,-4677152490,-2746000000,-595000000,6382000000
21,Income Before Tax Ratio,-0.0169,0.0819,0.1502,0.0491,0.2895,0.1021,-0.0948,-0.5668,-0.1141,-0.1396,-0.0307,0.1691,0.0161,0.0079,0.1280,-0.1070,-0.0957,-0.3234,0.0862,-0.0141,-0.2140,-0.1020,-0.0203,0.1529
22,Income Tax expense (Gain),-589050,13876314,85448955,117767813,589950000,276946110,-300705650,-669501715,-16751724,241011233,507650000,178110850,338253520,-471118200,-130719040,684931260,-286563420,-760642660,635906360,-481582750,-248344380,-139000000,255000000,1258000000
23,Net Income,-18849600,170738994,361653484,72536920,1687050000,643712580,-515495400,-4098852095,-1112910514,-2081841815,-234300000,2408368450,-184501920,587190800,2785949540,-2243398040,-1252388280,-4588392820,976042320,221267750,-4428808110,-2607000000,-878000000,5087000000
24,Net Income ratio,-0.0164,0.0757,0.1215,0.0148,0.2145,0.0714,-0.0594,-0.4872,-0.1233,-0.2194,-0.0236,0.2435,-0.0161,0.0483,0.1746,-0.1253,-0.0779,-0.2774,0.0522,0.0120,-0.2027,-0.0969,-0.0300,0.1219
25,EPS,-0.41,2.53,4.34,0.71,5.91,3.64,-0.76,-11.30,-2.79,-5.21,-0.62,7.07,-0.46,1.37,6.45,-5.26,-2.87,-11.16,2.22,0.52,-9.93,-4.97,-1.64,10.38
26,EPS Diluted,-0.41,2.53,4.20,0.68,5.50,3.55,-0.76,-11.30,-2.79,-5.21,-0.62,7.04,-0.46,1.37,6.45,-5.26,-2.87,-11.16,2.22,0.52,-9.93,-5.11,-1.66,10.38
27,Weighted Average Shares Outstanding,45714286,67380952,83593424,102156205,153509862,177954245,254240500,362499012,394409512,398593297,400750167,414002829,417391304,429310000,430818000,431880814,433212000,434400000,435700000,438443000,445896000,524000000,535000000,535000000
28,Weighted Average Shares Outstanding Diluted,45714286,67380952,95590876,105504328,165217088,182721629,254240500,362499012,394409512,398593297,402894248,415767045,426666667,429310000,432023000,432716622,434715000,438100000,446400000,459220000,465319000,533000000,547000000,535000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,1691616780,1331696450,1773578149,637401675,702971745,413930000,1959219350,776445580,696435600,1764707040,2074646860,1825515120,1079621840,1257024200,1236496250,703642410,993000000,6357000000,2819000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4974864500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,1691616780,1331696450,1773578149,637401675,5677836245,413930000,1959219350,776445580,696435600,1764707040,2074646860,1825515120,1079621840,1257024200,1236496250,703642410,993000000,6357000000,2819000000
34,Net Receivables,- -,- -,- -,- -,- -,778443120,846885300,629854086,715914662,957421036,874720000,890554250,937884760,1181209400,1356210040,1220964420,1008278700,723837370,621117840,911102500,1062362070,997000000,1308000000,1521000000
35,Inventory,- -,- -,- -,- -,- -,456586830,521632250,572613362,657476587,735830507,695090000,1037689300,991697820,846647200,988562740,1419495220,1538951700,1300453580,1168293080,1119354500,1752207570,1967000000,2421000000,2542000000
36,Other Current Assets,- -,- -,- -,- -,- -,-7485030,6136850,951144165,1050434587,2044064456,1624480000,46463700,322878360,314078800,1421569560,59559240,63680760,73610580,414078560,1613953000,662251680,420000000,80000000,1669000000
37,Total Current Assets,- -,- -,- -,- -,- -,2919161700,2706350850,3927189762,3061227511,9415152244,3608220000,3933926600,3028906520,3038371000,5531049380,4774665740,4436426280,3177523370,3460513680,4880906250,4180463730,4377000000,10166000000,8551000000
38,PP&E,- -,- -,- -,- -,- -,10000000080,21951512450,21748809070,23630758225,24902600905,27577110000,27986635300,29781684920,31455674600,32704269820,32628536980,33071541360,29812284900,30065061160,29832099000,30974062950,27749000000,29186000000,33597000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,201935460,202536251,2163370000,2168306000,2175585140,2164412600,2148694220,2144132640,849076800,858790100,842945640,585708750,496688760,520000000,- -,333000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2239950250,201908361,- -,37086782,46860000,61951600,53813060,20483400,40849700,39706160,42453840,36805290,29577040,13015750,13796910,13000000,22835000000,32000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,2239950250,201908361,201935460,239623034,2210230000,2230257600,2229398200,2184896000,2189543920,2183838800,891530640,895595390,872522680,598724500,510485670,533000000,- -,365000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2028914900,2152522400,2082479000,1977125480,158824640,- -,- -,2514048400,52063000,82781460,117000000,154000000,135000000
43,Tax Assets,- -,- -,- -,- -,- -,37425150,- -,- -,- -,- -,1483900000,1719156900,1891144680,1160726000,482026460,99265400,84907680,- -,- -,- -,- -,- -,- -,272000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,2275449120,2767719350,4419164779,4995808666,1478862742,1905640000,240062450,438192060,225317400,114379160,2144132640,2398641960,2576370300,280981880,3240921750,3738962610,3960000000,5186000000,5883000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,12312874350,26959182050,26369882210,28828502351,26621086680,33176880000,34205027150,36492942260,37109093000,37467344840,37214598460,36446621640,33284250590,33732614120,33723808250,35306292690,32359000000,34526000000,40252000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,15232036050,29665532900,30297071972,31889729861,36036238924,36785100000,38138953750,39521848780,40147464000,42998394220,41989264200,40883047920,36461773960,37193127800,38604714500,39486756420,36736000000,44692000000,48803000000
48,Accounts Payable,- -,- -,- -,- -,- -,411676650,429579500,2842714403,560232256,401986048,671660000,1463606550,1422202300,1761572400,277777960,575739320,488219160,527542490,354924480,520630000,593267130,763000000,2946000000,1269000000
49,Short-Term Debt,- -,- -,- -,- -,- -,209580840,650506100,- -,1002988044,3084051675,3858140000,255550350,207564660,334562200,310457720,277943120,- -,- -,295770400,1822205000,739514376,89000000,315000000,494000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179738680,49632700,42453840,49073720,103519640,52063000,82781460,153000000,85000000,167000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4299000000,396000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,920658690,1337833300,8051866,893808825,1892074184,1491710000,15487900,146064020,13655600,1838236500,1518760620,1358522880,1153232420,1390120880,1470779750,2295805824,2382000000,- -,3394000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,1541916180,2417918900,2850766270,2457029125,5378111907,6021510000,1734644800,1775830980,2109790200,2426472180,2372443060,1846742040,1680774910,2040815760,3813614750,3628587330,3234000000,7560000000,5553000000
54,Long-Term Debt,- -,- -,- -,- -,- -,2425149720,2755445650,2722647845,2820121317,1903165689,242110000,108415300,991697820,1235831800,1495099020,2243398040,2865634200,3435160400,2055604280,299362250,4925496870,5826000000,7463000000,3128000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1579341330,2626571800,3392940784,3723399440,3613752114,4475130000,4979359850,5450494220,4253719400,3088237320,3007741620,2685205380,1926143510,2425317280,1692047500,1145143530,688000000,- -,2178000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,913173660,1356243850,1413265442,1982656602,3561211919,1273030000,1703669000,1875769520,2164412600,2066994820,2223544960,2441095800,2429149140,2366163200,3722504500,4470198840,4374000000,- -,6035000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,4917664710,6738261300,7528854071,8526177359,9078129723,5990270000,6791444150,8317961560,7653963800,6650331160,7474684620,7991935380,7790453050,6847084760,5713914250,10540839240,10888000000,7463000000,12036000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21220000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000000,261000000
61,Total Liabilities,- -,- -,- -,- -,- -,6459580890,9156180200,10379620340,10983206484,14456241630,12011780000,8526088950,10093792540,9763754000,9076803340,9847127680,9838677420,9471227960,8887900520,9527529000,14169426570,14122000000,21317000000,17589000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,89820360,159558100,209095865,226762887,224902477,249920000,31006775800,30957884660,27536517400,32973877840,40053588900,42825311100,49503115050,59686466720,52531567000,56774284650,29551000000,32937000000,32934000000
64,Retained Earnings,- -,- -,- -,- -,- -,1998503010,1061675050,-3476670886,-3863380678,-5794409803,-3272390000,-836346600,-1222325220,-696435600,1470589200,-943021300,-2366801580,-7324252710,-7852704120,-7119615250,-12113686980,-11710000000,-12583000000,-8173000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-239520960,-1172138350,410439066,31773961,2844597763,-1530760000,-12452271600,-13376389200,3543628200,-522876160,-6968431080,-9414139020,-15188316340,-23528535320,-16334766250,-19343267820,4773000000,3017000000,6399000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,6803892270,20460257900,22774587586,24511367206,24304906857,29326550000,11894707200,13068886000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,8652694680,20509352700,19917451632,20906523377,21579997294,24773320000,29612864800,29428056240,30383710000,33921590880,32142136520,31044370500,26990546000,28305227280,29077185500,25317329850,22614000000,23371000000,31160000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,15112275570,29665532900,30297071972,31889729861,36036238924,36785100000,38138953750,39521848780,40147464000,42998394220,41989264200,40883047920,36461773960,37193127800,38604714500,39486756420,36736000000,44688000000,48749000000
69,Minority Interest,- -,- -,- -,- -,- -,119760480,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,54000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,15232036050,29665532900,30297071972,31889729861,36036238924,36785100000,38138953750,39521848780,40147464000,42998394220,41989264200,40883047920,36461773960,37193127800,38604714500,39486756420,36736000000,44692000000,48803000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-18849600,170738994,361653484,72536920,1687050000,643712580,-515495400,-4098852095,-1112910514,-2081841815,-234300000,2408368450,-184501920,587190800,2785949540,-2243398040,-1252388280,-4588392820,976042320,221267750,-4428808110,-2607000000,-878000000,5087000000
74,Depreciation and Amortization,68329800,98340834,135323547,252993445,310500000,583832340,920527500,781044333,1187199837,1085734396,960630000,1293239650,1391451980,1734261200,2091504640,2183838800,2239440060,2699054600,2203489480,2407913750,2759382000,4054000000,- -,3877000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100671350,153751600,129728200,98039280,347428900,275949960,220831740,340135960,377456750,386313480,230000000,- -,- -
77,Change in Working Capital,-35343000,159879270,-148342856,7891450,82800000,-29940120,398895250,-149680937,-228835413,-40511478,-265540000,-410429350,-315190780,-95589200,-57189580,258090040,-106134600,-49073720,266193360,-260315000,-137969100,-2000000,-548000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198530800,191042280,122684300,177462240,-390472500,-110375280,32000000,- -,- -
79,Inventory,9424800,19306176,-7353436,-86516060,-93150000,7485030,-6136850,-48916252,-91634218,-193988604,54670000,-154879000,-153751600,-136556000,-73529460,-238236960,-42453840,- -,73942600,26031500,-427704210,-88000000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297796200,-254723040,-171758020,14788520,104126000,400110390,54000000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-10602900,76621386,-61294444,61424470,196650000,119760480,-1184412050,2064076987,524820655,2197104686,1382370000,-1424886800,568880920,-34139000,-465686580,2709945420,1167480600,3876823880,828157120,898086750,5601545460,3004000000,6149000000,215000000
83,Cash Provided by Operating Activities,3534300,505580484,287339732,394846285,2277000000,1317365280,-380484700,-1403411713,370274565,1160485790,1843160000,1966963300,1614391800,2321452000,4452617300,3255905120,2324347740,2159243680,4614018240,3644410000,4180463730,4679000000,4723000000,9179000000
84,CAPEX,-41233500,-174358902,-157377077,-423054193,-734850000,-995508990,-871432700,-884741201,-1942135153,-2705228130,-4334550000,-2656174850,-3420973100,-3072510000,-3390525100,-4268412200,-2727659220,-3030302210,-2484471360,-3722504500,-4911699960,-5036000000,3610000000,-5142000000
85,Acquisitions Net,- -,- -,-352415943,-1283898653,-2546100000,-898203600,- -,- -,-2281321834,- -,140580000,1819828250,-222939820,307251000,122549100,1290450200,- -,- -,- -,429519750,-4139073000,32000000,59000000,-3327000000
86,Purchases of Investments,- -,- -,- -,-67592685,-155250000,-22455090,-55231650,-99773994,- -,-33507059,-171820000,-30975800,7687580,-6827800,-49019640,-9926540,-21226920,- -,- -,- -,- -,- -,3466000000,- -
87,Sales/Maturities of Investments,32986800,10859724,64479803,- -,155250000,- -,1006443400,2529010765,2628519899,384989408,1437040000,- -,23062740,34139000,228758320,- -,53067300,24536860,44365560,- -,- -,- -,- -,- -
88,Other Investing Activites,34753950,-97737516,103232748,249917390,-414000000,905688630,141147550,140418964,-169532594,146155605,359260000,1564277900,115313700,122900400,24509820,148898100,-21226920,-110415870,-221827800,52063000,-41390730,206000000,-3481000000,5000000
89,Cash Used for Investing Activites,26507250,-261236694,-342080469,-1524628140,-3694950000,-1010479050,220926600,1684914534,-1764469683,-2207590176,-2569490000,727931300,-3482473740,-2601391800,-3031047740,-2829063900,-2706432300,-3103912790,-2661933600,-3240921750,-9078366780,-4797000000,-3558000000,-8464000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3306666650,-438192060,-553051800,-1299020460,-347428900,-466992240,-797447950,-2040815760,-650787500,-4304635920,-1353000000,842000000,-3610000000
91,Common Stock Issued,- -,13272996,37160265,1443136840,1593900000,1324850310,128873850,- -,204994222,135000679,93720000,1502326300,23062740,40966800,24509820,- -,- -,- -,- -,- -,1089955890,211000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-79779050,-64461473,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3466000000,- -
93,Dividends Paid,- -,-34389126,-80277829,-126472565,-227700000,-973053900,-392758400,-96376385,-7389626,-6461824,-7810000,- -,-222939820,-204834000,-465686580,-496327000,- -,- -,- -,-429519750,-165562920,- -,- -,-684000000
94,Other Financing Activites,589050,- -,350721603,495059648,341550000,-523952100,386621550,212094537,-316346020,1022814412,523270000,- -,1291513440,914925200,1535948720,794123200,636807600,981474400,354924480,702850500,7795254150,1522000000,-3000000,-5000000
95,Cash Used/Provided by Financing Activities,589050,-21116130,307604038,1811723923,1707750000,-172155690,42957950,51256678,-118741424,1151353266,609180000,-1804340350,653444300,198006200,-204248500,-49632700,169815360,184026450,-1685891280,-377456750,4415011200,380000000,4305000000,-4299000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-149236983,- -,104790420,-220926600,-2147608,244000583,-26862020,-15620000,658235750,46125480,88761400,-285947900,-446694300,-180428820,-269905460,-310558920,104126000,-124172190,25000000,-106000000,46000000
97,Net Change In Cash,30041550,222624342,252856524,532705085,279450000,247005990,-331389900,330611893,-1268935958,77386859,-132770000,1548790000,-1168512160,6827800,931373160,-69485780,-392698020,-1030548120,-44365560,130157500,-607064040,287000000,- -,-3538000000
98,Cash at the End of Period,49480200,273303054,524696434,1160333040,1449000000,1691616780,1331696450,1773578149,637401675,705874986,413930000,1959219350,776445580,696435600,1764707040,2074646860,1825515120,1079621840,1257024200,1236496250,703642410,993000000,- -,2819000000
99,Cash at the Beginning of Period,19438650,50678712,271839910,627627955,1169550000,1444610790,1663086350,1442966257,1906337633,628488126,546700000,410429350,1944957740,689607800,833333880,2144132640,2218213140,2110169960,1301389760,1106338750,1310706450,706000000,- -,6357000000
100,Free Cash Flow,-37699200,331221582,129962655,-28207908,1542150000,321856290,-1251917400,-2288152914,-1571860588,-1544742341,-2491390000,-689211550,-1806581300,-751058000,1062092200,-1012507080,-403311480,-871058530,2129546880,-78094500,-731236230,-357000000,- -,4037000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1675,0.1663,0.1475,0.1242,0.0973,0.1335,0.1626,0.15,0.1395,0.1421,0.1277,0.1293,0.1303,0.14706,0.1224,0.1007,0.09397,0.08214,0.06789,0.07655,0.07282,0.07098,0.0577,0.07002
