,https://roic.ai/company/LSYN,2015,2016,2017,2018,2019
61,Total Liabilities,599373,960048,12621413,13034190,14509534
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,20806,20806,29596,29722,29272
64,Retained Earnings,-11989110,-9204492,-12386887,-8013542,-5179701
65,Other Comprehensive Income/Loss,-88545,- -,- -,- -,- -
66,Other Total Stockholders Equity,25783058,25047247,34804457,34425004,35243171
67,Total Stockholders Equity,13726209,15863561,22447166,26441184,30092742
68,Total Liabilities And Stockholders Equity,14325582,16823609,35068579,39475374,44602276
69,Minority Interest,- -,- -,- -,585548,-270
70,Total Liabilities & Equity,14325582,16823609,35068579,40060922,44602006
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1667489/000154812317000060/0001548123-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/1667489/000165495418003121/0001654954-18-003121-index.html,https://www.sec.gov/Archives/edgar/data/1667489/000165495419002740/0001654954-19-002740-index.html,https://www.sec.gov/Archives/edgar/data/1667489/000165495420005581/0001654954-20-005581-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,2980611,2784618,-3182395,4373345,2833841
74,Depreciation and Amortization,22762,24679,22033,3013732,3556309
75,Deferred Income Tax,- -,- -,- -,- -,-393902
76,Stock Based Compensation,- -,- -,- -,- -,232169
77,Change in Working Capital,-93056,279524,-526234,845631,1318372
78,Accounts Receivable,-99985,-49068,-184874,112838,-67123
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,106888,125861,-319483,305324,14274
81,Other Working Capital,-109396,-36693,-18174,1266714,464899
82,Other Non-Cash Items,- -,- -,7274000,-234182,28068
83,Cash Provided by Operating Activities,2910317,3088821,3587404,7998526,7574857
84,CAPEX,- -,-36791,-69064,-378687,-360540
85,Acquisitions Net,- -,- -,-13060953,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-360540
89,Cash Used for Investing Activites,- -,-36791,-13130017,-378687,-360540
90,Debt Repayment,- -,- -,- -,-1669243,-1672986
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-8000,-82500,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,-1496422,-647266,9887000,- -,- -
95,Cash Used/Provided by Financing Activities,-1496422,-647266,9879000,-1751743,-1672986
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,1413895,2404764,336387,5868096,5541331
98,Cash at the End of Period,2470694,4875458,5211845,11079941,16621272
99,Cash at the Beginning of Period,1056799,2470694,4875458,5211845,11079941
100,Free Cash Flow,2910317,3052030,3518340,7619839,7214317
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1667489/000154812317000060/0001548123-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/1667489/000165495418003121/0001654954-18-003121-index.html,https://www.sec.gov/Archives/edgar/data/1667489/000165495419002740/0001654954-19-002740-index.html,https://www.sec.gov/Archives/edgar/data/1667489/000165495420005581/0001654954-20-005581-index.htm
102,false,,,,,
