,https://roic.ai/company/GDDY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,2013937000,2400623000,2854414000,2817800000,3072700000,5191800000,5258900000,5519100000,6444700000,7333900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,200000,200000,100000,200000,200000,200000,200000
64,Retained Earnings,- -,-332626000,-532510000,-675815000,-32200000,-48700000,87700000,164800000,-153500000,-1190900000,-1474600000
65,Other Comprehensive Income/Loss,- -,-77599000,-126857000,-178375000,3200000,2700000,-85700000,-72100000,-78200000,-131000000,-38600000
66,Other Total Stockholders Equity,- -,1423963000,1471874000,1264581000,454600000,608300000,484400000,699800000,1003500000,1308800000,1594700000
67,Total Stockholders Equity,- -,1013738000,812507000,410391000,425800000,562500000,486500000,792700000,772000000,-12900000,81700000
68,Total Liabilities And Stockholders Equity,- -,3027675000,3213130000,3264805000,3243600000,3635200000,5678300000,6051600000,6291100000,6431800000,7415600000
69,Minority Interest,- -,- -,- -,- -,255200000,151700000,60000000,31800000,10100000,1100000,1500000
70,Total Liabilities & Equity,- -,3027675000,3213130000,3264805000,3498800000,3786900000,5738300000,6083400000,6301200000,6432900000,7417100000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609711/000160971116000048/0001609711-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971117000042/0001609711-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971118000035/0001609711-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971119000012/0001609711-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971120000022/0001609711-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971121000017/0001609711-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971122000024/0001609711-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-270447000,-279052000,-199884000,-143305000,-75600000,-16500000,136400000,77100000,137000000,-495100000,242300000
74,Depreciation and Amortization,49155000,138620000,140567000,152759000,158800000,160100000,205800000,234100000,209700000,202700000,199600000
75,Deferred Income Tax,- -,-597000,- -,-6818000,-3000000,-3800000,-34500000,-26200000,- -,- -,- -
76,Stock Based Compensation,259286000,11680000,16448000,30185000,40400000,56800000,76400000,125500000,147000000,191500000,207900000
77,Change in Working Capital,111070000,-494064000,-111187000,-59213000,92167000,90300000,-421800000,292300000,33100000,-597100000,143000000
78,Accounts Receivable,-2729000,478000,-2388000,1756000,-1200000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,6319000,2401000,1932000,8545000,13500000,19600000,-8400000,-3400000,13600000,-20500000,34200000
81,Other Working Capital,152597000,-341467000,-452654000,-511867000,-419700000,-329400000,-751200000,-458900000,-425800000,-1022900000,105700000
82,Other Non-Cash Items,-609000,729523000,307369000,206960000,46633000,99600000,513300000,-143000000,196600000,1462600000,36500000
83,Cash Provided by Operating Activities,148455000,106110000,153313000,180568000,259400000,386500000,475600000,559800000,723400000,764600000,829300000
84,CAPEX,-71310000,-44230000,-52089000,-67901000,-79300000,-62800000,-135200000,-97000000,-92300000,-81500000,-253200000
85,Acquisitions Net,- -,-17679000,-156759000,-40739000,-66200000,-118500000,-1429200000,-151500000,-40300000,-424700000,-367700000
86,Purchases of Investments,-11672000,-17657000,-12762000,-9003000,-7300000,-10500000,-28300000,-24800000,-64100000,- -,-40000000
87,Sales/Maturities of Investments,8896000,20140000,12744000,9192000,5800000,8400000,22600000,18500000,59900000,23700000,- -
88,Other Investing Activites,70000,61000,400000,1132000,-22400000,-1300000,-52000000,-9300000,-3200000,-14800000,-176800000
89,Cash Used for Investing Activites,-74016000,-59365000,-208466000,-107319000,-145900000,-183400000,-1570100000,-254800000,-135300000,-482300000,-635600000
90,Debt Repayment,-13622000,-7500000,-7750000,-7625000,-386000000,-11000000,-611900000,-25000000,-625000000,-28700000,-32400000
91,Common Stock Issued,- -,- -,2750000,- -,482400000,- -,22900000,- -,- -,- -,- -
92,Common Stock Repurchased,-57685000,-18391000,-356000,-1635000,- -,- -,-285000000,- -,-458600000,-541700000,-526000000
93,Dividends Paid,- -,- -,- -,-348965000,-800000,-18800000,- -,- -,- -,- -,- -
94,Other Financing Activites,-96000,-9196000,96476000,328514000,100000,44900000,1981500000,72000000,626700000,-11300000,856500000
95,Cash Used/Provided by Financing Activities,-71403000,-35087000,91120000,-29711000,95700000,15100000,1107500000,47000000,-456900000,-581700000,298100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-200000,-100000,3600000,-2300000,-800000,1800000,-1300000
97,Net Change In Cash,3036000,11658000,35967000,43538000,209000000,218100000,16600000,349700000,130400000,-297600000,490500000
98,Cash at the End of Period,47420000,59463000,95430000,138968000,348000000,566100000,582700000,932400000,1062800000,765200000,1255700000
99,Cash at the Beginning of Period,44384000,47805000,59463000,95430000,139000000,348000000,566100000,582700000,932400000,1062800000,765200000
100,Free Cash Flow,77145000,61880000,101224000,112667000,180100000,323700000,340400000,462800000,631100000,683100000,576100000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609711/000160971116000048/0001609711-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971117000042/0001609711-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971118000035/0001609711-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971119000012/0001609711-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971120000022/0001609711-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971121000017/0001609711-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971122000024/0001609711-22-000024-index.htm
102,false,,,,,,,,,,,
