,https://roic.ai/company/USX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698000,192000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47809000,48178000,50456000,35058000,21635000,18847000,14532000
14,Depreciation and Amortization,30014000,34711000,35119000,36568000,36699000,46719000,50228000,65616000,- -,- -,- -,- -,- -,- -,- -,- -,69426000,65775000,91340000,90831000,90484000,90116000,82975000
15,EBITDA,49153000,39193000,33661000,40977000,51242000,77050000,68376000,102427000,- -,- -,- -,- -,- -,- -,- -,- -,121128000,88981000,120549000,158648000,108861000,132587000,108810000
16,EBITDA ratio,0.0694,0.0498,0.0422,0.0475,0.0551,0.0697,0.0587,0.0696,- -,- -,- -,- -,- -,- -,- -,- -,0.0786,0.0613,0.0775,0.0879,0.0638,0.0761,0.0558
17,Operating Income,31527000,19931000,13479000,18901000,24416000,39554000,23022000,56908000,- -,- -,- -,- -,- -,- -,- -,- -,47613000,27731000,28608000,78906000,26070000,43551000,18429000
18,Operating Income ratio,0.0445,0.0253,0.0169,0.0219,0.0262,0.0358,0.0198,0.0387,- -,- -,- -,- -,- -,- -,- -,- -,0.0309,0.0191,0.0184,0.0437,0.0153,0.0250,0.0095
19,Total Other Income Expenses (Gains),-12388000,-15449000,-14937000,-13384000,-9873000,-9223000,-4874000,-20097000,- -,- -,- -,- -,- -,- -,- -,- -,-43130000,-52153000,-49732000,-44940000,-28724000,-20847000,-6855000
20,Income Before Tax,19139000,4482000,-1458000,5517000,14543000,30331000,18148000,36811000,- -,- -,- -,- -,- -,- -,- -,- -,4483000,-24422000,-21124000,33966000,-2654000,22704000,11574000
21,Income Before Tax Ratio,0.0270,0.0057,-0.0018,0.0064,0.0156,0.0274,0.0156,0.0250,- -,- -,- -,- -,- -,- -,- -,- -,0.0029,-0.0168,-0.0136,0.0188,-0.0016,0.0130,0.0059
22,Income Tax expense (Gain),7758000,2417000,-330000,3310000,6900000,13905000,8716000,16707000,- -,- -,- -,- -,- -,- -,- -,- -,-209000,-8448000,-17187000,7860000,389000,5072000,433000
23,Net Income,11381000,2065000,-1128000,1099000,7643000,16426000,9432000,20104000,- -,- -,- -,- -,- -,- -,- -,- -,4102000,-16524000,-4060000,24899000,-3647000,18552000,10870000
24,Net Income ratio,0.0161,0.0026,-0.0014,0.0013,0.0082,0.0149,0.0081,0.0137,- -,- -,- -,- -,- -,- -,- -,- -,0.0027,-0.0114,-0.0026,0.0138,-0.0021,0.0106,0.0056
25,EPS,0.77,0.15,-0.08,0.08,0.55,1.16,0.59,1.31,- -,- -,- -,- -,- -,- -,- -,- -,0.64,-2.59,-0.64,0.84,-0.07,0.37,0.22
26,EPS Diluted,0.77,0.15,-0.08,0.08,0.54,1.14,0.59,1.29,- -,- -,- -,- -,- -,- -,- -,- -,0.64,-2.59,-0.64,0.83,-0.07,0.35,0.21
27,Weighted Average Shares Outstanding,14785000,14095000,13757000,13888000,13966000,14159000,15930000,15316000,- -,- -,- -,- -,- -,- -,- -,- -,6385000,6385000,6385000,29470000,48788000,49528000,49528000
28,Weighted Average Shares Outstanding Diluted,14852000,14148000,13757000,14043000,14067000,14399000,16083000,15568000,- -,- -,- -,- -,- -,- -,- -,- -,6385000,6385000,6385000,30133000,48788000,50674000,50674000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923571/000093176303000818/0000931763-03-000818-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357104000005/0000923571-04-000005-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000116923205001670/0001169232-05-001670-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357106000008/0000923571-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357107000006/0000923571-07-000006-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923571/000100888619000047/form10k.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837020002028/usx-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837021002239/0001558370-21-002239-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837022002527/0001558370-22-002527-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,259000,34000,8185000,131000,168000,66000,9488000,913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3278000,9232000,9892000,5687000,5505000,5695000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,259000,34000,8185000,131000,168000,66000,9488000,913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3278000,9232000,9892000,5687000,5505000,5695000
34,Net Receivables,111677000,103478000,91120000,103450000,107171000,152733000,154815000,183477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,191509000,208044000,210684000,198959000,209072000,249733000
35,Inventory,6078000,4312000,3833000,5598000,5011000,5359000,3693000,7767000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7793000,8787000,7324000,7193000,8953000,9550000
36,Other Current Assets,6318000,8964000,13112000,18525000,20775000,32234000,34974000,61987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,21979000,22657000,57634000,44889000,42910000,57718000
37,Total Current Assets,124332000,116788000,116250000,127704000,133125000,190392000,202970000,254144000,- -,- -,- -,- -,- -,- -,- -,- -,- -,224559000,248720000,285534000,256728000,266440000,322696000
38,PP&E,206333000,218902000,214282000,226519000,222208000,275613000,306821000,528997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,309740000,463905000,518717000,768401000,788912000,813168000
39,Goodwill,70161000,67498000,68875000,71976000,74181000,74196000,72143000,94307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,55508000,57708000,57708000,57708000,59221000,59221000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29774000,30742000,28913000,27214000,25513000,24129000
41,Intangible Assets,70161000,67498000,68875000,71976000,74181000,74196000,72143000,94307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,85282000,88450000,86621000,84922000,84734000,83350000
42,Investments,- -,- -,- -,5815000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8211000,17054000,18061000,6525000,12280000,19966000,25450000,25919000,- -,- -,- -,- -,- -,- -,- -,- -,- -,19850000,19496000,19615000,30058000,39504000,50829000
45,Total Non-Current Assets,284705000,303454000,301218000,310835000,308669000,369775000,404414000,649223000,- -,- -,- -,- -,- -,- -,- -,- -,- -,414872000,571851000,624953000,883381000,913150000,947347000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,409037000,420242000,417468000,438539000,441794000,560167000,607384000,903367000,- -,- -,- -,- -,- -,- -,- -,- -,- -,639431000,820571000,910487000,1140109000,1179590000,1270043000
48,Accounts Payable,17442000,19060000,15402000,16659000,14608000,25636000,28172000,47770000,- -,- -,- -,- -,- -,- -,- -,- -,- -,60506000,80555000,63808000,68918000,83621000,126910000
49,Short-Term Debt,1182000,4441000,23491000,45393000,27992000,24728000,28900000,70589000,- -,- -,- -,- -,- -,- -,- -,- -,- -,58115000,135869000,113094000,151426000,181883000,173492000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,17872000,20417000,26265000,39600000,53382000,105566000,107774000,118627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,86831000,82072000,87378000,85147000,93748000,102378000
53,Total Current Liabilities,36496000,43918000,65158000,101652000,95982000,155930000,164846000,236986000,- -,- -,- -,- -,- -,- -,- -,- -,- -,205452000,298496000,264280000,305491000,359252000,402780000
54,Long-Term Debt,181256000,179908000,151540000,128907000,121597000,101084000,115044000,252313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,372907000,473206000,311472000,314574000,464284000,495397000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,26526000,36902000,41852000,48350000,56100000,68965000,54618000,114679000,- -,- -,- -,- -,- -,- -,- -,- -,- -,35786000,15630000,19978000,20692000,25162000,24301000
57,Other Non-Current Liabilities,3232000,2579000,3308000,1198000,876000,804000,40464000,43311000,- -,- -,- -,- -,- -,- -,- -,- -,- -,62454000,74344000,76370000,268516000,70035000,69276000
58,Total Non-Current Liabilities,211014000,219389000,196700000,178455000,178573000,170853000,210126000,410303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,471147000,563180000,407820000,603782000,559481000,588974000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276223000,294096000,293737000
61,Total Liabilities,247510000,263307000,261858000,280107000,274555000,326783000,374972000,647289000,- -,- -,- -,- -,- -,- -,- -,- -,- -,676599000,861676000,672100000,909273000,918733000,991754000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,161000,162000,163000,164000,165000,187000,189000,190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,64000,484000,490000,497000,505000
64,Retained Earnings,74732000,76797000,75669000,76768000,84411000,100837000,110269000,130373000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39399000,-43459000,-17335000,-20982000,-2430000,8440000
65,Other Comprehensive Income/Loss,-69547000,-96578000,-84926000,-100000,- -,-156121000,-153275000,-180813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-317992000,-371909000,-379813000,-388318000,- -,- -
66,Other Total Stockholders Equity,156181000,176554000,164704000,81600000,82663000,288481000,275229000,302749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,317993000,371910000,631555000,639018000,261338000,- -
67,Total Stockholders Equity,161527000,156935000,155610000,158432000,167239000,233384000,232412000,252499000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39334000,-43394000,234891000,230208000,259405000,276566000
68,Total Liabilities And Stockholders Equity,409037000,420242000,417468000,438539000,441794000,560167000,607384000,899788000,- -,- -,- -,- -,- -,- -,- -,- -,- -,637265000,818282000,906991000,1139481000,1178138000,1268320000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,3579000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2166000,2289000,3496000,628000,1452000,1723000
70,Total Liabilities & Equity,409037000,420242000,417468000,438539000,441794000,560167000,607384000,903367000,- -,- -,- -,- -,- -,- -,- -,- -,- -,639431000,820571000,910487000,1140109000,1179590000,1270043000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923571/000093176303000818/0000931763-03-000818-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357104000005/0000923571-04-000005-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000116923205001670/0001169232-05-001670-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357106000008/0000923571-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357107000006/0000923571-07-000006-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/923571/000100888619000047/form10k.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837020002028/usx-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837021002239/0001558370-21-002239-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837022002527/0001558370-22-002527-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11381000,2065000,-1128000,1099000,7643000,16426000,9432000,20104000,- -,- -,- -,- -,- -,- -,- -,- -,4102000,-16524000,-4060000,24899000,-3647000,18552000,10870000
74,Depreciation and Amortization,30014000,34711000,35119000,36568000,36699000,46719000,50228000,65616000,- -,- -,- -,- -,- -,- -,- -,- -,69426000,65775000,91340000,90831000,90484000,90116000,82975000
75,Deferred Income Tax,1181000,713000,2574000,2598000,2889000,8887000,-9247000,16111000,- -,- -,- -,- -,- -,- -,- -,- -,-1650000,-12245000,-20156000,5691000,714000,4470000,-861000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000,- -,2248000,3846000,4395000,6244000
77,Change in Working Capital,78706000,-10470000,-14966000,-21778000,-25040000,11091000,-2681000,3662000,- -,- -,- -,- -,- -,- -,- -,- -,-20966000,1949000,-68883000,71030000,-70017000,-44049000,-12940000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-582000,498000,-510000,725000,70000,-900000,-465000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3310000,10291000,41930000,-21020000,5572000,19940000,41345000
81,Other Working Capital,98306000,87836000,72870000,51092000,26052000,37143000,34462000,38124000,- -,- -,- -,- -,- -,- -,- -,- -,17158000,19107000,-49776000,21254000,-48763000,-92812000,- -
82,Other Non-Cash Items,-85853000,27696000,21882000,23377000,35854000,-38673000,18521000,8632000,- -,- -,- -,- -,- -,- -,- -,- -,28066000,37514000,87153000,-82352000,82369000,77405000,-7721000
83,Cash Provided by Operating Activities,35429000,54715000,43481000,41864000,58045000,44450000,66253000,114125000,- -,- -,- -,- -,- -,- -,- -,- -,78978000,76989000,85394000,112347000,103749000,150889000,78567000
84,CAPEX,-74622000,-56187000,-53400000,-38932000,-106527000,-107580000,-152455000,-239219000,- -,- -,- -,- -,- -,- -,- -,- -,-202122000,-54710000,-240417000,-223939000,-151751000,-186122000,-192366000
85,Acquisitions Net,-1798000,- -,- -,-2000000,-1200000,-725000,12423000,-6806000,- -,- -,- -,- -,- -,- -,- -,- -,29068000,- -,-2662000,- -,-5845000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3975000,-2965000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-443000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,60773000,6966000,40253000,11054000,83732000,20255000,70629000,75637000,- -,- -,- -,- -,- -,- -,- -,- -,136762000,43363000,32311000,57850000,75966000,74519000,95369000
89,Cash Used for Investing Activites,-15647000,-49221000,-13147000,-29878000,-23995000,-88050000,-73378000,-173353000,- -,- -,- -,- -,- -,- -,- -,- -,-35705000,-11347000,-211211000,-166089000,-81630000,-111603000,-96997000
90,Debt Repayment,-21852000,-1229000,-126516000,-40283000,-60069000,-128678000,-54214000,-65565000,- -,- -,- -,- -,- -,- -,- -,- -,-526833000,-446806000,-477474000,-825845000,-243528000,-579713000,-448273000
91,Common Stock Issued,4768000,348000,434000,961000,897000,49499000,12495000,2836000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246616000,- -,- -,- -
92,Common Stock Repurchased,-4526000,-7091000,- -,- -,- -,-654000,-12439000,-2472000,- -,- -,- -,- -,- -,- -,- -,- -,-149000,-299000,-523000,-217000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4526000,2253000,103899000,19282000,25159000,123331000,70705000,115854000,- -,- -,- -,- -,- -,- -,- -,- -,483358000,382398000,609768000,645632000,205420000,540245000,466893000
95,Cash Used/Provided by Financing Activities,-26136000,-5719000,-22183000,-20040000,-34013000,43498000,16547000,50653000,- -,- -,- -,- -,- -,- -,- -,- -,-43624000,-64707000,131771000,66186000,-38108000,-39468000,18620000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-6354000,-225000,8151000,-8054000,37000,-102000,9422000,-8575000,- -,- -,- -,- -,- -,- -,- -,- -,-351000,935000,5954000,660000,-4205000,-182000,190000
98,Cash at the End of Period,259000,34000,8185000,131000,168000,66000,9488000,913000,- -,- -,- -,- -,- -,- -,- -,- -,2343000,3278000,9232000,9892000,5687000,5505000,5695000
99,Cash at the Beginning of Period,6613000,259000,34000,8185000,131000,168000,66000,9488000,- -,- -,- -,- -,- -,- -,- -,- -,2694000,2343000,3278000,9232000,9892000,5687000,5505000
100,Free Cash Flow,-39193000,-1472000,-9919000,2932000,-48482000,-63130000,-86202000,-125094000,- -,- -,- -,- -,- -,- -,- -,- -,-123144000,22279000,-155023000,-111592000,-48002000,-35233000,-113799000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923571/000093176303000818/0000931763-03-000818-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357104000005/0000923571-04-000005-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000116923205001670/0001169232-05-001670-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357106000008/0000923571-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000092357107000006/0000923571-07-000006-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923571/000100888619000047/form10k.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837020002028/usx-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837021002239/0001558370-21-002239-index.htm,https://www.sec.gov/Archives/edgar/data/923571/000155837022002527/0001558370-22-002527-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
