,https://roic.ai/company/CIRX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Other Non-Current Assets,10887,25711,10390,476000,761581,4827244,4357243,3184582,7947984,1224138,2010,224488,40733,- -,- -,- -,- -,- -,- -,-300000
45,Total Non-Current Assets,1344812,891609,587993,1316793,3448318,7505698,7432660,5829326,10813047,2029144,474490,610522,380589,- -,- -,320000,314357,312065,309772,0
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3585486,2580315,2143834,4293429,10901897,11129738,11764331,13069179,13641221,4195900,1167065,887082,628620,- -,- -,320000,320590,312401,329796,1
48,Accounts Payable,2301254,1359723,1300597,1104392,1239519,1135527,1501533,2215171,3264953,3534552,4079330,4681114,4169641,- -,- -,1860000,2217329,2115177,2121401,1
49,Short-Term Debt,4659282,1788636,2169224,3365048,1104668,3190483,3417143,5768786,3739581,4011975,4219773,3946273,4831825,- -,- -,2540000,441833,441833,492318,903596
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1103044,871357,965018,- -,- -,- -,685004,758827,806331,557894
51,Deferred Revenue,- -,- -,- -,- -,119945,191396,159849,587052,3104900,2999578,4802850,3184320,2592170,- -,- -,- -,638,- -,- -,0
52,Other Current Liabilities,3112397,3030970,3615264,2066022,6132321,3970275,5239963,2913057,7583114,12761592,13131011,14923343,11588453,- -,- -,36740000,33097121,34096698,35400902,-903559
53,Total Current Liabilities,10072933,6179329,7085085,6535462,8596453,8487681,10318488,11484066,17692548,23307697,26232964,26735050,23182089,- -,- -,41140000,35756921,36653708,38014621,38
54,Long-Term Debt,447155,295083,- -,- -,1037390,1023110,1009364,269625,196614,- -,- -,- -,- -,- -,- -,- -,2890528,2890528,2178768,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1719000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,7775,- -,- -,- -,- -,- -,- -,1688080,- -,- -,- -,- -,- -,- -,- -,- -,1137325,1251570,1371098,-37
58,Total Non-Current Liabilities,454930,295083,- -,- -,1037390,1023110,1009364,1957705,1915614,- -,- -,- -,- -,- -,- -,- -,4027853,4142098,3549866,-37
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50409
61,Total Liabilities,10527863,6474412,7085085,6535462,9633843,9510791,11327852,13441771,19608162,23307697,26232964,26735050,23182089,- -,- -,41140000,39784774,40795806,41564487,1
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,160951,247185,349088,474114,583364,656165,1101256,1426257,1481968,1481968,1819297,2541502,4457992,- -,- -,4500000,4498892,4499919,4500,0
64,Retained Earnings,-13080492,-15230302,-18214480,-18799602,-19327310,-22181679,-29414203,-33325415,-39140068,-41969908,-48267171,-48514796,-47674008,- -,- -,-74550000,-76599299,-77710520,-78461806,- -
65,Other Comprehensive Income/Loss,- -,-3984709,-4285228,-3579060,-3898901,-66000,-17000,-17000,-4785507,-4965240,-5125129,-5211575,-5257753,- -,- -,- -,-4100733,-4103025,-4105025,- -
66,Other Total Stockholders Equity,5977164,15073729,17209369,19662515,23910901,23210461,27057168,28970335,33903435,34093912,34980280,34646399,34511463,- -,- -,29230000,36736956,36830221,41327640,-40698101
67,Total Stockholders Equity,-6942377,-3894097,-4941251,-2242033,1268054,1618947,-1272779,-2945823,-8540172,-11359268,-16592723,-16538470,-13962306,- -,- -,-40820000,-39464184,-40483405,-41234691,-40698101
68,Total Liabilities And Stockholders Equity,3585486,2580315,2143834,4293429,10901897,11129738,10055073,10495948,11067990,11948429,9640241,10196580,9219783,- -,- -,320000,320590,312401,329796,-40698100
69,Minority Interest,- -,- -,- -,- -,- -,- -,1709258,2573231,2573231,-7752529,-8473176,-9309498,-8591163,- -,- -,- -,- -,- -,- -,40698101
70,Total Liabilities & Equity,3585486,2580315,2143834,4293429,10901897,11129738,11764331,13069179,13641221,4195900,1167065,887082,628620,- -,- -,320000,320590,312401,329796,1
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813716/000103883812000117/0001038838-12-000117-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000155724013000093/0001557240-13-000093-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000155724014000297/0001557240-14-000297-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/813716/000149315219005820/0001493152-19-005820-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000149315220010123/0001493152-20-010123-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000149315221011743/0001493152-21-011743-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2933084,-2149810,-2984178,-658322,-527708,-2860000,-7230000,-3910000,-5810000,-2620000,-6300000,-247630,855910,- -,- -,-22830960,-2049860,-1111220,-1227540,532134
74,Depreciation and Amortization,540090,470849,300520,249395,433674,526428,654864,644952,660940,653615,189609,86446,46178,- -,- -,2290,1719,2292,2293,373
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,374783,46053,61153,30872,- -,- -,- -,- -,- -,- -,375710
77,Change in Working Capital,-3520145,3341636,-1038621,1970418,2415952,-3720767,-1123176,1742604,-10620161,-6276567,-4399448,-918101,3524432,- -,- -,-18205942,5389312,-902684,-1341225,37994560
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-164630,- -,602245,-134883,140787,- -,- -,- -,- -,- -,- -,-16966
79,Inventory,187185,194056,143125,-219326,-855940,572533,-81216,166657,-438877,311194,77282,366731,-88933,- -,- -,- -,- -,- -,-18814,-306438
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,844821,703501,780647,656784,-45190,- -,- -,2310000,361042,-102153,6224,255282
81,Other Working Capital,-7832259,-4490623,-5529244,-3558826,-1142874,-4863641,-5986817,-4244213,-14864374,-21140941,-25540389,-26458490,-22934058,- -,- -,-41140000,-35750688,-36653372,-37994597,-37
82,Other Non-Cash Items,5624415,-2804823,2598461,-3241545,-4073662,4211938,3437694,-3760378,15283815,7179929,10143671,1249697,-3990053,- -,- -,41227572,-3548065,1802622,2443045,-38322901
83,Cash Provided by Operating Activities,-288724,-1142148,-1123818,-1680054,-1751744,-1842401,-4260618,-5282822,-485406,-688240,-320115,231565,467339,- -,- -,192960,-206894,-208990,-123427,579876
84,CAPEX,-2939,-2822,-12225,-645824,-295346,-587643,-227287,-214279,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,39331,-1429725,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-300000,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-241744,2440367,17105,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18672
89,Cash Used for Investing Activites,-2939,-2822,-12225,-945824,-256015,-2259112,1713080,-197174,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18672
90,Debt Repayment,-450453,- -,- -,- -,- -,- -,- -,- -,-1466154,-1210991,- -,- -,- -,- -,- -,- -,-445313,- -,-38785,-6813
91,Common Stock Issued,117660,924000,302025,112050,33650,1515451,230000,204000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,613887,220970,887653,2540794,3320873,1304247,2254249,5201936,1951447,1895410,489128,-397462,-474941,- -,- -,-193580,657758,203380,161998,-335107
95,Cash Used/Provided by Financing Activities,281094,1144970,1189678,2652844,3354523,2819698,2484249,5405936,485293,684419,489128,-397462,-474941,- -,- -,-193580,212445,203380,123213,-337520
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10569,- -,53635,26966,1346764,-1281815,-63289,-74060,-113,-3821,169013,-165897,-7602,- -,- -,-610,5551,-5610,- -,- -
98,Cash at the End of Period,499,500,54135,81101,1427865,146050,82761,8701,8588,4767,173780,7883,281,- -,- -,-610,5824,214,- -,108147
99,Cash at the Beginning of Period,11068,500,500,54135,81101,1427865,146050,82761,8701,8588,4767,173780,7883,- -,- -,- -,273,5824,214,- -
100,Free Cash Flow,-291663,-1144970,-1136043,-2325878,-2047090,-2430044,-4487905,-5497101,-485406,-688240,-320115,231565,467339,- -,- -,192960,-206894,-208990,-123427,579876
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813716/000103883812000117/0001038838-12-000117-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000155724013000093/0001557240-13-000093-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000155724014000297/0001557240-14-000297-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/813716/000149315219005820/0001493152-19-005820-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000149315220010123/0001493152-20-010123-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000149315221011743/0001493152-21-011743-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
