,https://roic.ai/company/STGW,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,11200000,12925230,15556500,18211408,17226850,24566089,26610330,25067668,25328815,38252662,33802041,34226734,34948192,35812929,37500873,41145243,41094694,42241716,43680559,46090159,47108406,49545350,49875282,51345807,- -,- -,77567628,77567628,257537679
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876883/000110465906017017/0001104659-06-017017-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420407013120/0001144204-07-013120-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420408014271/0001144204-08-014271-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420409012767/0001144204-09-012767-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420410012544/0001144204-10-012544-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420411014534/0001144204-11-014534-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420412014991/0001144204-12-014991-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420413013561/0001144204-13-013561-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420414014344/0001144204-14-014344-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000162828015001347/0001628280-15-001347-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000162828016011847/0001628280-16-011847-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000087688317000004/0000876883-17-000004-index.htm,undefined,undefined,https://www.sec.gov/Archives/edgar/data/876883/000087688320000006/0000876883-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000087688321000016/0000876883-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000087688322000011/0000876883-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6104760,-2599261,30100576,-899115,11368207,24378533,40700429,37249952,37867012,71879000,22673000,12923000,6591000,10410000,41331000,51926000,10949000,8096000,60330000,102007000,119767000,61458000,27921000,- -,- -,106933000,60757000,184009000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6104760,-2599261,30100576,-899115,11368207,24378533,40700429,37249952,37867012,71879000,22673000,12923000,6591000,10410000,41331000,51926000,10949000,8096000,60330000,102007000,119767000,61458000,27921000,- -,- -,106933000,60757000,184009000
34,Net Receivables,- -,7906164,11796646,26000497,38661937,52716287,93930021,105322050,89679661,67597600,80979000,119695000,125157000,153821000,154669000,123903000,118211000,195306000,238592000,384929000,373042000,395497000,405056000,421458000,- -,- -,480536000,385444000,760002000
35,Inventory,- -,10608271,20694118,28800551,30270199,34205225,36941892,30804109,14624803,7018778,6795000,10792000,10359000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2001561,13596135,7000134,9690460,26358144,21929191,28164757,25106945,6280012,5068000,3849000,4757000,6064000,8359000,10510000,32108000,43869000,51724000,16892000,25458000,36978000,42231000,40203000,- -,- -,35613000,40939000,64106000
37,Total Current Assets,- -,26620756,43487638,91901757,77723481,124647862,177179637,204991346,166661361,118763402,164721000,157009000,153196000,166476000,173438000,175744000,202245000,250124000,298412000,462151000,500507000,552242000,508745000,489582000,- -,- -,623082000,487140000,1008117000
38,PP&E,- -,12309598,30891219,70901356,57743152,84004007,107708062,105445066,69050349,48503645,80152000,55365000,63528000,44425000,47440000,44021000,35375000,41053000,47737000,52914000,52071000,60240000,63557000,78377000,- -,- -,304676000,304601000,416522000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203693000,217726000,238214000,301632000,514488000,605244000,720071000,744333000,851373000,870301000,844759000,- -,- -,740674000,668211000,1682397000
40,Intangible Assets,- -,45535503,56184029,101301937,117684140,245875202,289089137,340015358,290673213,186025109,103538000,193767000,252165000,48933000,55399000,46852000,34715000,67133000,57980000,63243000,56262000,86121000,72382000,85071000,- -,- -,54893000,33844000,937695000
41,Intangible Assets,- -,45535503,56184029,101301937,117684140,245875202,289089137,340015358,290673213,186025109,103538000,193767000,252165000,252626000,273125000,285066000,336347000,581621000,663224000,783314000,800595000,937494000,942683000,929830000,- -,- -,795567000,702055000,2620092000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19555809,- -,12883000,16057000,13332000,9175000,11926000,12542000,21603000,15380000,9332000,21131000,18758000,15367000,41793000,- -,- -,85988000,179000,- -
44,Other Non-Current Assets,- -,5204057,4098835,- -,30170298,24647883,51794766,88094752,50452871,12074178,- -,18831000,22369000,16642000,17520000,12482000,18010000,19947000,30992000,37234000,50923000,80156000,59898000,37796000,- -,- -,30179000,17339000,33019000
45,Total Non-Current Assets,- -,63049158,91174082,172203292,205597589,354527092,448591965,533555176,410176432,266158741,183690000,280846000,354119000,327025000,347260000,353495000,402274000,664224000,757333000,882794000,924720000,1096648000,1081505000,1087796000,- -,- -,1216410000,1024174000,3069633000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,89669913,134661721,264105050,283321071,479174954,625771602,738546522,576837794,384922144,348411000,437855000,507315000,493501000,520698000,529239000,604519000,914348000,1055745000,1344945000,1425227000,1648890000,1590250000,1577378000,- -,- -,1839492000,1511314000,4077750000
48,Accounts Payable,- -,16813109,19694401,41900801,48851905,84507025,111780640,149897997,128766463,107063106,91289000,77425000,63452000,90588000,65839000,75360000,77450000,131074000,178282000,356847000,246694000,316285000,359568000,251456000,- -,- -,200148000,168398000,271769000
49,Short-Term Debt,- -,4003121,17594998,2700052,3196853,3722333,11048005,6587879,7568381,4096703,18646000,9244000,79810000,51087000,1796000,1546000,1456000,1667000,1238000,1858000,467000,534000,470000,228000,- -,- -,- -,356000,72922000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,11126478,13516000,- -,- -,- -,- -,- -,- -,- -,122021000,131908000,149540000,142608000,119100000,133925000,- -,- -,171742000,152956000,361885000
52,Other Current Liabilities,- -,800625,699802,2200042,4295771,7344063,13621211,10889452,14931777,- -,1113000,106212000,109869000,129840000,128167000,110929000,163491000,219930000,124759000,198220000,293621000,362077000,433486000,417212000,- -,- -,447755000,369550000,582726000
53,Total Current Liabilities,- -,21616854,37989202,46800895,56344529,95573422,136449857,167375328,151266621,122286287,124564000,192881000,253131000,271515000,195802000,187835000,242397000,352671000,426300000,688833000,690322000,821504000,912624000,802821000,- -,- -,819645000,691260000,1289302000
54,Long-Term Debt,- -,19214982,42787837,139302663,143658568,252615643,336465700,372538697,331327885,155838666,102112000,50320000,47169000,44367000,162958000,179952000,216490000,284549000,383936000,429845000,664661000,742593000,741038000,936208000,- -,- -,887630000,843184000,1523440000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,13767837,- -,- -,- -,854000,2446000,1140000,819000,4700000,9051000,19642000,50724000,53018000,63020000,77997000,92581000,103443000,- -,- -,4187000,- -,110628000
57,Other Non-Current Liabilities,- -,1801404,- -,-100002,- -,-100604,- -,1000,- -,1000,- -,5724000,7937000,5512000,8267000,6949000,42435000,165620000,100294000,258059000,283836000,355376000,331080000,237466000,- -,- -,307419000,385780000,211085000
58,Total Non-Current Liabilities,- -,21016386,42787837,139202661,143658568,252515039,336465700,386307533,331327885,155839666,102112000,56898000,57552000,51019000,172044000,191601000,267976000,469811000,534954000,740922000,1011517000,1175966000,1164699000,1277117000,- -,- -,1199236000,1228964000,1845153000
59,Other Liabilities,- -,- -,- -,278405323,- -,- -,- -,- -,662655771,311679331,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401250000
61,Total Liabilities,- -,42633240,80777039,186003556,200003096,348088461,472915557,553682861,482594506,278125953,226676000,249779000,310683000,322534000,367846000,379436000,510373000,822482000,961254000,1429755000,1701839000,1997470000,2077323000,2079938000,- -,- -,2018881000,1920224000,3134455000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,106115791,93753507,- -,- -,117292000,164065000,178590000,- -,- -,- -,- -,- -,- -,253870000,262656000,265818000,269842000,317784000,- -,- -,101469000,104367000,120000
64,Retained Earnings,- -,5304135,7897755,12800244,-3396656,4929576,19808494,45300043,-46265214,-31883907,-27260000,-45083000,-53075000,-86614000,-112969000,-112836000,-131160000,-146735000,-231274000,-316713000,-465576000,-489633000,-526990000,-574932000,- -,- -,-469593000,-709751000,-6983000
65,Other Comprehensive Income/Loss,- -,-10308037,-15195681,-24200463,-29071379,-58148882,-77700641,-88783844,-63635793,-47028112,-53336000,-58343000,3000000,1000000,6000000,-7000000,-6000000,-4000000,-5000000,-7000000,-1000000,-8000000,6000000,-2000000,- -,- -,-4000000,2739000,-12720000
66,Other Total Stockholders Equity,- -,51740341,60282865,88601694,114387386,181991915,100474915,117684699,194563078,175863326,82506000,82385000,23633000,210028000,234902000,247017000,227486000,209796000,183818000,- -,- -,- -,- -,- -,- -,- -,152477000,152746000,401200000
67,Total Stockholders Equity,- -,46736440,52984939,77201476,81919350,128772610,148698558,167954405,84662072,96951308,119202000,143024000,152148000,124414000,127933000,127181000,90326000,59061000,-52456000,-142832000,-329700000,-441235000,-566152000,-568193000,- -,- -,-219647000,-449899000,381617000
68,Total Liabilities And Stockholders Equity,- -,89369680,133761977,263205032,281922447,476861071,621614116,721637266,567256578,375077261,345878000,392803000,462831000,446948000,495779000,506617000,600699000,881543000,908798000,1286923000,1372139000,1556235000,1511171000,1511745000,- -,- -,1799234000,1470325000,3516072000
69,Minority Interest,- -,300233,899743,900018,1398624,2313883,4157486,16909256,9581216,9844883,2533000,45052000,44484000,46553000,24919000,22622000,3820000,32805000,146947000,58022000,53088000,92655000,79079000,65633000,- -,- -,40258000,40989000,561678000
70,Total Liabilities & Equity,- -,89669913,134661721,264105050,283321071,479174954,625771602,738546522,576837794,384922144,348411000,437855000,507315000,493501000,520698000,529239000,604519000,914348000,1055745000,1344945000,1425227000,1648890000,1590250000,1577378000,- -,- -,1839492000,1511314000,4077750000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876883/000110465906017017/0001104659-06-017017-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420407013120/0001144204-07-013120-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420408014271/0001144204-08-014271-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420409012767/0001144204-09-012767-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420410012544/0001144204-10-012544-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420411014534/0001144204-11-014534-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420412014991/0001144204-12-014991-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420413013561/0001144204-13-013561-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000114420414014344/0001144204-14-014344-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000162828015001347/0001628280-15-001347-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000162828016011847/0001628280-16-011847-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000087688317000004/0000876883-17-000004-index.htm,undefined,undefined,https://www.sec.gov/Archives/edgar/data/876883/000087688320000006/0000876883-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000087688321000016/0000876883-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/876883/000087688322000011/0000876883-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3102419,2599261,5100098,-14585640,9154928,15882756,27530673,-149951729,94208176,11042000,-2157000,-7949000,-33539000,-26355000,133000,-18324000,-15440000,-84674000,-85439000,-148863000,-24057000,-37357000,-47942000,- -,- -,-4690000,-228971000,21036000
74,Depreciation and Amortization,- -,1200937,4298778,7700147,10289869,16901405,27873737,35036674,38251869,16185876,12617000,19955000,28788000,26970000,31576000,35752000,34471000,34481000,40236000,46414000,39600000,47172000,52223000,46446000,- -,- -,38329000,36905000,77503000
75,Deferred Income Tax,- -,-700546,199943,400007,-899115,3420523,5146413,-3283438,-18820460,21458207,5461000,-2712000,-1423000,298000,5253000,-960000,6972000,-5373000,40284000,8422000,-5427000,10963000,1824000,-7935000,- -,- -,5008000,108556000,-20139000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14186000,16507000,23657000,32197000,22438000,17696000,17796000,21003000,- -,- -,31040000,14179000,75032000
77,Change in Working Capital,- -,- -,494536,39602426,-23721910,7695488,11655339,-3113762,-22221277,-18917625,43679885,-76029000,-64063000,-5104000,82675000,10273000,-28061000,-62395000,-25341000,-98794000,36867000,-79447000,-134617000,90640000,- -,- -,116676000,-7557000,15756000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9953000,-31289000,-12130000,-30043000,17644000,-35800000,-4796000,-16752000,- -,- -,-37763000,72453000,-35669000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2547000,433000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144123000,-46351000
81,Other Working Capital,- -,5003901,5498437,45100863,21378952,29074441,40729780,37616018,15394741,-3522885,40157000,-35872000,-99935000,-105039000,-22364000,-12091000,-40152000,-102547000,-127888000,-226682000,-189815000,-269262000,-403879000,-313239000,- -,- -,-196563000,-204120000,76021000
82,Other Non-Cash Items,- -,6004682,-11091522,-49802621,21923680,-31840353,-15705941,13652167,245386015,-86731929,-53539885,85445000,49317000,51080000,-89017000,12248000,50659000,69517000,10386000,173504000,114684000,161615000,262936000,-96788000,- -,- -,-99824000,109447000,1386000
83,Cash Provided by Operating Activities,- -,9607491,-3499005,3000058,-6993115,5331991,44852304,69822314,92644418,26202705,19260000,24502000,4670000,39705000,4132000,57446000,59903000,37297000,4548000,76304000,59299000,133942000,162805000,5424000,- -,- -,86539000,32559000,170574000
84,CAPEX,- -,-6605150,-16995169,-23500450,-24675706,-24748486,-28493065,-23542141,-15787708,-8053451,-18421000,-15552000,-13095000,-22648000,-20072000,-14395000,-6212000,-12500000,-23383000,-20335000,-19549000,-26416000,-23575000,-29432000,- -,- -,-18596000,-24310000,-22626000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000000,9000000,-47000000,-36000000,-58000000,-97000000,-7000000,31000000,-12000000,-68000000,-25000000,3000000,- -,- -,-5000000,-1816000,153739000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-15860702,- -,- -,- -,- -,- -,- -,- -,-163000,-717000,-4232000,-2198000,-2692000,-6312000,-7272000,-6363000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000,- -,- -
88,Other Investing Activites,- -,-45635581,-14195965,-58301114,-24975412,-118812854,-91883243,-57858718,-19876374,162141670,91648000,-12104000,839000,1473000,6158000,756000,-8056000,-31826000,-18567000,-20972000,-15421000,-23266000,-14722000,-21833000,- -,- -,4631000,-6471000,-11929000
89,Cash Used for Investing Activites,- -,-52240731,-31191134,-81801564,-49651119,-143561339,-120376308,-81400859,-51524784,154088220,73227000,-27656000,-67256000,-12175000,-60914000,-49639000,-66199000,-129543000,-29799000,7830000,-30113000,-97578000,-46994000,-25196000,- -,- -,115000,-8287000,141810000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184171000,-1496000,-35399000,-653000,-427009000,-656000,-703554000,-2525615000,- -,- -,-1303350000,-550135000,-1600737000
91,Common Stock Issued,- -,- -,3199091,18100346,- -,39939630,4606998,- -,700943,- -,3031000,3639000,31000,562000,4893000,- -,383000,206000,80000,- -,- -,- -,- -,- -,- -,- -,98620000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1798230,- -,- -,-8741166,-6469471,- -,-13662000,-12476000,- -,- -,-769000,-906000,-596000,-3480000,-4121000,-3327000,-13817000,-5414000,-2388000,-3350000,- -,- -,-601000,-21999000,-841000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9727000,-16436000,-22030000,-22047000,-37698000,-42313000,-32918000,- -,- -,-56000,- -,-204929000
94,Other Financing Activites,- -,43233709,22693549,93301784,28671773,110563358,82718193,35161691,-36720995,-180827754,-53312000,-25530000,52285000,-32159000,56805000,24416000,204421000,66898000,79175000,-5848000,473365000,28340000,558235000,2545990000,- -,- -,1193658000,498708000,1584322000
95,Cash Used/Provided by Financing Activities,- -,43233709,25892639,111402130,26873543,150502988,87325191,26420524,-42489523,-180827754,-63943000,-34367000,52316000,-31597000,60929000,23510000,20037000,52401000,23299000,-31858000,10492000,-15428000,-190020000,-15893000,- -,- -,-11729000,-73426000,-222185000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-1339546,2312309,282977,736767,5547000,-898000,697000,-125000,-328000,151000,-3146000,-422000,-264000,-23000,2010000,-1068000,5218000,2128000,- -,- -,1000,2978000,1353000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,10460643,17154288,-1086911,198937,34091000,-38419000,-9721000,-6332000,3819000,30921000,10595000,-40977000,-2853000,52234000,41677000,17760000,-51890000,-33537000,- -,- -,76060000,-46176000,91552000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,24378533,40700429,37249952,37867012,71879000,22673000,12923000,6591000,10410000,41331000,51926000,10949000,8096000,60330000,102007000,119767000,61458000,27921000,- -,- -,106933000,60757000,184009000
99,Cash at the Beginning of Period,- -,5504292,6198238,-2400046,28871576,-804829,13917890,23546141,38336863,37668076,37788000,61092000,22644000,12923000,6591000,10410000,41331000,51926000,10949000,8096000,60330000,102007000,113348000,61458000,- -,- -,30873000,106933000,92457000
100,Free Cash Flow,- -,3002341,-20494174,-20500392,-31668822,-19416495,16359239,46280173,76856711,18149254,839000,8950000,-8425000,17057000,-15940000,43051000,53691000,24797000,-18835000,55969000,39750000,107526000,139230000,-24008000,- -,- -,67943000,8249000,147948000
