,https://roic.ai/company/XELB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2454.6732,-0.5408,-0.9699,-0.7280,-0.0380,Infinity,-Infinity,0.2842,0.3260,0.1146,-0.0498,0.0929,0.0836,-0.3192,0.0307,-0.0821,-0.4393
25,EPS,-0.52,-0.52,-0.52,-0.52,-0.52,-26.03,-67.67,-130.14,-72.88,-5.21,1.16,-1.53,0.58,0.62,0.17,-0.09,0.16,0.15,-0.55,0.06,-0.18,-0.68
26,EPS Diluted,-0.52,-0.52,-0.52,-0.52,-0.52,-26.03,-67.67,-130.14,-72.88,-5.21,1.16,-1.53,0.58,0.57,0.16,-0.09,0.15,0.14,-0.55,0.06,-0.18,-0.68
27,Weighted Average Shares Outstanding,5369,10972,14974,14974,14974,60248,101304,130736,162549,186024,186438,186438,5810444,6936452,9193101,11698880,16151163,18625670,18502158,18280788,18857657,19117460
28,Weighted Average Shares Outstanding Diluted,5369,10972,14974,14974,14974,60248,101304,130736,162549,186024,186438,186438,5810444,7577561,9791493,12816674,17223240,19044749,18502158,18281638,18857657,19117460
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083220/000114420410008796/0001144204-10-008796-index.html,- -,https://www.sec.gov/Archives/edgar/data/1083220/000114420412018607/0001144204-12-018607-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420413015293/0001144204-13-015293-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420414022188/0001144204-14-022188-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000114420415020202/0001144204-15-020202-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000114420416088575/0001144204-16-088575-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420417016327/0001144204-17-016327-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420418018261/0001144204-18-018261-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000108322019000007/0001083220-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000155837020003885/0001558370-20-003885-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000155837021004669/0001558370-21-004669-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,313,149,67719,9540,13437,15224,1317510,55509,251256,2718000,3929000,7461000,8531000,16860000,14127000,10185000,8837000,4641000,4957000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,313,149,67719,9540,13437,15224,1317510,55509,251256,2718000,3929000,7461000,8531000,16860000,14127000,10185000,8837000,4641000,4957000
34,Net Receivables,- -,- -,- -,- -,- -,18284,2282257,2149680,1758821,3027795,- -,- -,2191000,3428000,3541000,3641000,7594000,6969000,8528000,11010000,10622000,8889000
35,Inventory,- -,- -,- -,- -,- -,72025,- -,- -,- -,- -,- -,- -,- -,- -,70000,- -,- -,- -,- -,1988000,899000,1216000
36,Other Current Assets,- -,- -,- -,- -,3899,70626,78119,5110,34012,151595,850000,- -,661000,329000,477000,1668000,655000,807000,592000,2040000,1404000,1085000
37,Total Current Assets,- -,- -,- -,313,4048,228654,2369916,2168227,1808057,4496900,905509,251256,5570000,7686000,11549000,13840000,25109000,21903000,19305000,23875000,17566000,16147000
38,PP&E,- -,- -,- -,- -,- -,171931,164984,197215,206329,132337,- -,- -,1323000,1113000,1153000,833000,871000,2600000,2376000,3202000,12916000,12035000
39,Goodwill,- -,- -,- -,- -,- -,- -,13982451,13982451,5704000,5704000,- -,- -,11096000,12371000,12371000,12371000,12371000,12371000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1099717,879702,659687,456564,- -,- -,46365000,45835000,45308000,97679000,112323000,111220000,110120000,108989000,111095000,93535000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,15082168,14862153,6363687,6160564,- -,- -,57461000,58206000,57679000,110050000,124694000,123591000,110120000,108989000,111095000,93535000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,411736,9994,55028,22929,22921,- -,- -,600000,799000,543000,1018000,1452000,3026000,3217000,1993000,1614000,1337000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,583667,15257146,15114396,6592945,6315822,- -,- -,59384000,60118000,59375000,111901000,127017000,129217000,115713000,114184000,125625000,106907000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,313,4048,812321,17627062,17282623,8401002,10812722,905509,251256,64954000,67804000,70924000,125741000,152126000,151120000,135018000,138059000,143191000,123054000
48,Accounts Payable,- -,- -,- -,- -,- -,281389,2988410,3435748,- -,- -,- -,72272,- -,1421000,1289000,3339000,3312000,1523000,1260000,5558000,4391000,4442000
49,Short-Term Debt,- -,- -,- -,- -,- -,782298,1111371,1849419,2101555,3777401,- -,- -,44000,1350000,565000,11416000,9168000,6427000,5559000,8275000,4002000,4901000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,18284,66019,- -,112000,1622227,- -,- -,- -,221000,491000,256000,597000,234000,16000,272000,- -,- -
52,Other Current Liabilities,- -,- -,- -,19298,29346,- -,380722,650342,4531651,5309600,452483,12000,1447000,144000,66000,2598000,60000,2185000,2270000,2011000,1444000,973000
53,Total Current Liabilities,- -,- -,- -,19298,29346,1081971,4546522,5935509,6745206,10709228,452483,84272,1491000,3136000,2411000,17609000,13137000,10369000,9105000,16116000,9837000,10316000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,612059,443430,940232,- -,- -,- -,19223000,17535000,24218000,39648000,31860000,25495000,19389000,11300000,16571000,13838000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,480000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9831000,10177000,8918000,8082000,6749000,6901000,6375000,8139000,7434000,3052000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,4087517,- -,- -,- -,- -,- -,17791000,11511000,- -,178000,297000,2181000,2455000,2622000,10897000,9593000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,4699576,443430,940232,- -,- -,- -,46845000,39703000,33136000,47908000,38906000,34577000,28219000,22061000,34902000,26483000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11466000,- -,- -,- -,- -,- -,- -,11525000,10570000
61,Total Liabilities,- -,- -,- -,19298,29346,1081971,9246098,6378939,7685438,10709228,452483,84272,48336000,42839000,35547000,65517000,52043000,44946000,37324000,38177000,44739000,36799000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,7795,7795,34652,62448,75024,96053,97053,97053,97053,6000,7000,10000,14000,18000,19000,18000,18000,19000,19000
64,Retained Earnings,- -,- -,- -,-65130,-71443,-1520825,-8302810,-25372819,-37183429,-38103721,-37887155,-38173197,-1292000,2992000,4524000,3492000,6066000,8801000,-1321000,-233000,-3659000,-16595000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-8211,-36478,-403934,-500844,-583362,- -,- -,-76000,-403000,-769000,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,38350,38350,1224734,16657804,36605413,38303784,38693524,38243128,38243128,17980000,22369000,31612000,56718000,93999000,97354000,98997000,100097000,101736000,102324000
67,Total Stockholders Equity,- -,- -,- -,-18985,-25298,-269650,8380964,10903684,715564,103494,453026,166984,16618000,24965000,35377000,60224000,100083000,106174000,97694000,99882000,98096000,85748000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,313,4048,812321,17627062,17282623,8401002,10812722,905509,251256,64954000,67804000,70924000,125741000,152126000,151120000,135018000,138059000,142835000,122547000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356000,507000
70,Total Liabilities & Equity,- -,- -,- -,313,4048,812321,17627062,17282623,8401002,10812722,905509,251256,64954000,67804000,70924000,125741000,152126000,151120000,135018000,138059000,143191000,123054000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083220/000114420410008796/0001144204-10-008796-index.html,- -,https://www.sec.gov/Archives/edgar/data/1083220/000114420412018607/0001144204-12-018607-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420413015293/0001144204-13-015293-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420414022188/0001144204-14-022188-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000114420415020202/0001144204-15-020202-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000114420416088575/0001144204-16-088575-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420417016327/0001144204-17-016327-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420418018261/0001144204-18-018261-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000108322019000007/0001083220-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000155837020003885/0001558370-20-003885-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000155837021004669/0001558370-21-004669-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1000,-7254,-7051,-9226,-6313,-1502260,-6781985,-17070009,-11810610,-920292,216566,-286042,3304000,4284000,1532000,-1032000,2574000,2737000,-10122000,1088000,-3426000,-12936000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,229332,1477240,3164135,316938,287422,- -,- -,422000,856000,893000,935000,1379000,1560000,1562000,1780000,3902000,5497000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190000,-928000,-1259000,-1031000,-394000,168000,-526000,1764000,-705000,-4382000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,268297,268222,132966,- -,530000,4623000,4810000,5151000,4640000,4727000,3184000,1788000,976000,850000
77,Change in Working Capital,- -,- -,- -,-18985,-6313,-828019,-1323289,-1590676,-1169867,-1275179,6665354,-286042,3912016,471000,4588000,-12907000,15741000,-438000,-1334000,-2441000,-30000,-1898000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,390859,-1268974,18584,- -,-2374000,-1262000,-127000,-103000,-3931000,625000,-1572000,-2653000,438000,691000
79,Inventory,- -,- -,- -,- -,- -,-72025,-176717,- -,- -,- -,- -,- -,- -,- -,-70000,-4000,- -,- -,- -,-1988000,1089000,-317000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-18985,-25298,-853317,-2176606,-3767282,-4937149,-6212328,453026,166984,4079000,4550000,9138000,-3769000,11972000,11534000,10200000,7759000,7729000,5831000
82,Other Non-Cash Items,- -,5353,4939,26095,-7151,1087135,3582085,14023619,12075461,3612453,-8004558,767831,-7705016,-6715000,-8181000,14751000,-20645000,-838000,11913000,2614000,2783000,16054000
83,Cash Provided by Operating Activities,-1000,-1901,-2112,-2116,-19777,-1013812,-3045949,-1472931,-319781,1972626,-989672,195747,273000,2591000,2383000,5867000,3295000,7916000,4677000,6593000,3500000,3185000
84,CAPEX,- -,- -,- -,- -,- -,-180142,-120845,-132667,-106024,-20762,- -,- -,- -,-117000,-412000,-31124000,-4131000,-2186000,-238000,-1476000,-1133000,-748000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-187000,- -,- -,- -,- -,- -,-10174000,- -,- -,-30878000,-3601000,-877000,- -,- -,-375000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,90,- -,- -,- -,5981,- -,- -,-1675000,- -,-97000,-433000,-1109000,274000,-30000,- -,-8830000,46000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-180052,-307845,-132667,-106024,-14781,- -,- -,-11991000,-117000,-509000,-31557000,-5240000,-2763000,-238000,-1476000,-10338000,-702000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1192408,-1907873,-3954893,- -,-4000,-556000,-15000000,-250000,-3256000,-5500000,-7177000,-5459000,-4742000,-2250000
91,Common Stock Issued,- -,1000,- -,- -,- -,250000,1000000,500000,450000,- -,- -,- -,4305000,- -,5000000,9294000,16107000,- -,- -,- -,1058000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-711000,-622000,-978000,-748000,-1429000,-1197000,-1033000,-174000,-190000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2147000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,454,1442,2000,2000,19613,993530,2295615,1109495,1170000,1252314,5000000,- -,12467000,4000,12280000,18694000,-1829000,-557000,-7000,- -,6127000,273000
95,Cash Used/Provided by Financing Activities,454,2442,2000,2000,19613,1243530,3295615,1609495,427592,-655559,1045107,- -,14621000,-1263000,1658000,26760000,10274000,-7486000,-8381000,-6492000,2269000,-2167000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,454,2442,-112,-116,-164,49666,-58179,3897,1787,1302286,55435,195747,2672000,1211000,3532000,1070000,8329000,-2333000,-3942000,-1375000,-4569000,316000
98,Cash at the End of Period,- -,541,429,313,149,67719,9540,13437,15224,1317510,55509,251256,2718000,3929000,7461000,8531000,16860000,15636000,11694000,10319000,5750000,6066000
99,Cash at the Beginning of Period,546,- -,541,429,313,18053,67719,9540,13437,15224,74,55509,46000,2718000,3929000,7461000,8531000,17969000,15636000,11694000,10319000,5750000
100,Free Cash Flow,-1000,-1901,-2112,-2116,-19777,-1193954,-3166794,-1605598,-425805,1951864,-989672,195747,131000,2474000,1971000,-25257000,-836000,5730000,4439000,5117000,2367000,2437000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083220/000114420410008796/0001144204-10-008796-index.html,- -,https://www.sec.gov/Archives/edgar/data/1083220/000114420412018607/0001144204-12-018607-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420413015293/0001144204-13-015293-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420414022188/0001144204-14-022188-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000114420415020202/0001144204-15-020202-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000114420416088575/0001144204-16-088575-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420417016327/0001144204-17-016327-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000114420418018261/0001144204-18-018261-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000108322019000007/0001083220-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1083220/000155837020003885/0001558370-20-003885-index.htm,https://www.sec.gov/Archives/edgar/data/1083220/000155837021004669/0001558370-21-004669-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
