,https://roic.ai/company/IHT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,1500000,1900000,1700000,1800000,1800000,1800000,1800000,-4500000,900000,643711,-7572351,-903365,-551785,2043072,1648507,363505,-3484712,-3391739,-2545281,438754,502776,3522132,4140415,3820938,2396994,1461233,2183500,1709853,1621501,757501,2041965,473005,4297606,3453319,-567744,-502679
16,EBITDA ratio,0.1402,0.2375,0.2656,0.4186,0.4500,0.4500,0.4000,-0.6429,0.1184,0.0976,-1.3945,-0.2307,-0.3880,0.2062,0.1727,0.0373,-0.1260,-0.1259,-0.1433,0.0192,0.0237,0.1616,0.1873,0.1874,0.1416,0.0928,0.1279,0.1142,0.1089,0.0516,0.5635,0.0358,0.3991,0.5598,-0.0864,-0.1196
17,Operating Income,9900000,7200000,5700000,3600000,3500000,3500000,3800000,400000,4400000,670945,-5582361,64718,-455427,2556550,1331091,-1357529,4231820,-1080639,64175,-221647,349349,1515068,2981795,274487,-247794,-1082293,75442,-123078,12888,-1171375,-1380000,-2088510,-3114807,-1305125,-1852809,-2812145
18,Operating Income ratio,0.9252,0.9000,0.8906,0.8372,0.8750,0.8750,0.8444,0.0571,0.5789,0.1018,-1.0281,0.0165,-0.3203,0.2580,0.1394,-0.1394,0.1530,-0.0401,0.0036,-0.0097,0.0164,0.0695,0.1349,0.0135,-0.0146,-0.0688,0.0044,-0.0082,0.0009,-0.0798,-0.3808,-0.1580,-0.2893,-0.2116,-0.2821,-0.6691
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,-3210648,- -,- -,- -,2861476,139,-1674189,-1817621,-1500840,-1547723,-1587463,-1523786,-952772,-816971,-870901,-320396,-729785,-576811,-272658,-420037,-84356
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2639829,349488,-159121,1164174,-1226353,-1795517,-2669756,-1448344,-1075850,-804083,-2042276,-1700396,-2818295,-3691618,-1577783,-2272846,-2896501
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1154,0.0164,-0.0073,0.0527,-0.0601,-0.1061,-0.1696,-0.0849,-0.0718,-0.0540,-0.1392,-0.4693,-0.2133,-0.3428,-0.2558,-0.3460,-0.6892
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000,-75175,-316164,192091,34692,-35828,27000,- -,- -,37148,198648,96963,-227569,341000,407727,-294402,-68661
23,Net Income,1500000,1900000,1700000,1800000,1800000,1800000,1800000,-4500000,1000000,670945,-7554351,-888365,-573509,-193071,-951811,-2594754,-3539402,-3445948,-2594317,240442,541578,-46430,1119160,-630526,-1061419,-2007691,-1078741,-1006145,-1021823,-2103637,432116,-2191972,1397601,1419701,-1741688,-1625610
24,Net Income ratio,0.1402,0.2375,0.2656,0.4186,0.4500,0.4500,0.4000,-0.6429,0.1316,0.1018,-1.3912,-0.2269,-0.4033,-0.0195,-0.0997,-0.2664,-0.1279,-0.1279,-0.1461,0.0105,0.0255,-0.0021,0.0506,-0.0309,-0.0627,-0.1275,-0.0632,-0.0672,-0.0686,-0.1434,0.1192,-0.1659,0.1298,0.2301,-0.2652,-0.3868
25,EPS,1.48,1.82,1.63,1.72,1.72,1.72,1.72,-4.45,0.94,0.66,-7.40,-0.87,-0.56,-0.10,-0.40,-1.12,-1.66,-1.67,-1.27,0.10,0.06,-0.01,0.12,-0.07,-0.12,-0.23,-0.13,-0.12,-0.12,-0.25,0.04,-0.27,0.71,1.20,-0.21,-0.31
26,EPS Diluted,1.48,1.82,1.63,1.72,1.72,1.72,1.72,-4.45,0.94,0.66,-7.40,-0.87,-0.56,-0.10,-0.40,-1.12,-1.66,-1.67,-1.27,0.10,0.02,-0.01,0.07,-0.07,-0.12,-0.23,-0.13,-0.12,-0.12,-0.25,0.03,-0.27,0.52,0.89,-0.21,-0.31
27,Weighted Average Shares Outstanding,1013514,1043956,1042945,1046512,1046512,1046512,1046512,1011236,1063830,1016583,1020858,1021109,1022359,1921902,2376770,2316972,2137203,2068508,2035200,2424837,9096338,9251420,9185474,9069760,8825931,8577558,8511730,8415542,8368416,8313093,8269827,9682668,9612139,9283081,9324530,9158361
28,Weighted Average Shares Outstanding Diluted,1013514,1043956,1042945,1046512,1046512,1046512,1046512,1011236,1063830,1016583,1020858,1021109,1052632,1921902,2376770,2458366,8966252,8909204,8496760,8005450,13341783,9251420,13111541,9069760,8825931,8577558,8511730,8415542,8368416,8313093,11953896,13366737,13085223,12436556,9324530,9158361
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82473/000095015296001927/0000950152-96-001927-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82473/000110465902001617/j3797_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465903007875/j0040_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465904012098/a04-5164_110k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465905023903/a05-7650_110k.htm,https://www.sec.gov/Archives/edgar/data/82473/000008247306000015/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000114036107008838/0001140361-07-008838-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247308000004/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000008247309000002/0000082473-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247310000002/0000082473-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247311000002/0000082473-11-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247312000004/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000143774913005054/0001437749-13-005054-index.html,https://www.sec.gov/Archives/edgar/data/82473/000143774914007348/0001437749-14-007348-index.html,https://www.sec.gov/Archives/edgar/data/82473/000143774915008493/0001437749-15-008493-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315216009294/0001493152-16-009294-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315217004575/0001493152-17-004575-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315218007218/form10-k.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315219009454/form10-k.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315220015642/0001493152-20-015642-index.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315221011629/0001493152-21-011629-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16285,531997,2378398,420935,208109,415390,426264,88519,- -,1343,34251,202691,299698,1141520,406385,494844,983424,493953,395903,507686,1795666,568396,4776453,749075,1200528,1702755
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000330,1896556,600000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16285,531997,2378398,420935,208109,415390,426264,88519,- -,1343,34251,202691,299698,1141520,406385,494844,983424,493953,395903,507686,1795666,568396,5776783,2645631,1800528,1702755
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720671,285004,- -,1874648,618063,898795,965875,596665,906124,969751,531961,752232,663278,510942,439167,661024,619916,678608,769919,504794,1032103,777707,2125260,2142307,2029047,281407
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36956,-17001,21602,4417,-26172,-14185,907861,1314816,1193876,1128906,721123,613920,628933,674029,576958,580217,379174,171760,373043,120791,498153,118864,164278,358190,-579946,108371
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,800000,2400000,2300000,800000,1300000,2300000,2000000,2100000,2100000,1287335,1568843,1591909,2326491,1422510,1736085,1982514,1344321,1538865,1133271,3325922,1464967,8066321,5146128,3249629,2092533
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6396364,5599122,41241241,65509187,64479347,62591376,61855953,59488265,45818691,34311374,30215391,29654942,29613974,27960421,26900015,26057150,25291125,- -,- -,- -,- -,- -,- -,- -,2329170,2278111
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,500000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,433000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,933000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,30000000,30000000,30000000,28000000,27000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,60000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17458966,878,-41241,-9187,20653,8624,-55953,6314,42903,-33955853,-29809368,-29844768,-29871395,-27850108,-26848209,141863,108619,24937641,23869638,25894538,19614767,19774865,15011751,12053625,10816655,10962464
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23855330,5600000,41200000,65500000,64500000,62600000,61800000,59494579,45861594,34355521,30665023,29810174,29742579,28110313,27051806,26199013,25399744,24937641,23869638,25894538,20614767,20707865,15011751,12053625,13745825,13300575
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24555330,6400000,43600000,67800000,65300000,63900000,64100000,61494579,47961594,36455521,31952358,31379017,31334488,30436804,28474316,27935098,27382258,26281962,25408503,27027809,23940689,22172832,23078072,17199753,16995454,15393108
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1699601,2013782,- -,6840298,- -,- -,- -,- -,- -,- -,4153560,- -,378143,- -,- -,757086,954776,1019064,- -,1025749,- -,- -,421281,136648
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,3325000,2647250,- -,500000,1929812,1816813,1825207,851994,1101712,8387698,2503939,1848164,13184864,7563761,1103132,2241600,1754309,1671213,1346004,302409
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396689,- -,- -,587972,641017,569912,- -,374305,- -,- -,562211,1257594
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181093,68912,133452,- -,144978,- -,- -,59194,19371
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,3200000,1700399,11186218,15400000,12559702,3675000,3952750,3300000,3500000,2594733,2970080,-1745473,1769735,1468312,2093228,2414763,1360318,1197950,1494324,2546341,993173,2298152,1638803,904496,1697583
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,3200000,3400000,15500000,15400000,19400000,7000000,6600000,3300000,4000000,4524545,4786893,4233294,2621729,2948167,10480926,4918702,4146661,15406502,10210601,3649473,4405500,4052461,3310016,2730975,2156011
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10795000,2300000,20729279,34911052,35776662,37685002,43939466,46176311,38827233,24349370,19321753,19120231,18936782,21304347,21561258,14173571,19317969,18909016,7099589,13851981,4976840,14142083,10906642,5141223,6018310,10727525
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7705000,- -,13870721,9288948,5523338,1814998,11660534,9923689,7372767,1850630,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8343647,- -,- -,- -,2328360,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18500000,2300000,34600000,44200000,41300000,39500000,55600000,56100000,46200000,26200000,19321753,19120231,18936782,21304347,21561258,14173571,19317969,18909016,7099589,13851981,13320487,14142083,10906642,5141223,8346670,10727525
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37007511,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2528263,2449257
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20007511,3164903,23945145,39113543,39884830,45776537,50890569,52726835,42173104,28312063,23846298,23907124,23170076,23926076,24509425,24654497,24236671,23055677,22506091,24062582,16969960,18547583,14959103,8451239,11077645,12883536
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4547819,3251220,5598971,8069327,9093020,6532348,3101878,626122,258365,16568246,17155106,17030891,18010184,- -,- -,- -,- -,14940048,14024668,13812470,18769849,16794132,22333905,23738260,21837048,20027402
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13715539,-15431435,-16803308,-392349,- -,- -,- -,- -,- -,- -,- -,- -,-188070
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14075523,20621900,16327669,11596676,10153730,-1876304,-1831964,-10303612,-10437178,-10489190,-10606991,20226267,19396326,20083909,3537936,-11877886,-11973459,-12193491,-12285915,-12362952,-12662996,-13517833,-13689533,-13748902
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4547819,3251220,19674494,28691227,25420689,18129024,13255608,-1250182,-1573599,6264634,6717928,6541701,7403193,6383688,4534540,3956551,2963686,3062162,2051209,1618979,6483934,4431180,9670909,10220427,8147515,6090430
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24555330,6416123,43619639,67804770,65305519,63905561,64146177,51476653,40599505,34576697,30564226,30448825,30573269,30309764,29043965,28611048,27200357,26117839,24557300,25681561,23453894,22978763,24630012,18671666,19225160,18973966
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16123,-19639,-4770,-5519,-5561,-46177,10017926,7362089,1878824,1388132,930192,761219,127040,-569649,-675950,181901,164123,851203,1346248,486795,-805931,-1551940,-1471913,-2229706,-3580858
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24555330,6400000,43600000,67800000,65300000,63900000,64100000,61494579,47961594,36455521,31952358,31379017,31334488,30436804,28474316,27935098,27382258,26281962,25408503,27027809,23940689,22172832,23078072,17199753,16995454,15393108
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/82473/000095015296001927/0000950152-96-001927-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82473/000110465902001617/j3797_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465903007875/j0040_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465904012098/a04-5164_110k.htm,https://www.sec.gov/Archives/edgar/data/82473/000110465905023903/a05-7650_110k.htm,https://www.sec.gov/Archives/edgar/data/82473/000008247306000015/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000114036107008838/0001140361-07-008838-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247308000004/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000008247309000002/0000082473-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247310000002/0000082473-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247311000002/0000082473-11-000002-index.html,https://www.sec.gov/Archives/edgar/data/82473/000008247312000004/current_10k.htm,https://www.sec.gov/Archives/edgar/data/82473/000143774913005054/0001437749-13-005054-index.html,https://www.sec.gov/Archives/edgar/data/82473/000143774914007348/0001437749-14-007348-index.html,https://www.sec.gov/Archives/edgar/data/82473/000143774915008493/0001437749-15-008493-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315216009294/0001493152-16-009294-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315217004575/0001493152-17-004575-index.html,https://www.sec.gov/Archives/edgar/data/82473/000149315218007218/form10-k.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315219009454/form10-k.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315220015642/0001493152-20-015642-index.htm,https://www.sec.gov/Archives/edgar/data/82473/000149315221011629/0001493152-21-011629-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,1800000,1800000,-4500000,1000000,670945,-7554351,-888365,-573509,-193071,-951811,-2594754,-3539402,-3445948,-2594317,240442,541578,-46430,1119160,-630526,-1061419,-2007691,-1078741,-1006145,-1021823,-2103637,432116,-2191972,1397601,1419701,-1741688,-1625610
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-27234,-18000,-15000,21724,2236143,2600318,2958259,54690,54209,49036,38312,36373,2068355,1009978,2913328,1934227,1853164,1734734,1754289,1783595,1782421,1178074,2161401,1902195,1244581,901664,830916
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89000,259000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46080,39240,23400,48600,51840,39600,30960,36666,65280,97265,86683,32400,32400,28800
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-1600000,1400000,-12200000,-1400000,-3500000,13400000,100000,3400000,-700000,-1337210,19160,576665,2346147,-1230419,-7219184,5808653,133848,-11065297,4790307,8753779,-2616982,6954393,-2177748,-1317458,-582132
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,-2400000,-743084,-2804301,-254747,-67843,-381589,-298033,134808,-348913,101999,121761,21339,-206516,43945,- -,- -,- -,- -,- -,- -,- -,-348284,524669
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,- -,- -,-1100000,-1050540,113069,-72487,1058596,-224509,152150,-59451,404507,-561721,- -,- -,- -,- -,124436,-76859,425202,-140382,-26489,133919,-749519,-108448,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-2400000,-1000000,-13200000,-14600000,-18100000,-4700000,-4600000,-1200000,-1900000,-3237210,-3218050,-2641385,-295238,-1525657,-8744841,-2936188,-2802340,-13867637,-9077330,-323551,-2940533,4013860,1836112,518654,-63478
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-1400000,-1100000,5400000,300000,-141041,9432606,2632007,-1812994,9315569,551841,3945996,-10149771,4422113,-767035,1081671,1726145,-285482,-1148362,-3481279,783081,6646400,-5580439,-53444,10992309,-3905834,-11033109,1679322,-11891931,-2318355,1172315,540628
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,400000,700000,900000,1200000,502670,1060255,128642,-964779,-841359,800348,809501,-234483,1130374,87684,660425,877886,2014603,1603521,1186910,448870,-678711,936047,868148,719744,599923,-603860,-870966,-1551059,-1799421,-952767,-807398
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,-3725890,-1516543,-2689744,-2378463,-1684244,-1863893,-1308008,-1272259,-1496715,-978039,-1292668,-876273,-1146520,-969963,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-525000,-11531,- -,12150503,9377138,1190192,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-253593,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12241506,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-896226,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12150503,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
