,https://roic.ai/company/ASIX,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,823048000,840986000,904957000,1050274000,1034626000,1235969000,1263407000,1311999000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1673985/000093041317000896/0000930413-17-000896-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398518000014/0001673985-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398519000010/0001673985-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398520000009/0001673985-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398521000011/0001673985-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1673985/000167398522000010/0001673985-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,118746000,83858000,63776000,34147000,146699000,66244000,41347000,46077000,139791000
74,Depreciation and Amortization,37234000,33608000,36410000,40329000,48455000,53233000,56826000,60832000,65340000
75,Deferred Income Tax,6874000,16958000,9913000,11534000,-7513000,9558000,8442000,17611000,4702000
76,Stock Based Compensation,- -,- -,- -,1327000,7742000,10131000,8349000,4902000,11299000
77,Change in Working Capital,-44171000,40303000,-2953000,-30605000,82419000,-64640000,-27528000,47655000,-4671000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-18990000,-53772000
79,Inventory,-20955000,-27034000,5021000,21253000,-230000,-7974000,-35567000,-8375000,31227000
80,Accounts Payable,5096000,43346000,-38689000,23932000,8172000,69000,-20333000,-1337000,25393000
81,Other Working Capital,1815000,42118000,39165000,8560000,90979000,26339000,-1189000,46466000,-33515000
82,Other Non-Cash Items,1312000,13697000,-5610000,57008000,-143195000,98859000,32949000,-65230000,2388000
83,Cash Provided by Operating Activities,119995000,188424000,101536000,113740000,134607000,173385000,120385000,111847000,218849000
84,CAPEX,-73912000,-101382000,-97144000,-84009000,-86438000,-109215000,-150322000,-82918000,-56811000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-9523000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-426000,-818000,-1086000,-2372000,-6809000,-2976000,-2803000,-1185000,-58039000
89,Cash Used for Investing Activites,-74338000,-102200000,-98230000,-86381000,-93247000,-112191000,-153125000,-84103000,-67562000
90,Debt Repayment,- -,- -,- -,-61540000,-308627000,-411933000,-327089000,-386710000,-316735000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,17000,2000,554000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-38524000,-62196000,-1055000,-652000
93,Dividends Paid,- -,- -,- -,-269347000,- -,- -,- -,- -,-3518000
94,Other Financing Activites,-45657000,-86224000,-3306000,317727000,308500000,343639000,419250000,363575000,173558000
95,Cash Used/Provided by Financing Activities,-45657000,-86224000,-3306000,-13160000,-127000,-106818000,29982000,-24188000,-146793000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,41233000,-45624000,-2758000,3556000,4494000
98,Cash at the End of Period,- -,- -,- -,14199000,55432000,9808000,7050000,10606000,15100000
99,Cash at the Beginning of Period,- -,- -,- -,- -,14199000,55432000,9808000,7050000,10606000
100,Free Cash Flow,46083000,87042000,4392000,29731000,48169000,64170000,-29937000,28929000,162038000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1673985/000093041317000896/0000930413-17-000896-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398518000014/0001673985-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398519000010/0001673985-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398520000009/0001673985-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398521000011/0001673985-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1673985/000167398522000010/0001673985-22-000010-index.htm
102,false,,,,,,,,,
