,https://roic.ai/company/YNDX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,912000000,1181000000,1874000000,2951000000,3695000000,4484000000,7791000000,9607000000,11239000000,12137000000,23972000000,27330000000,35334000000
15,EBITDA,3594000000,6184000000,9192000000,13525000000,20408000000,26959000000,21387000000,20729000000,25838000000,69272000000,48528000000,68270000000,31806000000
16,EBITDA ratio,0.4117,0.4947,0.4588,0.4702,0.5166,0.5310,0.3577,0.2730,0.2747,0.5426,0.2767,0.3127,0.0893
17,Operating Income,2638000000,4823000000,7034000000,9454000000,12837000000,15323000000,9593000000,12847000000,13036000000,20861000000,24700000000,16249000000,-13277000000
18,Operating Income ratio,0.3022,0.3858,0.3511,0.3286,0.3250,0.3018,0.1604,0.1692,0.1386,0.1634,0.1408,0.0744,-0.0373
19,Total Other Income Expenses (Gains),44000000,180000000,284000000,1120000000,3876000000,7152000000,4003000000,-1740000000,546000000,33603000000,-1845000000,20955000000,6054000000
20,Income Before Tax,2682000000,5003000000,7318000000,10574000000,16713000000,22475000000,13596000000,11107000000,13582000000,54464000000,22855000000,37204000000,-7223000000
21,Income Before Tax Ratio,0.3073,0.4002,0.3653,0.3676,0.4231,0.4427,0.2274,0.1463,0.1444,0.4266,0.1303,0.1704,-0.0203
22,Income Tax expense (Gain),672000000,1186000000,1545000000,2351000000,3239000000,5455000000,3917000000,4324000000,4926000000,8603000000,11656000000,13055000000,7430000000
23,Net Income,2010000000,3817000000,5773000000,8223000000,13474000000,17020000000,9679000000,6798000000,8776000000,47587000000,12826000000,25512000000,-14669000000
24,Net Income ratio,0.2303,0.3054,0.2882,0.2858,0.3411,0.3353,0.1619,0.0895,0.0933,0.3728,0.0731,0.1168,-0.0412
25,EPS,6.63,12.56,18.30,25.21,41.25,53.30,30.39,21.19,27.02,145.67,39.21,74.87,-43.05
26,EPS Diluted,6.52,12.37,17.59,24.50,40.27,52.27,29.90,20.84,26.49,141.98,38.21,72.03,-41.51
27,Weighted Average Shares Outstanding,303109083,303817388,315541639,326210948,326657778,319336782,318541887,320788967,324747888,326667118,327127314,340764574,340764574
28,Weighted Average Shares Outstanding Diluted,308156196,308580600,328155087,335690596,334571212,325610277,323713437,326136949,331243961,335162062,335428137,353382841,353382841
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1513845/000104746912002052/0001047469-12-002052-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000104746913002533/0001047469-13-002533-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000104746914003438/a2219180z20-f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000104746915004230/a2224497z20-f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000104746916011404/0001047469-16-011404-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384517000004/0001513845-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384518000013/0001513845-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384519000009/yndx-20181231x20f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000155837020003551/0001558370-20-003551-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4302000000,6732000000,11491000000,7425000000,33394000000,17645000000,24238000000,28232000000,42662000000,68798000000,56415000000,132398000000,79275000000
32,Short-Term Investments,- -,- -,- -,4705000000,87000000,8987000000,18065000000,34802000000,23040000000,- -,31891000000,105787000000,27916000000
33,Cash and Short-Term Investments,4302000000,6732000000,11491000000,12130000000,33481000000,26632000000,42303000000,63034000000,65702000000,68798000000,88306000000,238185000000,107191000000
34,Net Receivables,408000000,847000000,1424000000,2912000000,3993000000,6585000000,8129000000,9968000000,13054000000,20377000000,25686000000,38319000000,63246000000
35,Inventory,- -,- -,- -,8000000,- -,- -,- -,- -,- -,265000000,808000000,4810000000,9587000000
36,Other Current Assets,814000000,616000000,1590000000,3141000000,1409000000,2590000000,2797000000,1968000000,2000000000,2980000000,5484000000,9087000000,19951000000
37,Total Current Assets,5524000000,8195000000,14505000000,18191000000,38883000000,35807000000,53229000000,74970000000,80756000000,92420000000,120284000000,290401000000,199975000000
38,PP&E,1931000000,2983000000,6973000000,8095000000,9729000000,17107000000,20860000000,18817000000,21171000000,39740000000,69074000000,82572000000,134570000000
39,Goodwill,597000000,662000000,1132000000,750000000,2915000000,8920000000,8581000000,8436000000,9328000000,52662000000,52205000000,104275000000,117864000000
40,Intangible Assets,63000000,129000000,486000000,323000000,664000000,2425000000,5988000000,5514000000,5023000000,11545000000,10365000000,21842000000,22359000000
41,Intangible Assets,660000000,791000000,1618000000,1073000000,3579000000,11345000000,14569000000,13950000000,14351000000,64207000000,62570000000,126117000000,140223000000
42,Investments,- -,92000000,7302000000,15679000000,16432000000,26534000000,19521000000,1513000000,7006000000,36484000000,28073000000,1135000000,10215000000
43,Tax Assets,10000000,16000000,11000000,35000000,3000000,4000000,226000000,662000000,2171000000,3239000000,1847000000,1639000000,5625000000
44,Other Non-Current Assets,321000000,540000000,3667000000,1212000000,2685000000,4127000000,3413000000,4196000000,5089000000,5608000000,9278000000,13748000000,24888000000
45,Total Non-Current Assets,2922000000,4422000000,19571000000,26094000000,32428000000,59117000000,58589000000,39138000000,49788000000,149278000000,170842000000,225211000000,315521000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8446000000,12617000000,34076000000,44285000000,71311000000,94924000000,111818000000,114108000000,130544000000,241698000000,291126000000,515612000000,515496000000
48,Accounts Payable,528000000,979000000,2638000000,2081000000,3298000000,4449000000,6015000000,7852000000,9202000000,15213000000,21916000000,30647000000,84495000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,17834000000,- -,10603000000,8941000000,- -
50,Tax Payable,374000000,582000000,916000000,1455000000,1688000000,2930000000,2800000000,2963000000,4213000000,4059000000,8020000000,11440000000,16196000000
51,Deferred Revenue,385000000,550000000,900000000,1092000000,1501000000,1808000000,1875000000,2127000000,2464000000,2792000000,3542000000,6645000000,10415000000
52,Other Current Liabilities,937000000,1408000000,1174000000,3509000000,2116000000,3539000000,3779000000,4643000000,6122000000,5732000000,10479000000,15486000000,16196000000
53,Total Current Liabilities,1850000000,2937000000,4712000000,6682000000,6915000000,9796000000,11669000000,14622000000,35622000000,23737000000,46540000000,61719000000,111106000000
54,Long-Term Debt,- -,- -,- -,- -,16429000000,26325000000,27374000000,18750000000,- -,- -,10841000000,96107000000,125827000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,47000000,50000000,189000000,448000000,1245000000,1587000000,1552000000,1040000000,959000000,1572000000,1951000000,3838000000,2989000000
57,Other Non-Current Liabilities,13000000,15000000,222000000,108000000,125000000,1480000000,1126000000,2610000000,11137000000,13604000000,16605000000,7856000000,3518000000
58,Total Non-Current Liabilities,60000000,65000000,411000000,556000000,17799000000,29392000000,30052000000,22400000000,12096000000,15176000000,29397000000,107801000000,132334000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21444000000,21771000000,39992000000
61,Total Liabilities,1910000000,3002000000,5123000000,7238000000,24714000000,39188000000,41721000000,37022000000,47718000000,38913000000,75937000000,169520000000,243440000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,981000000,972000000,595000000,445000000,242000000,182000000,75000000,284000000,271000000,263000000,261000000,278000000,281000000
64,Retained Earnings,5122000000,8028000000,13801000000,22024000000,35498000000,52518000000,62197000000,67695000000,68036000000,112644000000,122187000000,146988000000,131488000000
65,Other Comprehensive Income/Loss,137000000,148000000,1828000000,961000000,2042000000,1023000000,3099000000,896000000,1864000000,8182000000,4841000000,17976000000,16193000000
66,Other Total Stockholders Equity,296000000,467000000,12729000000,13617000000,8815000000,2013000000,4726000000,8211000000,12655000000,58960000000,67639000000,160756000000,110214000000
67,Total Stockholders Equity,6536000000,9615000000,28953000000,37047000000,46597000000,55736000000,70097000000,77086000000,82826000000,180049000000,194928000000,325998000000,258176000000
68,Total Liabilities And Stockholders Equity,8446000000,12617000000,34076000000,44285000000,71311000000,94924000000,111818000000,114108000000,130544000000,218962000000,270865000000,495518000000,501616000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,22736000000,20261000000,20094000000,13880000000
70,Total Liabilities & Equity,8446000000,12617000000,34076000000,44285000000,71311000000,94924000000,111818000000,114108000000,130544000000,241698000000,291126000000,515612000000,515496000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1513845/000104746912002052/0001047469-12-002052-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000104746913002533/0001047469-13-002533-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000104746914003438/a2219180z20-f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000104746915004230/a2224497z20-f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000104746916011404/0001047469-16-011404-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384517000004/0001513845-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384518000013/0001513845-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384519000009/yndx-20181231x20f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000155837020003551/0001558370-20-003551-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,2010000000,3817000000,5773000000,8223000000,13474000000,17020000000,9679000000,6798000000,8776000000,47587000000,12826000000,25512000000,-14669000000
74,Depreciation and Amortization,912000000,1181000000,1874000000,2951000000,3695000000,4484000000,7791000000,9607000000,11239000000,12137000000,23972000000,27330000000,35334000000
75,Deferred Income Tax,-37000000,2000000,-169000000,72000000,-197000000,115000000,-188000000,-864000000,-1513000000,-1862000000,1845000000,685000000,-5163000000
76,Stock Based Compensation,209000000,160000000,286000000,376000000,754000000,1210000000,2718000000,3422000000,4193000000,6552000000,9855000000,15728000000,20829000000
77,Change in Working Capital,29000000,814000000,91000000,33000000,-741000000,-1731000000,329000000,2006000000,-978000000,-3937000000,-9956000000,-21244000000,-28754000000
78,Accounts Receivable,-108000000,-437000000,-434000000,-526000000,-966000000,-714000000,-1763000000,-2385000000,-1996000000,-4705000000,-3469000000,-6333000000,-18011000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1501000000,-4756000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22835000000
81,Other Working Capital,56000000,166000000,- -,195000000,401000000,235000000,44000000,298000000,321000000,479000000,786000000,2617000000,3612000000
82,Other Non-Cash Items,64000000,-11000000,-61000000,-126000000,-2280000000,-5552000000,-753000000,4480000000,2055000000,-32265000000,5837000000,-15407000000,1716000000
83,Cash Provided by Operating Activities,3187000000,5963000000,7794000000,11529000000,14705000000,15546000000,19576000000,25449000000,23772000000,28212000000,44379000000,32604000000,9293000000
84,CAPEX,-987000000,-2199000000,-5566000000,-3984000000,-4936000000,-9679000000,-13045000000,-9625000000,-12389000000,-28323000000,-20543000000,-24551000000,-44621000000
85,Acquisitions Net,-232000000,-235000000,-735000000,- -,-2438000000,-6360000000,-398000000,- -,-918000000,19844000000,-347000000,-33798000000,-8236000000
86,Purchases of Investments,- -,- -,-20545000000,-16632000000,-11464000000,-19748000000,-44434000000,-74080000000,-70273000000,-55747000000,-91047000000,-364909000000,-277998000000
87,Sales/Maturities of Investments,- -,- -,- -,10207000000,18282000000,7929000000,46108000000,70972000000,75885000000,92503000000,62579000000,303286000000,352581000000
88,Other Investing Activites,-1709000000,-1632000000,9052000000,219000000,-154000000,-731000000,93000000,-373000000,-93000000,-2318000000,222000000,25000000,268000000
89,Cash Used for Investing Activites,-2928000000,-4066000000,-17794000000,-10190000000,-710000000,-28589000000,-11676000000,-13106000000,-7788000000,25959000000,-49136000000,-119947000000,21994000000
90,Debt Repayment,- -,- -,- -,- -,- -,-6414000000,-6096000000,-5397000000,-668000000,-21281000000,-240000000,-374000000,-1135000000
91,Common Stock Issued,1000000,- -,11403000000,- -,- -,- -,- -,- -,- -,- -,- -,72650000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-8518000000,-8423000000,- -,- -,-77000000,-10085000000,-1422000000,-10165000000,-6966000000
93,Dividends Paid,-160000000,-906000000,- -,- -,- -,- -,29000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-73000000,-1000000,195000000,361000000,19979000000,3130000000,44000000,376000000,158000000,-1438000000,-732000000,77565000000,-76744000000
95,Cash Used/Provided by Financing Activities,-232000000,-907000000,11598000000,361000000,11461000000,-11707000000,-6023000000,-5021000000,-587000000,-32804000000,-2394000000,139676000000,-84845000000
96,Effect of Forex Changes on Cash,120000000,-24000000,1353000000,-205000000,513000000,9001000000,4716000000,-3328000000,-976000000,4288000000,-5282000000,23660000000,511000000
97,Net Change In Cash,147000000,966000000,2951000000,1495000000,25969000000,-15749000000,6593000000,3994000000,14421000000,25655000000,-12433000000,75993000000,-53047000000
98,Cash at the End of Period,2405000000,3371000000,6322000000,7425000000,33394000000,17645000000,24238000000,28232000000,43231000000,68886000000,56453000000,132446000000,79399000000
99,Cash at the Beginning of Period,2258000000,2405000000,3371000000,5930000000,7425000000,33394000000,17645000000,24238000000,28810000000,43231000000,68886000000,56453000000,132446000000
100,Free Cash Flow,2200000000,3764000000,2228000000,7545000000,9769000000,5867000000,6531000000,15824000000,11383000000,-111000000,23836000000,8053000000,-35328000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1513845/000104746912002052/0001047469-12-002052-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000104746913002533/0001047469-13-002533-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000104746914003438/a2219180z20-f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000104746915004230/a2224497z20-f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000104746916011404/0001047469-16-011404-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384517000004/0001513845-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384518000013/0001513845-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1513845/000151384519000009/yndx-20181231x20f.htm,https://www.sec.gov/Archives/edgar/data/1513845/000155837020003551/0001558370-20-003551-index.htm,- -,- -
102,Forex Rate,0.033,0.0327,0.031,0.0327,0.0304,0.0172,0.0137,0.0163,0.01734,0.01434,0.01614,0.01347,0.01333
