,https://roic.ai/company/ALLE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,96028568,96028568,96100000,97200000,96900000,96900000,96000000,95700000,94300000,92800000,92800000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000007/0001579241-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/0001579241-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924116000056/0001579241-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924117000009/0001579241-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924118000007/0001579241-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924119000006/0001579241-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924120000013/0001579241-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924121000020/0001579241-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924122000019/0001579241-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,317500000,227400000,290500000,199700000,312400000,466200000,283800000,355300000,480400000,397900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,317500000,227400000,290500000,199700000,312400000,466200000,283800000,355300000,480400000,397900000
34,Net Receivables,- -,381900000,260000000,230400000,303400000,260000000,296600000,324900000,329800000,347600000,312400000
35,Inventory,- -,166400000,346300000,169300000,204100000,220600000,239800000,280300000,269900000,283100000,380400000
36,Other Current Assets,- -,44100000,113100000,311500000,27900000,36300000,30100000,42600000,46800000,33900000,26900000
37,Total Current Assets,- -,909900000,946800000,1001700000,735100000,829300000,1032700000,931600000,1001800000,1145000000,1117600000
38,PP&E,- -,232000000,203000000,211000000,224000000,226000000,252000000,276000000,291000000,294900000,283700000
39,Goodwill,- -,637900000,504900000,484400000,714100000,716800000,761200000,883000000,873300000,819000000,803800000
40,Intangible Assets,- -,150500000,146100000,125400000,372400000,357400000,394300000,547100000,510900000,487100000,448400000
41,Intangible Assets,- -,788400000,651000000,609800000,1086500000,1074200000,1155500000,1430100000,1384200000,1306100000,1252200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,86700000,86700000,- -,118700000,123600000,115900000,107800000,126700000,154500000
44,Other Non-Current Assets,- -,53500000,113100000,106700000,217400000,-800000,-21800000,56600000,182400000,196700000,243900000
45,Total Non-Current Assets,- -,1073900000,1053800000,1014200000,1527900000,1418100000,1509300000,1878600000,1965400000,1924400000,1934300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1983800000,2000600000,2015900000,2263000000,2247400000,2542000000,2810200000,2967200000,3069400000,3051000000
48,Accounts Payable,- -,227200000,211300000,175600000,175100000,179900000,188300000,235000000,221000000,220400000,259100000
49,Short-Term Debt,- -,2200000,71900000,49600000,65600000,48200000,35000000,35300000,100000,200000,12600000
50,Tax Payable,- -,- -,- -,- -,- -,2700000,18200000,20200000,12800000,18200000,11900000
51,Deferred Revenue,- -,- -,86000000,58000000,120000000,72000000,35000000,84000000,112000000,- -,- -
52,Other Current Liabilities,- -,153300000,121300000,249300000,86400000,129500000,202500000,166500000,173900000,300900000,329500000
53,Total Current Liabilities,- -,382700000,490500000,532500000,447100000,429600000,460800000,520800000,507000000,521500000,601200000
54,Long-Term Debt,- -,2800000,1272000000,1215000000,1457500000,1415600000,1442300000,1409500000,1427600000,1429400000,1429500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,92000000,86000000,36300000,9100000,2700000,35400000,84600000,107800000,105700000,100800000
57,Other Non-Current Liabilities,- -,140100000,218200000,236900000,323700000,286200000,201900000,144300000,167400000,180200000,157100000
58,Total Non-Current Liabilities,- -,234900000,1576200000,1488200000,1790300000,1704500000,1679600000,1638400000,1702800000,1715300000,1687400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,617600000,2066700000,2020700000,2237400000,2134100000,2140400000,2159200000,2209800000,2236800000,2288600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000000,1000000,1000000,1000000,1000000,900000,900000,900000,900000
64,Retained Earnings,- -,- -,1100000,142400000,232400000,376600000,544400000,873600000,975100000,985600000,952600000
65,Other Comprehensive Income/Loss,- -,-7700000,-96600000,-148200000,-232200000,-264300000,-152900000,-223500000,-218600000,-157100000,-194400000
66,Other Total Stockholders Equity,- -,1374200000,7700000,- -,24400000,- -,9100000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,1343200000,-86800000,-4800000,25600000,113300000,401600000,651000000,757400000,829400000,759100000
68,Total Liabilities And Stockholders Equity,- -,1960800000,1979900000,2015900000,2263000000,2247400000,2542000000,2810200000,2967200000,3066200000,3047700000
69,Minority Interest,- -,23000000,20700000,- -,- -,- -,- -,- -,- -,3200000,3300000
70,Total Liabilities & Equity,- -,1983800000,2000600000,2015900000,2263000000,2247400000,2542000000,2810200000,2967200000,3069400000,3051000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000007/0001579241-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/0001579241-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924116000056/0001579241-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924117000009/0001579241-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924118000007/0001579241-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924119000006/0001579241-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924120000013/0001579241-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924121000020/0001579241-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924122000019/0001579241-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,218100000,220100000,32300000,175200000,153900000,229100000,273300000,434900000,401800000,314300000,483000000
74,Depreciation and Amortization,46000000,43800000,46100000,48800000,53200000,66900000,66900000,86200000,83000000,81000000,83100000
75,Deferred Income Tax,800000,-3600000,16800000,17200000,-2000000,6300000,24900000,-64400000,-30200000,-24400000,-43800000
76,Stock Based Compensation,- -,- -,- -,13100000,14600000,16600000,16200000,19600000,20400000,20800000,23400000
77,Change in Working Capital,-17200000,-70900000,12900000,-181200000,111700000,172200000,-161100000,84000000,128700000,-214500000,-40200000
78,Accounts Receivable,-12000000,2000000,26800000,-8000000,-13500000,-19800000,-22700000,-8600000,- -,- -,- -
79,Inventory,-12900000,-1200000,5400000,3400000,-5800000,-15600000,-4400000,-19700000,5400000,-7800000,-105600000
80,Accounts Payable,25500000,8000000,-16700000,43400000,-14700000,3400000,400000,33900000,-11000000,-1600000,40000000
81,Other Working Capital,527200000,456300000,469200000,288000000,399700000,571900000,410800000,494800000,623500000,409000000,- -
82,Other Non-Cash Items,17800000,79800000,115800000,182800000,-74400000,-113600000,127000000,-102500000,-115500000,313100000,-16900000
83,Cash Provided by Operating Activities,265500000,269200000,223900000,255900000,257000000,377500000,347200000,457800000,488200000,490300000,488600000
84,CAPEX,-25500000,-19600000,-20200000,-51500000,-35200000,-42500000,-49300000,-49100000,-65600000,-47100000,-45400000
85,Acquisitions Net,19200000,- -,- -,-24000000,-511200000,-35700000,-4000000,-376100000,-4300000,-12500000,1100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-14300000,- -,-3000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,12300000,14100000,- -,- -,- -,- -,- -
88,Other Investing Activites,-22700000,-17500000,-18700000,-10800000,-34900000,-42400000,-46200000,-53400000,-73300000,-41200000,-32700000
89,Cash Used for Investing Activites,-3500000,-17500000,-18700000,-34800000,-533800000,-64000000,-50200000,-443800000,-77600000,-56700000,-31600000
90,Debt Repayment,-100000,-100000,- -,-1012300000,-440500000,-47000000,-1653600000,-150500000,-417700000,-200000,-238900000
91,Common Stock Issued,- -,- -,1300000,14100000,11000000,5800000,7200000,3200000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-50300000,-30000000,-85100000,-60000000,-67300000,-226000000,-208800000,-412800000
93,Dividends Paid,- -,- -,- -,-30000000,-38300000,-46000000,-60900000,-79400000,-100600000,-117300000,-129000000
94,Other Financing Activites,-253500000,-317800000,-293700000,928500000,692800000,-23700000,1616400000,110600000,402100000,4400000,251400000
95,Cash Used/Provided by Financing Activities,-253600000,-317900000,-292400000,-150000000,195000000,-196000000,-150900000,-183400000,-342200000,-321900000,-529300000
96,Effect of Forex Changes on Cash,-9900000,6900000,-2900000,-8000000,-9000000,-4800000,7700000,-6200000,-300000,10000000,-10200000
97,Net Change In Cash,-1500000,-59300000,-90100000,63100000,-90800000,112700000,153800000,-175600000,68100000,121700000,-82500000
98,Cash at the End of Period,376800000,317500000,227400000,290500000,199700000,312400000,466200000,290600000,358700000,480400000,397900000
99,Cash at the Beginning of Period,378300000,376800000,317500000,227400000,290500000,199700000,312400000,466200000,290600000,358700000,480400000
100,Free Cash Flow,240000000,249600000,203700000,204400000,221800000,335000000,297900000,408700000,422600000,443200000,443200000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000007/0001579241-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/0001579241-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924116000056/0001579241-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924117000009/0001579241-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924118000007/0001579241-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924119000006/0001579241-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924120000013/0001579241-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924121000020/0001579241-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1579241/000157924122000019/0001579241-22-000019-index.htm
102,false,,,,,,,,,,,
