,https://roic.ai/company/THS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,50858000,46560000,119815000,76010000,43691000,96893000,101642000,112587000,187847000,251869000,275839000,274033000,282856000,294521000,338805000,212030000,-110200000,288100000,-93500000,320800000,278200000
16,EBITDA ratio,0.0740,0.0681,0.1721,0.1094,0.0617,0.1031,0.0878,0.0750,0.1243,0.1386,0.1346,0.1256,0.1233,0.1000,0.1057,0.0343,-0.0175,0.0496,-0.0218,0.0738,0.0643
17,Operating Income,77731000,104430000,102639000,71568000,28589000,84354000,84944000,87125000,130809000,176553000,188275000,176827000,178164000,218154000,239736000,-96792000,-411200000,67900000,-16100000,149100000,21300000
18,Operating Income ratio,0.1131,0.1527,0.1474,0.1030,0.0404,0.0898,0.0734,0.0581,0.0865,0.0972,0.0918,0.0810,0.0777,0.0740,0.0748,-0.0157,-0.0652,0.0117,-0.0038,0.0343,0.0049
19,Total Other Income Expenses (Gains),-3265000,-948000,-750000,-826000,-1150000,-12320000,-18419000,-47670000,-8735000,-40153000,-48477000,-52618000,-53254000,-81584000,-68472000,-98571000,-113400000,-152700000,-139700000,-132100000,-52800000
20,Income Before Tax,74466000,103482000,101889000,70742000,27439000,72034000,66525000,39455000,122074000,136400000,139798000,124209000,124910000,136570000,171264000,-195363000,-524600000,-84800000,-155800000,17000000,-31500000
21,Income Before Tax Ratio,0.1084,0.1513,0.1464,0.1018,0.0388,0.0767,0.0575,0.0263,0.0808,0.0751,0.0682,0.0569,0.0545,0.0464,0.0534,-0.0316,-0.0832,-0.0146,-0.0363,0.0039,-0.0073
22,Income Tax expense (Gain),- -,- -,38025000,26071000,15174000,27333000,24873000,10895000,40760000,45481000,45391000,35846000,37922000,46690000,56354000,33231000,-238400000,-23400000,-45500000,- -,-4400000
23,Net Income,50858000,45009000,67758000,35076000,11576000,44856000,41622000,28224000,81314000,90919000,94407000,88363000,86988000,89880000,114910000,-228594000,-286200000,-61400000,-361000000,13000000,-12500000
24,Net Income ratio,0.0740,0.0658,0.0973,0.0505,0.0164,0.0477,0.0359,0.0188,0.0538,0.0500,0.0461,0.0405,0.0379,0.0305,0.0358,-0.0370,-0.0454,-0.0106,-0.0842,0.0030,-0.0029
25,EPS,1.65,1.46,2.20,1.14,0.38,1.44,1.33,0.90,2.54,2.59,2.64,2.44,2.39,2.28,2.67,-4.10,-5.01,-1.10,-6.42,0.24,-0.22
26,EPS Diluted,1.64,1.45,2.18,1.13,0.37,1.43,1.33,0.90,2.48,2.51,2.56,2.38,2.33,2.23,2.63,-4.10,-5.01,-1.10,-6.42,0.24,-0.22
27,Weighted Average Shares Outstanding,30801000,30801000,30801000,30801000,30905000,31158000,31203000,31341000,31982000,35079000,35805000,36155000,36418000,39348000,43052000,55717000,57100000,56000000,56200000,56500000,56500000
28,Weighted Average Shares Outstanding Diluted,31060000,31060000,31060000,31060000,31108000,31396000,31351000,31469000,32798000,36172000,36950000,37118000,37396000,40238000,43709000,55717000,57100000,56000000,56200000,56700000,56700000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1320695/000095013706003881/0000950137-06-003881-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013707002870/0000950137-07-002870-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013708002949/0000950137-08-002949-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013709001323/0000950137-09-001323-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095012310012562/0000950123-10-012562-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095012311013945/0000950123-11-013945-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312512069209/0001193125-12-069209-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312513069297/0001193125-13-069297-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312514060659/0001193125-14-060659-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312515054186/0001193125-15-054186-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312516468305/0001193125-16-468305-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312517046669/0001193125-17-046669-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000156459018002405/0001564590-18-002405-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069519000028/0001320695-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069520000009/0001320695-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069521000012/0001320695-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069522000009/0001320695-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1105000,165000,8001000,6000,9230000,2687000,4415000,6323000,3279000,94407000,46475000,51981000,34919000,62111000,132800000,164300000,202300000,364000000,308600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8680000,9148000,8388000,10419000,14100000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1105000,165000,8001000,6000,9230000,2687000,4415000,6323000,3279000,94407000,55155000,61129000,43307000,72530000,146900000,164300000,202300000,364000000,308600000
34,Net Receivables,- -,- -,29175000,30411000,34636000,56393000,76951000,86837000,86557000,126644000,115168000,124648000,152763000,233656000,203198000,429033000,329800000,351300000,270600000,308000000,209200000
35,Inventory,- -,- -,132662000,115294000,114562000,215766000,297692000,245790000,264933000,287395000,329374000,347353000,405698000,594098000,584115000,978037000,918300000,839700000,544000000,598000000,677800000
36,Other Current Assets,- -,- -,33727000,13913000,9461000,12606000,10402000,21165000,14747000,20441000,20573000,22003000,36073000,60553000,16583000,81149000,89700000,61800000,202600000,158000000,60200000
37,Total Current Assets,- -,- -,196669000,159783000,166660000,284771000,394275000,356479000,370652000,440803000,468394000,588411000,649689000,949436000,847203000,1560749000,1484700000,1417100000,1219500000,1428000000,1255800000
38,PP&E,- -,- -,116112000,125246000,117438000,207197000,265007000,270664000,276033000,386191000,406558000,425307000,462275000,543778000,541528000,1359320000,1294400000,1274400000,1220500000,1070000000,1184700000
39,Goodwill,- -,- -,308695000,308695000,- -,382582000,590791000,560874000,575007000,1076321000,1068419000,1073191000,1119204000,1667985000,1649794000,2447241000,2182000000,2161400000,2107300000,2178000000,2181400000
40,Intangible Assets,- -,- -,39096000,39198000,325599000,61073000,202381000,167665000,162736000,463617000,437860000,417561000,475756000,716298000,646655000,1137558000,773000000,700200000,554700000,615000000,555000000
41,Intangible Assets,- -,- -,347791000,347893000,325599000,443655000,793172000,728539000,737743000,1539938000,1506279000,1490752000,1594960000,2384283000,2296449000,3584799000,2955000000,2861600000,2662000000,2793000000,2736400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,3504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,24316000,23298000,21403000,14130000,25507000,17616000,40954000,45200000,46200000,37400000,- -,30100000
45,Total Non-Current Assets,- -,- -,463903000,473139000,443037000,650852000,1061683000,999203000,1013776000,1950445000,1936135000,1937462000,2071365000,2953568000,2855593000,4985073000,4294600000,4182200000,3919900000,3863000000,3951200000
46,Other Assets,- -,639935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,639935000,660572000,632922000,609697000,935623000,1455958000,1355682000,1384428000,2391248000,2404529000,2525873000,2721054000,3903004000,3702796000,6545822000,5779300000,5599300000,5139400000,5291000000,5207000000
48,Accounts Payable,- -,- -,- -,- -,61457000,51097000,102626000,- -,- -,- -,109178000,121404000,154378000,217226000,202065000,458127000,451300000,577900000,508400000,627000000,786000000
49,Short-Term Debt,- -,- -,4035000,215000,321000,543000,677000,475000,906000,976000,1954000,1944000,1551000,14373000,14893000,66421000,10100000,1200000,47300000,49500000,53400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5947000,1499000,30960000,7400000,9900000,14500000,6800000,6100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000000,- -
52,Other Current Liabilities,- -,- -,60379000,56711000,93000,37806000,41464000,187795000,148819000,202384000,60347000,63682000,84435000,79634000,58515000,168646000,138400000,256100000,257700000,155500000,236800000
53,Total Current Liabilities,- -,- -,64414000,56926000,61871000,89446000,144767000,188270000,149725000,203360000,171479000,187030000,240364000,311233000,275473000,693194000,599800000,835200000,813400000,990000000,1076200000
54,Long-Term Debt,- -,9996000,21170000,28296000,6144000,239115000,620452000,475233000,401640000,976452000,902929000,898100000,938945000,1445488000,1221741000,2724760000,2535700000,2297400000,2091700000,15000000,2034700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,22286000,32407000,9421000,4293000,27517000,27485000,45381000,194917000,202258000,212461000,228569000,319454000,279108000,422159000,178400000,154200000,101500000,- -,156500000
57,Other Non-Current Liabilities,- -,- -,23509000,20538000,18906000,26520000,33913000,44563000,31453000,38553000,54346000,49027000,40058000,67572000,71615000,202385000,202100000,170600000,301900000,128000000,94200000
58,Total Non-Current Liabilities,- -,9996000,66965000,81241000,34471000,269928000,681882000,547281000,478474000,1209922000,1159533000,1159588000,1207572000,1832514000,1572464000,3349304000,2916200000,2622200000,2495100000,143000000,2285400000
59,Other Liabilities,- -,132727000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2773000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190500000,178300000,181800000
61,Total Liabilities,- -,122731000,131379000,138167000,96342000,359374000,826649000,735551000,628199000,1413282000,1331012000,1346618000,1447936000,2143747000,1847937000,4042498000,3516000000,3457400000,3308500000,3620000000,3361600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,311000,312000,312000,315000,320000,354000,359000,362000,365000,427000,431000,567000,600000,600000,600000,- -,600000
64,Retained Earnings,- -,- -,- -,- -,-748000,44108000,85724000,113948000,195262000,286181000,380588000,468951000,555939000,645819000,760729000,532135000,245900000,185900000,-157000000,- -,-155700000
65,Other Comprehensive Income/Loss,- -,- -,-1166000,-2462000,-2279000,-5105000,-7097000,-63394000,-26951000,-12034000,-22362000,-16640000,-31763000,-64331000,-113468000,-101275000,-61500000,-97100000,-84000000,-64000000,-53600000
66,Other Total Stockholders Equity,- -,517204000,- -,- -,516071000,536934000,550370000,569262000,587598000,703465000,714932000,726582000,748577000,1177342000,1207167000,2071897000,2078300000,2052500000,2071300000,1929000000,2054100000
67,Total Stockholders Equity,- -,517204000,-530359000,-497217000,513355000,576249000,629309000,620131000,756229000,977966000,1073517000,1179255000,1273118000,1759257000,1854859000,2503324000,2263300000,2141900000,1830900000,1865000000,1845400000
68,Total Liabilities And Stockholders Equity,- -,639935000,-398980000,-359050000,609697000,935623000,1455958000,1355682000,1384428000,2391248000,2404529000,2525873000,2721054000,3903004000,3702796000,6545822000,5779300000,5599300000,5139400000,5485000000,5207000000
69,Minority Interest,- -,- -,1059552000,991972000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-194000000,- -
70,Total Liabilities & Equity,- -,639935000,660572000,632922000,609697000,935623000,1455958000,1355682000,1384428000,2391248000,2404529000,2525873000,2721054000,3903004000,3702796000,6545822000,5779300000,5599300000,5139400000,5291000000,5207000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1320695/000095013706003881/0000950137-06-003881-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013707002870/0000950137-07-002870-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013708002949/0000950137-08-002949-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013709001323/0000950137-09-001323-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095012310012562/0000950123-10-012562-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095012311013945/0000950123-11-013945-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312512069209/0001193125-12-069209-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312513069297/0001193125-13-069297-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312514060659/0001193125-14-060659-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312515054186/0001193125-15-054186-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312516468305/0001193125-16-468305-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312517046669/0001193125-17-046669-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000156459018002405/0001564590-18-002405-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069519000028/0001320695-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069520000009/0001320695-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069521000012/0001320695-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069522000009/0001320695-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,45009000,67758000,35076000,11576000,44856000,41622000,28224000,81314000,90919000,94407000,88363000,86988000,89880000,114910000,-228594000,-286200000,-61400000,-361000000,13000000,-12500000
74,Depreciation and Amortization,- -,1551000,14032000,14863000,16941000,24704000,35147000,45854000,47343000,69778000,83018000,98215000,108642000,115915000,122067000,288238000,287600000,258300000,210600000,203000000,213900000
75,Deferred Income Tax,- -,- -,7411000,7805000,-4861000,12964000,5940000,5314000,18596000,9199000,15114000,5724000,-11894000,8101000,-6006000,-12453000,-231100000,-17300000,-63300000,63000000,4400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,12193000,13303000,15838000,15107000,12824000,16118000,25067000,22877000,29860000,30000000,32400000,22600000,26000000,15600000
77,Change in Working Capital,- -,- -,132255000,-29398000,1932000,90536000,54183000,-81299000,52718000,16516000,59472000,104466000,7944000,228878000,-66473000,295825000,17345000,-303000000,-175800000,31900000,134000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000000,- -
79,Inventory,- -,- -,-3438000,17368000,2261000,-23219000,-27115000,43396000,-14062000,34318000,-43039000,-8263000,-11387000,-27187000,17000,54320000,13000000,69200000,65500000,-30000000,-82500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80900000,108300000,162100000
81,Other Working Capital,- -,- -,132255000,102857000,104789000,195325000,249508000,168209000,220927000,237443000,296915000,401381000,409325000,638203000,571730000,867555000,884900000,581900000,406100000,438000000,- -
82,Other Non-Cash Items,- -,-46560000,-153368000,62845000,26220000,-113434000,-40490000,165350000,-108430000,42401000,-111047000,-105033000,8892000,-255884000,97943000,105737000,688355000,596800000,674600000,66100000,-30500000
83,Cash Provided by Operating Activities,- -,- -,68088000,91191000,51808000,59626000,96402000,175636000,104844000,244651000,156071000,204559000,216690000,211957000,285318000,478613000,506000000,505800000,307700000,403000000,324900000
84,CAPEX,- -,- -,-17101000,-21990000,-14244000,-11374000,-19814000,-55471000,-36987000,-61653000,-77796000,-79520000,-81183000,-99218000,-86096000,-187075000,-185800000,-196200000,-146800000,-90000000,-115900000
85,Acquisitions Net,- -,- -,-12576000,- -,- -,-287701000,-449937000,-251000,- -,-844496000,3243000,-29955000,-218652000,-993009000,- -,-2644364000,18800000,30800000,- -,-229800000,-5100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8140000,-584000,-831000,- -,-1200000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,2863000,- -,- -,- -,165000,63000,- -,- -,- -,- -,- -,- -,17200000
88,Other Investing Activites,- -,- -,1347000,-732000,14000,2150000,1465000,13726000,6000,43000,251000,113000,960000,2842000,606000,53000,8400000,4500000,7500000,-10600000,71700000
89,Cash Used for Investing Activites,- -,- -,-28330000,-22722000,-14230000,-296925000,-468286000,-41996000,-34118000,-906106000,-74302000,-109362000,-306850000,-1089906000,-86321000,-2831386000,-159800000,-160900000,-139300000,-330400000,-16800000
90,Debt Repayment,- -,- -,-302000,-3500000,- -,- -,- -,-145537000,-74484000,-338610000,-341317000,-325443000,-477195000,-1326595000,-367462000,-464323000,-2326800000,-362600000,-396000000,-1000000,-1936000000
91,Common Stock Issued,- -,- -,- -,- -,2527000,1482000,44000,- -,- -,110688000,- -,- -,- -,358364000,- -,835131000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28700000,-54600000,- -,-25000000,-25000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-41926000,-65909000,-32269000,227675000,380655000,5811000,4759000,890543000,257777000,319478000,522913000,1853420000,158906000,2006924000,2077200000,106200000,189100000,100000000,1598700000
95,Cash Used/Provided by Financing Activities,- -,- -,-42228000,-69409000,-29742000,229157000,380699000,-139726000,-69725000,662621000,-83540000,-5965000,45718000,885189000,-208556000,2377732000,-278300000,-311000000,-206900000,74000000,-362300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-58000,-614000,727000,742000,-1273000,1896000,-3490000,-1734000,-7503000,2233000,2800000,-2400000,5300000,4000000,-1800000
97,Net Change In Cash,- -,- -,-2470000,-940000,7836000,-7995000,9224000,-6543000,1728000,1908000,-3044000,91128000,-47932000,5506000,-17062000,27192000,70700000,31500000,38000000,- -,-56000000
98,Cash at the End of Period,- -,- -,1105000,165000,8001000,6000,9230000,2687000,4415000,6323000,3279000,94407000,46475000,51981000,34919000,62111000,132800000,164300000,202300000,- -,308600000
99,Cash at the Beginning of Period,- -,- -,3575000,1105000,165000,8001000,6000,9230000,2687000,4415000,6323000,3279000,94407000,46475000,51981000,34919000,62100000,132800000,164300000,- -,364600000
100,Free Cash Flow,- -,- -,50987000,69201000,37564000,48252000,76588000,120165000,67857000,182998000,78275000,125039000,135507000,112739000,199222000,291538000,320200000,309600000,160900000,313000000,209000000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1320695/000095013706003881/0000950137-06-003881-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013707002870/0000950137-07-002870-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013708002949/0000950137-08-002949-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095013709001323/0000950137-09-001323-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095012310012562/0000950123-10-012562-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000095012311013945/0000950123-11-013945-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312512069209/0001193125-12-069209-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312513069297/0001193125-13-069297-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312514060659/0001193125-14-060659-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312515054186/0001193125-15-054186-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312516468305/0001193125-16-468305-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000119312517046669/0001193125-17-046669-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000156459018002405/0001564590-18-002405-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069519000028/0001320695-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069520000009/0001320695-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069521000012/0001320695-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1320695/000132069522000009/0001320695-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
