,https://roic.ai/company/KOF,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,3366229500,5757946500,6993141750,8120046400,11090778300,12106801156,13684967507,13614074335,13092383925,28926015587,38682198000,41547110000,48264445000,57678435000,69281000000,86932000000,86377000000,104563000000,125711000000,134592000000,125998000000,129003000000,153782000000,177350000000,157146000000,167890000000,158090000000,167487000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433000000,286000000,285000000,601000000,424000000,654000000,379000000,414000000,715000000,887000000,1004000000,1230000000,1047000000,932000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,338226358,- -,- -,1549203714,- -,2452065000,2126615000,- -,2207000000,1895000000,1748000000,1736000000,1955000000,3341000000,5546000000,3480000000,4067000000,4369000000,4786000000,4588000000,6333000000,6192000000
14,Depreciation and Amortization,65807000,205723500,201536000,514355600,678522600,869215018,982679088,896398047,1239740213,1717113467,1632582000,2547600000,3540760000,3322365000,3262000000,3779000000,4027000000,4559000000,5692000000,7132000000,6949000000,7144000000,8666000000,11657000000,10028000000,10642000000,10031000000,- -
15,EBITDA,542572000,667253000,874634750,1421330600,1711143000,2573163280,3589820116,4531512730,5617579010,7243800019,8074062000,12175405000,13148310000,13550892000,13553000000,18240000000,19835000000,22509000000,27254000000,27747000000,26898000000,25410000000,26731000000,7778000000,33985000000,32979000000,32099000000,28509000000
16,EBITDA ratio,0.1419,0.1088,0.1145,0.1527,0.1344,0.1818,0.2158,0.2607,0.3209,0.2034,0.1742,0.2423,0.2278,0.1961,0.1633,0.1775,0.1917,0.1805,0.1845,0.1779,0.1826,0.1668,0.1504,0.0382,0.1864,0.1696,0.1748,0.1463
17,Operating Income,456620000,373692500,642396000,1185920200,1639927800,2048217310,2949078228,3770376117,4410732302,6688838318,7663140000,8693685000,9445625000,11426757000,13695000000,15835000000,17079000000,20152000000,21956000000,21450000000,20743000000,22645000000,23920000000,26175000000,24673000000,25423000000,25243000000,27402000000
18,Operating Income ratio,0.1194,0.0609,0.0841,0.1274,0.1288,0.1447,0.1773,0.2169,0.2520,0.1878,0.1653,0.1730,0.1637,0.1654,0.1650,0.1541,0.1651,0.1616,0.1486,0.1375,0.1408,0.1486,0.1346,0.1284,0.1353,0.1307,0.1375,0.1407
19,Total Other Income Expenses (Gains),20145000,87837000,30702750,-278945200,-607307400,-344269048,-680163558,-108030885,-32893505,-2711355480,-1199448000,-1443640000,-1791970000,-1002156000,-5383000000,-2822000000,-2520000000,-3384000000,-1964000000,-4226000000,-5791000000,-7920000000,-9612000000,-33335000000,-7483000000,-7014000000,-9166000000,-4462000000
20,Income Before Tax,476765000,461529500,673098750,906975000,1032620400,1703948262,2268914670,3662345232,4377838797,3977482838,6463692000,7250045000,7653655000,10424601000,8312000000,13013000000,14559000000,16768000000,19992000000,17224000000,14952000000,14725000000,14308000000,-7160000000,17190000000,18409000000,16077000000,22940000000
21,Income Before Tax Ratio,0.1247,0.0753,0.0882,0.0975,0.0811,0.1204,0.1364,0.2107,0.2501,0.1117,0.1395,0.1443,0.1326,0.1509,0.1002,0.1266,0.1407,0.1345,0.1353,0.1104,0.1015,0.0966,0.0805,-0.0351,0.0943,0.0947,0.0876,0.1178
22,Income Tax expense (Gain),176604500,104017500,148003000,197519000,384759900,730796005,973079092,1406493366,1830628503,1652910700,1055070000,2568830000,2601595000,3333258000,2486000000,4043000000,4260000000,5599000000,6274000000,5731000000,3861000000,4551000000,3928000000,4554000000,5260000000,5648000000,5428000000,6609000000
23,Net Income,300160500,357512000,525095750,709456000,647860500,973152257,1295835578,2228621316,2547210294,2324572138,5386410000,4606910000,4879340000,6895269000,5598000000,8523000000,9800000000,10615000000,13333000000,11543000000,10542000000,10235000000,10070000000,-12802000000,13911000000,12101000000,10307000000,15708000000
24,Net Income ratio,0.0785,0.0583,0.0688,0.0762,0.0509,0.0687,0.0779,0.1282,0.1455,0.0653,0.1162,0.0917,0.0845,0.0998,0.0675,0.0829,0.0947,0.0851,0.0902,0.0740,0.0716,0.0672,0.0567,-0.0628,0.0763,0.0622,0.0561,0.0806
25,EPS,1.88,2.31,3.39,4.84,4.95,6.62,8.67,15.59,17.87,13.54,29.19,24.75,26.32,37.33,31.55,46.16,53.07,55.58,66.20,56.10,50.90,49.40,48.60,-61.20,66.21,57.60,49.06,74.77
26,EPS Diluted,1.88,2.31,3.39,4.84,4.95,6.62,8.67,15.59,17.87,13.54,29.19,24.75,26.32,37.33,31.55,46.16,53.07,55.58,66.20,56.10,50.90,49.40,48.60,-61.20,66.21,57.60,49.06,74.77
27,Weighted Average Shares Outstanding,159642857,154666667,155116279,142643000,142500000,142500000,142500000,142500000,142500000,170425000,184600000,186159033,185369735,184653020,184650000,184653020,184653020,191003020,201520000,205600000,207290000,207290000,207290000,209140000,210080000,210083226,210083226,210083226
28,Weighted Average Shares Outstanding Diluted,159642857,154666667,155116279,142643000,142500000,142500000,142500000,142500000,142500000,170425000,184640000,186159033,185369735,184653020,184653020,184653020,184653020,191003020,201520000,205600000,207290000,207290000,207290000,209140000,210080000,210083226,210083226,210083226
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910631/000089109204001555/0000891092-04-001555-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281405000362/0001292814-05-000362-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/910631/000129281408001883/0001292814-08-001883-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281409001534/0001292814-09-001534-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281410001984/0001292814-10-001984-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281411001761/0001292814-11-001761-index.htm,- -,https://www.sec.gov/Archives/edgar/data/910631/000119312513108518/0001193125-13-108518-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312514140770/0001193125-14-140770-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312515131491/0001193125-15-131491-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312516543217/0001193125-16-543217-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312517121310/0001193125-17-121310-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312518121141/0001193125-18-121141-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312519105297/0001193125-19-105297-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312520110807/0001193125-20-110807-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,6130462108,2774304855,3587238000,1963775000,4469130000,7527063000,6192000000,7627000000,12534000000,12331000000,23222000000,15306000000,12958000000,15989000000,10476000000,18767000000,23727000000,20491000000,43497000000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2113000000,- -,330000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,6130462108,2774304855,3587238000,1963775000,4469130000,7527063000,6192000000,9740000000,12534000000,12661000000,23234000000,15306000000,12958000000,15989000000,10476000000,18767000000,23727000000,20491000000,43497000000,47248000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,755459712,1807704612,2099034000,2526370000,3227705000,4498809000,6182000000,7707000000,8021000000,10163000000,11984000000,14031000000,14403000000,13867000000,19378000000,22748000000,20885000000,23043000000,16994000000,13014000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,741828544,2179659879,2509956000,2165460000,2795905000,3409509000,4313000000,5002000000,5130000000,7573000000,8103000000,9130000000,7819000000,8066000000,10744000000,11364000000,10051000000,10538000000,9727000000,11960000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,309838949,1286159248,821844000,774895000,572135000,1993419000,1305000000,1190000000,751000000,1677000000,2576000000,4764000000,2948000000,4310000000,4855000000,2778000000,2827000000,2724000000,2222000000,8142000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,7937589313,8047828594,9018072000,7430500000,11064875000,17428800000,17992000000,23639000000,26436000000,32074000000,45897000000,43231000000,38128000000,42232000000,45453000000,55657000000,57490000000,56796000000,72440000000,80364000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,6922867273,17719773445,18613656000,18565635000,19862800000,21884037000,28159000000,31242000000,32100000000,41502000000,42517000000,51785000000,50527000000,50532000000,65288000000,75827000000,61942000000,62569000000,60738000000,63655000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4515000000,6972000000,19922000000,23593000000,21037000000,33582000000,26228000000,23729000000,25833000000,23431000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,256748042,33612951870,35994546000,37704480000,39585265000,44966304000,47453000000,50898000000,51213000000,66160000000,60041000000,79052000000,73431000000,69717000000,90382000000,98015000000,93075000000,86217000000,80540000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,256748042,33612951870,35994546000,37704480000,39585265000,44966304000,47453000000,50898000000,51213000000,70675000000,67013000000,98974000000,97024000000,90754000000,123964000000,124243000000,116804000000,112050000000,103971000000,102174000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1797000000,2170000000,2108000000,3656000000,5384000000,16943000000,17424000000,17978000000,22475000000,12862000000,10744000000,9946000000,7798000000,7494000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1343826000,1220725000,1716405000,- -,1246000000,1019000000,345000000,451000000,1576000000,1326000000,2956000000,4098000000,5981000000,8012000000,8438000000,10432000000,11143000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,948031133,1842262420,1876914000,2271610000,2763520000,2734143000,1311000000,1693000000,1859000000,3250000000,3716000000,4406000000,6307000000,4655000000,16095000000,9076000000,8369000000,6046000000,6976000000,17880000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,8127646448,53174987735,57828942000,59762450000,63927990000,69584484000,79966000000,87022000000,87625000000,119534000000,120206000000,173434000000,174238000000,168017000000,233803000000,230020000000,206297000000,201043000000,190626000000,191203000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,16065235761,61222816329,66847014000,67192950000,74992865000,87013284000,97958000000,110661000000,114061000000,151608000000,166103000000,216665000000,212366000000,210249000000,279256000000,285677000000,263787000000,257839000000,263066000000,271567000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,404155829,1357043042,4131432000,1549790000,1813560000,6089187000,3288000000,4733000000,3743000000,3661000000,18784000000,21170000000,19487000000,20214000000,27844000000,31353000000,25650000000,19832000000,17195000000,22745000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,80654542,3326491177,3265164000,4426455000,3162935000,4803813000,4116000000,3011000000,225000000,5540000000,5139000000,3586000000,1206000000,3470000000,3052000000,12171000000,11604000000,11968000000,5577000000,3067000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1877000000,2974000000,1931000000,2785000000,4162000000,5575000000,5457000000,5274000000,7560000000,7074000000,7207000000,7156000000,7400000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2037537586,4690271201,3254058000,5880710000,7059930000,5272212000,13929000000,15704000000,13678000000,15876000000,5627000000,7642000000,7710000000,6796000000,8972000000,12070000000,8270000000,19210000000,20073000000,20409000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2522347957,9373805420,10650654000,11856955000,12036425000,16165212000,21333000000,23448000000,17646000000,25077000000,29550000000,32398000000,28403000000,30480000000,39868000000,55594000000,45524000000,51010000000,42845000000,46221000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,3148779103,25957871421,21645594000,15688970000,16181705000,14073756000,12455000000,10498000000,15511000000,17034000000,24775000000,56875000000,64821000000,63260000000,85857000000,71189000000,70201000000,59392000000,83207000000,84220000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,782161010,375245421,1377144000,997810000,1586865000,1481448000,1680000000,2659000000,1901000000,3485000000,979000000,887000000,1085000000,1123000000,1205000000,1714000000,2856000000,3771000000,2474000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,548602577,2772480722,3154104000,3895705000,3724275000,4618632000,4874000000,5584000000,5122000000,5232000000,5971000000,9352000000,7939000000,6651000000,23093000000,16470000000,13456000000,13981000000,12083000000,13554000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4479542689,29105597564,26176842000,20582485000,21492845000,20173836000,19009000000,18741000000,22534000000,25751000000,31725000000,67114000000,73845000000,71034000000,110155000000,89373000000,86513000000,77144000000,97764000000,97774000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000000,959000000,760000000,460000000,- -,- -,10000000,1383000000,1306000000,1505000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,7001890647,38479402984,36827496000,32439440000,33529270000,36339048000,40342000000,42189000000,40180000000,50828000000,61275000000,99512000000,102248000000,101514000000,150023000000,144967000000,132037000000,128154000000,140609000000,143995000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2353838873,2646940084,2787606000,2887280000,- -,3104505000,3116000000,3116000000,3116000000,- -,2029000000,2048000000,2048000000,2048000000,2048000000,2060000000,2060000000,2060000000,2060000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,9162451604,9420315216,11983374000,17355525000,22280880000,34770456000,39533000000,46712000000,53908000000,60165000000,64501000000,70094000000,74624000000,78454000000,81579000000,61786000000,71270000000,75820000000,75917000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-4109018028,-811783949,2621016000,1199495000,-2752725000,-2145921000,44000000,3128000000,1016000000,4412000000,1631000000,-521000000,-12445000000,-17243000000,-2495000000,13648000000,7578000000,1234000000,-4923000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1656072665,11325012225,11916738000,12355860000,- -,13311246000,13220000000,13220000000,13239000000,- -,33488000000,41490000000,41490000000,41490000000,41005000000,45075000000,44036000000,43820000000,43820000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,9063345115,22580483576,29308734000,33798160000,40254555000,49040286000,55913000000,66176000000,71279000000,97691000000,101649000000,113111000000,105717000000,104749000000,122137000000,122569000000,124944000000,122934000000,116874000000,121550000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,16065235761,61059886560,66136230000,66237600000,73783825000,85379334000,96255000000,108365000000,111459000000,148519000000,162924000000,212623000000,207965000000,206263000000,272160000000,267536000000,256981000000,251088000000,257483000000,265545000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-0,162929769,710784000,955350000,1209040000,1633950000,1703000000,2296000000,2602000000,3089000000,3179000000,4042000000,4401000000,3986000000,7096000000,18141000000,6806000000,6751000000,5583000000,6022000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,16065235761,61222816329,66847014000,67192950000,74992865000,87013284000,97958000000,110661000000,114061000000,151608000000,166103000000,216665000000,212366000000,210249000000,279256000000,285677000000,263787000000,257839000000,263066000000,271567000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/910631/000089109204001555/0000891092-04-001555-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281405000362/0001292814-05-000362-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/910631/000129281408001883/0001292814-08-001883-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281409001534/0001292814-09-001534-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281410001984/0001292814-10-001984-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000129281411001761/0001292814-11-001761-index.htm,- -,https://www.sec.gov/Archives/edgar/data/910631/000119312513108518/0001193125-13-108518-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312514140770/0001193125-14-140770-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312515131491/0001193125-15-131491-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312516543217/0001193125-16-543217-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312517121310/0001193125-17-121310-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312518121141/0001193125-18-121141-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312519105297/0001193125-19-105297-index.htm,https://www.sec.gov/Archives/edgar/data/910631/000119312520110807/0001193125-20-110807-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300160500,357512000,525095750,709456000,647860500,973152257,1295835578,2228621316,2547210294,2324572138,5386410000,4606910000,4879340000,6895269000,5598000000,8523000000,9800000000,10615000000,13333000000,11543000000,10542000000,10235000000,10070000000,-12802000000,13911000000,12101000000,10307000000,- -
74,Depreciation and Amortization,65807000,205723500,201536000,514355600,678522600,869215018,982679088,896398047,1239740213,1717113467,1632582000,2547600000,3540760000,3322365000,3262000000,3779000000,4027000000,4559000000,5692000000,7132000000,6949000000,7144000000,8666000000,11657000000,10028000000,10642000000,10031000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-69164500,-63951500,209408500,-173333000,-83084400,637056667,-33465046,73014981,-201911681,-1806551939,377604000,-636900000,-129540000,-1459662000,-4100000000,-1306000000,-5342000000,-3156000000,1391000000,-1779000000,15000000,-2065000000,3709000000,-1263000000,-1832000000,2397000000,5181000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179000000,-394000000,-1092000000,-1640000000,-1545000000,-1072000000,-777000000,-1010000000,-2727000000,-3530000000,-2097000000,-1858000000,3040000000,- -
79,Inventory,-7386500,-80902500,188152750,-127379600,63302400,-36581897,-15074692,-138026327,-211698693,-371406908,-310968000,-42460000,-507365000,-675366000,-486000000,33000000,5000000,-1782000000,-731000000,-623000000,-588000000,-1784000000,-2142000000,-482000000,-1386000000,-1140000000,190000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2808000000,585000000,-301000000,5231000000,2921000000,4978000000,3329000000,11199000000,3718000000,1666000000,5726000000,-1037000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86360000,-348576000,-3506000000,-692000000,-958000000,567000000,-88000000,-127000000,-235000000,-193000000,-258000000,-384000000,-124000000,-478000000,- -,- -
82,Other Non-Cash Items,20145000,105558500,380241750,237022800,140452200,206928477,263440849,193333265,190794798,272803007,444240000,95535000,172720000,196074000,7379000000,5844000000,5865000000,3289000000,3234000000,5201000000,6900000000,7888000000,10001000000,35644000000,7436000000,6149000000,44775000000,- -
83,Cash Provided by Operating Activities,316948000,604842500,1316282000,1287501400,1383750900,2686352419,2508490469,3391367610,3775833625,2507936673,7840836000,6613145000,8463280000,8954046000,12139000000,16840000000,14350000000,15307000000,23650000000,22097000000,24406000000,23202000000,32446000000,33236000000,29543000000,31289000000,70294000000,- -
84,CAPEX,-428417000,-751237500,-960445000,-920680400,-1211647500,-739915464,-757850271,-699044774,-860207760,-1549975882,-1343826000,-1188880000,-2040255000,-2864859000,-5687000000,-7107000000,-8188000000,-8300000000,-9976000000,-11871000000,-11496000000,-11501000000,-12693000000,-14822000000,-11290000000,-11745000000,-9944000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29553338283,- -,- -,- -,- -,-3098000000,-717000000,- -,-4326000000,-1114000000,-28750000000,- -,- -,-13198000000,3868000000,1957000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1067514000,- -,-2001000000,- -,-946000000,-469000000,-8975000000,-58000000,-32000000,-2068000000,-920000000,-387000000,-572000000,-1576000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8058000,-442267000,-450307000,-1082726600,-76160700,-111675536,-139826445,-84592967,-471792190,-354307060,-422028000,-881045000,-1025525000,-806082000,184000000,-430000000,18000000,-1524000000,62000000,-1141000000,-217000000,-368000000,-1341000000,-2769000000,-906000000,152000000,-9785000000,- -
89,Cash Used for Investing Activites,-436475000,-1193504500,-1410752000,-2003407000,-1287808200,-851591000,-897676716,-783637741,-1331999950,-31457621225,-1765854000,-2069925000,-3065780000,-4738455000,-7522000000,-8900000000,-6845000000,-14140000000,-10989000000,-49481000000,-11137000000,-10945000000,-26915000000,-10890000000,-9253000000,-10744000000,-21016000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8248000000,-11423000000,-8260000000,-2755000000,-8665000000,-36973000000,-6490000000,-9076000000,-4948000000,-13109000000,-15957000000,-20952000000,-45760000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,9788051476,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4082000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-34246500,-36213500,-51171250,-108837000,-166168800,-174575209,-236626403,-299536047,-581101277,- -,-533088000,-636900000,-712470000,-827868000,-945000000,-1344000000,-2612000000,-4366000000,-5734000000,-6002000000,-6030000000,-6416000000,-7013000000,-6992000000,-7038000000,-7440000000,-10278000000,- -
94,Other Financing Activites,242411500,641056000,525883000,395038000,24727500,-1297110642,-31306010,208649313,-225340251,15527109624,-4953276000,-5742715000,-2331720000,-915012000,4155000000,6738000000,8861000000,4915000000,14459000000,66481000000,1170000000,6925000000,2227000000,5244000000,8723000000,5598000000,56872000000,- -
95,Cash Used/Provided by Financing Activities,208165000,604842500,474711750,286201000,-141441300,-1471685851,-267932413,-90886735,-806441528,25315161100,-5486364000,-6379615000,-3044190000,-1742880000,-5038000000,-6029000000,-2011000000,-2206000000,60000000,23506000000,-11350000000,-8567000000,-9734000000,-10775000000,-14272000000,-22794000000,834000000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-538000000,-262000000,-801000000,836000000,-1342000000,-4038000000,-4267000000,-659000000,-1310000000,-3280000000,-1058000000,-987000000,-2050000000,- -
97,Net Change In Cash,208165000,604842500,474711750,-429704600,-44509500,363075568,1342881340,2516843134,1637381757,-3634523452,577512000,-1825780000,2353310000,2472711000,-959000000,1826000000,4693000000,-203000000,11379000000,-7916000000,-2348000000,3031000000,-5513000000,8291000000,4960000000,-3236000000,23006000000,- -
