,https://roic.ai/company/CLVS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,3935000,7960000,9863000,16532000,44855000,64316000,54685000,66370000,96201000,95442000,88708000,85992000
53,Total Current Liabilities,5335000,10996000,12160000,20952000,47772000,75576000,65597000,81517000,125749000,133084000,184928000,125214000
54,Long-Term Debt,- -,- -,- -,- -,287500000,279885000,281126000,282406000,575470000,679742000,577403000,626459000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,74955000,66851000,31133000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,75614000,656000,338000,55842000,52453000,26142000,21468000,3671000,15872000,31035000,1971000,- -
58,Total Non-Current Liabilities,75614000,656000,338000,130797000,406804000,337160000,302594000,286077000,591342000,710777000,579374000,626459000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1031000,34884000,36970000,23145000
61,Total Liabilities,80949000,11652000,12498000,151749000,454576000,412736000,368191000,367594000,717091000,843861000,764302000,751673000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,22000,26000,34000,34000,38000,39000,51000,53000,55000,104000,129000
64,Retained Earnings,-54929000,-110499000,-184482000,-269014000,-429045000,-781906000,-1131043000,-1477440000,-1843092000,-2243515000,-2612727000,-2877251000
65,Other Comprehensive Income/Loss,42000,49000,53000,4696000,-24448000,-47460000,-47580000,-42173000,-44634000,-44865000,-44304000,-43430000
66,Other Total Stockholders Equity,137000,242221000,317899000,762170000,785089000,1129978000,1174950000,1887198000,2034142000,2114068000,2498179000,2641712000
67,Total Stockholders Equity,-54749000,131793000,133496000,497886000,331630000,300650000,-3634000,367636000,146469000,-174257000,-158748000,-278840000
68,Total Liabilities And Stockholders Equity,26200000,143445000,145994000,649635000,786206000,713386000,364557000,735230000,863560000,669604000,605554000,472833000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,26200000,143445000,145994000,649635000,786206000,713386000,364557000,735230000,863560000,669604000,605554000,472833000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1466301/000119312513106580/0001193125-13-106580-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000119312514076654/0001193125-14-076654-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000156459015001099/0001564590-15-001099-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000156459016013672/0001564590-16-013672-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837017000902/0001558370-17-000902-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837018001172/0001558370-18-001172-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837019001212/0001558370-19-001212-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837020001500/0001558370-20-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837021001668/0001558370-21-001668-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837022001810/0001558370-22-001810-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-37830000,-55570000,-73983000,-84532000,-160031000,-352861000,-349137000,-346397000,-368009000,-400424000,-369212000,-264524000
74,Depreciation and Amortization,83000,185000,353000,250000,4220000,761000,1141000,2504000,4601000,7768000,8198000,8496000
75,Deferred Income Tax,- -,- -,- -,- -,761000,-28874000,-31771000,-3218000,- -,- -,- -,- -
76,Stock Based Compensation,68000,1325000,4949000,9505000,21517000,40357000,39796000,44707000,49090000,54304000,50794000,25453000
77,Change in Working Capital,3366000,110633000,2193000,174932000,135756000,20725000,-250312000,331610000,-98873000,-213166000,-107483000,30271000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-121000,-6061000,-3371000,-7518000,-5407000,-746000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-27508000,-49936000,-26160000,5321000,12574000
80,Accounts Payable,866000,1656000,-758000,958000,-1369000,8105000,-1544000,5637000,5770000,12289000,-5852000,736000
81,Other Working Capital,19886000,130519000,132712000,307644000,443400000,464125000,213813000,545423000,446550000,233384000,125901000,-2941000
82,Other Non-Cash Items,302000,-96401000,1104000,-171867000,-119274000,66826000,323603000,-290110000,47194000,227903000,164975000,4247000
83,Cash Provided by Operating Activities,-34011000,-39828000,-65384000,-71712000,-117051000,-253066000,-266680000,-260904000,-365997000,-323615000,-252728000,-196057000
84,CAPEX,-770000,-446000,-1058000,-121000,-2286000,-3035000,-766000,-4102000,-64242000,-19040000,-8354000,-312000
85,Acquisitions Net,- -,- -,- -,-9913000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-27008000,- -,- -,- -,- -,-392540000,- -,-263500000,-500000000,-459835000,-9962000,- -
87,Sales/Maturities of Investments,14957000,9614000,2000000,- -,- -,140997000,200000000,213500000,300000000,621998000,144644000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,65000,-1100000,-55000000,-15475000,-8000000,- -
89,Cash Used for Investing Activites,-12821000,9168000,942000,-10034000,-2286000,-254578000,199299000,-54102000,-264242000,143398000,126328000,-312000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-280000,-1275000,-166124000,-65411000
91,Common Stock Issued,- -,129355000,69976000,259071000,- -,298509000,- -,545838000,93890000,- -,246668000,116924000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,29000,28991000,315000,1771000,279476000,5971000,5176000,16237000,294854000,121163000,123100000,48644000
95,Cash Used/Provided by Financing Activities,29000,158346000,70291000,260842000,279476000,304480000,5176000,562075000,388464000,119888000,203644000,100157000
96,Effect of Forex Changes on Cash,- -,42000,12000,35000,-690000,-757000,-365000,943000,-547000,286000,1152000,-589000
97,Net Change In Cash,-46803000,127728000,5861000,179131000,159449000,-203921000,-62570000,248012000,-242322000,-60043000,78396000,-96801000
98,Cash at the End of Period,10508000,138236000,144097000,323228000,482677000,278756000,216186000,464198000,221876000,161833000,240229000,143428000
99,Cash at the Beginning of Period,57311000,10508000,138236000,144097000,323228000,482677000,278756000,216186000,464198000,221876000,161833000,240229000
100,Free Cash Flow,-34781000,-40274000,-66442000,-71833000,-119337000,-256101000,-267446000,-265006000,-430239000,-342655000,-261082000,-196369000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1466301/000119312513106580/0001193125-13-106580-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000119312514076654/0001193125-14-076654-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000156459015001099/0001564590-15-001099-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000156459016013672/0001564590-16-013672-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837017000902/0001558370-17-000902-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837018001172/0001558370-18-001172-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837019001212/0001558370-19-001212-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837020001500/0001558370-20-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837021001668/0001558370-21-001668-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837022001810/0001558370-22-001810-index.htm
102,false,,,,,,,,,,,,
