,https://roic.ai/company/GASS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32511067,256978768,319605321,477593326,634347123,692497010,688376399,695710151,713039031,850984743,945879803,1037874170,1001942344,996226191,1036722488,954188931,944006307
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1328919/000095013607003965/file1.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095013608003037/file1.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012309014975/y01549e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012310062346/y03665e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012311063026/y04979e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312512196355/d341903d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312513160948/d521045d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312514167555/d716179d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312515160100/d914318d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312516551638/d170255d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312517135817/d542703d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312518137687/d568552d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312519116747/d695176d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312520127769/d906584d20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,259675,14536051,18492509,22538107,29987484,-13311885,11093191,8549791,28958487,21217193,12685826,2566678,-7798300,-1218237,-12276520,2093124,11984485
74,Depreciation and Amortization,174086,5653286,13104396,16621400,23388379,26969442,27132784,27562120,28776688,30761673,33811607,35857507,39096589,38921672,41258142,39266676,37928225
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1324743,1913634,573855,154442,4071,31268,292628,357967,1140084,340377,129245,338356,611644,- -
77,Change in Working Capital,1304887,5765105,7066024,6023401,-5996632,5683153,-7896859,-3517865,-4956593,-789674,2330392,1598107,-1289863,7514356,-4266742,-13141423,-741594
78,Accounts Receivable,-1095182,1168763,-1537463,-1252630,-222382,716483,- -,910922,-1708048,-2055817,1869466,-1532306,825838,-179036,531796,-1506590,874825
79,Inventory,-116291,-274778,-347250,-89491,-417777,-892777,306827,-576016,-736299,691314,-497573,-39991,117744,46824,-302873,617468,-1239395
80,Accounts Payable,410398,489072,1064459,1356965,-150246,967373,537841,1692418,-526281,2045571,1104798,-183896,462215,1299686,381941,-1316668,761193
81,Other Working Capital,- -,- -,- -,-4894775,- -,- -,- -,-2652944,563255,2141753,818327,-1641223,-567411,-490031,755563,-2347660,151663
82,Other Non-Cash Items,-1317454,-1539713,-5437945,1196846,-1212073,28432778,-2667217,9777601,-4368874,-2354445,6051943,6892220,5805285,7007017,12755989,1988578,2941980
83,Cash Provided by Operating Activities,421194,24414729,33224984,47704497,48080792,48347343,27816341,42375718,48440976,49127375,55237735,48054596,36154088,52354053,37809225,30818599,52113096
84,CAPEX,-31464550,-197057506,-81763459,-146296574,-190518708,-112312053,-33754404,-54981190,-62634833,-124406294,-129891982,-155072744,-56215758,-60612867,-108295690,-2988903,-48121422
85,Acquisitions Net,-31464550,-197057506,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16761522,-15217500
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,986102,1801120,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,31464550,196334303,-2518909,-3340041,30538722,10748338,582026,23387794,17750615,2818753,38784119,-9932969,12205908,11699690,29742788,19714669,5264768
89,Cash Used for Investing Activites,-31464550,-197780709,-84282368,-149636615,-159979986,-101563715,-33172378,-31593396,-43898116,-119786421,-91107863,-165005713,-44009850,-48913177,-78552902,33487288,-58074154
90,Debt Repayment,- -,-42294000,-57187760,-48757211,-23866656,-26021803,-45736121,-43417768,-48965869,-37696190,-75268462,-55943588,-55630352,-56254073,-56717059,-97371978,-41804846
91,Common Stock Issued,31043356,178752877,5012000,137881890,- -,- -,- -,- -,- -,109119029,112302678,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-6280327,-2234214,- -,- -,-4789158,-13429891,-2070306,- -,- -,-1837617,-3880930
93,Dividends Paid,- -,-10000000,-10937500,-13714540,-16727707,-4183146,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,70117346,102107272,48489980,161226744,85649601,41402713,48605000,43255000,43185469,46773018,157272750,30487386,42184744,113988535,37593049,22566704
95,Cash Used/Provided by Financing Activities,31043356,196576223,38994012,123900119,120632381,55444652,-10613735,2953018,-5710869,114608308,79018076,87899271,-27213272,-14069329,57271476,-61616546,-23119072
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,1690528,6868,-98294,-3745,-251662,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,31043356,196576223,-12063372,21968001,8733187,2228280,-14279244,13742208,-1266303,43945517,42896286,-29051846,-35069034,-10628453,16527799,2689341,-29080130
98,Cash at the End of Period,- -,23210243,11146871,33114872,41848059,44076339,29797095,43539303,42273000,86218517,129114803,100062957,64993923,62903192,79430991,82120332,53040202
99,Cash at the Beginning of Period,- -,- -,23210243,11146871,33114872,41848059,44076339,29797095,43539303,42273000,86218517,129114803,100062957,73531645,62903192,79430991,82120332
100,Free Cash Flow,-31043356,-172642777,-48538475,-98592077,-142437916,-63964710,-5938063,-12605472,-14193857,-75278919,-74654247,-107018148,-20061670,-8258814,-70486465,27829696,3991674
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1328919/000095013607003965/file1.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095013608003037/file1.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012309014975/y01549e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012310062346/y03665e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012311063026/y04979e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312512196355/d341903d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312513160948/d521045d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312514167555/d716179d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312515160100/d914318d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312516551638/d170255d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312517135817/d542703d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312518137687/d568552d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312519116747/d695176d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312520127769/d906584d20f.htm,- -
102,false,,,,,,,,,,,,,,,,,
