,https://roic.ai/company/ALEX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,100000000,80000000,70000000,27900000,58200000,50800000,56100000,66400000,830900000,50300000,95500000,50500000,119500000
53,Total Current Liabilities,297000000,353000000,278000000,69600000,218200000,183000000,184700000,165100000,926800000,129400000,121200000,126300000,197900000
54,Long-Term Debt,406000000,386000000,507000000,220000000,605500000,631500000,497800000,472700000,585200000,739100000,704600000,687100000,552100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,63100000,67600000,66900000,- -
56,Deferred Tax Liabilities,428000000,431000000,418000000,152900000,188700000,194000000,202100000,182000000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,164000000,189000000,218000000,80400000,98000000,106600000,131800000,123300000,68100000,85300000,62200000,59600000,56300000
58,Total Non-Current Liabilities,998000000,1006000000,1143000000,453300000,892200000,932100000,831700000,778000000,653300000,887500000,834400000,813600000,608400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21600000,18400000,19400000
61,Total Liabilities,1295000000,1359000000,1421000000,522900000,1110400000,1115100000,1016400000,943100000,1580100000,1016900000,955600000,939900000,806300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,33000000,34000000,- -,939800000,1142300000,1147300000,1151700000,1157300000,1161700000,1793400000,1800100000,1805500000,- -
64,Retained Earnings,934000000,972000000,953000000,21800000,53700000,101000000,117200000,95200000,-473000000,-538900000,-626200000,-649400000,- -
65,Other Comprehensive Income/Loss,-81000000,-82000000,-92000000,-47200000,-30100000,-44400000,-45300000,-43200000,-42300000,-51900000,-48800000,-60000000,-80000000
66,Other Total Stockholders Equity,199000000,212000000,218000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,1085000000,1136000000,1123000000,914400000,1165900000,1203900000,1223600000,1209300000,646400000,1202600000,1125100000,1096100000,1066600000
68,Total Liabilities And Stockholders Equity,2380000000,2495000000,2544000000,1437300000,2276300000,2319000000,2240000000,2152400000,2226500000,2219500000,2080700000,2036000000,1872900000
69,Minority Interest,- -,- -,- -,- -,8900000,10900000,3500000,3900000,4700000,5700000,3600000,- -,6900000
70,Total Liabilities & Equity,2380000000,2495000000,2544000000,1437300000,2285200000,2329900000,2243500000,2156300000,2231200000,2225200000,2084300000,2036000000,1879800000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1545654/000154565413000010/0001545654-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565414000013/0001545654-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565415000005/0001545654-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565416000058/0001545654-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565417000003/0001545654-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565418000014/0001545654-18-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1545654/000154565420000007/0001545654-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565421000006/0001545654-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565422000008/0001545654-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,44000000,92000000,34000000,20500000,36900000,61400000,29600000,-10200000,228300000,-72000000,-36400000,5600000,35400000
74,Depreciation and Amortization,105000000,107000000,109000000,35100000,41700000,55000000,55700000,119500000,41400000,42800000,50500000,53300000,50400000
75,Deferred Income Tax,1000000,5000000,-5000000,-6300000,-1600000,8800000,16900000,-20100000,-199000000,16600000,- -,- -,- -
76,Stock Based Compensation,9000000,8000000,8000000,5400000,4200000,4900000,4700000,4100000,4400000,4700000,5400000,5800000,5900000
77,Change in Working Capital,14000000,-99000000,86000000,-3200000,-40600000,39700000,-25100000,5400000,-590900000,892500000,-173400000,1400000,14700000
78,Accounts Receivable,- -,- -,- -,100000,3300000,1600000,-3100000,4300000,-900000,-4200000,8500000,8800000,- -
79,Inventory,-6000000,6000000,-6000000,21200000,79000000,40100000,98900000,20100000,59000000,63900000,70800000,5700000,6800000
80,Accounts Payable,- -,- -,- -,-1500000,-6500000,-2300000,100000,-400000,3300000,-9000000,-12900000,-6200000,1900000
81,Other Working Capital,10000000,-89000000,-3000000,-6200000,-46800000,-7100000,-32200000,-26800000,-617700000,274800000,101400000,102800000,-3000000
82,Other Non-Cash Items,-58000000,37000000,-146000000,-40600000,-78900000,-130700000,46700000,12500000,514500000,-574700000,311500000,-3000000,17800000
83,Cash Provided by Operating Activities,115000000,150000000,86000000,10900000,-38300000,39100000,128500000,111200000,-1300000,309900000,157600000,63100000,124200000
84,CAPEX,-31000000,-95000000,-67000000,-45400000,-505300000,-75100000,-44700000,-116100000,-42500000,-296100000,-255100000,-25100000,-53500000
85,Acquisitions Net,10000000,- -,- -,-14600000,-44000000,-53100000,15000000,-5900000,-8600000,-22600000,-3300000,-1000000,-2700000
86,Purchases of Investments,-48000000,-102000000,-28000000,- -,-43400000,-75100000,-29400000,-47200000,-41900000,- -,- -,- -,- -
87,Sales/Maturities of Investments,6000000,13000000,8000000,2900000,335900000,85600000,44400000,41300000,33300000,- -,- -,- -,- -
88,Other Investing Activites,1000000,-61000000,-51000000,-38400000,-460200000,14600000,-29000000,-13800000,13300000,-82100000,-237100000,13000000,99200000
89,Cash Used for Investing Activites,-31000000,-150000000,-71000000,-50100000,-211700000,-28000000,1000000,-25600000,-3900000,-104700000,-240400000,12000000,96500000
90,Debt Repayment,-275000000,-202000000,-220000000,-257200000,-380300000,-224200000,-248100000,-344200000,-181000000,-467800000,-203900000,-191700000,-290200000
91,Common Stock Issued,- -,- -,- -,184500000,- -,400000,- -,1200000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1000000,- -,-500000,- -,-7200000,-1500000,-1000000,-600000,- -
93,Dividends Paid,-52000000,-52000000,-53000000,-26700000,-2000000,-8300000,-10300000,-12300000,-10300000,-156600000,-50000000,-13800000,-46600000
94,Other Financing Activites,240000000,252000000,266000000,128000000,635500000,220500000,127900000,270600000,294600000,552400000,118200000,173000000,129700000
95,Cash Used/Provided by Financing Activities,-87000000,-2000000,-7000000,28600000,252200000,-11600000,-131000000,-84700000,96100000,-73500000,-136700000,-33100000,-207100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3000000,-2000000,8000000,-10600000,2200000,-500000,-1500000,900000,90900000,131700000,-219500000,42000000,13600000
98,Cash at the End of Period,16000000,14000000,22000000,1100000,3300000,2800000,1300000,2200000,103200000,234900000,15400000,57400000,71000000
99,Cash at the Beginning of Period,19000000,16000000,14000000,11700000,1100000,3300000,2800000,1300000,12300000,103200000,234900000,15400000,57400000
100,Free Cash Flow,84000000,55000000,19000000,-34500000,-543600000,-36000000,83800000,-4900000,-43800000,13800000,-97500000,38000000,70700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1545654/000154565413000010/0001545654-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565414000013/0001545654-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565415000005/0001545654-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565416000058/0001545654-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565417000003/0001545654-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565418000014/0001545654-18-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1545654/000154565420000007/0001545654-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565421000006/0001545654-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565422000008/0001545654-22-000008-index.htm
102,false,,,,,,,,,,,,,
