,https://roic.ai/company/CMCM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
50,Tax Payable,- -,23925000,68059000,31213000,100172000,47771000,83773000,147890000,91547000,50973000
51,Deferred Revenue,- -,16258000,12689000,62372000,90943000,208617000,142524000,138227000,207809000,181410000
52,Other Current Liabilities,- -,124852000,227840000,497491000,1350474000,1283178000,1522389000,1526483000,1391283000,1278199000
53,Total Current Liabilities,- -,152062000,263968000,621656000,1708687000,2066221000,2165754000,1835765000,1745119000,1572317000
54,Long-Term Debt,- -,- -,- -,- -,10523000,118797000,- -,- -,- -,11957000
55,Deferred Revenue,- -,2746000,2866000,1134000,2477000,6001000,5117000,- -,- -,- -
56,Deferred Tax Liabilities,- -,848000,39206000,65991000,99006000,112438000,73393000,110291000,82847000,60502000
57,Other Non-Current Liabilities,- -,121189000,9485000,29525000,73826000,36499000,698703000,752032000,189231000,180315000
58,Total Non-Current Liabilities,- -,124783000,51557000,96650000,185832000,273735000,777213000,862323000,272078000,252774000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,58503000,18833000
61,Total Liabilities,- -,276845000,315525000,718306000,1894519000,2339956000,2942967000,2698088000,2017197000,1825091000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,150000,184000,222000,226000,230000,229000,230000,225000,234000
64,Retained Earnings,- -,12801000,74819000,142760000,319356000,237293000,1564883000,2705970000,1944938000,857188000
65,Other Comprehensive Income/Loss,- -,-1603000,13239000,3373000,123795000,228145000,84206000,249304000,337773000,163340000
66,Other Total Stockholders Equity,- -,28802000,505826000,2059983000,2468562000,2546684000,2644043000,2520961000,2649342000,2726619000
67,Total Stockholders Equity,- -,40150000,594068000,2206338000,2911939000,3012352000,4293361000,5476465000,4932278000,3747381000
68,Total Liabilities And Stockholders Equity,- -,316995000,909593000,2924644000,4806458000,5352308000,7236328000,8174553000,6949475000,5572472000
69,Minority Interest,- -,- -,- -,76531000,136191000,188826000,212603000,118083000,62269000,41011000
70,Total Liabilities & Equity,- -,316995000,909593000,3001175000,4942649000,5541134000,7448931000,8292636000,7011744000,5613483000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597835/000110465916113518/a16-2530_120f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000110465917026157/a16-23153_120f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312518128749/d472022d20f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312519122322/d654805d20f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312520143414/0001193125-20-143414-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-30235000,9844000,62018000,67941000,176596000,-80525000,1348194000,1166909000,-343842000,416732000
74,Depreciation and Amortization,15037000,10855000,25880000,78750000,146157000,163358000,136301000,80107000,65468000,68546000
75,Deferred Income Tax,-3531000,2402000,33910000,12906000,-6962000,-53432000,-25306000,8065000,5981000,-9628000
76,Stock Based Compensation,5835000,20287000,37396000,173274000,315407000,306149000,73316000,85118000,127440000,80982000
77,Change in Working Capital,5245000,2103000,24878000,-6134000,251129000,-86604000,-15864000,-293028000,-223243000,258755000
78,Accounts Receivable,-12810000,-23391000,-55867000,-151979000,-316152000,26067000,-63517000,-25302000,163370000,179223000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-7127000,1418000,12487000,38354000,29705000,50231000,-10346000,-3742000,-14468000,104725000
81,Other Working Capital,-5140000,-935000,-4258000,29608000,14580000,-9338000,-17424000,7656000,-79839000,- -
82,Other Non-Cash Items,496000,297000,14099000,34705000,54649000,148605000,-895586000,-701581000,128652000,-861519000
83,Cash Provided by Operating Activities,-7153000,45788000,198181000,361442000,936976000,397551000,621055000,345590000,-239544000,-46132000
84,CAPEX,-8763000,-17862000,-30000000,-181065000,-95680000,-117691000,-25890000,-65403000,-102173000,-59269000
85,Acquisitions Net,-12000000,-3000000,-60185000,-320938000,-343556000,-308401000,127069000,67257000,-261889000,159817000
86,Purchases of Investments,-16000000,-95376000,-141582000,-1656245000,-880729000,-1227297000,-2330788000,-3016975000,-4005176000,-1561723000
87,Sales/Maturities of Investments,8000000,71000000,145376000,976913000,969526000,672825000,2050440000,3625967000,3267930000,3349207000
88,Other Investing Activites,-157000,-11547000,-16755000,-138856000,-24780000,-45769000,20563000,-72210000,-86091000,-7669000
89,Cash Used for Investing Activites,-28763000,-51238000,-100787000,-1175295000,-340629000,-982803000,-152099000,538636000,-1085226000,1880363000
90,Debt Repayment,- -,- -,- -,- -,- -,-8873000,-138656000,-329145000,- -,-65423000
91,Common Stock Issued,16431000,628000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-178991000,- -,-221749000,-175000,- -
93,Dividends Paid,-43133000,- -,-17693000,-30775000,- -,- -,- -,- -,-500597000,-1435775000
94,Other Financing Activites,119976000,- -,321965000,1411664000,81627000,291339000,644084000,4383000,15702000,50541000
95,Cash Used/Provided by Financing Activities,93274000,628000,304272000,1380889000,81627000,103475000,505428000,-546511000,-485070000,-1450657000
96,Effect of Forex Changes on Cash,-2273000,-151000,-5506000,-4287000,38029000,49544000,-67896000,44624000,5506000,-68761000
97,Net Change In Cash,55085000,-4973000,396160000,562749000,716003000,-432233000,906488000,382339000,-1804334000,314813000
98,Cash at the End of Period,139349000,134376000,530536000,1093285000,1809288000,1411000000,2317488000,2789976000,985642000,1300455000
99,Cash at the Beginning of Period,84264000,139349000,134376000,530536000,1093285000,1843233000,1411000000,2407637000,2789976000,985642000
100,Free Cash Flow,-15916000,27926000,168181000,180377000,841296000,279860000,595165000,280187000,-341717000,-105401000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597835/000110465916113518/a16-2530_120f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000110465917026157/a16-23153_120f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312518128749/d472022d20f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312519122322/d654805d20f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312520143414/0001193125-20-143414-index.htm,- -
102,Forex Rate,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
