,https://roic.ai/company/FSM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,1393517,597371,6312000,26975000,38335000,45226000,-9970000,32879000,-3217000,47110000,104951000,67340000,43971000,58955000,107180000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0436,0.0276,0.1227,0.3643,0.3482,0.2809,-0.0726,0.1890,-0.0208,0.2241,0.3914,0.2558,0.1710,0.2113,0.1787
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,4302737,1478225,5869000,14020000,18802000,13763000,9130000,17277000,7391000,29252000,38646000,33350000,20175000,37402000,47781000
23,Net Income,-46039,-31584,-76746,-96587,-520907,- -,-2816318,-792112,623000,12955000,19533000,31463000,-19100000,15602000,-10608000,17858000,66305000,33990000,23796000,21553000,57877000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-0.0881,-0.0366,0.0121,0.1749,0.1774,0.1954,-0.1390,0.0897,-0.0686,0.0849,0.2473,0.1291,0.0925,0.0773,0.0965
25,EPS,-0.03,-0.02,-0.04,-0.05,-0.07,- -,-0.04,-0.01,0.01,0.12,0.16,0.25,-0.15,0.12,-0.08,0.13,0.42,0.21,0.15,0.12,0.24
26,EPS Diluted,-0.03,-0.02,-0.04,-0.05,-0.07,- -,-0.04,-0.01,0.01,0.12,0.16,0.25,-0.15,0.12,-0.08,0.13,0.42,0.21,0.14,0.12,0.23
27,Weighted Average Shares Outstanding,1613422,1616935,1831487,2085000,7186858,- -,71602275,84400969,91802881,108120452,123295063,123584611,125552597,126786921,129001047,136888000,158036000,159785000,160193000,174993000,237998000
28,Weighted Average Shares Outstanding Diluted,1613422,1616935,1831487,2085000,7186858,- -,71602275,84400969,91802881,110564767,124711984,125232663,126547754,128142977,129001047,138053000,158312000,161636000,164525000,186073000,249443000
29,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341335/000121716012000078/0001217160-12-000078-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000121716013000105/0001217160-13-000105-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1341335/000121716016000460/0001217160-16-000460-index.html,- -,https://www.sec.gov/Archives/edgar/data/1341335/000114420418018704/0001144204-18-018704-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000127956919000763/0001279569-19-000763-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000110465920040533/0001104659-20-040533-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1019,314244,5031830,1408085,47702716,29594906,30763000,70298000,38730000,58720000,31704000,42867000,72218000,82484000,183074000,90503000,83404000,131898000,107097000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,6034000,20509000,17000000,6019000,17411000,34391000,36031000,42679000,30056000,72824000,- -,1059000,416000
33,Cash and Short-Term Investments,- -,- -,1019,314244,5031830,1408085,47702716,29594906,36797000,90807000,55730000,64739000,49115000,77258000,108249000,125163000,213130000,163327000,83404000,132957000,107513000
34,Net Receivables,- -,- -,8706,6419,34357,- -,7130163,5151191,601000,16093000,20386000,23400000,12892000,17435000,6498000,23964000,35251000,29726000,47841000,72447000,73776000
35,Inventory,- -,- -,- -,- -,- -,708789,1709583,1735415,2329000,4034000,11291000,12858000,15488000,14937000,10434000,13572000,17753000,14386000,14471000,35274000,85819000
36,Other Current Assets,- -,- -,-0,6374,35617,3504297,1552055,3299096,8635000,903000,70000,4956000,5726000,4742000,2862000,4213000,6321000,11481000,6430000,7389000,13974000
37,Total Current Assets,- -,- -,9725,327036,5101804,5621172,58094517,39780608,48362000,111837000,87477000,105953000,83221000,114372000,128043000,166912000,272455000,218920000,152146000,248067000,281082000
38,PP&E,- -,- -,6013,69526,15662088,44527253,66653539,72916187,91360000,126813000,181833000,207503000,216961000,233849000,242403000,394398000,430276000,505000000,732028000,791127000,1712354000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,3106820,16000,- -,- -,- -,- -,- -,- -,- -,2694000,4277000,1331000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000,113000,151000,126000,492000,471000,- -,- -,- -,- -,22000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,635939,916894,114215,- -,4533000,2260000,2694000,1882000,1963000,8716000,1134000,1223000,58320000,50560000,16144000,28464000
45,Total Non-Current Assets,- -,- -,6013,69526,15662088,- -,67570433,76137223,91376000,131346000,184129000,210310000,218994000,235938000,251611000,396003000,434193000,567597000,783919000,807271000,1740840000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,15738,396563,20763892,- -,125664950,115917831,139738000,243183000,271606000,316263000,302215000,350310000,379654000,562915000,706648000,786517000,936065000,1055338000,2021922000
48,Accounts Payable,- -,- -,355760,53855,748861,- -,5974957,38620,49000,3968000,17156000,11114000,9928000,10105000,18177000,15251000,13576000,24219000,40973000,29612000,82533000
49,Short-Term Debt,- -,- -,104647,- -,4533480,4954573,443300,685292,1038000,1083000,1512000,449000,227000,- -,772000,2128000,906000,3395000,8831000,6978000,10523000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4192000,3923000,200000,50000,9745000,3605000,16313000,15522000,8358000,12624000,24327000,20563000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,-0,- -,7676,1904911,14137,4838127,11138000,9701000,4906000,6945000,6661000,21916000,15202000,40731000,46121000,33714000,39970000,59851000,73717000
53,Total Current Liabilities,- -,- -,460407,53855,5290017,6859484,6432394,5562038,12225000,14752000,23574000,18508000,16816000,32021000,34151000,58110000,60603000,61328000,89774000,96441000,166773000
54,Long-Term Debt,- -,- -,- -,- -,- -,83305,437241,- -,- -,- -,- -,- -,27000,- -,39486000,39768000,39871000,69302000,146535000,158616000,176371000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1038274,4212746,8148036,9455218,10973000,14333000,12710000,21042000,25284000,29026000,25177000,25345000,28657000,31444000,20915000,19499000,191668000
57,Other Non-Current Liabilities,- -,- -,- -,- -,1357624,- -,1934767,2459326,3983000,8090000,7011000,12220000,12428000,16550000,16672000,16541000,13933000,21639000,43415000,55012000,57540000
58,Total Non-Current Liabilities,- -,- -,- -,- -,2395897,4296051,10520044,11914544,14956000,22423000,19721000,33262000,37739000,45576000,81335000,81654000,82461000,122385000,210865000,233127000,425579000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,880541,1405094,2492000,4249000,4276000,676000,227000,- -,1884000,3034000,906000,8766000,23879000,19497000,29405000
61,Total Liabilities,- -,- -,460407,53855,7685914,- -,16952439,17476582,27181000,37175000,43295000,51770000,54555000,77597000,115486000,139764000,143064000,183713000,300639000,329568000,592352000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187807000,189092000,201057000,203953000,343963000,418168000,420467000,422145000,492306000,1079746000
64,Retained Earnings,- -,- -,-2324743,-2589033,-3329373,-7051460,-11115823,-9837305,-9357000,3597000,27881000,59344000,40244000,55846000,45238000,63096000,129401000,163391000,187187000,208740000,266617000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,5945173,- -,145410,-517666,2898000,10892000,3395000,17342000,18324000,15810000,14977000,16092000,16015000,18946000,26094000,24724000,28785000
66,Other Total Stockholders Equity,- -,- -,1880074,2931741,16409968,- -,- -,111202958,127222000,210955000,233393000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,-444669,342708,13077978,35352404,102054933,89391947,112557000,206008000,228311000,264493000,247660000,272713000,264168000,423151000,563584000,602804000,635426000,725770000,1375148000
68,Total Liabilities And Stockholders Equity,- -,- -,15738,396563,20763892,- -,119007372,106868529,139738000,243183000,271606000,316263000,302215000,350310000,379654000,562915000,706648000,786517000,936065000,1055338000,1967500000
69,Minority Interest,- -,- -,-0,- -,- -,- -,6657579,9049302,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54422000
70,Total Liabilities & Equity,- -,- -,15738,396563,20763892,- -,125664950,115917831,139738000,243183000,271606000,316263000,302215000,350310000,379654000,562915000,706648000,786517000,936065000,1055338000,2021922000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341335/000121716012000078/0001217160-12-000078-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000121716013000105/0001217160-13-000105-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1341335/000121716016000460/0001217160-16-000460-index.html,- -,https://www.sec.gov/Archives/edgar/data/1341335/000114420418018704/0001144204-18-018704-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000127956919000763/0001279569-19-000763-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000110465920040533/0001104659-20-040533-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-46039,-31584,-76746,-96587,-520907,- -,-2816318,-792112,623000,12955000,19533000,31463000,-19100000,15602000,-10608000,17858000,66305000,33990000,23796000,21553000,59399000
74,Depreciation and Amortization,- -,- -,- -,- -,2617,- -,5695244,- -,64000,- -,- -,895000,983000,797000,429000,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,3753408,1478225,794000,3080000,18802000,13763000,9130000,17277000,7391000,29252000,38646000,33350000,20175000,37401000,47781000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1173377,2707000,-416000,3682000,1703000,3221000,5586000,761000,468000,-36000,-2051000,4567000,12284000,-3079000
77,Change in Working Capital,40346,22467,68387,76367,633486,- -,1554075,-258833,-2224000,-1084000,-3596000,-8375000,4045000,441000,24182000,-9599000,-17676000,4947000,-10703000,-9118000,-39314000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,221857,-5073000,-4908000,-3085000,-6971000,8538000,-4521000,13233000,-18521000,-11782000,3637000,-14309000,10258000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-805816,-358258,-313000,-1537000,-7273000,-1567000,-2648000,282000,3324000,-2922000,-4744000,1792000,-1036000,-25659000,-23824000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-149548,3158000,- -,- -,718000,-1339000,4910000,8106000,4861000,542000,696000,3021000,6122000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000,-386000,-139000,-171000,-273000,-349000,-793000,-682000,-352000,-341000,- -
82,Other Non-Cash Items,-0,-0,-0,-0,106892,- -,5180248,5672145,11722000,6574000,-2913000,14401000,46675000,20489000,32613000,14721000,-17037000,13219000,25170000,31265000,82351000
83,Cash Provided by Operating Activities,-5693,-9116,-8358,-20220,222087,- -,13366657,7272802,13686000,21109000,35508000,53850000,44954000,60192000,54768000,52700000,70202000,83455000,63005000,93385000,147138000
84,CAPEX,- -,- -,-6013,-63080,-1262819,- -,-16469757,-22809367,-14121000,-36411000,-76676000,-44839000,-60507000,-38943000,-57130000,-40229000,-47060000,-61108000,-195658000,-114329000,-152289000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4876000,- -,-1148000,- -,- -,40289000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-6225000,-13858000,-49671000,-6000000,-27241000,-65657000,-95453000,-48079000,-152912000,-237787000,-45145000,-7269000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,489000,- -,53406000,17000000,15178000,47641000,92927000,41845000,160636000,191632000,128320000,10575000,14000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-1003736,18077,2878000,-7124000,3084000,793000,911000,-1000,-6733000,10000,47000,-96642000,-32731000,-12057000,-6513000
89,Cash Used for Investing Activites,- -,- -,-6013,-63080,-1262819,- -,-17473493,-22791290,-16979000,-57393000,-69857000,-33046000,-71659000,-56960000,-66389000,-51329000,-39289000,-205053000,-145214000,-113649000,-118499000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-305670,-976000,-1231000,-1196000,-1644000,-449000,-227000,- -,-1213000,-2128000,-907000,-8385000,-62747000,-44216000
91,Common Stock Issued,- -,- -,- -,396451,8857835,- -,56071897,6602301,1025000,74922000,3656000,738000,707000,8458000,2026000,10025000,76686000,959000,- -,70011000,313000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7609,6301,14791,- -,-3126151,- -,-5919418,0,- -,- -,18000,- -,- -,- -,39316000,-6000,-5018000,28662000,83510000,61642000,-7519000
95,Cash Used/Provided by Financing Activities,7609,6301,14791,396451,5731684,- -,50152479,6296631,49000,73691000,2478000,-906000,258000,8231000,41342000,8806000,69540000,28714000,75125000,68906000,-51422000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,4553000,2128000,303000,92000,-569000,-300000,-370000,89000,137000,313000,-15000,-148000,-2018000
97,Net Change In Cash,1916,-2815,420,313151,4690953,- -,46045643,-9221857,1309000,39535000,-31568000,19990000,-27016000,11163000,29351000,10266000,100590000,-92571000,-7099000,48494000,-24801000
98,Cash at the End of Period,3347,510,1019,314244,5031830,- -,47702716,29594906,30763000,70298000,38730000,58720000,31704000,42867000,72218000,82484000,183074000,90503000,83404000,131898000,107097000
99,Cash at the Beginning of Period,1431,3326,599,1093,340877,- -,1657074,38816763,29454000,30763000,70298000,38730000,58720000,31704000,42867000,72218000,82484000,183074000,90503000,83404000,131898000
100,Free Cash Flow,-5693,-9116,-14371,-83300,-1040731,- -,-3103100,-15536565,-435000,-15302000,-41168000,9011000,-15553000,21249000,-2362000,12471000,23142000,22347000,-132653000,-20944000,-5151000
101,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341335/000121716012000078/0001217160-12-000078-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000121716013000105/0001217160-13-000105-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1341335/000121716016000460/0001217160-16-000460-index.html,- -,https://www.sec.gov/Archives/edgar/data/1341335/000114420418018704/0001144204-18-018704-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000127956919000763/0001279569-19-000763-index.html,https://www.sec.gov/Archives/edgar/data/1341335/000110465920040533/0001104659-20-040533-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,
