,https://roic.ai/company/TU,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1021800000,1062100000,1212200060,1494199300,1570300000,1652800000,3673900000,3764300000,3856500000,4031200000,4293000000,4369000000,4417000000,3631000000,3941000000,4180000000,4274000000,4581000000,4962000000,4745000000,5161000000,5611000000,6717000000,7477000000
11,COGS and Expenses,4473400000,4607000000,5180599880,6167199937,6058400000,5954700000,6081100000,6417200000,6598500000,7079700000,7528000000,7647000000,7797000000,8357000000,8761000000,9142000000,9573000000,10113000000,10593000000,10680000000,11529000000,11681000000,12985000000,14176000000
12,Interest Income ,- -,- -,- -,- -,25900000,43300000,39100000,58700000,12300000,37400000,14000000,47000000,4000000,3000000,15000000,6000000,3000000,26000000,2000000,7000000,12000000,11000000,11000000,20000000
13,Interest Expense (Gain),- -,- -,- -,- -,715600000,671700000,655500000,643700000,510600000,464500000,477000000,579000000,515000000,389000000,350000000,426000000,441000000,485000000,496000000,572000000,621000000,687000000,730000000,805000000
14,Depreciation and Amortization,1021800000,1062100000,1212200060,1668998727,1570300000,1652800000,1643100000,1623700000,1575600000,1615000000,1716000000,1730000000,1735000000,1810000000,1865000000,1803000000,1834000000,1909000000,2047000000,2169000000,2267000000,2577000000,3012000000,3216000000
15,EBITDA,1618200000,1708700000,2169299640,2215899396,2014400000,2832900000,3119500000,3289700000,3559700000,3571000000,3757000000,3510000000,3616000000,3794000000,3990000000,3997000000,4201000000,4300000000,4192000000,4754000000,5040000000,5478000000,5400000000,6256000000
16,EBITDA ratio,0.3342,0.2966,0.3372,0.3077,0.2875,0.3964,0.4115,0.4040,0.4101,0.3935,0.3892,0.3654,0.3698,0.3675,0.3677,0.3526,0.3522,0.3459,0.3294,0.3601,0.3576,0.3755,0.3520,0.3715
17,Operating Income,369300000,1154800000,1252600480,836999363,378400000,1163000000,1447500000,1671600000,2014700000,1974300000,2066000000,1769000000,1908000000,1968000000,2107000000,2215000000,2382000000,2353000000,2182000000,2605000000,2837000000,2977000000,2482000000,3074000000
18,Operating Income ratio,0.0763,0.2004,0.1947,0.1162,0.0540,0.1627,0.1909,0.2053,0.2321,0.2176,0.2140,0.1842,0.1951,0.1906,0.1942,0.1954,0.1997,0.1893,0.1715,0.1973,0.2013,0.2041,0.1618,0.1826
19,Total Other Income Expenses (Gains),757700000,-508200000,-295500900,-882398917,-644900000,-651300000,-622000000,-641500000,-532700000,-476200000,-499000000,-564000000,-542000000,-377000000,-332000000,-447000000,-456000000,-447000000,-520000000,-573000000,-661000000,-733000000,-771000000,-796000000
20,Income Before Tax,1127000000,646600000,957099580,-45399554,-266500000,511700000,825500000,1030100000,1482000000,1498100000,1567000000,1205000000,1366000000,1591000000,1775000000,1768000000,1926000000,1906000000,1662000000,2032000000,2176000000,2244000000,1711000000,2278000000
21,Income Before Tax Ratio,0.2327,0.1122,0.1488,-0.0063,-0.0380,0.0716,0.1089,0.1265,0.1707,0.1651,0.1623,0.1254,0.1397,0.1541,0.1636,0.1560,0.1615,0.1533,0.1306,0.1539,0.1544,0.1538,0.1115,0.1353
22,Income Tax expense (Gain),524000000,296900000,496099280,93400191,-42500000,176900000,255100000,322000000,351000000,233600000,436000000,203000000,328000000,376000000,457000000,474000000,501000000,524000000,426000000,553000000,552000000,468000000,451000000,580000000
23,Net Income,72400000,349700000,461000300,453500478,-229000000,331500000,565800000,700300000,1122500000,1257900000,1128000000,998000000,1038000000,1219000000,1318000000,1294000000,1425000000,1382000000,1223000000,1460000000,1600000000,1746000000,1207000000,1655000000
24,Net Income ratio,0.0150,0.0607,0.0717,0.0630,-0.0327,0.0464,0.0746,0.0860,0.1293,0.1386,0.1169,0.1039,0.1061,0.1181,0.1215,0.1141,0.1195,0.1112,0.0961,0.1106,0.1135,0.1197,0.0787,0.0983
25,EPS,0.07,0.36,0.46,0.38,-0.19,0.23,0.40,0.49,0.82,0.95,0.01,0.82,0.81,0.94,1.01,1.01,1.16,1.15,1.03,1.23,1.34,1.45,0.95,1.30
26,EPS Diluted,0.07,0.36,0.46,0.38,-0.19,0.23,0.39,0.48,0.81,0.94,0.01,0.82,0.81,0.94,1.01,1.00,1.16,1.15,1.03,1.23,1.34,1.45,0.94,1.29
27,Weighted Average Shares Outstanding,950344828,948493151,988000000,1176800000,1271600000,1397200000,1421200000,1428400000,1375200000,1326800000,1280000000,1272000000,1280000000,1296000000,1304000000,1280000000,1232000000,1206000000,1184000000,1186000000,1194000000,1204000000,1275000000,1275000000
28,Weighted Average Shares Outstanding Diluted,950344828,948493151,988000000,1176800000,1271600000,1407200000,1430400000,1444000000,1389600000,1336800000,1288000000,1272000000,1284000000,1304000000,1308000000,1286000000,1236000000,1208000000,1186000000,1186000000,1194000000,1204000000,1278000000,1278000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465909017585/0001104659-09-017585-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465910013969/0001104659-10-013969-index.html,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465912018936/0001104659-12-018936-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465913021158/0001104659-13-021158-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465916104290/0001104659-16-104290-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465917017116/0001104659-17-017116-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465918007662/0001104659-18-007662-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465919008382/0001104659-19-008382-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465920020115/0001104659-20-020115-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,81400000,- -,100000000,17000000,- -,6000000,897000000,9000000,- -,- -,- -,41000000,17000000,46000000,107000000,336000000,60000000,223000000,432000000,509000000,414000000,535000000,- -,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,110200000,46200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,81400000,- -,100000000,17000000,- -,6000000,897000000,9000000,110200000,46200000,- -,41000000,17000000,46000000,107000000,336000000,60000000,223000000,432000000,509000000,414000000,535000000,848000000,723000000
34,Net Receivables,685600000,698100000,1012000000,979000000,774400000,911200000,996000000,714000000,802600000,831800000,991000000,710000000,973000000,1494000000,1566000000,1493000000,1580000000,1495000000,1480000000,1719000000,2463000000,2826000000,2942000000,3320000000
35,Inventory,- -,56300000,152000000,119000000,96500000,123500000,133300000,138800000,196400000,243300000,333000000,270000000,283000000,353000000,350000000,326000000,320000000,360000000,318000000,378000000,376000000,437000000,407000000,448000000
36,Other Current Assets,389400000,491900000,485000000,328000000,302300000,476600000,621300000,380700000,235700000,219400000,234000000,106000000,117000000,158000000,187000000,174000000,226000000,253000000,244000000,278000000,588000000,555000000,486000000,541000000
37,Total Current Assets,1156400000,1246300000,1749000000,1443000000,1173200000,1517300000,2647600000,1242500000,1344900000,1340700000,1558000000,1127000000,1390000000,2051000000,2210000000,2329000000,2186000000,2331000000,2474000000,2884000000,3841000000,4353000000,4683000000,5032000000
38,PP&E,5810100000,5873400000,7706000000,8930000000,8025900000,7417900000,7528200000,7339400000,7466500000,7177300000,7317000000,7729000000,7722000000,7964000000,8165000000,8428000000,9123000000,9736000000,10464000000,11368000000,12091000000,14232000000,15014000000,15926000000
39,Goodwill,- -,- -,1795000000,3321000000,3124600000,3118000000,3126800000,3156900000,3169500000,3168000000,3564000000,3572000000,3572000000,3661000000,3702000000,3737000000,3757000000,3761000000,3787000000,4217000000,4733000000,5331000000,7235000000,7281000000
40,Intangible Assets,134400000,64800000,3825000000,3830000000,3948600000,3799300000,3692800000,3602100000,3515600000,3944700000,5166000000,5148000000,5134000000,6153000000,6181000000,6531000000,7797000000,9985000000,10364000000,10658000000,10956000000,12812000000,15026000000,17485000000
41,Intangible Assets,134400000,64800000,5620000000,7151000000,7073200000,6917300000,6819600000,6759000000,6685100000,7112700000,8730000000,8720000000,8706000000,9814000000,9883000000,10268000000,11554000000,13746000000,14151000000,14875000000,15689000000,18143000000,22261000000,24766000000
42,Investments,- -,- -,18000000,56000000,48100000,41900000,38400000,31200000,35200000,38900000,42000000,41000000,37000000,21000000,69000000,59000000,88000000,94000000,83000000,56000000,75000000,113000000,306000000,497000000
43,Tax Assets,- -,- -,- -,1327000000,1170300000,626000000,99800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,822300000,626600000,1322000000,359000000,729100000,957100000,704400000,850200000,976500000,1318000000,1513000000,1602000000,1744000000,81000000,118000000,482000000,266000000,499000000,557000000,365000000,1369000000,1134000000,1068000000,1773000000
45,Total Non-Current Assets,6766800000,6564800000,14666000000,17823000000,17046600000,15960200000,15190400000,14979800000,15163300000,15646900000,17602000000,18092000000,18209000000,17880000000,18235000000,19237000000,21031000000,24075000000,25255000000,26664000000,29224000000,33622000000,38649000000,42962000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7923200000,7811100000,16415000000,19266000000,18219800000,17477500000,17838000000,16222300000,16508200000,16987600000,19160000000,19219000000,19599000000,19931000000,20445000000,21566000000,23217000000,26406000000,27729000000,29548000000,33065000000,37975000000,43332000000,47994000000
48,Accounts Payable,748300000,929800000,- -,- -,1599200000,1294100000,313000000,394400000,427300000,406000000,1679000000,382000000,1495000000,406000000,423000000,458000000,458000000,476000000,578000000,717000000,686000000,892000000,855000000,1213000000
49,Short-Term Debt,781900000,605500000,5033299340,229899713,- -,221100000,4300000,5000000,1434400000,5400000,768000000,818000000,743000000,1470000000,947000000,400000000,355000000,956000000,1427000000,1504000000,936000000,1432000000,1532000000,3041000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,10300000,7300000,- -,- -,6000000,25000000,102000000,102000000,2000000,108000000,37000000,34000000,218000000,55000000,135000000,104000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658000000,56000000,703000000,729000000,753000000,760000000,737000000,782000000,653000000,675000000,772000000,854000000
52,Other Current Liabilities,241100000,259200000,1636700660,1630100287,581800000,639500000,1651800000,1628200000,1876500000,2274600000,610000000,1764000000,1053000000,1913000000,1447000000,1712000000,1933000000,2084000000,2209000000,2187000000,2566000000,2575000000,2750000000,3165000000
53,Total Current Liabilities,1771300000,1794500000,6670000000,1860000000,2181000000,2154700000,1969100000,2027600000,3738200000,2686000000,3057000000,2964000000,3949000000,3845000000,3520000000,3299000000,3499000000,4276000000,4951000000,5190000000,4841000000,5574000000,5909000000,8273000000
54,Long-Term Debt,1608700000,1555500000,3047000000,8651000000,8197400000,6469400000,6332200000,4639900000,3493700000,4583500000,6348000000,6090000000,5313000000,5508000000,5711000000,7493000000,9055000000,11182000000,11604000000,12256000000,13265000000,17142000000,18856000000,17925000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,122000000,128000000,150000000,170000000,148000000,163000000,77000000,66000000,85000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,992300000,1007000000,991900000,1023900000,1067300000,1048100000,1255000000,1319000000,1498000000,1600000000,1624000000,1891000000,1936000000,2155000000,2107000000,2500000000,3152000000,3204000000,3776000000,4056000000
57,Other Non-Current Liabilities,159700000,141000000,280000000,1768000000,405300000,1173700000,1506100000,1635300000,1257300000,1717900000,1295000000,1271000000,638000000,1465000000,1788000000,746000000,1145000000,971000000,961000000,1191000000,1303000000,1319000000,2123000000,1596000000
58,Total Non-Current Liabilities,1768400000,1696500000,3327000000,10419000000,9595000000,8650100000,8830200000,7299100000,5818300000,7349500000,8898000000,8680000000,7449000000,8573000000,9239000000,10252000000,12264000000,14458000000,14842000000,16095000000,17883000000,21742000000,24821000000,23662000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3539700000,3491000000,9997000000,12279000000,11776000000,10804800000,10799300000,9326700000,9556500000,10035500000,11955000000,11644000000,11398000000,12418000000,12759000000,13551000000,15763000000,18734000000,19793000000,21285000000,22724000000,27316000000,30730000000,31935000000
62,Preferred Stock,- -,- -,- -,- -,69700000,69700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,5048000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5579000000,5296000000,5175000000,5050000000,5029000000,5205000000,5390000000,5660000000,7677000000,9644000000
64,Retained Earnings,1526800000,1457500000,- -,1655000000,630400000,741700000,1008100000,849700000,1080100000,1457500000,1859000000,2159000000,2551000000,1780000000,1904000000,2539000000,2100000000,2428000000,2474000000,2595000000,4474000000,4371000000,3746000000,4256000000
65,Other Comprehensive Income/Loss,- -,-8537200000,12698000000,300000000,300000000,-2700000,-2200000,-7300000,-1500000,-103500000,-130000000,-72000000,-18000000,11000000,40000000,31000000,38000000,59000000,42000000,51000000,12000000,119000000,117000000,203000000
66,Other Total Stockholders Equity,2847100000,11387400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,149000000,141000000,135000000,372000000,370000000,383000000,398000000,534000000,1013000000
67,Total Stockholders Equity,4373900000,4307700000,6418000000,6987000000,6432600000,6662000000,7025600000,6870000000,6928100000,6926200000,7182000000,7554000000,8179000000,7513000000,7686000000,8015000000,7454000000,7672000000,7917000000,8221000000,10259000000,10548000000,12074000000,15116000000
68,Total Liabilities And Stockholders Equity,7913600000,7798700000,16415000000,19266000000,18208600000,17466800000,17824900000,16196700000,16484600000,16961700000,19137000000,19198000000,19577000000,19931000000,20445000000,21566000000,23217000000,26406000000,27710000000,29506000000,32983000000,37864000000,42804000000,47051000000
69,Minority Interest,9600000,12400000,- -,- -,11200000,10700000,13100000,25600000,23600000,25900000,23000000,21000000,22000000,- -,- -,- -,- -,- -,19000000,42000000,82000000,111000000,528000000,943000000
70,Total Liabilities & Equity,7923200000,7811100000,16415000000,19266000000,18219800000,17477500000,17838000000,16222300000,16508200000,16987600000,19160000000,19219000000,19599000000,19931000000,20445000000,21566000000,23217000000,26406000000,27729000000,29548000000,33065000000,37975000000,43332000000,47994000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465909017585/0001104659-09-017585-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465910013969/0001104659-10-013969-index.html,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465912018936/0001104659-12-018936-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465913021158/0001104659-13-021158-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465916104290/0001104659-16-104290-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465917017116/0001104659-17-017116-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465918007662/0001104659-18-007662-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465919008382/0001104659-19-008382-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465920020115/0001104659-20-020115-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,72400000,349700000,461000300,453500478,-229000000,331500000,565800000,700300000,1122500000,1257900000,1128000000,998000000,1038000000,1219000000,1318000000,1294000000,1425000000,1382000000,1223000000,1460000000,1600000000,1746000000,1207000000,1655000000
74,Depreciation and Amortization,1021800000,1062100000,1212200060,1668998727,1570300000,1652800000,1643100000,1623700000,1575600000,1615000000,1716000000,1730000000,1735000000,1810000000,1865000000,1803000000,1834000000,1909000000,2047000000,2169000000,2267000000,2577000000,3012000000,3216000000
75,Deferred Income Tax,81500000,-10100000,152000600,-167099650,9200000,398600000,380900000,340000000,409200000,376900000,161000000,-83000000,213000000,205000000,163000000,21000000,188000000,68000000,-42000000,430000000,74000000,115000000,76000000,47000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,23800000,24300000,25100000,95800000,5000000,-8000000,-30000000,-12000000,9000000,24000000,74000000,-38000000,-2000000,17000000,6000000,-2000000,27000000,139000000
77,Change in Working Capital,- -,-90400000,-169500600,31902260,213200000,23300000,52000000,353700000,-247700000,25100000,-1000000,339000000,-236000000,-255000000,52000000,187000000,-64000000,214000000,-71000000,-142000000,256000000,-332000000,270000000,-82000000
78,Accounts Receivable,- -,- -,- -,- -,331700000,-83400000,-139700000,262700000,-95600000,-31600000,-217000000,272000000,-223000000,-79000000,-113000000,81000000,-20000000,55000000,-45000000,-70000000,74000000,-329000000,-231000000,-290000000
79,Inventory,- -,- -,- -,33099331,21800000,-27000000,-9800000,-5500000,-57600000,-19000000,-90000000,143000000,-13000000,-69000000,3000000,24000000,3000000,-40000000,42000000,-60000000,4000000,-61000000,30000000,-41000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-90400000,-169500600,11300541,-76700000,- -,- -,- -,- -,- -,57000000,-15000000,- -,-37000000,127000000,15000000,-189000000,281000000,-174000000,-111000000,338000000,-138000000,-95000000,8000000
82,Other Non-Cash Items,320600000,333800000,-20599880,-588701051,178300000,-262200000,-127500000,-127400000,-81000000,-199000000,-190000000,-72000000,-174000000,-417000000,-188000000,-83000000,-50000000,7000000,64000000,13000000,-145000000,-177000000,-18000000,-587000000
83,Cash Provided by Operating Activities,1496300000,1645100000,1635100480,1398600764,1742000000,2144000000,2538100000,2914600000,2803700000,3171700000,2819000000,2904000000,2546000000,2550000000,3219000000,3246000000,3407000000,3542000000,3219000000,3947000000,4058000000,3927000000,4574000000,4388000000
84,CAPEX,-1097600000,-1199200000,-1441300240,-2249399873,-1693300000,-1252700000,-1319000000,-1319000000,-1618400000,-1770300000,-2741000000,-2103000000,-1721000000,-1847000000,-1950000000,-2102000000,-3544000000,-4570000000,-2897000000,-3081000000,-2875000000,-3894000000,-2822000000,-5316000000
85,Acquisitions Net,- -,- -,-2463999700,-731300541,- -,- -,- -,-29400000,-49000000,- -,-696000000,-26000000,- -,-110000000,-33000000,-249000000,-42000000,42000000,-87000000,-536000000,-242000000,-1089000000,-3119000000,40000000
86,Purchases of Investments,- -,- -,- -,-33199618,- -,- -,- -,-11300000,-22700000,-8800000,-9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129000000,-148000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,61900000,900000,74200660,1192599491,-1691100000,-1197800000,-1299500000,-1314500000,-1603500000,-1762800000,-2728000000,-2102000000,-1707000000,-1858000000,-2025000000,-2140000000,-3626000000,-4519000000,-2836000000,-3107000000,-2735000000,-3955000000,-2917000000,-2261000000
89,Cash Used for Investing Activites,-1035700000,-1198300000,-3831099280,-1821300541,-1691100000,-1197800000,-1299500000,-1355200000,-1675200000,-1771600000,-3433000000,-2128000000,-1707000000,-1968000000,-2058000000,-2389000000,-3668000000,-4477000000,-2923000000,-3643000000,-2977000000,-5044000000,-6165000000,-5466000000
90,Debt Repayment,- -,- -,- -,- -,-985400000,-1201700000,-248600000,-1601100000,-1314700000,-7857000000,-11667000000,-9244000000,-4127000000,-3946000000,-6309000000,-3375000000,-5450000000,-6486000000,-4843000000,-5502000000,-5377000000,-5261000000,-3863000000,-4972000000
91,Common Stock Issued,7800000,3500000,14400120,103099331,92200000,86600000,148800000,219400000,104500000,900000,- -,1000000,15000000,24000000,1000000,- -,- -,- -,- -,- -,- -,- -,1495000000,1300000000
92,Common Stock Repurchased,-47600000,-1800000,- -,- -,- -,- -,-150800000,-892100000,-800200000,-749900000,-280000000,-602000000,- -,- -,- -,-1000000000,-612000000,-628000000,-179000000,- -,-100000000,- -,- -,- -
93,Dividends Paid,-309700000,-334900000,-352999400,-325200573,-135600000,-172000000,-248700000,-312200000,-414700000,-525100000,-438000000,-6000000,-473000000,-642000000,-774000000,-852000000,-913000000,-992000000,-1070000000,-1082000000,-1141000000,-1149000000,-930000000,-1045000000
94,Other Financing Activites,-426400000,-227300000,2667099580,561701688,951800000,356100000,151000000,138700000,1276500000,7762400000,12983000000,9112000000,3722000000,4011000000,5982000000,4599000000,6960000000,9204000000,6005000000,6357000000,5442000000,7648000000,5202000000,5670000000
95,Cash Used/Provided by Financing Activities,-775900000,-560500000,2328500300,339600446,-77000000,-931000000,-348300000,-2447300000,-1148600000,-1368700000,598000000,-739000000,-863000000,-553000000,-1100000000,-628000000,-15000000,1098000000,-87000000,-227000000,-1176000000,1238000000,1904000000,953000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-315300000,-113700000,132500000,-83100923,-26100000,15200000,890300000,-887900000,-20100000,31400000,-16000000,37000000,-24000000,29000000,61000000,229000000,-276000000,163000000,209000000,77000000,-95000000,121000000,313000000,-125000000
98,Cash at the End of Period,81400000,-32300000,100199460,17099650,-9000000,6200000,896500000,8600000,-11500000,19900000,4000000,41000000,17000000,46000000,107000000,336000000,60000000,223000000,432000000,509000000,414000000,535000000,848000000,723000000
99,Cash at the Beginning of Period,396700000,81400000,-32300540,100200573,17100000,-9000000,6200000,896500000,8600000,-11500000,20000000,4000000,41000000,17000000,46000000,107000000,336000000,60000000,223000000,432000000,509000000,414000000,535000000,848000000
100,Free Cash Flow,398700000,445900000,193800240,-850799109,48700000,891300000,1219100000,1595600000,1185300000,1401400000,78000000,801000000,825000000,703000000,1269000000,1144000000,-137000000,-1028000000,322000000,866000000,1183000000,33000000,1752000000,-928000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465909017585/0001104659-09-017585-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465910013969/0001104659-10-013969-index.html,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465912018936/0001104659-12-018936-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465913021158/0001104659-13-021158-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/868675/000110465916104290/0001104659-16-104290-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465917017116/0001104659-17-017116-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465918007662/0001104659-18-007662-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465919008382/0001104659-19-008382-index.html,https://www.sec.gov/Archives/edgar/data/868675/000110465920020115/0001104659-20-020115-index.html,- -,- -
102,Forex Rate,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
