,https://roic.ai/company/JHG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,89041871,91354320,93699415,92149513,70697101,52800000,69800000,62600000,49200000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-355600000,-10500000,-4700000,-104800000,- -
76,Stock Based Compensation,- -,10840388,29584060,46802181,32949170,25710266,27781208,83840517,62216189,48810250,44826298,42815449,34916718,67400000,82400000,74200000,66700000,- -
77,Change in Working Capital,14193647,-60767487080,-339510414,101289658,-195308896,-106539159,66544417,-109936540,93596057,265993641,160069744,-171013895,11793754,832811536,53200000,520400000,-345200000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,61395197177,627710097,288199683,389489341,194180444,87641285,154185702,44249162,137845219,403838860,563908604,392894710,404688464,1237500000,1290700000,1811100000,1465900000,- -
82,Other Non-Cash Items,-1923239221,60119128624,232733510,-156817670,157087859,79373595,-26107326,89131671,-136420188,-324038263,-509496963,196940205,-32151558,-808811536,-47900000,-616900000,818200000,273300000
83,Cash Provided by Operating Activities,-2331210680,-549418405,42514841,253247397,-35877986,20859273,188449191,115824121,269549619,288409215,191445648,399709625,220481184,444100000,670800000,463200000,645700000,895400000
84,CAPEX,-2684709222,-17206965,-2155130,-3173029,-32656289,-6629691,-20835906,-13662899,-8564826,-13356859,-8871871,-15555786,-12954966,-17700000,-29100000,-37800000,-17800000,- -
85,Acquisitions Net,-3085775664,-4439052929,94042045,-73772930,-2489493,-88773184,-308680,336448888,-7433623,-12202563,64593450,62963896,- -,417700000,42400000,2300000,43800000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-12281637,-70247184,-120003736,-39111691,-94016039,-34900000,- -,-355700000,-20200000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,25371277,20117738,58990163,44593253,33312770,156800000,87600000,1500000,134800000,- -
88,Other Investing Activites,1980205616,586929589,1175526,75954388,146441,38646249,17749105,27946839,-5332816,-1813894,155647,-10370524,-3207896,-2400000,- -,400000,-11200000,-283300000
89,Cash Used for Investing Activites,-3790279270,-3869330305,93062440,-991572,-34999341,-56756626,-3395481,350732828,-2100806,-68763089,1245175,55260078,-67119062,519500000,100900000,-389300000,129400000,-283300000
90,Debt Repayment,-9590302,-382166701,- -,- -,- -,- -,- -,-381008570,-230442301,- -,- -,- -,-185070944,-93400000,-96600000,-1100000,-600000,- -
91,Common Stock Issued,226714746,1032418,979605,1784829,292882,75028702,308680,3260465,3070409,9893970,11362221,15259485,9993831,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-7672242,-10840388,-60147724,-186018840,-23723403,-14552981,-20835906,-38038753,-9857630,-16160150,-51363467,-37037586,- -,- -,-99800000,-199900000,-130800000,- -
93,Dividends Paid,- -,- -,-51331283,-525136341,-62823085,-78100998,-75626621,-108526891,-125401981,-129611002,-144595941,-156150461,-143368291,-256000000,-275100000,-272400000,-262900000,- -
94,Other Financing Activites,4679683904,-315747815,-391058169,345066931,16694246,0,- -,208824991,-26179280,-17974045,8871871,-77630780,-28130783,-155300000,-145300000,266400000,-96700000,-588100000
95,Cash Used/Provided by Financing Activities,4889136106,-707722486,-501557571,-364303421,-69559360,-17625277,-96153846,-315488759,-388810782,-153851228,-175725314,-255559342,-346576188,-504700000,-616800000,-207000000,-491000000,-588100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-3070409,-8409874,-622587,6222314,23442320,12100000,-32500000,13000000,27500000,-13500000
97,Net Change In Cash,-1232353844,-5126471196,-367155816,-121170055,-140436686,-53522630,88899864,151068190,-124432378,57385024,16342921,205632676,-169771746,471000000,122400000,-120100000,311600000,-588100000
98,Cash at the End of Period,61707265613,912141235,605983425,701437779,334470690,261306858,346339054,303533723,318191367,382072127,377910596,565341709,301048735,794200000,916600000,796500000,1108100000,- -
99,Cash at the Beginning of Period,62939619457,6038612430,973139241,822607833,474907376,314829488,257439190,152465532,442623746,324687103,361567675,359709033,470820481,323200000,794200000,916600000,796500000,- -
100,Free Cash Flow,-5015919902,-566625370,40359711,250074368,-68534274,14229581,167613286,102161222,260984793,275052356,182573777,384153839,207526218,426400000,641700000,425400000,627900000,889500000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1274173/000104746918001112/0001047469-18-001112-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837019001101/0001558370-19-001101-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837020001487/0001558370-20-001487-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837021001617/0001558370-21-001617-index.htm,https://www.sec.gov/Archives/edgar/data/1274173/000155837022002009/0001558370-22-002009-index.htm
102,false,,,,,,,,,,,,,,,,,,
