,https://roic.ai/company/CAPR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,62838,73699,27486,16765,9744,3488,74187,229455,318566,435336,372096,574206,442806,850847,4617640
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,252723,209549,106830,- -,- -,- -,1757152,1739752,1691003,142253,93048,- -,- -,2165,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,252723,209549,106830,- -,- -,- -,1757152,1739752,1691003,142253,93048,49772,6495,2165,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,283,83,- -,- -,- -,- -,- -,- -,14000,106597,51938,51938,51938,51938,25728,55320,70146,61426,95969,151788,119608,88701,275722
45,Total Non-Current Assets,283,83,- -,- -,- -,- -,- -,- -,329561,389845,186254,68703,61682,55426,1857067,2024527,2079715,639015,561113,775766,568909,941713,4893362
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,283,14261,243,25,1079,635,281,- -,17089328,6435469,3619704,3665953,1372170,227054,5537907,13632072,16069572,18747355,16273789,9247065,11113637,34618796,41330323
48,Accounts Payable,900,900,8285,9465,4802,7400,8471,9078,658773,745595,234782,332380,437837,182916,1506509,1699254,2530500,3038780,1496251,1255219,897992,2724593,- -
49,Short-Term Debt,- -,- -,- -,7659,36963,51998,69434,124750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246689,417632
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4166667,3645834,1367186,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,900,7430,- -,- -,- -,950,1230623,586256,402772,736705,103610,148067,546413,433712,352334,489217,174424,- -,- -,- -,3715759
53,Total Current Liabilities,900,900,9185,24554,41765,59398,77905,134778,1889396,1331851,637554,1069085,541447,330983,2052922,6299633,6528668,4895183,1670675,1255219,897992,2971282,4133391
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3961733,9155857,9155857,13905857,- -,- -,- -,71471,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4166666,911458,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63384,58134,258639,505363,3949469,3376259,3376259,3376259,3376259,1695575
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63384,4019867,13581162,10572678,17855326,3376259,3376259,3376259,3447730,1695575
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,900,900,9185,24554,41765,59398,77905,134778,1889396,1331851,637554,1069085,541447,394367,6072789,19880795,17101346,22750509,5046934,4631478,4274251,6419012,5828966
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1,7551,7551,7551,7551,7551,7551,7551,24100,24150,27086,34630,39712,43062,11687,11707,16255,21399,26271,31388,5227,20577,24185
64,Retained Earnings,-717,-37239,-59542,-75129,-91286,-109363,-128224,-189578,-12894810,-26026406,-33898703,-39930194,-44814980,-46708017,-16098535,-22315127,-35172466,-53979242,-51547819,-66738914,-74380731,-88037759,-108060279
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-14089,-34228,-39170,-52096,-40611,-46867,-980,- -,9385,3524,11620,12393,-757,- -,- -
66,Other Total Stockholders Equity,99,43049,43049,43049,43049,43049,43049,47249,28084731,31140102,36892937,42544528,45646602,46544509,15552946,16054697,34115052,49951165,62736783,71310720,81215647,116216966,139404060
67,Total Stockholders Equity,-617,13361,-8942,-24529,-40686,-58763,-77624,-134778,15199932,5103618,2982150,2596868,830723,-167313,-534882,-6248723,-1031774,-4003154,11226855,4615587,6839386,28199784,31367966
68,Total Liabilities And Stockholders Equity,283,14261,243,25,1079,635,281,- -,17089328,6435469,3619704,3665953,1372170,227054,5537907,13632072,16069572,18747355,16273789,9247065,11113637,34618796,37196932
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4133391
70,Total Liabilities & Equity,283,14261,243,25,1079,635,281,- -,17089328,6435469,3619704,3665953,1372170,227054,5537907,13632072,16069572,18747355,16273789,9247065,11113637,34618796,41330323
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133869/000114420407005646/0001144204-07-005646-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000119312508067071/0001193125-08-067071-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000119312509051159/0001193125-09-051159-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420410011112/0001144204-10-011112-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420411014594/0001144204-11-014594-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420412019563/0001144204-12-019563-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420413036076/0001144204-13-036076-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420414019617/0001144204-14-019617-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420415016469/0001144204-15-016469-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420416091632/0001144204-16-091632-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420417014866/0001144204-17-014866-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420418016468/0001144204-18-016468-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420419016787/0001144204-19-016787-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000110465920039272/0001104659-20-039272-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000110465921036410/0001104659-21-036410-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000155837022003341/0001558370-22-003341-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-200,-36522,-22303,-15587,-16157,-18077,-18861,-61354,-10302795,-13131596,-7872297,-6031491,-4884786,-1893037,-8891924,-6216592,-12857339,-18806776,2431423,-15191095,-7641817,-13657028,-20023
74,Depreciation and Amortization,200,200,83,- -,- -,- -,- -,- -,26984,113289,159589,12926,7507,6256,26923,41896,110865,125719,144174,157652,171956,143890,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3035282,2246181,1123303,806327,312690,263593,496939,1573224,1962465,1710698,1725590,700984,1952679,- -
77,Change in Working Capital,- -,14178,-22220,-15587,-16157,-18077,-18861,-57154,15005149,-10156598,-1917877,-267731,-1759124,-928396,1787273,3679994,2153277,5751968,828844,-6825921,2430656,21059065,1597769
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87968,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,80122,-588267,181752,105457,-254921,- -,- -,- -,- -,- -,-415456,- -,- -,- -
81,Other Working Capital,-900,13278,-8942,-24529,-40686,-58763,-77624,-134778,14870371,4713773,2795896,2528165,769041,-159355,1627918,5307912,7461189,13213157,14042001,7216080,9646736,30705801,32303570
82,Other Non-Cash Items,- -,-15178,31418,16854,11494,20675,19932,62911,-10101955,9499579,1588910,844729,1180784,315806,670134,2956325,-1797313,-4834996,-19346018,6271333,-2483280,-19553416,-1577746
83,Cash Provided by Operating Activities,- -,-37322,-13022,-14320,-20820,-15479,-17790,-55597,-5372617,-10640044,-5795494,-4318264,-4649292,-2186681,-6144001,958562,-10817286,-15801620,-14230879,-13862441,-6821501,-10054810,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-288900,-92630,-36726,-2205,-1987,- -,-109345,-186431,-151227,-193739,-32185,-316486,- -,-547601,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226998,- -,-17989625,-17997361,-18986194,-18011577,-6002050,-6130193,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4114045,327474,10000000,13000000,24000000,23000000,3000000,12117000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47316,-29804,- -,- -,- -,-52566,- -,- -,- -,- -,- -,- -,- -,-1196
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-288900,-92630,-34226,-2205,-1987,- -,3778366,141043,-8140852,-5191100,4981621,4671937,-3002050,5439206,-1196
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,50500,- -,- -,- -,- -,- -,- -,19872747,- -,3287175,4516699,2298566,1194207,- -,- -,16446218,- -,11073152,6714324,9174753,27343069,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-193,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,14189,21874,15035,17436,55316,- -,- -,217473,6207,13748,- -,3925066,5205623,45461,18628792,506640,139140,3222,6039081,- -
95,Cash Used/Provided by Financing Activities,- -,50500,- -,14189,21874,15035,17436,55316,19872747,- -,3504648,4522906,2312314,1194207,3925066,5205623,16491679,18628792,11579792,6853464,9177782,33382150,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-13022,-131,1054,-444,-354,- -,14211230,-10732674,-2325072,202437,-2338965,-992474,1559431,6305228,-2466459,-2363928,2330534,-2337040,-645769,28766546,2220
98,Cash at the End of Period,- -,13178,156,25,1079,635,281,- -,16233464,5500790,3175718,3378155,1039190,46716,1729537,8034765,5568306,3204378,6882137,4545097,3899328,32665874,- -
99,Cash at the Beginning of Period,- -,- -,13178,156,25,1079,635,281,2022234,16233464,5500790,3175718,3378155,1039190,170106,1729537,8034765,5568306,4551603,6882137,4545097,3899328,32665874
100,Free Cash Flow,- -,-37322,-13022,-14320,-20820,-15479,-17790,-55597,-5661517,-10732674,-5832220,-4320469,-4651279,-2186681,-6253346,772131,-10968513,-15995359,-14263064,-14178927,-6821501,-10602411,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133869/000114420407005646/0001144204-07-005646-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000119312508067071/0001193125-08-067071-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000119312509051159/0001193125-09-051159-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420410011112/0001144204-10-011112-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420411014594/0001144204-11-014594-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420412019563/0001144204-12-019563-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420413036076/0001144204-13-036076-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420414019617/0001144204-14-019617-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420415016469/0001144204-15-016469-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420416091632/0001144204-16-091632-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420417014866/0001144204-17-014866-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420418016468/0001144204-18-016468-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420419016787/0001144204-19-016787-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000110465920039272/0001104659-20-039272-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000110465921036410/0001104659-21-036410-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000155837022003341/0001558370-22-003341-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
