,https://roic.ai/company/CLRI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181809000025/0001091818-09-000025-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181811000653/0001091818-11-000653-index.html,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181814000010/0001091818-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181815000005/0001091818-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181816000214/0001091818-16-000214-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181817000003/0001091818-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181818000006/0001091818-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181819000007/0001091818-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181820000009/0001091818-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181821000026/0001091818-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181821000154/0001091818-21-000154-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,152825,20711,8273,22348,39188,38420,11188,2505,6156,3103,25994,413,27698,75983,401001
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,152825,20711,8273,22348,39188,38420,11188,2505,6156,3103,25994,413,27698,75983,401001
34,Net Receivables,14024,54321,1140,5019,- -,2468,22404,- -,88442,24000,96495,109660,215956,218615,320245
35,Inventory,130182,48809,35820,51076,45998,30067,22881,16094,11967,9585,30259,13790,19838,12471,14653
36,Other Current Assets,32422,704356,39670,32407,8656,296082,68657,8656,9991,16115,10689,973,19136,64416,47383
37,Total Current Assets,329453,828197,84903,110850,93842,367037,125130,27255,116556,52803,163437,124836,282628,371485,783282
38,PP&E,282429,121248,89720,25270,12201,2342,- -,- -,- -,- -,- -,- -,- -,8427,11391
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,633000,240332,197640,84120,10878,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,633000,240332,197640,84120,10878,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8656,8656,8656,8656,- -,44801
45,Total Non-Current Assets,282429,121248,89720,25270,12201,2342,- -,- -,633000,248988,206296,92776,19534,8427,56192
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,611882,949445,174623,136120,106043,369379,125130,27255,749556,301791,369733,217612,302162,379912,839474
48,Accounts Payable,236847,243579,279405,243887,333735,991843,442752,387575,414588,434360,456734,502178,264855,253372,159952
49,Short-Term Debt,240000,39000,- -,- -,- -,51122,- -,180738,124222,- -,16498,147589,53729,67391,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1022126,23503,8503,22786,31110,44915,41725,39723,47652,344076,367118,703282,693886,977296
52,Other Current Liabilities,69635,101537,360594,201130,313973,631477,567418,285950,131856,35347,25345,276479,307859,43457,- -
53,Total Current Liabilities,546482,1406242,663502,453520,670494,1705552,1055085,895988,710389,517359,842653,1293364,1329725,1058106,1137248
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,132676,117589,- -,39140,- -,- -
55,Deferred Revenue,- -,- -,5314,1063,18870,28002,10704,2825,3253,2962,64767,112333,100011,- -,154500
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,15000,- -,25000,115000,- -,- -,- -,- -,- -,- -,- -,10667,- -,- -
58,Total Non-Current Liabilities,- -,15000,5314,26063,133870,28002,10704,2825,3253,135638,182356,112333,149818,- -,154500
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122022,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,546482,1421242,668816,479583,804364,1733554,1065789,898813,713642,652997,1025009,1405697,1479543,1180128,1291748
62,Preferred Stock,- -,- -,- -,250,1074,11,31,29,33,33,69,87,87,87,76
63,Common Stock,30366,48165,71717,132308,134657,1,20581,21249,1974,2039,2039,2039,2120,2240,2286
64,Retained Earnings,-2872916,-4981396,-5396558,-6483574,-7687610,-8936822,-11801251,-12101150,-14154917,-14652520,-15511703,-16044512,-16221110,- -,-15694743
65,Other Comprehensive Income/Loss,- -,-5475,-87868,-110855,-123924,- -,-136125,-136125,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2907950,4466909,4918516,6118408,6977482,7572635,10976105,11344439,14188824,14299242,14854319,14854301,15041522,-789123,15240107
67,Total Stockholders Equity,65400,-471797,-494193,-343463,-698321,-1364175,-940659,-871558,35914,-351206,-655276,-1188085,-1177381,-786796,-452274
68,Total Liabilities And Stockholders Equity,611882,949445,174623,136120,106043,369379,125130,27255,749556,301791,369733,217612,302162,393332,839474
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13420,- -
70,Total Liabilities & Equity,611882,949445,174623,136120,106043,369379,125130,27255,749556,301791,369733,217612,302162,379912,839474
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181809000025/0001091818-09-000025-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181811000653/0001091818-11-000653-index.html,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181814000010/0001091818-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181815000005/0001091818-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181816000214/0001091818-16-000214-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181817000003/0001091818-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181818000006/0001091818-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181819000007/0001091818-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181820000009/0001091818-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181821000026/0001091818-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181821000154/0001091818-21-000154-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-1250000,-2110000,-420000,-1090000,-1200000,-1249212,-2860000,-300000,-2053770,-574320,-859180,-532810,-176600,230205,361098
74,Depreciation and Amortization,98173,50050,33225,25249,13069,9858,2342,- -,200000,139668,94600,113520,73242,10878,2129
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,138751,182252,124657,71500,1801859,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-30708,-361016,-554,235929,-233982,-761863,408560,61222,274900,129277,-214660,-489312,121431,360476,332655
78,Accounts Receivable,23215,- -,53182,-3879,5019,-4668,-19936,22404,-88442,62442,-72497,-27164,-142296,10676,-111630
79,Inventory,-130182,81373,12989,-15256,5078,10931,7186,6787,4127,2382,-20674,16469,-6048,7367,-2182
80,Accounts Payable,130717,- -,35826,18065,89809,678392,23624,-55177,27013,19772,22374,47520,-237323,-11483,-63458
81,Other Working Capital,-217029,-578045,-578599,-342670,-576652,-1338515,-929955,-868733,-593833,-464556,-679216,-1168528,-1047097,-686621,-353966
82,Other Non-Cash Items,-150060,1286053,54106,-130735,525777,1739741,533452,21095,1423531,256312,738178,887237,-87430,-603361,-317324
83,Cash Provided by Operating Activities,-1332595,-1134913,-194472,-777305,-770479,-189976,-113787,-217683,-155339,-49063,-241062,-21365,-69357,-1802,378558
84,CAPEX,-154182,-35797,- -,-4004,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9029,-5093
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,124696,- -,6663,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,- -
89,Cash Used for Investing Activites,-154182,88899,- -,2659,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34029,-5093
90,Debt Repayment,- -,- -,- -,-1279,-2681,-792,-145000,-150000,- -,-33000,-33920,-15782,-39964,- -,-48447
91,Common Stock Issued,1320002,889900,39100,500000,- -,- -,- -,- -,37990,5000,262873,- -,100000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-990,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7204,- -,- -
94,Other Financing Activites,300000,24000,142934,290000,790000,190000,231555,359000,121000,75000,35000,30000,43810,84116,- -
95,Cash Used/Provided by Financing Activities,1620002,913900,182034,788721,787319,189208,86555,209000,158990,46010,263953,14218,96642,84116,-48447
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,133225,-132114,-12438,14075,16840,-768,-27232,-8683,3651,-3053,22891,-7147,27285,48285,325018
98,Cash at the End of Period,152825,20711,8273,22348,39188,38420,11188,2505,6156,3103,25994,413,27698,75983,401001
99,Cash at the Beginning of Period,19600,152825,20711,8273,22348,39188,38420,11188,2505,6156,3103,7560,413,27698,75983
100,Free Cash Flow,-1486777,-1170710,-194472,-781309,-770479,-189976,-113787,-217683,-155339,-49063,-241062,-21365,-69357,-10831,373465
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181809000025/0001091818-09-000025-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181811000653/0001091818-11-000653-index.html,- -,https://www.sec.gov/Archives/edgar/data/1362516/000109181814000010/0001091818-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181815000005/0001091818-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181816000214/0001091818-16-000214-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181817000003/0001091818-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181818000006/0001091818-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181819000007/0001091818-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181820000009/0001091818-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181821000026/0001091818-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1362516/000109181821000154/0001091818-21-000154-index.htm
102,false,,,,,,,,,,,,,,,
