,https://roic.ai/company/SRL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16859/000094523405000240/o16226e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000094523406000277/o30804e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000094523407000209/o35537e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000095012308003538/o39892e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000090956709000291/0000909567-09-000291-index.html,https://www.sec.gov/Archives/edgar/data/16859/000095012310028465/0000950123-10-028465-index.html,https://www.sec.gov/Archives/edgar/data/16859/000095012311031631/o69684e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000119312512141491/0001193125-12-141491-index.html,https://www.sec.gov/Archives/edgar/data/16859/000120677413001248/0001206774-13-001248-index.html,https://www.sec.gov/Archives/edgar/data/16859/000120677414001074/mfc_20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000156761915000369/s000818x1_20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000167276416000008/t1600851-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000167276417000020/0001672764-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/16859/000157104918000229/tv489500-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000114420419022492/tv518904-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000110465920059613/tm206803-1_20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17600000,42200000,38900000,49600000,68500000,77200000,102400000,145500000,215700000,226600000,238511184,350959349,497858879,440358952,397760632,395180092,272374506,353687845,345116713,197519000,120676000,74870000,67760000,78274000,63552000
32,Short-Term Investments,45400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4791473,15359553,3635179,24447691,27898463,13336302,6804637,6866702,474792,403000,5200000,5321000,7400000,14174000,18497000
33,Cash and Short-Term Investments,63000000,42200000,38900000,49600000,68500000,77200000,102400000,145500000,215700000,226600000,243302657,366318902,501494058,464806643,425659095,408516394,279179143,360554547,345591505,197922000,125876000,80191000,75160000,92448000,82049000
34,Net Receivables,17700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,119248602,79876608,110835841,139432883,30991958,51220507,89995306,154049859,226072842,177661000,182956000,56696000,14122000,6088000,37799000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102694548,123767694,134065937,84621387,67112736,82928683,154332952,108095450,260752373,246475000,33020000,9826000,11406000,2388000,1413000
36,Other Current Assets,20700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,47791239,58146455,119729677,84417202,36796887,33373427,157232882,134373974,171499652,163792000,59102000,2568000,1318000,7571000,7950000
37,Total Current Assets,101400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,513037046,628109659,866125513,773278115,560560675,576039011,680740283,757073830,1003916371,785850000,400954000,149281000,102006000,108495000,129211000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3487884,2928317,3029113,2363305,235536680,3821603,608591232,597267825,605274726,95745000,178590000,176505000,331575000,325483000,313238000
39,Goodwill,11300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,20014296,18730650,17893519,17026095,28053168,16411709,16126497,20445164,15121428,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,11300000,20014296,18730650,17893519,17026095,28053168,16411709,16126497,20445164,15121428,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395525,76438,12977076,30968972,31853462,28568844,38034417,680000,561000,771000,4702000,3809000,3721000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39417521,24418817,7714563,14036376,6728076,7682004,18414303,19103039,27850192,20641000,16647000,16694000,15735000,14295000,10856000
44,Other Non-Current Assets,47700000,207005003,233900929,252860243,314926514,366400828,430162103,388450342,583254140,693136295,192089935,126197890,54541072,36306098,38590173,258483507,34747422,1990055,18252202,74435000,53586000,53696000,52895000,51267000,52099000
45,Total Non-Current Assets,59000000,227019299,252631579,270753762,331952609,394453996,446573812,404576839,603699304,708257723,234995340,153545025,65680273,52782217,293832006,300956086,693606419,646929762,689411537,191501000,249384000,247666000,404907000,394854000,379914000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,160400000,227019299,252631579,270753762,331952609,394453996,446573812,404576839,603699304,708257723,748032386,781654683,931805786,826060331,854392681,876995097,1374346702,1404003592,1693327908,977351000,650338000,396947000,506913000,503349000,509125000
48,Accounts Payable,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,249303355,313031849,406670286,189071706,47137541,38248702,60531426,88578216,137370368,110881000,27053000,39528000,18849000,9921000,9923000
49,Short-Term Debt,1400000,- -,2631579,3446181,- -,- -,- -,- -,26544276,- -,5989049,- -,- -,- -,74134860,144181536,193559099,185964210,253434312,144808000,131665000,45807000,- -,364000,384000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10937179,18944133,3803608,6605870,5222858,6247006,13436955,12630000,6096000,4469000,1686000,1205000,1651000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5126004,28195262,- -,239935,1097297,5398384,2910276,4159000,2006000,769000,6388000,4637000,2767000
52,Other Current Liabilities,21200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,60788677,79379477,113732301,167724478,27302368,24560155,81989909,55151892,47346836,154714000,53952000,6665000,1970000,4967000,3063000
53,Total Current Liabilities,24700000,- -,2631579,3446181,- -,- -,- -,- -,26544276,- -,316081081,392411327,525528591,384991445,148574768,207230328,337177732,335092702,441061792,414562000,214676000,92769000,27207000,19889000,16137000
54,Long-Term Debt,41500000,41601144,37616099,27544850,35409418,97954473,68797608,33296406,14383249,24093243,16048462,13784976,13767921,12197668,48611777,20573150,118209680,202168945,297351967,174333000,80564000,13699000,3981000,40187000,43276000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10697810,2567848,9305182,14879291,64446310,62326945,3373469,3802294,11859346,13711000,7353000,10303000,66421000,65307000,66115000
57,Other Non-Current Liabilities,2700000,62330236,56346749,69019097,79701560,47499205,86735914,148008502,290585554,378694214,60561509,62807797,59940901,73484431,40231436,26185587,156147522,117876428,163611608,5545000,18315000,227000,14898000,15952000,14873000
58,Total Non-Current Liabilities,44200000,103931380,93962848,96563947,115110978,145453678,155533522,181304908,304968803,402787457,87307781,79160621,83014004,100561390,153289522,109085682,277730670,323847666,472822921,193589000,106232000,24229000,85300000,121446000,124264000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174615563,- -,- -,- -,- -,- -,555461341,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13699000,- -,364000,384000
61,Total Liabilities,68900000,103931380,93962848,96563947,115110978,145453678,155533522,181304908,304968803,402787457,403388863,471571947,608542595,485552835,301864291,316316010,614908402,658940368,913884713,608151000,320908000,116998000,112507000,141335000,140401000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,53400000,70335954,66408669,65655382,65116977,76636422,- -,61891022,71511879,72751257,- -,- -,- -,- -,- -,- -,393736802,421811830,463474516,435333000,435333000,16000,16000,329114000,16000
64,Retained Earnings,25200000,48320229,79102167,109866898,148717756,164794651,196287378,173673837,209960403,-243837091,252380009,161055460,189463777,194540709,213553163,217677200,423980629,424255477,449314346,-63559000,-88920000,-87183000,19333000,1009000,1378000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,18733082,-17118382,-12051836,32471583,-279590,94747943,59118209,71722162,14292286,6353683,3820147,-27738323,-54486125,56503000,42192000,38792000,40803000,26132000,33695000
66,Other Total Stockholders Equity,12900000,1572552,10681114,- -,- -,4449220,- -,- -,- -,423023690,- -,- -,- -,- -,- -,- -,-68255286,-73447835,-80076123,-61085000,-61085000,326155000,326224000,-2643000,326455000
67,Total Stockholders Equity,91500000,120228735,156191950,171221065,213062388,245880293,285289581,218446477,269420446,284409439,318463420,304214218,318749338,334850015,547843641,558102083,753282292,744881149,778226614,367192000,327520000,277780000,386376000,353612000,361544000
68,Total Liabilities And Stockholders Equity,160400000,224160115,250154798,267785012,328173366,391333971,440823103,399751385,574389249,687196896,721852283,775786166,927291933,820402850,849707932,874418093,1368190694,1403821517,1692111327,975343000,648428000,394778000,498883000,494947000,501945000
69,Minority Interest,- -,2859184,2476781,2968750,3779243,3120025,5750709,4825454,29310055,21060828,26180103,5868518,4513853,5657481,4684749,2577004,6156008,182076,1216581,2008000,1910000,2169000,8030000,8402000,7180000
70,Total Liabilities & Equity,160400000,227019299,252631579,270753762,331952609,394453996,446573812,404576839,603699304,708257723,748032386,781654683,931805786,826060331,854392681,876995097,1374346702,1404003592,1693327908,977351000,650338000,396947000,506913000,503349000,509125000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16859/000094523405000240/o16226e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000094523406000277/o30804e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000094523407000209/o35537e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000095012308003538/o39892e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000090956709000291/0000909567-09-000291-index.html,https://www.sec.gov/Archives/edgar/data/16859/000095012310028465/0000950123-10-028465-index.html,https://www.sec.gov/Archives/edgar/data/16859/000095012311031631/o69684e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000119312512141491/0001193125-12-141491-index.html,https://www.sec.gov/Archives/edgar/data/16859/000120677413001248/0001206774-13-001248-index.html,https://www.sec.gov/Archives/edgar/data/16859/000120677414001074/mfc_20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000156761915000369/s000818x1_20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000167276416000008/t1600851-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000167276417000020/0001672764-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/16859/000157104918000229/tv489500-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000114420419022492/tv518904-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000110465920059613/tm206803-1_20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13300000,24446033,31578947,30567130,39149670,45267431,50755430,49116321,36951044,34152128,35472973,41733223,-8460584,42628488,30320851,12449053,225581682,10291002,972801,-487630000,-25361000,-47855000,112276000,-18553000,369000
74,Depreciation and Amortization,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2933364,3247194,5227015,3614589,11767883,13481284,20206987,29904065,31628792,6450000,11951000,6732000,5712000,8287000,11470000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2255651,-4603399,- -,- -,- -,-1918686,-2757986,10491757,537162,-1447232,-2586193,-12042417,-1116944,-4959194,-1771000,1454000,3141000,55238000,98000,4798000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4160923,-409416,72012,7370599,8953,- -,444609,- -,- -,2876000,69000,- -,- -
77,Change in Working Capital,11500000,-58327377,-26160991,-11756366,1018296,42838268,25997797,9990983,8738901,33739831,8158201,71056006,10241055,-43274549,26750279,-578907,-184102245,-25264863,-57403366,-90752000,106042000,9714000,5545000,-5404000,-35354000
78,Accounts Receivable,27400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2341830,-30937957,10750724,56306000,-16869000,30188000,10264000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50743243,-27816537,11366780,48026289,-4403704,-23295136,-36290404,34648681,-33660297,15650000,184944000,19588000,-1429000,1551000,517000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8224260,-2853584,14254200,-17017000,-124528000,-26513000,435000,-157000,521000
81,Other Working Capital,- -,- -,-1,- -,- -,- -,1,- -,- -,- -,1408435,6071529,23569639,8817629,650104,-20471050,-15280589,-3406199,2832498,-700000,667000,-54000,-275000,159000,-60000
82,Other Non-Cash Items,-9900000,11436741,-6346749,7848669,-9425614,9207259,-51303117,-21744171,14518838,-547019,-1845293,15758644,80651807,-13408116,-39232276,15535536,-193278557,-3045242,25335770,469337000,5781000,22195000,-186031000,5765000,-2554000
83,Cash Provided by Operating Activities,15700000,-22444603,-928793,26659433,30742352,95057307,20846711,37363133,60208783,67344940,42800559,129037080,102311973,-10311841,28231516,45671372,-143625597,10768019,-3980589,-104366000,99867000,-3197000,-7191000,-9807000,-21271000
84,CAPEX,- -,- -,-773994,- -,- -,- -,- -,- -,-3693305,-2947633,-2863467,-3437331,-3696029,-1885827,-1111178,-1192528,-2097102,-7027482,-42420146,-8045000,-198000,-765000,-198000,-720000,-227000
85,Acquisitions Net,- -,- -,- -,-737847,- -,- -,-34977967,-754863,- -,-4073030,22122554,-7731272,-1882699,3026119,213884216,-96995,-78139917,-7066878,-77858880,- -,24870000,-8428000,-825000,-1902000,-873000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-5440667,- -,-5117591,-65038,-76887,-451577,- -,- -,-1338214,-38307920,-5073633,-2076302,-1044774,- -,- -,- -,-1199000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,4789386,- -,- -,- -,- -,- -,6486785,13521163,7568673,2602475,7494916,1715751,- -,10138000,526000,- -,- -,- -
88,Other Investing Activites,-12500000,75625447,-773994,-34989873,-31220756,37656797,21340888,60895272,22961364,1831528,-101111371,57437,-1971540,- -,-287154937,-6458846,27320021,7773886,1859698,-1911000,672000,4408000,941000,-7580000,4519000
89,Cash Used for Investing Activites,-12500000,75625447,-1547988,-35727720,-31220756,37656797,-19077746,64929795,14150468,-5254174,-81929171,-11562743,-7550268,7627076,-62198950,-37295088,-55388155,-901860,-117748352,-9956000,35482000,-3494000,-1281000,-10202000,3419000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2502152,- -,-813130,-4399489,-28112901,-39094095,-34240727,-49526000,-186286000,-42253000,- -,-872000,-451000
91,Common Stock Issued,- -,4145818,- -,- -,- -,18361987,- -,- -,1391889,- -,- -,8736427,5318290,- -,48231716,- -,- -,- -,275124,- -,- -,1177000,- -,- -,- -
92,Common Stock Repurchased,17900000,- -,-4643963,-208333,-359928,- -,-7025496,-9671519,-10057596,-33681,- -,- -,- -,- -,- -,- -,-43773,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-571837,-309598,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12774752,-13690850,-15985392,-13145579,-4388000,- -,- -,- -,- -,- -
94,Other Financing Activites,-5000000,-33166547,1,27037037,17212058,-139504935,20549261,-38620378,8974082,-27021132,30707130,-8401705,- -,- -,-11542847,-598306,124782522,104702028,120831596,-14755000,19011000,-1644000,-857000,35664000,-47000
95,Cash Used/Provided by Financing Activities,12900000,-29592566,-4953560,26828704,16852130,-121142948,13523765,-48291897,308375,-27054813,30707130,334721,2816138,- -,35875739,-17772547,82934998,49622541,73720414,-68669000,-167275000,-42720000,-857000,34792000,-498000
96,Effect of Forex Changes on Cash,- -,1143674,4024768,-7064525,2576485,2185610,9954359,-10962257,-4397648,-24222158,20382106,30457667,-31020113,14688719,-24765962,-1472282,3402319,2675767,7518890,35619000,-37540000,3605000,2219000,-4269000,3628000
97,Net Change In Cash,16100000,24588992,-3405573,10695891,18951710,13756765,25247088,43038774,70271178,10813795,11960625,148266726,66557730,12003954,-22857657,-10868545,-112676435,62164467,-40489636,-147372000,-76843000,-45806000,-7110000,10514000,-14722000
98,Cash at the End of Period,17600000,42172981,38854489,49567419,68501800,122836676,102412653,145451501,215722342,226252334,238511184,350959349,497858879,440358952,397760632,395180092,272374506,353687845,345116713,197519000,120676000,74870000,67760000,78274000,63552000
99,Cash at the Beginning of Period,1500000,17583989,42260062,38871528,49550090,109079911,77165565,102412727,145451164,215438539,226550559,202692623,431301149,428354998,420618288,406048637,385050941,291523378,385606349,344891000,197519000,120676000,74870000,67760000,78274000
100,Free Cash Flow,15700000,-22444603,-1702787,26659433,30742352,95057307,20846711,37363133,56515478,64397307,39937092,125599749,98615944,-12197668,27120339,44478844,-145722698,3740537,-46400735,-112411000,99669000,-3962000,-7389000,-10527000,-21498000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16859/000094523405000240/o16226e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000094523406000277/o30804e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000094523407000209/o35537e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000095012308003538/o39892e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000090956709000291/0000909567-09-000291-index.html,https://www.sec.gov/Archives/edgar/data/16859/000095012310028465/0000950123-10-028465-index.html,https://www.sec.gov/Archives/edgar/data/16859/000095012311031631/o69684e20vf.htm,https://www.sec.gov/Archives/edgar/data/16859/000119312512141491/0001193125-12-141491-index.html,https://www.sec.gov/Archives/edgar/data/16859/000120677413001248/0001206774-13-001248-index.html,https://www.sec.gov/Archives/edgar/data/16859/000120677414001074/mfc_20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000156761915000369/s000818x1_20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000167276416000008/t1600851-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000167276417000020/0001672764-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/16859/000157104918000229/tv489500-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000114420419022492/tv518904-20f.htm,https://www.sec.gov/Archives/edgar/data/16859/000110465920059613/tm206803-1_20f.htm,- -
102,Forex Rate,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851
