,https://roic.ai/company/LSXMA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560385/000156038513000012/0001560385-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000156038514000012/0001560385-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837015000201/0001558370-15-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837016003609/0001558370-16-003609-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837017001148/0001558370-17-001148-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837018001342/0001558370-18-001342-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837019001329/0001558370-19-001329-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837020001494/0001558370-20-001494-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2070000000,1353000000,1088000000,681000000,201000000,562000000,1029000000,358000000,1222000000,996000000,598000000
32,Short-Term Investments,- -,299000000,67000000,1324000000,199000000,15000000,1309000000,1114000000,1278000000,1625000000,- -,- -
33,Cash and Short-Term Investments,- -,2369000000,1420000000,2412000000,880000000,216000000,1871000000,2143000000,1636000000,2847000000,996000000,598000000
34,Net Receivables,- -,288000000,- -,- -,- -,- -,- -,- -,- -,- -,672000000,722000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1203000000,791000000,82000000,1464000000,475000000,-842000000,-380000000,-554000000,-442000000,225000000,793000000
37,Total Current Assets,- -,3860000000,2211000000,2494000000,2344000000,691000000,1029000000,1763000000,1082000000,2405000000,1893000000,2113000000
38,PP&E,- -,215000000,207000000,1808000000,1756000000,1879000000,2352000000,2541000000,2469000000,2262000000,1316000000,1114000000
39,Goodwill,- -,- -,- -,14365000000,14345000000,14345000000,14345000000,18383000000,18386000000,19939000000,15082000000,15111000000
40,Intangible Assets,- -,984000000,120000000,1200000000,1096000000,1097000000,1072000000,6131000000,5715000000,5940000000,11313000000,11111000000
41,Intangible Assets,- -,984000000,120000000,15565000000,15441000000,15442000000,15417000000,24514000000,24101000000,25879000000,26395000000,26222000000
42,Investments,- -,563000000,1392000000,1324000000,816000000,533000000,1309000000,1114000000,1641000000,1625000000,886000000,805000000
43,Tax Assets,- -,- -,13000000,916000000,931000000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2097000000,4382000000,12435000000,9919000000,11253000000,11270000000,12064000000,11535000000,12018000000,1591000000,1420000000
45,Total Non-Current Assets,- -,3859000000,6114000000,32048000000,28863000000,29107000000,30348000000,40233000000,39746000000,41784000000,30188000000,29561000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7719000000,8325000000,34542000000,31207000000,29798000000,31377000000,41996000000,40828000000,44189000000,32081000000,31674000000
48,Accounts Payable,- -,15000000,10000000,670000000,712000000,758000000,985000000,1250000000,1116000000,1621000000,1380000000,1458000000
49,Short-Term Debt,- -,754000000,4000000,777000000,257000000,255000000,5000000,755000000,3000000,1000000,475000000,2184000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,63000000,49000000,1575000000,1641000000,1797000000,1877000000,1941000000,2079000000,2113000000,1721000000,1454000000
52,Other Current Liabilities,- -,398000000,322000000,150000000,40000000,3000000,5000000,33000000,46000000,153000000,420000000,82000000
53,Total Current Liabilities,- -,1230000000,385000000,3172000000,2650000000,2813000000,2872000000,3979000000,3244000000,3888000000,3996000000,5178000000
54,Long-Term Debt,- -,541000000,536000000,4778000000,5595000000,6626000000,8013000000,13186000000,13371000000,15416000000,12525000000,12078000000
55,Deferred Revenue,- -,39000000,39000000,164000000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,409000000,802000000,2312000000,2438000000,1667000000,2025000000,1478000000,- -,- -,2116000000,2206000000
57,Other Non-Current Liabilities,- -,251000000,131000000,234000000,348000000,561000000,751000000,779000000,864000000,1047000000,689000000,611000000
58,Total Non-Current Liabilities,- -,1240000000,1508000000,7488000000,8381000000,8854000000,10789000000,15443000000,14235000000,16463000000,15330000000,14895000000
59,Other Liabilities,- -,- -,- -,24777000000,25540000000,24906000000,27538000000,36517000000,35224000000,40469000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2470000000,1885000000,20461000000,19809000000,18865000000,19621000000,25053000000,24233000000,27894000000,19326000000,20073000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,- -,- -
64,Retained Earnings,- -,1665000000,3079000000,11859000000,11416000000,10981000000,11727000000,13081000000,13644000000,13748000000,- -,- -
65,Other Comprehensive Income/Loss,- -,29000000,12000000,4000000,-21000000,-51000000,-62000000,-35000000,-38000000,-33000000,- -,- -
66,Other Total Stockholders Equity,- -,3564000000,3348000000,2217000000,2000000,2000000,-1581000000,-2186000000,-3008000000,-3038000000,12755000000,- -
67,Total Stockholders Equity,- -,5259000000,6440000000,14081000000,11398000000,10933000000,10085000000,10861000000,10599000000,10678000000,8250000000,8036000000
68,Total Liabilities And Stockholders Equity,- -,7729000000,8325000000,34542000000,31207000000,29798000000,29706000000,35914000000,34832000000,38572000000,27576000000,28109000000
69,Minority Interest,- -,-10000000,- -,- -,- -,- -,1671000000,6082000000,5996000000,5617000000,4505000000,3565000000
70,Total Liabilities & Equity,- -,7719000000,8325000000,34542000000,31207000000,29798000000,31377000000,41996000000,40828000000,44189000000,32081000000,31674000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1560385/000156038513000012/0001560385-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000156038514000012/0001560385-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837015000201/0001558370-15-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837016003609/0001558370-16-003609-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837017001148/0001558370-17-001148-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837018001342/0001558370-18-001342-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837019001329/0001558370-19-001329-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837020001494/0001558370-20-001494-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,1000000000,836000000,1414000000,8780000000,178000000,64000000,680000000,1354000000,531000000,106000000,-747000000,599000000
74,Depreciation and Amortization,823000000,53000000,817000000,315000000,359000000,362000000,312000000,352000000,369000000,537000000,573000000,603000000
75,Deferred Income Tax,-745000000,42000000,450000000,-172000000,91000000,175000000,319000000,-498000000,253000000,247000000,45000000,-3000000
76,Stock Based Compensation,83000000,25000000,66000000,193000000,217000000,204000000,128000000,150000000,156000000,267000000,234000000,215000000
77,Change in Working Capital,-57000000,2630000000,-804000000,-2504000000,372000000,-1816000000,279000000,-373000000,54000000,679000000,-620000000,-314000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-57000000,47000000,47000000,-78000000,33000000,245000000,184000000,127000000,21000000,- -,- -,- -
81,Other Working Capital,- -,2630000000,1826000000,-678000000,-306000000,-2122000000,-1843000000,-2216000000,-2162000000,-1483000000,-2103000000,- -
82,Other Non-Cash Items,-1060000000,-3310000000,-1707000000,-5376000000,-92000000,2224000000,-14000000,864000000,422000000,108000000,2439000000,794000000
83,Cash Provided by Operating Activities,44000000,276000000,236000000,1236000000,1125000000,1213000000,1704000000,1849000000,1785000000,1944000000,1924000000,1894000000
84,CAPEX,-16000000,-7000000,-31000000,-207000000,-194000000,-296000000,-206000000,-288000000,-356000000,-363000000,-350000000,-388000000
85,Acquisitions Net,- -,- -,165000000,-117000000,-47000000,- -,- -,- -,-405000000,294000000,-396000000,-86000000
86,Purchases of Investments,-542000000,-732000000,-9000000,-237000000,-432000000,-496000000,-1042000000,-851000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,822000000,1026000000,998000000,309000000,423000000,533000000,335000000,- -,- -,446000000,- -,177000000
88,Other Investing Activites,-748000000,-568000000,-909000000,-2719000000,-161000000,-323000000,497000000,-403000000,-351000000,-356000000,-338000000,-155000000
89,Cash Used for Investing Activites,-484000000,-274000000,214000000,-2764000000,-411000000,-286000000,-210000000,-1254000000,-756000000,384000000,-734000000,-64000000
90,Debt Repayment,-1047000000,- -,-1254000000,-2779000000,-1936000000,-1196000000,-1471000000,-3216000000,-2431000000,-4833000000,-2953000000,-5872000000
91,Common Stock Issued,- -,- -,- -,21000000,- -,- -,203000000,- -,- -,- -,754000000,- -
92,Common Stock Repurchased,-754000000,-465000000,-323000000,-1742000000,-2157000000,-2368000000,-1674000000,-1409000000,-1780000000,-2578000000,-1804000000,-2023000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-60000000,-59000000,-68000000,-64000000,-58000000
94,Other Financing Activites,380000000,443000000,410000000,5863000000,2972000000,2157000000,1623000000,4418000000,2718000000,5556000000,3378000000,5721000000
95,Cash Used/Provided by Financing Activities,-1421000000,-22000000,-1167000000,1363000000,-1121000000,-1407000000,-1319000000,-267000000,-1552000000,-1923000000,-689000000,-2232000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1861000000,-803000000,-717000000,485000000,-407000000,-480000000,175000000,328000000,-523000000,405000000,501000000,-402000000
98,Cash at the End of Period,2090000000,970000000,1353000000,1088000000,681000000,201000000,287000000,615000000,102000000,507000000,1008000000,606000000
99,Cash at the Beginning of Period,3951000000,1773000000,2070000000,603000000,1088000000,681000000,112000000,287000000,625000000,102000000,507000000,1008000000
100,Free Cash Flow,28000000,269000000,205000000,1029000000,931000000,917000000,1498000000,1561000000,1429000000,1581000000,1574000000,1506000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560385/000156038513000012/0001560385-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000156038514000012/0001560385-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837015000201/0001558370-15-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837016003609/0001558370-16-003609-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837017001148/0001558370-17-001148-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837018001342/0001558370-18-001342-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837019001329/0001558370-19-001329-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837020001494/0001558370-20-001494-index.html,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
102,false,,,,,,,,,,,,
