,https://roic.ai/company/ECVT,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708035/000170803518000005/0001708035-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803519000005/0001708035-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803520000009/0001708035-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803521000005/0001708035-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1708035/000170803522000006/0001708035-22-000006-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,25155000,70742000,66195000,57854000,72284000,135531000,140900000
32,Short-Term Investments,- -,- -,- -,- -,- -,458452000,- -
33,Cash and Short-Term Investments,25155000,70742000,66195000,57854000,72284000,593983000,140900000
34,Net Receivables,34333000,160581000,193456000,196770000,179632000,132619000,80800000
35,Inventory,10179000,227048000,262388000,264748000,280945000,127436000,53800000
36,Other Current Assets,1858000,34307000,26929000,39244000,35730000,-425898000,16200000
37,Total Current Assets,71525000,492678000,548968000,558616000,568591000,428140000,291700000
38,PP&E,481073000,1181388000,1230384000,1208979000,1244065000,1031474000,626300000
39,Goodwill,311892000,1241429000,1305956000,1254929000,1259805000,717738000,406100000
40,Intangible Assets,137284000,816573000,786144000,728436000,676385000,526303000,145600000
41,Intangible Assets,449176000,2058002000,2092100000,1983365000,1936190000,1244041000,551700000
42,Investments,- -,459406000,469276000,468211000,472929000,458452000,446100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5862000,68197000,74727000,108254000,99070000,35714000,15400000
45,Total Non-Current Assets,936111000,3766993000,3866487000,3768809000,3752254000,2769681000,1639500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1007636000,4259671000,4415455000,4327425000,4320845000,3197821000,1931200000
48,Accounts Payable,15878000,128478000,149326000,148365000,144365000,112333000,51900000
49,Short-Term Debt,5000000,14481000,45166000,7237000,22949000,15194000,17300000
50,Tax Payable,2106000,10534000,2788000,5141000,9630000,3525000,- -
51,Deferred Revenue,1638000,1638000,1638000,- -,- -,175901000,- -
52,Other Current Liabilities,33749000,97795000,92279000,100009000,102154000,-102090000,75900000
53,Total Current Liabilities,56265000,242392000,288409000,255611000,269468000,201338000,145100000
54,Long-Term Debt,668101000,2547717000,2185320000,2106720000,1899196000,1400369000,894500000
55,Deferred Revenue,23888000,22250000,20612000,- -,6450000,13388000,- -
56,Deferred Tax Liabilities,- -,318463000,189336000,196124000,218037000,175901000,126700000
57,Other Non-Current Liabilities,24089000,100905000,99859000,104825000,142376000,129646000,24200000
58,Total Non-Current Liabilities,716078000,2989335000,2495127000,2407669000,2266059000,1719304000,1045400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,55339000,47213000,30000000
61,Total Liabilities,772343000,3231727000,2783536000,2663280000,2535527000,1920642000,1190500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,73000,1352000,1358000,1369000,1371000,1400000
64,Retained Earnings,-10634000,-90380000,-32777000,25523000,103013000,-175758000,-315700000
65,Other Comprehensive Income/Loss,648000,-53711000,4311000,-39104000,-15348000,-15265000,-5800000
66,Other Total Stockholders Equity,276632000,1166898000,1655114000,1671783000,1690416000,1466778000,1060800000
67,Total Stockholders Equity,235293000,1022880000,1628000000,1659560000,1779450000,1277126000,740700000
68,Total Liabilities And Stockholders Equity,1007636000,4254607000,4411536000,4322840000,4314977000,3197768000,1931200000
69,Minority Interest,- -,5064000,3919000,4585000,5868000,53000,- -
70,Total Liabilities & Equity,1007636000,4259671000,4415455000,4327425000,4320845000,3197821000,1931200000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708035/000170803518000005/0001708035-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803519000005/0001708035-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803520000009/0001708035-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803521000005/0001708035-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1708035/000170803522000006/0001708035-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,11427000,-79746000,57603000,58300000,79539000,-278771000,1800000
74,Depreciation and Amortization,39000000,128289000,177140000,185234000,182090000,151800000,79800000
75,Deferred Income Tax,- -,835000,-140212000,3445000,18308000,-64700000,4500000
76,Stock Based Compensation,2256000,5432000,8799000,19464000,18225000,25200000,31800000
77,Change in Working Capital,1783000,235026000,10273000,42446000,-3882000,-72321000,-18100000
78,Accounts Receivable,- -,- -,- -,-10500000,- -,47163000,- -
79,Inventory,-1738000,-2305000,-21200000,-8980000,-18943000,9400000,600000
80,Accounts Payable,-2486000,11885000,4343000,-146000,-2308000,4163000,10000000
81,Other Working Capital,15260000,250286000,260559000,303005000,299123000,226802000,- -
82,Other Non-Cash Items,-9751000,-170116000,2459000,-60245000,-26517000,389840000,30100000
83,Cash Provided by Operating Activities,44715000,119720000,116062000,248644000,267763000,151048000,129900000
84,CAPEX,-40994000,-121421000,-140482000,-131688000,-127642000,-97100000,-60000000
85,Acquisitions Net,3965000,-1777740000,-50572000,-6006000,27658000,642256000,935800000
86,Purchases of Investments,- -,- -,-9000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4859000,38070000,1800000,- -
88,Other Investing Activites,-1696000,-30519000,17359000,13545000,26555000,-303142000,-40100000
89,Cash Used for Investing Activites,-38725000,-1929680000,-182695000,-119290000,-35359000,243779000,835700000
90,Debt Repayment,-17000000,-646059000,-1073652000,-1536468000,-419461000,-1231700000,-1432300000
91,Common Stock Issued,- -,- -,507500000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-2540000,- -,-2920000,-3563000,-4600000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-243779000,-435600000
94,Other Financing Activites,13538000,2510032000,635096000,1402163000,206931000,757259000,903700000
95,Cash Used/Provided by Financing Activities,-3462000,1861433000,68944000,-137225000,-216093000,-722820000,-964200000
96,Effect of Forex Changes on Cash,- -,-5886000,-6858000,354000,-2120000,11052000,2300000
97,Net Change In Cash,2528000,45587000,-4547000,-7517000,14191000,37315000,3700000
98,Cash at the End of Period,25155000,70742000,66195000,59726000,73917000,47837000,140900000
99,Cash at the Beginning of Period,22627000,25155000,70742000,67243000,59726000,10522000,137200000
100,Free Cash Flow,3721000,-1701000,-24420000,116956000,140121000,131943000,69900000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1708035/000170803518000005/0001708035-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803519000005/0001708035-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803520000009/0001708035-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1708035/000170803521000005/0001708035-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1708035/000170803522000006/0001708035-22-000006-index.htm
102,false,,,,,,,
