,https://roic.ai/company/NVGS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,30000000,30241398,30960000,31029000,31195743,37294962,46031386,55483478,55704104,55794481,55881454,55629023,55792711,55885376,55792711
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1581804/000119312515095337/d846785d20f.htm,https://www.sec.gov/Archives/edgar/data/1581804/000119312516491713/0001193125-16-491713-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312517065882/0001193125-17-065882-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312518070502/0001193125-18-070502-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312519093829/0001193125-19-093829-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312520137747/d891368d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12859064,11921904,10531331,16243112,- -,140870317,194740045,62526243,87779000,57272000,62109000,71515000,66130000,59056000,124010000
32,Short-Term Investments,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12859064,11921904,10531331,16243112,- -,150870317,194740045,62526243,87779000,57272000,62109000,71515000,66130000,59056000,124010000
34,Net Receivables,- -,997212,2737576,3419274,- -,10603400,19739812,10837260,14697000,20193000,30680000,21764000,32681000,46824000,60651000
35,Inventory,- -,- -,1918793,3593714,- -,4821346,5924201,4810597,3480000,6937000,8008000,8789000,9645000,8428000,13171000
36,Other Current Assets,2454968,2386059,2152550,8188912,- -,5079652,6282218,6322460,19043000,9396000,11340000,16057000,17670000,22230000,15835000
37,Total Current Assets,15314032,15305175,17340250,31445012,- -,171374715,226686276,84496560,124999000,93798000,112137000,118125000,126126000,136538000,213667000
38,PP&E,270014595,322598955,431691137,418745485,- -,607268949,- -,- -,- -,- -,- -,- -,- -,1551891000,1765480000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000,400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42462000,130660000,148665000,149115000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,22800080,15320047,825000,600000,- -,53610820,1098539776,1285958951,1445645000,1631045000,1741750000,1672164000,1617467000,2037000,27064000
45,Total Non-Current Assets,292814675,337919002,432516137,419345485,- -,660879769,1098539776,1285958951,1445645000,1631045000,1741750000,1714626000,1748127000,1702870000,1942059000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,308128707,353224177,449856387,450790497,- -,832254484,1325226052,1370455511,1570644000,1724843000,1853887000,1832751000,1874253000,1839408000,2155726000
48,Accounts Payable,1383841,1857514,2671700,3533501,- -,7943797,13585924,6447708,11471000,6388000,8071000,10784000,10472000,8565000,13197000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,60750308,58350308,61979000,103464000,81559000,68857000,64703000,- -,148951000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,2345819,1134474,901712,- -,- -,2883352,4803196,7095310,6606000,3522000,4824000,8342000,14154000,11604000,18504000
52,Other Current Liabilities,2031649,15133846,2350961,8489225,- -,32210600,10700355,8322929,12182000,14309000,15978000,17411000,20177000,87053000,26690000
53,Total Current Liabilities,5761309,18125834,5924373,12022726,- -,43037749,89839783,80216255,92238000,127683000,110432000,105394000,109506000,107222000,207342000
54,Long-Term Debt,- -,30000000,110000000,91851855,- -,341393245,514734262,484508954,568315000,640680000,780242000,767093000,744692000,720333000,771551000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5154000,80153000,69458000,63677000
58,Total Non-Current Liabilities,- -,30000000,110000000,91851855,- -,341393245,514734262,484508954,568315000,640680000,780242000,772247000,824845000,789791000,835228000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7507000,6508000,903000
61,Total Liabilities,5761309,48125834,115924373,103874581,- -,384430994,604574045,564725209,660553000,768363000,890674000,877641000,934351000,897013000,1042570000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,100000,103200,103510,- -,386946,553267,553466,554000,554000,555000,557000,558000,559000,772000
64,Retained Earnings,17309461,19537887,46250340,58045449,- -,95172018,136155854,220623355,323551000,368189000,373499000,364408000,347566000,346972000,309781000
65,Other Comprehensive Income/Loss,-15347468,-27014918,-42017694,-58498971,- -,-101121591,-135737419,-179686001,-224414000,-281081000,-352858000,-418413000,-486981000,-556479000,1874000
66,Other Total Stockholders Equity,300305405,312475374,329596168,347265928,- -,453386117,719680305,764239482,810400000,868818000,942017000,1008558000,1078660000,1149488000,797324000
67,Total Stockholders Equity,302367398,305098343,333932014,346915916,- -,447823490,720652007,805730302,910091000,956480000,963213000,955110000,939803000,940540000,1109751000
68,Total Liabilities And Stockholders Equity,308128707,353224177,449856387,450790497,- -,832254484,1325226052,1370455511,1570644000,1724843000,1853887000,1832751000,1874154000,1837553000,2152321000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000,1855000,3405000
70,Total Liabilities & Equity,308128707,353224177,449856387,450790497,- -,832254484,1325226052,1370455511,1570644000,1724843000,1853887000,1832751000,1874253000,1839408000,2155726000
71,SEC Link,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1581804/000119312515095337/d846785d20f.htm,https://www.sec.gov/Archives/edgar/data/1581804/000119312516491713/0001193125-16-491713-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312517065882/0001193125-17-065882-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312518070502/0001193125-18-070502-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312519093829/0001193125-19-093829-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312520137747/d891368d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,26749614,2228426,26712453,15003919,18650279,30535845,40983836,84467501,98094000,44638000,5310000,-5739000,-16706000,-443000,-37191000
74,Depreciation and Amortization,11076710,11926328,15395447,17889097,18677574,24179633,36608168,45808750,53453000,62280000,73588000,76140000,76173000,76681000,88486000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,613078,2141701,1196272,842034,796760,728589,1122305,1643000,1573000,1412000,1074000,1503000,1245000,1372000
77,Change in Working Capital,-1570394,-410063,-1627109,-8442773,6554936,-1536774,1234479,1068183,3660000,-15200000,-9330000,7368000,-368000,-26887000,17194000
78,Accounts Receivable,334334,-997212,-1740364,-681698,2115829,-2570404,-7963729,4642465,-1855000,1991000,-7831000,-2144000,-6429000,8860000,-12175000
79,Inventory,- -,- -,-1504345,-1674921,-855116,-372516,-1102855,1113604,1331000,-3457000,-1074000,-781000,-856000,1217000,-2703000
80,Accounts Payable,1327468,-1635475,1798539,-49792,- -,7787706,12894233,-7223528,8394000,-6040000,- -,- -,- -,-4118000,6043000
81,Other Working Capital,-2153715,2153715,- -,- -,- -,- -,-316559,118523,198000,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-3264240,19255649,181914,223719,257814,986699,-744784,-2623047,-7296000,-6543000,4941000,-1326000,-10902000,-5923000,32727000
83,Cash Provided by Operating Activities,32991690,33613418,42804406,25870234,44982637,54962163,78810288,129843692,149554000,86748000,75921000,77517000,49700000,44673000,102588000
84,CAPEX,-395456,-69801896,-138465026,-4949643,-85576836,-192789499,-466298683,-230407158,-240138000,-249428000,-184295000,-830000,-3267000,-2264000,-3540000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13477000
86,Purchases of Investments,- -,- -,- -,- -,- -,-10000000,-10000000,- -,- -,- -,-25000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,20000000,- -,- -,- -,25000000,- -,- -,- -,- -
88,Other Investing Activites,-20646365,6376318,14270047,- -,- -,- -,- -,1802726,34282000,2834000,1270000,-41497000,-87142000,-13887000,18308000
89,Cash Used for Investing Activites,-21041821,-63425578,-124194979,-4949643,-85576836,-202789499,-456298683,-228604432,-205856000,-238153000,-183025000,-42327000,-90409000,-16151000,28245000
90,Debt Repayment,- -,- -,-10000000,-12000000,-7114331,-107649916,-35751183,-182625308,-70266000,-204092000,-379352000,-118352000,-189847000,-367248000,-84068000
91,Common Stock Issued,- -,- -,- -,- -,15625000,46875000,246570000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-20000000,- -,- -,-3208810,-9640336,-2419219,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,28875000,90000000,- -,52215189,325157353,220539306,149172246,151821000,324990000,491293000,92568000,225171000,331867000,17974000
95,Cash Used/Provided by Financing Activities,-20000000,28875000,80000000,-15208810,51085522,261963218,431358123,-33453062,81555000,120898000,111941000,-25784000,35324000,-35381000,-66094000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-8050131,-937160,-1390573,5711781,10491323,114135882,53869728,-132213802,25253000,-30507000,4837000,9406000,-5385000,-6859000,64739000
98,Cash at the End of Period,12859064,11921904,10531331,16243112,26734435,140870317,194740045,62526243,87779000,57272000,62109000,71515000,66130000,59271000,124010000
99,Cash at the Beginning of Period,20909195,12859064,11921904,10531331,16243112,26734435,140870317,194740045,62526000,87779000,57272000,62109000,71515000,66130000,59271000
100,Free Cash Flow,32596234,-36188478,-95660620,20920591,-40594199,-137827336,-387488395,-100563466,-90584000,-162680000,-108374000,76687000,46433000,42409000,99048000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1581804/000119312515095337/d846785d20f.htm,https://www.sec.gov/Archives/edgar/data/1581804/000119312516491713/0001193125-16-491713-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312517065882/0001193125-17-065882-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312518070502/0001193125-18-070502-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312519093829/0001193125-19-093829-index.html,https://www.sec.gov/Archives/edgar/data/1581804/000119312520137747/d891368d20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,
