,https://roic.ai/company/HMC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,406541717135,280607863699,199719646700,309983836576,320271095367,332077555575,322995968046,264097850940,200777705172,231128131731,255872825019,550143587820,619853598870,703703696350,585631822352,591384704268,786825956800,891405650320,929628905350,979036011800,1176435987750,1247717188800,1501445828720,907027000000,1057495000000,1313028000000,888353000000,1148751000000,1634192000000,1397997000000,1252483000000,1630961000000,1771734000000,1648317000000,1460298000000,1514150000000
16,EBITDA ratio,0.1397,0.0977,0.1263,0.0885,0.0836,0.0769,0.0735,0.0639,0.0519,0.0584,0.0598,0.1042,0.1025,0.1143,0.0992,0.0899,0.1071,0.1120,0.1140,0.1131,0.1188,0.1125,0.1255,0.0906,0.1233,0.1469,0.1118,0.1163,0.1380,0.1049,0.0858,0.1165,0.1153,0.1037,0.0978,0.1150
17,Operating Income,305640654400,169800036873,68462902493,177745092339,199361562678,147350155635,153479222794,108751578628,78376048332,107714643127,144638671545,400406002448,465775247985,542050726740,412593087353,414218132786,637701172420,688491711920,599562166050,631172613960,868761783450,851958733920,950344016040,189643000000,363775000000,569775000000,231364000000,544810000000,750281000000,670603000000,503376000000,840711000000,833558000000,726370000000,633637000000,660208000000
18,Operating Income ratio,0.1050,0.0591,0.0433,0.0507,0.0521,0.0341,0.0349,0.0263,0.0203,0.0272,0.0338,0.0758,0.0771,0.0881,0.0699,0.0630,0.0868,0.0865,0.0735,0.0729,0.0877,0.0768,0.0794,0.0189,0.0424,0.0638,0.0291,0.0552,0.0634,0.0503,0.0345,0.0601,0.0543,0.0457,0.0424,0.0501
19,Total Other Income Expenses (Gains),-162191385,306692020,30466549832,808353883,-43338102756,-7167852060,-21325785870,-18387504212,-20920115532,-1477436751,-14651292312,8751299732,-412579155,-13862093460,6407213199,3786445844,-45322238390,-17695983000,41805673550,25950352120,-54260829450,-59027980320,-57134311320,-27909000000,-27577000000,60773000000,26039000000,-55919000000,-21341000000,135634000000,132074000000,166275000000,281415000000,253005000000,156281000000,253845000000
20,Income Before Tax,305478463015,170106728893,98929452325,178553446222,156023459922,140182303575,132153436924,90364074416,57455932800,106237206376,129987379233,409157302180,465362668830,528188633280,419000300552,418004578630,592378934030,670795728920,641367839600,657122966080,814500954000,792930753600,893209704720,161734000000,336198000000,630548000000,257403000000,488891000000,728940000000,806237000000,635450000000,1006986000000,1114973000000,979375000000,789918000000,914053000000
21,Income Before Tax Ratio,0.1050,0.0593,0.0626,0.0510,0.0407,0.0325,0.0301,0.0219,0.0149,0.0268,0.0304,0.0775,0.0770,0.0858,0.0710,0.0635,0.0807,0.0843,0.0786,0.0759,0.0822,0.0715,0.0746,0.0162,0.0392,0.0706,0.0324,0.0495,0.0616,0.0605,0.0435,0.0719,0.0726,0.0616,0.0529,0.0694
22,Income Tax expense (Gain),158929536035,86349138231,42387703899,80875143409,74835279759,63635851950,67219408546,52050074384,33745100532,44824221428,58690849320,188555231708,202789309185,226842917720,164981090265,181621525217,230598485650,244676458280,252502098100,266795355680,317208102750,283829150880,386279794160,109835000000,146869000000,206827000000,135735000000,178976000000,252662000000,245139000000,229092000000,327592000000,-13666000000,303089000000,279986000000,218609000000
23,Net Income,146548926980,83757590662,56541748426,97678302813,81188180163,76546451625,64934028378,38314000032,23710832268,61412984948,71296529913,220602070472,262573359645,301345715560,254019210287,236383053413,361780448380,426119270640,463928297500,486408252960,596986826400,592400568960,598265040000,137005000000,268400000000,534088000000,211482000000,367149000000,574107000000,509435000000,344531000000,616569000000,1059337000000,610316000000,455746000000,657425000000
24,Net Income ratio,0.0503,0.0292,0.0358,0.0279,0.0212,0.0177,0.0148,0.0093,0.0061,0.0155,0.0166,0.0418,0.0434,0.0490,0.0430,0.0359,0.0493,0.0535,0.0569,0.0562,0.0603,0.0534,0.0500,0.0137,0.0313,0.0598,0.0266,0.0372,0.0485,0.0382,0.0236,0.0440,0.0690,0.0384,0.0305,0.0499
25,EPS,74.34,42.17,27.91,49.36,41.28,38.80,33.22,19.52,12.06,31.54,36.41,113.26,134.75,154.82,134.90,119.92,186.64,218.59,243.97,261.00,323.54,323.92,331.12,75.50,147.91,295.67,117.34,203.71,318.54,290.06,191.16,342.10,590.79,345.99,260.13,380.75
26,EPS Diluted,74.34,42.17,27.91,49.36,41.28,38.80,33.22,19.52,12.06,31.54,36.41,113.26,134.75,154.82,134.90,119.92,186.64,218.59,243.97,261.00,323.54,323.92,331.12,75.50,147.91,295.67,117.34,203.71,318.54,290.06,191.16,342.10,590.79,345.99,260.13,380.75
27,Weighted Average Shares Outstanding,1971393939,1986181818,2025777778,1978791946,1966857143,1972727273,1954800000,1962352941,1966808511,1947397260,1957941176,1947759563,1948543210,1946461538,1882979631,1971156521,1938372984,1949393486,1901607007,1863603608,1845145307,1828849113,1806770692,1814560000,1814605803,1806360505,1802300720,1802298819,1802294383,1802289321,1802285138,1802282093,1793088970,1759561385,1752006211,1726638088
28,Weighted Average Shares Outstanding Diluted,1971393939,1986181818,2025777778,1978791946,1966857143,1972727273,1954800000,1962352941,1966808511,1947397260,1957941176,1947759563,1948543210,1946461538,1882979631,1971156521,1948828432,1949393486,1948828430,1863603608,1845145307,1828849113,1815588785,1814560000,1814605803,1806360505,1802300720,1802298819,1802294383,1802289321,1802285138,1802282093,1793088970,1759561385,1752006211,1726638088
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,118958370265,134898484997,129706125832,248270655705,231692164734,220228021560,205657640932,150557022308,186885681420,202624834412,301272553170,358221519440,339818824665,373049894875,416810617074,424965459605,607929379460,546687901480,723728144100,773899550620,747292855050,945625888320,1047861217560,690369000000,1119902000000,1279024000000,1247113000000,1206128000000,1168914000000,1471730000000,1757456000000,2105976000000,2256488000000,2494121000000,2672353000000,2758020000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92708000000,103035000000,149427000000,213177000000,163274000000,190053000000,295307000000
33,Cash and Short-Term Investments,118958370265,134898484997,129706125832,248270655705,231692164734,220228021560,205657640932,150557022308,186885681420,202624834412,301272553170,358221519440,339818824665,373049894875,416810617074,424965459605,607929379460,546687901480,723728144100,773899550620,747292855050,945625888320,1047861217560,690369000000,1119902000000,1279024000000,1247113000000,1206128000000,1168914000000,1564438000000,1860491000000,2255403000000,2469665000000,2657395000000,2862406000000,3053327000000
34,Net Receivables,126581365360,136063914673,170568021250,403686628489,561146660685,584617351185,460690123168,440978520752,487698269592,496695227728,645267332241,768802300360,1062897066315,1046016423510,1086333621606,1224628646163,1443666138980,1540022413880,1636467974350,1813200429740,2193973668000,2481885040800,2355568884160,2026244000000,1983634000000,1918759000000,1893876000000,2248983000000,2622886000000,2919632000000,2752728000000,2642964000000,2641162000000,2744878000000,2512267000000,2596468000000
35,Inventory,441160567200,430994295706,400059540750,477034804594,576871661685,643738020735,639215518152,606684273888,587353533036,511374555447,492778224099,549735111312,605413328445,591889954515,549541605178,631825206982,642618834650,751017518520,764699789250,862795591560,1036134667350,1183151653440,1195832104120,1243961000000,935629000000,899813000000,1035779000000,1215421000000,1302895000000,1498312000000,1313292000000,1364130000000,1523455000000,1586787000000,1560568000000,1545600000000
36,Other Current Assets,155343304300,161105318106,231550740702,145132651256,160756685223,175019757780,203172954354,169599172204,159081113940,154189100926,208920145563,279447443776,306493076145,330201258905,324456323664,363868933223,386235849740,450185807520,524916624250,560827857800,647951987250,642002923680,617210099600,660604000000,574559000000,592451000000,562318000000,652521000000,676571000000,313758000000,315115000000,292970000000,291006000000,358234000000,365769000000,383696000000
37,Total Current Assets,842043607125,863062013482,931884428534,1274124740044,1530467172327,1623603151260,1508736236606,1367818989152,1421018597988,1364883718513,1648238255073,1956206374888,2314622295570,2341157531805,2377142167522,2645288245972,3080450202830,3287913641400,3649812531950,4010723429720,4625353177650,5252665506240,5216472305440,4621178000000,4613724000000,4690047000000,4739086000000,5323053000000,5771266000000,6296140000000,6241626000000,6555467000000,6925288000000,7347294000000,7301010000000,7579091000000
38,PP&E,639935120150,688431577294,688114815037,869483988939,1069520218014,1081230975405,1097912577220,1008200293408,920218323720,885036453735,933495094449,1033816907520,1172709666570,1133464320655,1085173017435,1276999385338,1386249109700,1392437915660,1434216087350,1585008903660,1815089481450,2078821726080,3111277340520,3435520000000,3394810000000,3296988000000,3446215000000,4242662000000,5055153000000,6524878000000,6817675000000,7305041000000,7150566000000,7430689000000,7677767000000,7941430000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759535000000,824939000000,778192000000,741514000000,744368000000,760434000000,818763000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,612717000000,660132000000,759535000000,824939000000,778192000000,741514000000,744368000000,760434000000,818763000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,639069000000,642681000000,639932000000,623607000000,668790000000,817927000000,965554000000,928205000000,961874000000,1116072000000,1130188000000,1097199000000,1519535000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138069000000,180828000000,121509000000,129338000000,150318000000,132553000000,99552000000
44,Other Non-Current Assets,193980896460,144497945223,160544824074,149783999009,226565814408,258832831080,552424220144,633318016716,581761839576,758996410907,959177696031,1190486215452,1364026613445,1498666174645,1279390851922,1846200246075,2456438738780,2990503153780,3236968473950,3725698487840,4129943565600,4705743580800,4251271374240,3123150000000,2977900000000,2943907000000,2971851000000,2788135000000,3317553000000,3741661000000,3236021000000,3236040000000,3286386000000,3616265000000,3492502000000,3962659000000
45,Total Non-Current Assets,833916016610,832929522517,848659639111,1019267987948,1296086032422,1340063806485,1650336797364,1641518310124,1501980163296,1644032864642,1892672790480,2224303122972,2536736280015,2632130495300,2364563869357,3123199631414,3842687848480,4382941069440,4671184561300,5310707391500,5945033047050,6784565306880,7362548714760,7197739000000,7015391000000,6880827000000,7041673000000,8312304000000,9850765000000,12129697000000,11987668000000,12402656000000,12423876000000,13071828000000,13160455000000,14341939000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1675959623735,1695991535999,1780544067645,2293392727992,2826553204749,2963666957745,3159073033970,3009337299276,2922998761284,3008916583155,3540911045553,4180509497860,4851358575585,4973288027105,4741706036879,5768487877386,6923138051310,7670854710840,8320997093250,9321430821220,10570386224700,12037230813120,12579021020200,11818917000000,11629115000000,11570874000000,11780759000000,13635357000000,15622031000000,18425837000000,18229294000000,18958123000000,19349164000000,20419122000000,20461465000000,21921030000000
48,Accounts Payable,- -,- -,- -,- -,447423453453,456668369925,437251689352,422441711384,402745568952,417993640799,491075332668,598145766548,724049799015,691508864990,655866407990,810076700816,812876275640,803515601420,881359511700,987507407740,1099811692800,1133313658080,1012164736840,674498000000,802464000000,691520000000,942444000000,956660000000,1071179000000,1157738000000,1128041000000,1183344000000,1224627000000,1184882000000,958469000000,1088061000000
49,Short-Term Debt,92431068185,117095013236,15865927213,357517695237,541993609467,608364388620,561791621414,568404728892,509121124536,467742651397,564299664201,495482004204,735641942370,870191726050,831382331599,1206030733942,1339730683200,1206748067380,1249374543200,1331724888340,1382650680150,2074580194560,2589689936480,2716176000000,1813344000000,2082411000000,1876243000000,2183343000000,2622808000000,2833563000000,2789620000000,2786928000000,2917261000000,3188782000000,3248457000000,3005624000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32614000000,23947000000,31960000000,24099000000,48454000000,43085000000,53654000000,45872000000,45507000000,53595000000,49726000000,43759000000,47793000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,577383309335,592084279211,785555673722,693965182704,334769546289,340853941365,401190516236,317905132160,332146591524,374240777015,472868317368,710427293944,769686377160,676062872535,644600789619,794396842563,949507539760,1107886509020,1201000896000,1431129749560,1506473657550,1079941053120,1063216686920,846694000000,803322000000,794261000000,761072000000,956682000000,1017342000000,1309753000000,1552690000000,1458570000000,1482211000000,1607460000000,1583162000000,1621772000000
53,Total Current Liabilities,669814377520,709179292447,801421600935,1051482877941,1324186609209,1405886699910,1400233827002,1308751572436,1244013285012,1259977069211,1528243314237,1804055064696,2229378118545,2237763463575,2131849529208,2810504277320,3102114498600,3118150177820,3331734950900,3750362045640,3988936030500,4287834905760,4665071360240,4237368000000,3419130000000,3568192000000,3579759000000,4096685000000,4711329000000,5301054000000,5470351000000,5428842000000,5624099000000,5981124000000,5790088000000,5715457000000
54,Long-Term Debt,213155522420,202769429023,169054617716,302748406738,377431474002,418881937215,603778838454,569484320020,612911163144,588460465929,661086015534,732361244616,682831810530,664927943510,556183097041,374739343177,714788850620,1138677519440,1393348695750,1560238113000,1878766506900,1905861496320,1831388998280,1932637000000,2313035000000,2043240000000,2235001000000,2710845000000,3234066000000,3926276000000,3736628000000,4022190000000,3881749000000,4142338000000,4221229000000,4715361000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,28599747555,2438201559,29412129337,34176142037,46891952982,47381195310,51314757028,20121741024,21053495376,71435362908,77883185448,33222755984,- -,- -,2451911176,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744410000000,789830000000,900450000000,629722000000,727411000000,698868000000,842001000000
57,Other Non-Current Liabilities,2631104690,27970312224,2840732863,- -,- -,- -,- -,74353967688,77042249892,73439838500,121087361754,226011289684,292545238905,303227339930,153300243788,313175706208,538816288660,787825163160,724249411850,719961422040,577448219700,1237820281920,1410010988440,1518568000000,1440520000000,1376530000000,1437709000000,1630085000000,1563238000000,1071276000000,1200697000000,1037015000000,979499000000,1002459000000,1465257000000,1275372000000
58,Total Non-Current Liabilities,244386374665,233177942806,201307479916,336924548775,424323426984,466263132525,655093595482,663960028732,711006908412,733335667337,860056562736,991595290284,975377049435,968155283440,711935252005,687915049385,1253605139280,1926502682600,2117598107600,2280199535040,2456214726600,3143681778240,3241399986720,3451205000000,3753555000000,3419770000000,3672710000000,4340930000000,4797304000000,5741962000000,5727155000000,5959655000000,5490970000000,5872208000000,6385354000000,6832734000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,914200752185,942357235253,1002729080851,1388407426716,1748510036193,1872149832435,2055327422484,1972711601168,1955020193424,1993312736548,2388299876973,2795650354980,3204755167980,3205918747015,2843784781213,3498419326705,4355719637880,5044652860420,5449333058500,6030561580680,6445150757100,7431516684000,7906471346960,7688573000000,7172685000000,6987962000000,7252469000000,8437615000000,9508633000000,11043016000000,11197506000000,11388497000000,11115069000000,11853332000000,12175442000000,12548191000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83313294809,87602025621,85859724340,86002477380,86009178750,86107986580,86040490950,86126653920,85851033240,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000,86067000000
64,Retained Earnings,680050456040,752392198065,849974563493,940142069335,997342463424,1068235716060,1114561306002,1136522332484,1140407926188,1184895634321,1252535552550,1447009462476,1706760110205,1953662001735,2147857440956,2471601925813,2758542691450,3157317286860,3586113612900,3811270310120,4267420027200,4655198663520,5085252840000,5099267000000,5304473000000,5666539000000,5769029000000,5995626000000,6431682000000,6083573000000,6194311000000,6712894000000,7611332000000,7973637000000,8142948000000,8901266000000
65,Other Comprehensive Income/Loss,-481942689895,-552459670227,-632255338696,-774270502884,-918119908386,-1052517237330,-1213443859550,-1299081192332,-1337912695188,-1384029916409,-1525244511717,-1645095812704,-1728653423430,-1721495754310,-1697497605429,-1897662868797,-1974374930450,-732613696200,-821413720450,-759637580240,-371351229750,-389513977920,-740253276160,-1322828000000,-1208162000000,-1495380000000,-1598894000000,-1189209000000,-743738000000,794034000000,336115000000,351406000000,178292000000,214383000000,-114639000000,- -
66,Other Total Stockholders Equity,563651105405,553701772908,560095761997,739113734825,998820613518,1075798646580,1202628165034,1199184557956,1165483336860,1214738128695,1425320127747,1582945493108,1668496720830,1535203032665,1364248125329,1608527468045,1697390928090,115495782380,20954963550,153128524080,143126179200,131016195840,100309105040,144782000000,146262000000,192749000000,146412000000,144993000000,144968000000,144953000000,144940000000,144929000000,57847000000,-6367000000,-102117000000,94973000000
67,Total Stockholders Equity,761758871550,753634300746,777814986794,904985301276,1078043168556,1091517125310,1103745611486,1036625698108,967978567860,1015603846607,1152611168580,1384859142880,1646603407605,1767369280090,1897921255666,2270068550681,2567418413430,2626201850420,2871664034750,3290869240540,4125235467600,4482827535360,4531159702120,4007288000000,4328640000000,4449975000000,4402614000000,5037477000000,5918979000000,7108627000000,6761433000000,7295296000000,7933538000000,8267720000000,8012259000000,9082306000000
68,Total Liabilities And Stockholders Equity,1675959623735,1695991535999,1780544067645,2293392727992,2826553204749,2963666957745,3159073033970,3009337299276,2922998761284,3008916583155,3540911045553,4180509497860,4851358575585,4973288027105,4741706036879,5768487877386,6923138051310,7670854710840,8320997093250,9321430821220,10570386224700,11914344219360,12437631049080,11695861000000,11501325000000,11437937000000,11655083000000,13475092000000,15427612000000,18151643000000,17958939000000,18683793000000,19048607000000,20121052000000,20187701000000,21630497000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122886593760,141389971120,123056000000,127790000000,132937000000,125676000000,160265000000,194419000000,274194000000,270355000000,274330000000,300557000000,298070000000,273764000000,290533000000
70,Total Liabilities & Equity,1675959623735,1695991535999,1780544067645,2293392727992,2826553204749,2963666957745,3159073033970,3009337299276,2922998761284,3008916583155,3540911045553,4180509497860,4851358575585,4973288027105,4741706036879,5768487877386,6923138051310,7670854710840,8320997093250,9321430821220,10570386224700,12037230813120,12579021020200,11818917000000,11629115000000,11570874000000,11780759000000,13635357000000,15622031000000,18425837000000,18229294000000,18958123000000,19349164000000,20419122000000,20461465000000,21921030000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,81188180163,76546451625,64934028378,38314000032,23710832268,61412984948,71296529913,220602070472,262573359645,301345715560,254019210287,236383053413,361780448380,426119270640,463928297500,486408252960,596986826400,592400568960,598265040000,137005000000,268400000000,534088000000,211482000000,367149000000,574107000000,509435000000,344531000000,616569000000,1059337000000,610316000000,455746000000,657425000000
74,Depreciation and Amortization,- -,- -,- -,- -,164247635445,191895252000,190842531122,173733776524,143321772372,124890925355,125885445786,140986285640,154490930040,175515063070,166631521800,173380125638,194447022770,220609921400,213198509750,225832403160,262241058600,371487468960,516900994560,637644000000,629674000000,563639000000,530758000000,590469000000,794720000000,625229000000,660714000000,674329000000,713093000000,721695000000,699877000000,624239000000
75,Deferred Income Tax,- -,- -,- -,- -,2736150174,-19542273825,-10350646226,6029631300,11983665984,-492478917,-2281231917,-7934346716,-14107545300,-3632249575,-41182798256,-18752522799,8107497190,68306494380,113323608850,115597023080,-2707156350,-16494844800,31209492920,41773000000,56606000000,130180000000,49661000000,53252000000,45426000000,74638000000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-90528830757,-118805736900,-18495634848,-43126220060,-83670202140,125452524120,116567737956,230294103980,81677363685,-145944978825,7170982194,96672849157,156301913040,-101338995980,44412012300,7720765920,-168903015750,-108865975680,-111775851640,-530737000000,565185000000,-123447000000,-28425000000,-220661000000,-73111000000,-136637000000,261255000000,-535464000000,-528083000000,-519566000000,-260386000000,-192290000000
