,https://roic.ai/company/MDGL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,76226000,124968000,62057000,46824000,115577000,73563000,44155000,50973000,39725000,100599000,91476000,97690000,66574000,40499508,191527000,483718000,439045000,284149000,270346000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,16000000,- -,116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,834000,1054000,893000,803000,1420000,1658000,419000,431000,561000,786000,765000,1656000,1201000,707971,485000,1483000,1152000,1014000,1338000
37,Total Current Assets,- -,- -,77060000,126022000,62950000,47627000,116997000,91221000,44574000,51520000,40286000,101385000,92241000,99346000,67775000,41207479,192012000,485201000,440197000,285163000,271684000
38,PP&E,- -,- -,3245000,4797000,8127000,6067000,5576000,5929000,3978000,2181000,1407000,1174000,1553000,1024000,420000,2946,301000,227000,1859000,1832000,1648000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,82000,1200000,133000,1095000,76000,103000,358000,366000,631000,458000,1409000,305000,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,3327000,5997000,8260000,7162000,5652000,6032000,4336000,2547000,2038000,1632000,2962000,1329000,420000,2946,301000,227000,1859000,1832000,1648000
46,Other Assets,2773000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2773000,- -,80387000,132019000,71210000,54789000,122649000,97253000,48910000,54067000,42324000,103017000,95203000,100675000,68195000,41210425,192313000,485428000,442056000,286995000,273332000
48,Accounts Payable,- -,- -,209000,2885000,3361000,2632000,2488000,3331000,3957000,1925000,3467000,5661000,6589000,3139000,1299000,762035,1929000,2487000,1178000,1017000,21380000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2406000,2170000,- -,- -,4234000,7924000,9451000,9214000,4607000,- -,- -,- -,- -,318000,410000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,345000,457000,457000,457000,5351000,12588000,4647000,4572000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,2942000,9533000,10656000,8457000,10527000,15234000,7865000,10239000,7447000,9901000,16167000,18536000,11882000,4037888,8125000,5957000,23952000,45222000,55048000
53,Total Current Liabilities,- -,- -,3496000,12875000,14474000,11546000,20772000,33323000,16469000,16736000,15148000,23486000,32207000,30889000,17788000,4799923,10054000,8444000,25130000,46557000,76838000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,6294000,- -,11667000,12388000,4464000,13820000,4607000,- -,- -,- -,- -,- -,468000,387000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,6731000,2159000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1188000,4259000,44990000,76981000,116427000,799000,26000,14000,1000,85000,43000,- -,- -,- -,- -,361000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,1188000,4259000,44990000,76981000,122721000,7530000,13852000,12402000,4465000,13905000,4650000,- -,- -,- -,- -,361000,468000,387000
59,Other Liabilities,29000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1188000,4259000,3170000,2815000,2012000,2061000,227000,26000,14000,127000,85000,43000,- -,- -,- -,676000,786000,797000
61,Total Liabilities,29000,- -,3496000,14063000,18733000,56536000,97753000,156044000,23999000,30588000,27550000,27951000,46112000,35539000,17788000,4799923,10054000,8444000,25491000,47025000,77225000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,- -,3000,3000,2000,2000,3000,3000,3000,4000,5000,7000,9000,11000,14000,1195,1000,2000,2000,2000,2000
64,Retained Earnings,- -,- -,-64491000,-110425000,-179288000,-236558000,-300053000,-392671000,-313583000,-351050000,-398430000,-461220000,-551412000,-637573000,-706244000,-75307448,-106461000,-139272000,-223220000,-425464000,-667310000
65,Other Comprehensive Income/Loss,- -,- -,-1306000,-2676000,-4600000,-8230000,-11524000,-14128000,-16028000,-17961000,-19358000,-20096000,-20476000,-20483000,-21145000,- -,- -,- -,- -,47000,-80000
66,Other Total Stockholders Equity,2743000,- -,142685000,231054000,236363000,243039000,336470000,348005000,354519000,392486000,432557000,556375000,620970000,723181000,777782000,111716755,288719000,616254000,639783000,665385000,863495000
67,Total Stockholders Equity,2744000,- -,76891000,117956000,52477000,-1747000,24896000,-58791000,24911000,23479000,14774000,75066000,49091000,65136000,50407000,36410502,182259000,476984000,416565000,239970000,196107000
68,Total Liabilities And Stockholders Equity,2773000,- -,80387000,132019000,71210000,54789000,122649000,97253000,48910000,54067000,42324000,103017000,95203000,100675000,68195000,41210425,192313000,485428000,442056000,286995000,273332000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2773000,- -,80387000,132019000,71210000,54789000,122649000,97253000,48910000,54067000,42324000,103017000,95203000,100675000,68195000,41210425,192313000,485428000,442056000,286995000,273332000
71,SEC Link,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157601/000104746908003112/0001047469-08-003112-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746909003196/0001047469-09-003196-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746910002048/0001047469-10-002048-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746911002010/0001047469-11-002010-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746912001243/0001047469-12-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746913002698/0001047469-13-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746914002088/0001047469-14-002088-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746915002022/0001047469-15-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746916011140/0001047469-16-011140-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746917002260/0001047469-17-002260-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746918001557/0001047469-18-001557-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746919000725/0001047469-19-000725-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312520049021/0001193125-20-049021-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312521056164/0001193125-21-056164-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312522051569/0001193125-22-051569-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-27878000,-45934000,-68863000,-57270000,-63495000,-92618000,79088000,-37467000,-47380000,-62790000,-90192000,-86161000,-68671000,-26387858,-31154000,-32811000,-83948000,-202244000,-241846000
74,Depreciation and Amortization,- -,- -,1006000,1547000,2455000,3655000,3351000,2717000,2463000,1933000,1464000,738000,516000,673000,662000,156,77000,96000,112000,471000,405000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4579000,4048000,3354000,3322000,6030000,7431000,4300000,8679174,3254000,13489000,22759000,20730000,26873000
77,Change in Working Capital,- -,- -,866000,39583000,-64671000,-12395000,60144000,-38327000,-29793000,6679000,-9646000,52761000,-17865000,8423000,-18470000,-13579444,145550444,294799000,-61690000,-176461000,30651000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,626000,-2032000,1542000,2194000,928000,-3450000,-1840000,-128058,917000,558000,-1309000,-161000,20363000
81,Other Working Capital,- -,- -,73564000,113147000,48476000,36081000,96225000,57898000,28105000,34784000,25138000,77899000,60034000,68457000,49987000,36407556,181958000,476757000,415067000,238606000,- -
82,Other Non-Cash Items,- -,- -,2394000,-28991000,69197000,13025000,27222000,90289000,-83147000,-13392000,4908000,-48166000,24100000,-9291000,10735000,13680352,-140044444,-301080000,81143000,199943000,- -
83,Cash Provided by Operating Activities,- -,- -,-23612000,-33795000,-61882000,-52985000,27222000,-37939000,-26810000,-38199000,-47300000,-54135000,-77411000,-78925000,-71444000,-17607620,-22317000,-25507000,-41624000,-157561000,-183917000
84,CAPEX,- -,- -,-769000,-1594000,-4883000,-1580000,-2350000,-2184000,-454000,-136000,-690000,-505000,-769000,-144000,-58000,-3080,-125000,-22000,-172000,-334000,-209000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-47916000,-124711000,-184365000,-118204000,-15014000,-21503000,-39303000,-36916000,-50726000,-50033000,-114151000,-93845000,-117135000,-10696781,-70211000,-614358000,-619303000,-329342000,-394120000
87,Sales/Maturities of Investments,- -,- -,7785000,82494000,228424000,143358000,28149000,- -,60806000,17250000,60745000,40595000,90267000,85152000,137193000,26062846,48330000,234304000,650182000,489456000,389274000
88,Other Investing Activites,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629287,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-40400000,-43811000,39176000,23574000,10785000,-23687000,21049000,-19802000,9329000,-9943000,-24653000,-8837000,20000000,21992272,-22006000,-380076000,30707000,159780000,-5055000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-2179000,-1834000,-378000,-4246000,-2630000,-9492000,-9256000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,71192000,83303000,134000,39963000,44796000,1000,50000,31990000,- -,119793000,58172000,94788000,49642000,5953832,173805000,311825000,- -,4421000,170207000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-290000,- -,- -,- -,- -,-32000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-70000,977000,3645000,-674000,-623000,-1907000,- -,15000000,37114000,- -,13500000,- -,- -,8500250,- -,2510000,235000,667000,1030000
95,Cash Used/Provided by Financing Activities,- -,- -,71122000,84280000,3779000,39289000,43883000,-1906000,-2129000,45156000,36736000,115515000,69042000,85296000,40386000,14454082,173805000,314335000,235000,5088000,171237000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,7110000,6674000,-18927000,9878000,81890000,-63532000,-7890000,-12845000,-1235000,51437000,-33022000,-2466000,-11058000,18838734,129482000,-91248000,-10682000,7307000,-17735000
98,Cash at the End of Period,- -,- -,36062000,42736000,23809000,33687000,115577000,52045000,44155000,31310000,30075000,81512000,48490000,46024000,34966000,19144983,148627000,57379000,46697000,54004000,36269000
99,Cash at the Beginning of Period,- -,- -,28952000,36062000,42736000,23809000,33687000,115577000,52045000,44155000,31310000,30075000,81512000,48490000,46024000,306249,19145000,148627000,57379000,46697000,54004000
100,Free Cash Flow,- -,- -,-24381000,-35389000,-66765000,-54565000,24872000,-40123000,-27264000,-38335000,-47990000,-54640000,-78180000,-79069000,-71502000,-17610700,-22442000,-25529000,-41796000,-157895000,-184126000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157601/000104746908003112/0001047469-08-003112-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746909003196/0001047469-09-003196-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746910002048/0001047469-10-002048-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746911002010/0001047469-11-002010-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746912001243/0001047469-12-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746913002698/0001047469-13-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746914002088/0001047469-14-002088-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746915002022/0001047469-15-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746916011140/0001047469-16-011140-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746917002260/0001047469-17-002260-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746918001557/0001047469-18-001557-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746919000725/0001047469-19-000725-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312520049021/0001193125-20-049021-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312521056164/0001193125-21-056164-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312522051569/0001193125-22-051569-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
