,https://roic.ai/company/HPE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-8.03,1.12,0.75,1.34,1.82,0.21,1.23,0.77,-0.25,2.70
27,Weighted Average Shares Outstanding,1839000000,1801000000,1839000000,1804000000,1715000000,1646000000,1529000000,1353000000,1294000000,1314000000
28,Weighted Average Shares Outstanding Diluted,1869000000,1826000000,1869000000,1834000000,1739000000,1674000000,1553000000,1366000000,1294000000,1338000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1645590/000104746915009279/0001047469-15-009279-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/0001628280-16-022051-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/0001628280-17-012383-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/0001628280-18-015054-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/0001645590-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000164559020000056/0001645590-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/0001645590-21-000068-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2182000000,2319000000,9842000000,12987000000,9579000000,4880000000,3753000000,4233000000,3996000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2170000000,- -
33,Cash and Short-Term Investments,- -,2182000000,2319000000,9842000000,12987000000,9579000000,4880000000,3753000000,6403000000,3996000000
34,Net Receivables,- -,14571000000,13339000000,14986000000,11949000000,8455000000,8611000000,7911000000,7180000000,7911000000
35,Inventory,- -,2078000000,1884000000,2198000000,1774000000,2315000000,2447000000,2387000000,2674000000,4511000000
36,Other Current Assets,- -,5548000000,4489000000,4147000000,2207000000,1095000000,1334000000,1092000000,299000000,2460000000
37,Total Current Assets,- -,24379000000,22031000000,31173000000,28917000000,21444000000,17272000000,15143000000,16556000000,18878000000
38,PP&E,- -,8510000000,8520000000,9886000000,9636000000,6269000000,6138000000,6054000000,6555000000,6497000000
39,Goodwill,- -,25945000000,25960000000,27261000000,24178000000,17516000000,17537000000,18306000000,18017000000,18306000000
40,Intangible Assets,- -,2937000000,2057000000,1930000000,1084000000,1042000000,789000000,1128000000,1103000000,1022000000
41,Intangible Assets,- -,28882000000,28017000000,29191000000,25262000000,18558000000,18326000000,19434000000,19120000000,19328000000
42,Investments,- -,- -,- -,- -,2648000000,2535000000,2398000000,2254000000,2170000000,2210000000
43,Tax Assets,- -,841000000,744000000,4069000000,4430000000,4663000000,2403000000,1515000000,1778000000,2023000000
44,Other Non-Current Assets,- -,6163000000,5759000000,6951000000,8786000000,7937000000,8956000000,7403000000,7836000000,8763000000
45,Total Non-Current Assets,- -,44396000000,43040000000,50097000000,50762000000,39962000000,38221000000,36660000000,37459000000,38821000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,68775000000,65071000000,81270000000,79679000000,61406000000,55493000000,51803000000,54015000000,57699000000
48,Accounts Payable,- -,4335000000,4889000000,5828000000,5943000000,6072000000,6092000000,5595000000,5383000000,7004000000
49,Short-Term Debt,- -,1058000000,894000000,691000000,3532000000,3850000000,2005000000,4425000000,3943000000,3744000000
50,Tax Payable,- -,2336000000,2050000000,1998000000,1717000000,1358000000,1388000000,992000000,990000000,951000000
51,Deferred Revenue,- -,5528000000,5129000000,5154000000,4610000000,3128000000,3177000000,3234000000,3430000000,3408000000
52,Other Current Liabilities,- -,9991000000,8848000000,10478000000,8446000000,5874000000,5924000000,5905000000,5982000000,6531000000
53,Total Current Liabilities,- -,20912000000,19760000000,22151000000,22531000000,18924000000,17198000000,19159000000,18738000000,20687000000
54,Long-Term Debt,- -,617000000,485000000,15103000000,12608000000,10182000000,10136000000,9395000000,12186000000,10834000000
55,Deferred Revenue,- -,3183000000,3109000000,3565000000,3408000000,2487000000,2646000000,2751000000,2785000000,2972000000
56,Deferred Tax Liabilities,- -,1672000000,568000000,1238000000,143000000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4016000000,3977000000,5295000000,9471000000,6308000000,4239000000,3349000000,4210000000,3189000000
58,Total Non-Current Liabilities,- -,9488000000,8139000000,25201000000,25630000000,18977000000,17021000000,15495000000,19181000000,16995000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1086000000,1130000000
61,Total Liabilities,- -,30400000000,27899000000,47352000000,48161000000,37901000000,34219000000,34654000000,37919000000,37682000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,17000000,16000000,14000000,13000000,13000000,13000000
64,Retained Earnings,- -,- -,- -,- -,2782000000,-7238000000,-5899000000,-7632000000,-8375000000,-5597000000
65,Other Comprehensive Income/Loss,- -,-1695000000,-2248000000,-5015000000,-6599000000,-2895000000,-3218000000,-3727000000,-3939000000,-2915000000
66,Other Total Stockholders Equity,- -,46927000000,45612000000,38933000000,35248000000,33583000000,30342000000,28444000000,28350000000,- -
67,Total Stockholders Equity,- -,37988000000,36776000000,33535000000,31448000000,23466000000,21239000000,17098000000,16049000000,19971000000
68,Total Liabilities And Stockholders Equity,- -,68388000000,64675000000,80887000000,79609000000,61367000000,55458000000,51752000000,53968000000,57653000000
69,Minority Interest,- -,387000000,396000000,383000000,70000000,39000000,35000000,51000000,47000000,46000000
70,Total Liabilities & Equity,- -,68775000000,65071000000,81270000000,79679000000,61406000000,55493000000,51803000000,54015000000,57699000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1645590/000104746915009279/0001047469-15-009279-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/0001628280-16-022051-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/0001628280-17-012383-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/0001628280-18-015054-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/0001645590-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000164559020000056/0001645590-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/0001645590-21-000068-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-14761000000,2051000000,1648000000,2461000000,3161000000,344000000,1908000000,1049000000,-322000000,3427000000
74,Depreciation and Amortization,4858000000,4396000000,4144000000,3947000000,3775000000,3051000000,2576000000,2535000000,2625000000,2597000000
75,Deferred Income Tax,-552000000,-248000000,-304000000,-2522000000,-1345000000,-1122000000,2229000000,1079000000,-294000000,-167000000
76,Stock Based Compensation,438000000,374000000,427000000,565000000,558000000,428000000,286000000,268000000,274000000,382000000
77,Change in Working Capital,-1754000000,4539000000,-1196000000,6751000000,-2636000000,-3866000000,-2446000000,-4090000000,1834000000,-1370000000
78,Accounts Receivable,26000000,1058000000,1414000000,-384000000,690000000,-5000000,-586000000,-36000000,-948000000,-591000000
79,Inventory,-39000000,-251000000,69000000,-424000000,34000000,-542000000,-260000000,46000000,-527000000,-1959000000
80,Accounts Payable,-669000000,472000000,611000000,868000000,66000000,992000000,-27000000,-525000000,-225000000,1608000000
81,Other Working Capital,-1072000000,3467000000,2271000000,9022000000,6386000000,2520000000,74000000,-4016000000,-2182000000,-263000000
82,Other Non-Cash Items,19011000000,-2373000000,2192000000,-7541000000,1445000000,2054000000,-1589000000,3156000000,-1877000000,1002000000
83,Cash Provided by Operating Activities,7240000000,8739000000,6911000000,3661000000,4958000000,889000000,2964000000,3997000000,2240000000,5871000000
84,CAPEX,-3475000000,-2497000000,-3620000000,-3344000000,-3280000000,-3137000000,-2956000000,-2856000000,-2383000000,-2502000000
85,Acquisitions Net,-31000000,-167000000,-43000000,-2504000000,3320000000,-2222000000,-194000000,-1526000000,-866000000,-505000000
86,Purchases of Investments,-944000000,-938000000,-940000000,-243000000,-656000000,-45000000,-33000000,-39000000,-101000000,-60000000
87,Sales/Maturities of Investments,858000000,1005000000,1023000000,298000000,585000000,38000000,98000000,26000000,48000000,15000000
88,Other Investing Activites,433000000,370000000,606000000,380000000,450000000,459000000,1014000000,938000000,724000000,256000000
89,Cash Used for Investing Activites,-3159000000,-2227000000,-2974000000,-5413000000,419000000,-4907000000,-2071000000,-3457000000,-2578000000,-2796000000
90,Debt Repayment,-1136000000,-2200000000,-1135000000,-15606000000,-833000000,-3783000000,-4138000000,-2203000000,-5099000000,-5465000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2662000000,-2556000000,-3568000000,-2249000000,-355000000,-213000000
93,Dividends Paid,- -,- -,- -,- -,-373000000,-428000000,-570000000,-608000000,-618000000,-625000000
94,Other Financing Activites,-3385000000,-4264000000,-2665000000,24881000000,1636000000,7377000000,2684000000,3512000000,6955000000,2939000000
95,Cash Used/Provided by Financing Activities,-4521000000,-6464000000,-3800000000,9275000000,-2232000000,610000000,-5592000000,-1548000000,883000000,-3364000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-440000000,48000000,137000000,7523000000,3145000000,-3408000000,-4699000000,-1008000000,545000000,-289000000
98,Cash at the End of Period,2134000000,2182000000,2319000000,9842000000,12987000000,9579000000,4880000000,4076000000,4621000000,4332000000
99,Cash at the Beginning of Period,2574000000,2134000000,2182000000,2319000000,9842000000,12987000000,9579000000,5084000000,4076000000,4621000000
100,Free Cash Flow,3765000000,6242000000,3291000000,317000000,1678000000,-2248000000,8000000,1141000000,-143000000,3369000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1645590/000104746915009279/0001047469-15-009279-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/0001628280-16-022051-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/0001628280-17-012383-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/0001628280-18-015054-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/0001645590-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1645590/000164559020000056/0001645590-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/0001645590-21-000068-index.htm
102,false,,,,,,,,,,
