,https://roic.ai/company/PGNY,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,-103964000,-111477000
87,Sales/Maturities of Investments,- -,- -,- -,64970000,122372000
88,Other Investing Activites,- -,2481000,200000,- -,- -
89,Cash Used for Investing Activites,-612000,1902000,-2756000,-40031000,8766000
90,Debt Repayment,-3259000,-69519000,-182278000,- -,- -
91,Common Stock Issued,- -,- -,78385000,- -,- -
92,Common Stock Repurchased,- -,-3705000,-185000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,15025000,64486000,188623000,-6249000,-13695000
95,Cash Used/Provided by Financing Activities,11766000,-8738000,84545000,-6249000,-13695000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,1680000,-4564000,80255000,-10077000,21108000
98,Cash at the End of Period,4691000,127000,80382000,70305000,91413000
99,Cash at the Beginning of Period,3011000,4691000,127000,80382000,70305000
100,Free Cash Flow,-10086000,1693000,-4490000,35166000,23908000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1551306/000155837020002258/0001558370-20-002258-index.htm,https://www.sec.gov/Archives/edgar/data/1551306/000155837021002082/0001558370-21-002082-index.htm,https://www.sec.gov/Archives/edgar/data/1551306/000155837022002466/0001558370-22-002466-index.htm
102,false,,,,,
