,https://roic.ai/company/VAC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.4781,0.0707,-0.1336,0.0189,- -,0.0749,0.0870,0.0990,0.1157,0.0347,0.0517,-0.1178,0.0326
22,Income Tax expense (Gain),-231000000,45000000,-45000000,24000000,- -,51000000,70000000,76000000,-895000,51000000,83000000,-84000000,74000000
23,Net Income,-521000000,67000000,-172000000,7000000,- -,80000000,81000000,122000000,226778000,55000000,138000000,-275000000,49000000
24,Net Income ratio,-0.3264,0.0423,-0.1059,0.0043,- -,0.0457,0.0467,0.0610,0.1162,0.0185,0.0317,-0.0953,0.0126
25,EPS,-15.49,1.99,-5.29,0.46,- -,2.25,2.40,4.93,8.70,1.64,3.13,-6.65,1.18
26,EPS Diluted,-15.49,1.99,-5.29,0.44,- -,2.18,2.33,4.83,8.49,1.61,3.09,-6.65,1.18
27,Weighted Average Shares Outstanding,33632000,33632000,33700000,34400000,- -,35400000,33700000,27882000,27100000,33536585,44089457,41353383,41353383
28,Weighted Average Shares Outstanding Diluted,33632000,33632000,33700000,36200000,- -,36600000,34600000,28422000,27700000,34161491,44660194,41353383,41353383
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1524358/000119312512125188/0001193125-12-125188-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000119312513070988/0001193125-13-070988-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1524358/000119312514072130/d638198d10k.htm,https://www.sec.gov/Archives/edgar/data/1524358/000119312515064836/d843780d10k.htm,https://www.sec.gov/Archives/edgar/data/1524358/000152435817000004/0001524358-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435818000007/0001524358-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435819000008/0001524358-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435820000011/0001524358-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435821000016/0001524358-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1524358/000152435822000013/0001524358-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,32000000,26000000,110000000,103000000,- -,200000000,346515000,147102000,409059000,231000000,287000000,524000000,342000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,32000000,26000000,110000000,103000000,- -,200000000,346515000,147102000,409059000,231000000,287000000,524000000,342000000
34,Net Receivables,515000000,1354000000,105000000,100000000,- -,109000000,109700000,161733000,1273805000,2363000000,2556000000,2116000000,2324000000
35,Inventory,1377000000,1412000000,959000000,888000000,- -,870000000,772784000,712536000,716533000,863000000,859000000,759000000,719000000
36,Other Current Assets,34000000,66000000,1044000000,958000000,- -,861000000,798580000,810578000,81553000,383000000,414000000,468000000,461000000
37,Total Current Assets,1958000000,2858000000,2218000000,2049000000,- -,2040000000,2027579000,1831949000,2480950000,3840000000,4116000000,3867000000,3846000000
38,PP&E,358000000,310000000,285000000,261000000,- -,254000000,147379000,202802000,252727000,951000000,751000000,791000000,1136000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,2828000000,2892000000,2817000000,3150000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1107000000,1027000000,952000000,993000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3935000000,3919000000,3769000000,4143000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,318000000,333000000,- -,42000000,- -,60000000,78883000,149168000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,402000000,141000000,343000000,261000000,- -,278000000,276738000,207500000,172516000,292000000,428000000,471000000,488000000
45,Total Non-Current Assets,1078000000,784000000,628000000,564000000,- -,592000000,503000000,559470000,425243000,5178000000,5098000000,5031000000,5767000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3036000000,3642000000,2846000000,2613000000,- -,2632000000,2530579000,2391419000,2906193000,9018000000,9214000000,8898000000,9613000000
48,Accounts Payable,81000000,87000000,145000000,113000000,- -,129000000,114079000,124439000,145405000,245000000,286000000,209000000,265000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,78000000,104000000,29000000,32000000,- -,19000000,39000000,95495000,153000000,- -,- -,488000000,- -
52,Other Current Liabilities,206000000,164000000,1498000000,611000000,- -,557000000,555968000,526442000,127476000,634000000,583000000,18000000,546000000
53,Total Current Liabilities,365000000,355000000,1672000000,756000000,- -,705000000,709047000,746376000,425881000,879000000,869000000,715000000,811000000
54,Long-Term Debt,59000000,1022000000,40000000,718000000,- -,718000000,741829000,737224000,1087992000,3801000000,4073000000,4260000000,4487000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,98286000,319000000,433000000,488000000,453000000
56,Deferred Tax Liabilities,- -,- -,78000000,43000000,- -,60000000,79000000,149168000,90725000,318000000,300000000,274000000,350000000
57,Other Non-Current Liabilities,389000000,361000000,-78000000,-43000000,- -,-60000000,-79000000,-149168000,158289000,235000000,508000000,479000000,526000000
58,Total Non-Current Liabilities,448000000,1383000000,40000000,718000000,- -,718000000,741829000,737224000,1435292000,4673000000,5314000000,5501000000,5816000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,7221000,7221000,17000000,14000000,8000000,- -
61,Total Liabilities,813000000,1738000000,1712000000,1474000000,- -,1423000000,1450876000,1483600000,1861173000,5552000000,6183000000,6216000000,6627000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,361000,366000,369000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,-2000000,2000000,- -,82000000,153732000,346341000,533601000,523000000,569000000,272000000,275000000
65,Other Comprehensive Income/Loss,20000000,28000000,19000000,21000000,- -,23000000,17000000,5460000,16745000,6000000,-36000000,-48000000,-16000000
66,Other Total Stockholders Equity,2529000000,2240000000,1117000000,1116000000,- -,1110000000,908907000,555652000,494305000,2931000000,2485000000,2426000000,2716000000
67,Total Stockholders Equity,2223000000,1904000000,1134000000,1151000000,- -,1209000000,1080000000,907819000,1045020000,3461000000,3019000000,2651000000,2976000000
68,Total Liabilities And Stockholders Equity,3036000000,3642000000,2846000000,2625000000,- -,2632000000,2530876000,2391419000,2906193000,9013000000,9202000000,8867000000,9603000000
69,Minority Interest,- -,- -,- -,-12000000,- -,- -,-297000,- -,- -,5000000,12000000,31000000,10000000
70,Total Liabilities & Equity,3036000000,3642000000,2846000000,2613000000,- -,2632000000,2530579000,2391419000,2906193000,9018000000,9214000000,8898000000,9613000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1524358/000119312512125188/0001193125-12-125188-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000119312513070988/0001193125-13-070988-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1524358/000119312514072130/d638198d10k.htm,https://www.sec.gov/Archives/edgar/data/1524358/000119312515064836/d843780d10k.htm,https://www.sec.gov/Archives/edgar/data/1524358/000152435817000004/0001524358-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435818000007/0001524358-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435819000008/0001524358-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435820000011/0001524358-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435821000016/0001524358-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1524358/000152435822000013/0001524358-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-521000000,67000000,-172000000,7000000,- -,80000000,81000000,122000000,226778000,55000000,138000000,-275000000,49000000
74,Depreciation and Amortization,42000000,35000000,33000000,30000000,- -,23000000,19000000,21044000,21494000,62000000,141000000,123000000,146000000
75,Deferred Income Tax,- -,- -,-57000000,-50000000,- -,18000000,19000000,38834000,-66134000,54000000,5000000,-38000000,34000000
76,Stock Based Compensation,- -,- -,11000000,12000000,- -,12000000,13000000,15266000,16286000,29000000,33000000,36000000,51000000
77,Change in Working Capital,-70000000,910000000,-1957000000,747000000,- -,42000000,-16468000,19615000,969496000,905931000,286000000,-95000000,229000000
78,Accounts Receivable,- -,- -,-3000000,-3000000,- -,-8000000,-1000000,-30055000,5695000,-38000000,69000000,21000000,- -
79,Inventory,- -,- -,113000000,68000000,- -,34000000,82000000,4301000,42661000,9000000,65000000,18000000,61000000
80,Accounts Payable,-77000000,6000000,- -,21000000,- -,-16000000,-11000000,-19905000,50754000,26000000,17000000,-146000000,42000000
81,Other Working Capital,1593000000,2503000000,546000000,1293000000,- -,1335000000,1318532000,1085573000,2055069000,2961000000,3247000000,3152000000,110000000
82,Other Non-Cash Items,726000000,-629000000,2463000000,-583000000,- -,-13000000,175468000,-76587000,-1025748000,-1008931000,-221000000,548000000,-166000000
83,Cash Provided by Operating Activities,177000000,383000000,321000000,163000000,- -,162000000,291000000,140172000,142172000,97000000,382000000,299000000,343000000
84,CAPEX,-28000000,-24000000,-15000000,-17000000,- -,-22000000,-15000000,-34770000,-26297000,-40000000,-46000000,-41000000,-47000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,68953000,- -,-1353000000,- -,- -,-154000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-12100000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-27000000,21000000,9000000,3000000,- -,-36000000,43000000,-29932000,-26264000,-54000000,37000000,-32000000,-59000000
89,Cash Used for Investing Activites,-27000000,21000000,9000000,3000000,- -,-36000000,43000000,39021000,-38364000,-1407000000,37000000,-32000000,-213000000
90,Debt Repayment,-28000000,-375000000,-298000000,-426000000,- -,-386000000,-230000000,-407864000,-380991000,-597000000,-1712000000,-1676000000,-2212000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-26000000,-203000000,-217830000,-88305000,-96000000,-465000000,-82000000,-78000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-8000000,-34195000,-38028000,-51000000,-81000000,-45000000,-23000000
94,Other Financing Activites,-116000000,-35000000,52000000,254000000,- -,383000000,256000000,454937000,678061000,2177000000,1927000000,1826000000,1996000000
95,Cash Used/Provided by Financing Activities,-144000000,-410000000,-246000000,-172000000,- -,-29000000,-185000000,-204952000,170737000,1433000000,-331000000,23000000,-317000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1000000,- -,- -,-2000000,-4200000,2965000,- -,-1000000,1000000,-2000000
97,Net Change In Cash,6000000,-6000000,84000000,-7000000,- -,97000000,147000000,-29959000,277510000,123000000,87000000,291000000,-189000000
98,Cash at the End of Period,32000000,26000000,110000000,103000000,- -,200000000,347000000,147102000,490612000,614000000,701000000,992000000,803000000
99,Cash at the Beginning of Period,26000000,32000000,26000000,110000000,- -,103000000,200000000,177061000,213102000,491000000,614000000,701000000,992000000
100,Free Cash Flow,149000000,359000000,306000000,146000000,- -,140000000,276000000,105402000,115875000,57000000,336000000,258000000,296000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1524358/000119312512125188/0001193125-12-125188-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000119312513070988/0001193125-13-070988-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1524358/000119312514072130/d638198d10k.htm,https://www.sec.gov/Archives/edgar/data/1524358/000119312515064836/d843780d10k.htm,https://www.sec.gov/Archives/edgar/data/1524358/000152435817000004/0001524358-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435818000007/0001524358-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435819000008/0001524358-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435820000011/0001524358-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1524358/000152435821000016/0001524358-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1524358/000152435822000013/0001524358-22-000013-index.htm
102,false,,,,,,,,,,,,,
