,https://roic.ai/company/SYNL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,300000,1000000,1100000,900000,- -,- -,- -,- -,- -,- -,- -,2867975,2959637,3092430,2549220,2007419,- -,1500781,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1500000,1600000,1200000,1400000,1200000,- -,1300000,- -,- -,2500000,- -,1900000,1600000,- -,7600000,7600000,- -,- -,- -,- -,- -,- -,- -,2433000
44,Other Non-Current Assets,6400000,1900000,2100000,2200000,1700000,2000000,1600000,1300000,2400000,2800000,3100000,4100000,- -,3400000,3600000,4100000,3800000,4000000,- -,5000000,4290136,4308902,1800000,- -,5132025,-1359637,117645,-7349220,-2807419,- -,187384,146618,263655,507962,348000,455000,2040000
45,Total Non-Current Assets,15600000,10000000,9500000,8900000,10100000,12300000,13100000,13900000,16400000,19000000,23400000,29000000,- -,28300000,31700000,29000000,31600000,26400000,- -,24700000,22987896,23260722,25200000,- -,26500000,21400000,24278329,57600000,63700000,- -,64082991,41134278,52227710,60928521,110082000,80101000,106023000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33200000,26100000,33500000,36400000,42900000,46200000,45600000,50100000,55800000,62400000,80200000,76600000,- -,73400000,71400000,73300000,69800000,60000000,- -,64900000,70982182,89357166,96600000,- -,94700000,78300000,98916364,148500000,163300000,- -,149021417,138638063,159874150,228398846,257197000,206984000,266002000
48,Accounts Payable,- -,- -,- -,- -,3800000,7400000,7600000,5400000,6600000,5900000,4800000,6300000,- -,5500000,7900000,6100000,6400000,7000000,- -,7700000,11191861,11775703,13000000,- -,8200000,6600000,13043153,10500000,11400000,- -,12265930,16684508,24256812,25073698,21150000,19732000,32318000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,2700000,- -,- -,700000,8200000,7200000,3863088,- -,656254,570866,466667,466667,- -,1020667,375000,- -,2274054,2533908,- -,4554447,- -,- -,267028,7854000,1761000,6265000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68377,1600762,836640,- -,744880,479870,921476,852116,406000,133000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479000000,479000000,- -,479000000,- -,- -,2284000000,- -,2265949000,1623000000,1146559,2981439000,3776647000,- -,637597,571738,184874,177518,153000,298000,- -
52,Other Current Liabilities,10100000,5400000,14000000,11500000,7700000,8600000,8700000,8100000,6500000,8600000,5900000,4500000,- -,4100000,2100000,4500000,-475600000,-476363088,- -,-475856254,7567601,7470001,-2272766667,- -,-2256369667,-1617175000,4104103,-2969613054,-3765980908,- -,9176744,15515696,8808580,11719140,11421000,9259000,11906000
53,Total Current Liabilities,10100000,5400000,14000000,11500000,11500000,16000000,16300000,13500000,13100000,14500000,15700000,13500000,- -,9600000,10700000,18800000,17000000,13500000,- -,11500000,19330328,19712371,24700000,- -,18800000,12800000,18293815,24600000,24600000,- -,26634718,32771942,33250266,37237384,40578000,31050000,50489000
54,Long-Term Debt,4800000,2900000,2500000,2000000,3500000,2900000,2300000,5800000,8200000,7900000,12600000,11200000,- -,10200000,10000000,10000000,10000000,10000000,- -,18800000,8090554,17731431,10200000,- -,10000000,- -,8650431,37600000,20900000,- -,23545801,8804206,25913557,76405458,71554000,60495000,101401000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5599000,- -,- -,2433000
56,Deferred Tax Liabilities,- -,- -,- -,- -,300000,500000,700000,500000,1100000,400000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3112000,3700000,- -,- -,- -,- -,2557662,7645119,7573999,- -,3016954,1609492,635910,252988,790000,1957000,2433000
57,Other Non-Current Liabilities,500000,3200000,2200000,2100000,1600000,1300000,1100000,900000,600000,2700000,2900000,3600000,- -,3500000,4800000,4400000,3900000,2600000,- -,2100000,1152962,1086212,3600000,- -,3000000,2700000,795555,6854881,4126001,- -,669650,6859868,10373991,6419930,37764000,33187000,- -
58,Total Non-Current Liabilities,5300000,6100000,4700000,4100000,5400000,4700000,4100000,7200000,9900000,11000000,16100000,14800000,- -,13700000,14800000,14400000,13900000,12600000,- -,20900000,12355516,22517643,13800000,- -,13000000,2700000,12003648,52100000,32600000,- -,27232405,17273566,36923458,88677376,110108000,95639000,106267000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1364000,1125000,- -,5708831,- -,- -,20539,- -,- -,267028,37913000,33694000,- -
61,Total Liabilities,15400000,11500000,18700000,15600000,16900000,20700000,20400000,20700000,23000000,25500000,31800000,28300000,- -,23300000,25500000,33200000,30900000,26100000,- -,32400000,31685844,42230014,38500000,- -,31800000,15500000,30297463,76700000,57200000,- -,53867123,50045508,70173724,125914760,150686000,126689000,156756000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -,8000000,8000000,8000000,8000000,8000000,- -,8000000,8000000,8000000,8000000,- -,8000000,8000000,8000000,8000000,10300000,- -,10300000,10300000,10300000,10300000,10300000,10300000,11085000
64,Retained Earnings,4800000,1600000,1800000,7700000,12900000,17300000,20100000,24300000,27500000,31400000,43800000,49100000,- -,52300000,49700000,49000000,47800000,43000000,- -,41400000,47329620,54921022,65100000,- -,69500000,69100000,74198151,76800000,76300000,- -,65029474,57936533,58129382,68965410,70552000,42835000,42835000
65,Other Comprehensive Income/Loss,-10900000,-11400000,-12400000,-13700000,-15000000,-16300000,-17600000,-18900000,-19900000,-20200000,-22000000,-26100000,- -,-27800000,1000000,400000,400000,-35500000,- -,-35900000,-39346573,- -,-40400000,- -,-35200000,-36700000,-39833076,-41000000,-42500000,- -,-50203945,-45219309,-10864,- -,- -,- -,- -
66,Other Total Stockholders Equity,23900000,24400000,25400000,26800000,28100000,24500000,22700000,24000000,25200000,25700000,26600000,17300000,- -,17500000,- -,- -,- -,18374346,- -,19056322,23313291,- -,25440282,- -,20566568,22320742,26253826,27974068,61998113,- -,70028765,65575331,21281908,23218676,25659000,27160000,37425000
67,Total Stockholders Equity,17800000,14600000,14800000,20800000,26000000,25500000,25200000,29400000,32800000,36900000,48400000,48300000,- -,50000000,45800000,40200000,38900000,33874346,- -,32556322,39296338,47127152,58140282,- -,62866568,62720742,68618901,71774068,106098113,- -,95154294,88592555,89700426,102484086,106511000,80295000,109246000
68,Total Liabilities And Stockholders Equity,33200000,26100000,33500000,36400000,42900000,46200000,45600000,50100000,55800000,62400000,80200000,76600000,- -,73300000,71300000,73400000,69800000,59974346,- -,64956322,70982182,89357166,96640282,- -,94666568,78220742,98916364,148474068,163298113,- -,149021417,138638063,159874150,228398846,257197000,206984000,266002000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,-100000,- -,25654,- -,-56322,- -,- -,-40282,- -,33432,79258,- -,25932,1887,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33200000,26100000,33500000,36400000,42900000,46200000,45600000,50100000,55800000,62400000,80200000,76600000,- -,73400000,71400000,73300000,69800000,60000000,- -,64900000,70982182,89357166,96600000,- -,94700000,78300000,98916364,148500000,163300000,- -,149021417,138638063,159874150,228398846,257197000,206984000,266002000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595399000008/0000095953-99-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595302000008/edgar2001-10ktest1.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595303000003/edgar2002-10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595304000007/edgar2003-10k.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595306000009/synl10-k2005.htm,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595308000010/body.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595309000008/0000095953-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595310000005/0000095953-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595312000007/0000095953-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595313000008/0000095953-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595314000014/syn-20131228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595316000165/0000095953-16-000165-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595317000027/0000095953-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595318000031/0000095953-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595319000043/0000095953-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595320000021/0000095953-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595321000032/0000095953-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595322000037/0000095953-22-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1100000,-4500000,- -,4800000,6400000,5800000,4000000,5600000,4800000,5700000,14500000,7700000,- -,5800000,100000,-1100000,-300000,-4800000,- -,-1400000,5095951,7608154,10100000,- -,6000000,200000,5797160,4200000,1800000,- -,-11520336,-7093301,1341362,13097429,-3036000,-27267000,20245000
74,Depreciation and Amortization,1300000,1500000,- -,1400000,1400000,1500000,1500000,1600000,1700000,2000000,2300000,2700000,- -,3500000,3500000,4068937,3378362,3379581,- -,3072098,2861923,2671864,2634066,- -,2745738,2331531,2631864,2831718,5113952,- -,6754912,6611421,7403539,8440904,11064000,10600000,7547000
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,100000,200000,100000,-500000,500000,500000,- -,400000,-300000,-770000,509408,-290000,- -,-270687,111000,14000,-581000,- -,832051,-100000,120517,53697,-1467068,- -,150462,-1407462,-1037183,-382922,-773000,1167000,-2071000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216580,209475,276553,- -,331362,- -,521695,459473,638416,826998,2091000,1791000,799000
77,Change in Working Capital,- -,6000000,- -,5300000,-3400000,-1700000,6500000,3600000,2600000,12200000,-7000000,1400000,- -,-6500000,-1000000,-4300000,-1100000,8600000,- -,6400000,17720115,315927,2700000,- -,-5300000,-900000,9955780,8700000,-10419670,- -,6428135,9664331,55836767,-23695941,-10704000,6537000,7120000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1380846,4313283,-7402098,246899,-2057069,- -,11380941,-37676,-10877176,-10413480,9696000,5552000,-398000
79,Inventory,- -,- -,- -,- -,-1600000,300000,-1300000,-1800000,-600000,-3700000,-10600000,9900000,- -,2400000,2400000,-41356,5006900,3115206,- -,-5135800,1867805,-17063135,-7255636,- -,5889826,17392097,-8110000,-1906355,-5630450,- -,4173337,2032621,-7088100,-41157779,19962000,9122000,1649000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3735120,-2053358,2369076,-4151832,1540605,- -,-9122368,4418578,7572308,-234353,-5323000,-1418000,10835000
81,Other Working Capital,10000000,16000000,- -,21300000,17900000,16200000,22700000,26300000,28900000,41100000,34100000,35500000,- -,29000000,28000000,21200000,20100000,28700000,- -,35100000,46384073,46700000,49400000,- -,44100000,43200000,66300000,75000000,64580330,- -,64731843,74396174,130232941,106537000,95833000,102370000,109490000
82,Other Non-Cash Items,-200000,-3000000,- -,-11500000,-3400000,4000000,-5700000,-9600000,-4900000,-14800000,-5300000,6600000,- -,10000000,7800000,4045916,7607342,-3616659,- -,-11621848,-10363731,-18452336,-2519782,- -,1445574,18447525,-22639654,-14150552,-900374,- -,14126764,-6776804,-61947451,-19507964,29998000,25150000,-14585000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1000000,9700000,6400000,1400000,4300000,4600000,5000000,18900000,- -,13200000,10100000,1944853,10095112,3272922,- -,-3820437,15425258,-7842391,12333284,- -,5939943,20188531,-3857780,1634863,-5541798,- -,16461632,1457658,2235450,-21221496,28640000,17978000,19055000
