,https://roic.ai/company/SYNH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-1.23,-1.15,-0.09,-0.51,1.95,2.03,-1.85,0.23,1.25,1.83,2.23
27,Weighted Average Shares Outstanding,51900000,51900000,60117000,53301000,57888000,54031000,74913000,103414000,103618000,104168000,104168000
28,Weighted Average Shares Outstanding Diluted,52215000,52215000,60117000,53301000,60146000,55610000,74913000,104701000,105005000,105465000,105465000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610950/000161095015000007/0001610950-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095016000036/0001610950-16-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095017000005/0001610950-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095018000006/0001610950-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095019000008/0001610950-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095020000043/0001610950-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000156459021006471/0001564590-21-006471-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000156459022005428/0001564590-22-005428-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,81363000,96972000,126453000,85011000,102471000,321262000,153863000,163689000,272173000,106475000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,81363000,96972000,126453000,85011000,102471000,321262000,153863000,163689000,272173000,106475000
34,Net Receivables,- -,227265000,228835000,248371000,298012000,385349000,1015988000,1256731000,1303641000,1344781000,1524890000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,45727000,50375000,52075000,39023000,34809000,84929000,81368000,94834000,121058000,135091000
37,Total Current Assets,- -,354355000,376182000,426899000,422046000,522629000,1422179000,1491962000,1562164000,1738012000,1766456000
38,PP&E,- -,42196000,40947000,43725000,44813000,58306000,180412000,183486000,422457000,216200000,432065000
39,Goodwill,- -,565118000,563365000,556863000,553008000,552502000,4292571000,4333159000,4350380000,4776178000,4956015000
40,Intangible Assets,- -,270688000,231051000,190359000,152340000,114486000,1286050000,1133612000,973081000,933525000,854067000
41,Intangible Assets,- -,835806000,794416000,747222000,705348000,666988000,5578621000,5466771000,5323461000,5709703000,5810082000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,4751000,3780000,15665000,12073000,14726000,20159000,9317000,37012000,- -,35387000
44,Other Non-Current Assets,- -,20546000,17786000,11576000,26939000,25858000,84496000,103373000,108701000,- -,193103000
45,Total Non-Current Assets,- -,903299000,856929000,818188000,789173000,765878000,5863688000,5762947000,5891631000,5925903000,6470637000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1257654000,1233111000,1245087000,1211219000,1288507000,7285867000,7254909000,7453795000,7663915000,8237093000
48,Accounts Payable,- -,17138000,9594000,16548000,22497000,23693000,58575000,98624000,136686000,113684000,107535000
49,Short-Term Debt,- -,5915000,7005000,4691000,29804000,11875000,41414000,63906000,113957000,59537000,63685000
50,Tax Payable,- -,5720000,4641000,10784000,4202000,1072000,16810000,30761000,17295000,28890000,25723000
51,Deferred Revenue,- -,199747000,207188000,246902000,311029000,277600000,559270000,777141000,696907000,35059000,868455000
52,Other Current Liabilities,- -,87472000,94221000,111655000,111262000,153559000,500303000,563527000,568911000,1369051000,614441000
53,Total Current Liabilities,- -,310272000,318008000,379796000,474592000,466727000,1159562000,1503198000,1516461000,1577331000,1654116000
54,Long-Term Debt,- -,585786000,587202000,415277000,472035000,485849000,2945934000,2737019000,2550395000,2902054000,3015700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,21837000,29233000,30368000,28066000,8295000,37807000,25120000,11101000,- -,78062000
57,Other Non-Current Liabilities,- -,22929000,22461000,27437000,19092000,26163000,119985000,133428000,346184000,68311000,76660000
58,Total Non-Current Liabilities,- -,630552000,638896000,473082000,519193000,520307000,3103726000,2895567000,2907680000,2970365000,3170422000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6214228000,- -
60,Capital Lease Obligations,- -,5400000,2564000,452000,- -,- -,36790000,40565000,311089000,312819000,303664000
61,Total Liabilities,- -,940824000,956904000,852878000,993785000,987034000,4263288000,4398765000,4424141000,4821194000,4824538000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1051000,1051000,612000,539000,538000,1044000,1034000,1039000,1039000,1038000
64,Retained Earnings,- -,-146802000,-188831000,-217149000,-301472000,-229991000,-370469000,-459333000,-341263000,- -,-12953000
65,Other Comprehensive Income/Loss,- -,-9911000,-9841000,-26200000,-41543000,-42250000,-22385000,-88195000,-71593000,-40801000,-49618000
66,Other Total Stockholders Equity,- -,472492000,473828000,634946000,559910000,573176000,3414389000,3402638000,3441471000,3281874000,3474088000
67,Total Stockholders Equity,- -,316830000,276207000,392209000,217434000,301473000,3022579000,2856144000,3029654000,3242112000,3412555000
68,Total Liabilities And Stockholders Equity,- -,1257654000,1233111000,1245087000,1211219000,1288507000,7285867000,7254909000,7453795000,8063306000,8237093000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-399391000,- -
70,Total Liabilities & Equity,- -,1257654000,1233111000,1245087000,1211219000,1288507000,7285867000,7254909000,7453795000,7663915000,8237093000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1610950/000161095015000007/0001610950-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095016000036/0001610950-16-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095017000005/0001610950-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095018000006/0001610950-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095019000008/0001610950-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095020000043/0001610950-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000156459021006471/0001564590-21-006471-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000156459022005428/0001564590-22-005428-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-59547000,-59114000,-41529000,-23470000,117047000,112630000,-138469000,24284000,131258000,192787000,234831000
74,Depreciation and Amortization,64136000,78811000,58473000,54543000,56014000,59204000,179936000,273685000,242465000,222352000,235625000
75,Deferred Income Tax,-36508000,-45195000,3646000,-14837000,4134000,-22260000,14431000,240000,-40069000,-3839000,46522000
76,Stock Based Compensation,1176000,1248000,2419000,3370000,5074000,14020000,59696000,34323000,55193000,58491000,65204000
77,Change in Working Capital,5006000,25655000,14091000,-11071000,-99649000,108448000,206715000,-273853000,56939000,114978000,-137147000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-97621000,- -,16316000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,18428000,44083000,58174000,47103000,-52546000,55902000,262617000,-11236000,45703000,160681000,-161767000
82,Other Non-Cash Items,7204000,41594000,170000,122912000,122120000,-162710000,-124051000,244769000,-127305000,-159276000,5243000
83,Cash Provided by Operating Activities,-18533000,42999000,37270000,131447000,204740000,109332000,198258000,303448000,318481000,425493000,450278000
84,CAPEX,-4763000,-9591000,-17714000,-25551000,-21111000,-31353000,-43896000,-54595000,-63973000,-50010000,-56841000
85,Acquisitions Net,-364907000,-3383000,- -,-2302000,- -,- -,-1678814000,-90890000,-17688000,-454074000,-284661000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-197000,- -,- -,- -,1156000
89,Cash Used for Investing Activites,-369670000,-12974000,-17714000,-27853000,-21111000,-31353000,-1722907000,-145485000,-81661000,-504084000,-340346000
90,Debt Repayment,-329290000,-13420000,-6827000,-503160000,-490453000,-105000000,-865667000,-424369000,-892941000,-9570000,-823051000
91,Common Stock Issued,162345000,375000,- -,156113000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-2606000,-2755000,-1390000,-3422000,-286423000,-64500000,- -,-74985000,-56716000,-70151000,-117521000
93,Dividends Paid,-4500000,-500000,-500000,-375000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,596104000,-2632000,1876000,283146000,565477000,116184000,2600035000,179998000,734188000,257986000,662995000
95,Cash Used/Provided by Financing Activities,422053000,-18932000,-6841000,-67698000,-211399000,-53316000,1734368000,-319356000,-215469000,178265000,-277577000
96,Effect of Forex Changes on Cash,-3627000,-690000,2894000,-6415000,-13672000,-7203000,9072000,-4651000,-13594000,8810000,1947000
97,Net Change In Cash,30223000,10403000,15609000,29481000,-41442000,17460000,218791000,-166044000,7757000,108484000,-165698000
98,Cash at the End of Period,70960000,81363000,96972000,126453000,85011000,102471000,321262000,155932000,163689000,272173000,106475000
99,Cash at the Beginning of Period,40737000,70960000,81363000,96972000,126453000,85011000,102471000,321976000,155932000,163689000,272173000
100,Free Cash Flow,-23296000,33408000,19556000,105896000,183629000,77979000,154362000,248853000,254508000,375483000,393437000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610950/000161095015000007/0001610950-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095016000036/0001610950-16-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095017000005/0001610950-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095018000006/0001610950-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095019000008/0001610950-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000161095020000043/0001610950-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000156459021006471/0001564590-21-006471-index.htm,https://www.sec.gov/Archives/edgar/data/1610950/000156459022005428/0001564590-22-005428-index.htm
102,false,,,,,,,,,,,
