,https://roic.ai/company/DHT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,0.1671,0.2174,-0.1501,0.4446,0.6376,0.5130,0.4119,0.3373,0.3678,0.1642,0.0711,-0.4022,-0.9677,-0.0474,0.0855,0.2884,0.0260,0.0186,-0.1248,0.1377,0.3853,-0.0389
25,EPS,- -,2.45,3.38,-1.90,11.77,34.67,21.24,14.28,10.92,14.04,4.32,1.56,-7.68,-7.83,-0.24,0.18,1.13,0.10,0.05,-0.33,0.51,1.71,-0.07
26,EPS Diluted,- -,2.45,3.38,-1.90,11.77,34.67,21.24,14.28,10.92,14.04,4.32,1.56,-7.68,-7.83,-0.24,0.18,1.04,0.10,0.05,-0.33,0.51,1.61,-0.07
27,Weighted Average Shares Outstanding,- -,2500510,2500510,2500510,2500510,2500510,2500510,2500573,2502023,3004606,3860101,4064672,5228998,12012133,17541310,73147668,92793154,93382757,124536338,143429610,143437164,155712886,169089325
28,Weighted Average Shares Outstanding Diluted,- -,2500510,2500510,2500510,2500510,2500510,2500510,2501352,2503033,3004606,3860101,4064950,5230136,12012133,17555110,73210337,112098221,93382757,124536338,143434921,168159876,170053975,169089325
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1331284/000095015707000575/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1331284/000095015709000131/0000950157-09-000131-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015710000451/0000950157-10-000451-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015711000217/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015712000123/0000950157-12-000123-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015713000168/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015714000189/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015715000313/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015716001763/0000950157-16-001763-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015717000409/0000950157-17-000409-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015718000468/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015719000378/0000950157-19-000378-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000114036120006806/0001140361-20-006806-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,15893000,17680000,10365000,59020000,72664000,58569000,42624000,71303000,126065000,166684000,166775000,109295000,77292000,94944000,67356000,68641000,60658000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,15893000,17680000,10365000,59020000,72664000,58569000,42624000,71303000,126065000,166684000,166775000,109295000,77292000,94944000,67356000,68641000,60658000
34,Net Receivables,- -,- -,- -,- -,- -,27459862,5506000,4009000,1547000,8791000,- -,- -,- -,13874000,16951000,28708000,40093000,34461000,42212000,60196000,107848000,30060000,30361000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3616000,2825000,15906000,8844000,7906000,23675000,32212000,34085000,11854000,33396000
36,Other Current Assets,- -,- -,- -,- -,- -,910888,1605000,3367000,1675000,1150000,3287000,3177000,6804000,485000,231000,973000,2539000,26843000,23958000,5971000,8997000,7724000,7557000
37,Total Current Assets,- -,- -,- -,- -,- -,28370750,23004000,25056000,13587000,68961000,75951000,61746000,49428000,89278000,146072000,212271000,218251000,178505000,167137000,193323000,218286000,118279000,131972000
38,PP&E,- -,174006000,308086000,295071000,326458000,355571163,339491000,322577000,398005000,462387000,441036000,412744000,455075000,310481000,300527000,1163126000,1202576000,1221819000,1559369000,1666145000,1604159000,1498477000,1471984000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2697000,2976000,3412000,3992000,4388000,4772000,5233000,5406000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,4575660,1567000,1407000,10616000,1148000,984000,6365000,54000,- -,- -,1000,1000,1000,-1000,- -,1000,- -,1000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,360146823,341058000,323984000,408621000,463535000,442020000,419109000,455129000,310481000,300527000,1165824000,1205553000,1225232000,1563360000,1670533000,1608932000,1503710000,1477391000
46,Other Assets,- -,300934000,331109000,372783000,376193000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,300934000,331109000,372783000,376193000,388517573,364062000,349040000,422208000,532496000,517971000,480855000,504557000,399759000,446599000,1378095000,1423804000,1403737000,1730497000,1863856000,1827218000,1621989000,1609362000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,3895000,57000,55000,126000,280000,123000,210000,2212000,- -,3636000,1888000,3565000,8883000,10885000,7913000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,5200000,- -,- -,75000000,- -,- -,- -,16938000,9000000,- -,31961000,32267000,57521000,65053000,93815000,100385000,3396000,9792000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,6126000,6169000,- -,7855000,7898000,8088000,8357000,155000,2271000,2428000,3575000,2154000,- -,- -,930000,16236000,4865000
52,Other Current Liabilities,- -,1507000,2103000,6564000,7319000,2043256,807000,3399000,21578000,32692000,17749000,7391000,8454000,4758000,3529000,29881000,15105000,11070000,9090000,18999000,21011000,28297000,27287000
53,Total Current Liabilities,- -,1507000,2103000,6564000,7319000,7243256,10828000,9625000,96633000,40673000,25927000,15602000,33959000,16125000,5800000,67906000,52835000,74310000,83026000,123699000,130239000,47929000,41944000
54,Long-Term Debt,- -,- -,- -,- -,- -,84400000,236000000,236000000,253700000,344000000,293041000,265231000,263632000,202637000,156046000,629320000,630201000,643974000,721151000,873460000,750586000,446562000,512507000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,293331000,314266000,357826000,331270000,172076562,- -,- -,- -,- -,7079000,3681000,518000,1000,-1000,6017000,2877000,441000,428000,5030000,13944000,18558000,7552000
58,Total Non-Current Liabilities,- -,293331000,314266000,357826000,331270000,256476562,236000000,236000000,253700000,344000000,300120000,268912000,264150000,202638000,156045000,635337000,633078000,644415000,721579000,878490000,764530000,465120000,520059000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,294838000,316369000,364390000,338589000,263719818,246828000,245625000,350333000,384673000,326047000,284514000,298109000,218763000,161845000,703243000,685913000,718725000,804605000,1002189000,894769000,513049000,562003000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,700000,300000,300000,300000,392000,487000,487000,640000,95000,291000,925000,929000,934000,1424000,1427000,1468000,1708000,1661000
64,Retained Earnings,- -,- -,- -,- -,- -,125398235,9469000,-6992000,-26967000,-26721000,-33824000,-42188000,-102164000,-205258000,-210682000,-204011000,-147945000,-205099000,-222087000,-285383000,-240165000,-188709000,-222405000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1300480,-807000,1712000,-10218000,-26418000,-14363000,-2000000,-1000000,-303535000,3118000,4416000,6672000,8080000,5761000,1880000,1604000,4417000,4069000
66,Other Total Stockholders Equity,- -,6096000,14740000,8393000,37604000,- -,108272000,108395000,108760000,200570000,239624000,240042000,308972000,689694000,492027000,873522000,878236000,881097000,1140794000,1143743000,1169537000,1291505000,1264000000
67,Total Stockholders Equity,- -,6096000,14740000,8393000,37604000,124797755,117234000,103415000,71875000,147823000,191924000,196341000,206448000,180996000,284754000,674852000,737892000,685012000,925892000,861667000,932444000,1108921000,1047325000
68,Total Liabilities And Stockholders Equity,- -,300934000,331109000,372783000,376193000,388517573,364062000,349040000,422208000,532496000,517971000,480855000,504557000,399759000,446599000,1378095000,1423805000,1403737000,1730497000,1863856000,1827213000,1621970000,1609328000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,5000,19000,34000
70,Total Liabilities & Equity,- -,300934000,331109000,372783000,376193000,388517573,364062000,349040000,422208000,532496000,517971000,480855000,504557000,399759000,446599000,1378095000,1423804000,1403737000,1730497000,1863856000,1827218000,1621989000,1609362000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1331284/000095015707000575/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1331284/000095015709000131/0000950157-09-000131-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015710000451/0000950157-10-000451-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015711000217/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015712000123/0000950157-12-000123-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015713000168/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015714000189/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015715000313/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015716001763/0000950157-16-001763-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015717000409/0000950157-17-000409-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015718000468/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015719000378/0000950157-19-000378-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000114036120006806/0001140361-20-006806-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,6115000,8444000,- -,29431000,86690018,53110000,35750000,27463000,42148000,16846000,6377000,-40272000,-94054000,-4126000,12887000,105302000,9260000,6602000,-46927000,73679000,266266000,-11521000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,17808131,18414000,17074000,17437000,26137000,26762000,28391000,30527000,32404000,26939000,45124000,78698000,84340000,96758000,103476000,115584000,124245000,128639000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,749000,913000,897000,887000,3118000,1597000,6910000,7365000,4948000,2599000,2331000,5106000,4347000
77,Change in Working Capital,- -,- -,- -,- -,- -,-16509911,27579000,1051000,4098000,-3879000,5996000,-1337000,-1872000,-18703000,-2698000,1631000,-13742000,4623000,-21955000,-28067000,-52654000,109257000,-31538000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-5506000,1497000,2462000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3616000,791000,-6895000,7062000,938000,-15769000,-9994000,-1874000,22231000,-21542000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,3895000,-439000,1790000,- -,- -,- -,965000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-1953,6109000,- -,- -,- -,- -,- -,- -,-286000,- -,- -,1147000,-1422000,-2154000,255000,-1588000,18417000,-11413000
82,Other Non-Cash Items,- -,5311000,11844000,- -,11841000,- -,- -,123000,365000,476000,4251000,-78000,55051000,100658000,669000,-30618000,4358000,88420000,15464000,22904000,17016000,24996000,-29365000
83,Cash Provided by Operating Activities,- -,11426000,20288000,- -,41272000,87988238,99103000,53998000,49363000,64882000,54604000,34266000,44331000,21192000,23902000,30621000,181526000,194008000,101817000,53985000,155956000,529870000,60562000
84,CAPEX,- -,- -,- -,- -,- -,-13436402,-413581000,- -,-92700000,-81185000,-5411000,-5599000,-123204000,-3842000,-39178000,-295121000,-144966000,-235508000,-298378000,-234966000,-53882000,-27552000,-174606000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-256332000,-7562000,- -,- -,409000,513000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-9111000,-41395000,- -,-14496000,- -,- -,- -,-9145000,-81185000,- -,-21000,- -,13662000,22233000,106000,26621000,22475000,111833000,46392000,- -,835000,88094000
89,Cash Used for Investing Activites,- -,-9111000,-41395000,- -,-14496000,-13436402,-413581000,- -,-101845000,-81185000,-5411000,-5620000,-123204000,9820000,-16945000,-551347000,-125907000,-213033000,-186545000,-188165000,-53369000,-26717000,-86512000
90,Debt Repayment,- -,- -,- -,- -,- -,-74551836,-145531000,- -,- -,-75000000,-50000000,-28000000,-45077000,-69237000,-56300000,-281838000,-105734000,-189306000,-124399000,-448285000,-163226000,-358062000,-283612000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,178180000,- -,- -,91426000,38400000,- -,67540000,75944000,106063000,360340000,- -,- -,254845000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2031000,- -,-5026000,-3248000,- -,-32178000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-52211000,-47438000,-41902000,-23949000,-14741000,-19706000,-9040000,-1186000,-6012000,-49194000,-66365000,-23328000,-11487000,-28685000,-214669000,-22083000
94,Other Financing Activites,- -,-2315000,21107000,- -,-26776000,- -,297722000,- -,92605000,90434000,- -,- -,60169000,- -,-771000,488854000,99400000,219248000,-54393000,616630000,64983000,70863000,355840000
95,Cash Used/Provided by Financing Activities,- -,-2315000,21107000,- -,-26776000,-74551836,330371000,-52211000,45167000,64958000,-35549000,-42741000,62926000,-2333000,47806000,561344000,-55528000,-38454000,52725000,151832000,-130176000,-501868000,17967000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-2315000,21107000,- -,-26776000,-74551836,330371000,1787000,-7315000,48655000,13644000,-14095000,-15947000,28678000,54763000,40619000,91000,-57480000,-32003000,17652000,-27588000,1285000,-7983000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,15893000,17680000,10365000,59020000,72664000,58569000,42622000,71302000,126065000,166684000,166775000,109295000,77292000,94944000,67356000,68641000,60658000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,15893000,17680000,10365000,59020000,72664000,58569000,42624000,71302000,126065000,166684000,166775000,109295000,77292000,94944000,67356000,68641000
100,Free Cash Flow,- -,11426000,20288000,- -,41272000,74551836,-314478000,53998000,-43337000,-16303000,49193000,28667000,-78873000,17350000,-15276000,-264500000,36560000,-41500000,-196561000,-180981000,102074000,502318000,-114044000
101,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1331284/000095015707000575/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1331284/000095015709000131/0000950157-09-000131-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015710000451/0000950157-10-000451-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015711000217/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015712000123/0000950157-12-000123-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015713000168/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015714000189/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015715000313/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015716001763/0000950157-16-001763-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015717000409/0000950157-17-000409-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000095015718000468/form20f.htm,https://www.sec.gov/Archives/edgar/data/1331284/000095015719000378/0000950157-19-000378-index.html,https://www.sec.gov/Archives/edgar/data/1331284/000114036120006806/0001140361-20-006806-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
