,https://roic.ai/company/FULO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),943673,558998,372417,594357,165110,118401,106309,96668,97668,89888,81675,24148,22604,19588,15744,15771,15227,2160,1849,277,- -,- -
14,Depreciation and Amortization,1448778,1117143,839438,872443,404966,431315,309893,297176,252338,217842,62317,54267,31694,29087,40165,32876,28530,17783,16836,15788,8969,10213
15,EBITDA,-1639789,-1648689,388875,788192,796082,624044,-63101,46193,-41542,128077,931872,143745,-135315,272042,-111835,-5394,37799,-6844,285768,333355,1420652,602352
16,EBITDA ratio,-0.8560,-0.7165,0.1604,0.3715,0.3521,0.2623,-0.0357,0.0244,-0.0220,0.0710,0.5521,0.0767,-0.0849,0.1672,-0.0638,-0.0029,0.0194,-0.0036,0.1380,0.1377,0.4056,0.1457
17,Operating Income,-2158890,-2387359,-450563,-84251,227736,158595,-392219,-305778,-293880,-325428,-328955,52210,-167009,-158049,-152000,-38270,9269,78932,-14771,202084,730135,1172980
18,Operating Income ratio,-1.1270,-1.0375,-0.1858,-0.0397,0.1007,0.0667,-0.2217,-0.1613,-0.1558,-0.1804,-0.1949,0.0279,-0.1048,-0.0971,-0.0866,-0.0204,0.0048,0.0418,-0.0071,0.0835,0.2085,0.2836
19,Total Other Income Expenses (Gains),-59519,-1119768,33827,30218,159127,34134,-87084,41763,- -,235663,1116835,13120,-22604,381416,-15744,-15771,-15227,-2160,114381,116163,3154,20835
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-479303,- -,- -,- -,787880,65330,-189613,223367,-167744,-54041,-5958,76772,99610,318247,733289,1193815
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-0.2709,- -,- -,- -,0.4668,0.0349,-0.1189,0.1373,-0.0956,-0.0288,-0.0031,0.0406,0.0481,0.1315,0.2094,0.2887
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339197,-300838
23,Net Income,-4032240,-3324830,-822980,-678608,226006,74328,-479303,-347651,-391548,-179653,787880,65330,-189613,223367,-167744,-54041,-5958,-26787,267083,317290,1072486,892977
24,Net Income ratio,-2.1049,-1.4449,-0.3394,-0.3198,0.1000,0.0312,-0.2709,-0.1834,-0.2075,-0.0996,0.4668,0.0349,-0.1189,0.1373,-0.0956,-0.0288,-0.0031,-0.0142,0.1290,0.1311,0.3062,0.2159
25,EPS,-1.20,-0.59,-0.12,-0.10,0.03,0.01,-0.07,-0.05,-0.05,-0.02,0.10,0.01,-0.02,0.02,-0.03,-0.01,-0.01,-0.00,0.02,0.02,0.07,0.06
26,EPS Diluted,-1.20,-0.59,-0.12,-0.10,0.03,0.01,-0.07,-0.05,-0.05,-0.02,0.10,0.01,-0.02,0.01,-0.03,-0.01,-0.01,-0.00,0.01,0.01,0.06,0.05
27,Weighted Average Shares Outstanding,3346658,5680424,6661205,6665218,6715718,6723135,6740985,6741135,7288679,7428327,7922721,8316517,9087828,9118161,9118161,9118161,9298676,11871009,12321694,14275957,14913351,14913351
28,Weighted Average Shares Outstanding Diluted,3346658,5680424,6661205,6665218,7799796,8284956,6740985,6741135,7288679,7428327,8048044,9265291,9439564,11698069,9118161,9118161,9298676,14865058,15259570,16780235,17533766,17533766
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092570/000095013405007522/0000950134-05-007522-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000095013406006347/0000950134-06-006347-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000095013407007234/0000950134-07-007234-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000136231008001687/0001362310-08-001687-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000136231009004592/0001362310-09-004592-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000095012310030697/0000950123-10-030697-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000118518511000399/0001185185-11-000399-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000109257012000019/0001092570-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000125408913000014/0001254089-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408914000015/0001254089-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408915000015/0001254089-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408916000041/0001254089-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000125408917000016/0001254089-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647418000068/0001376474-18-000068-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647419000068/0001376474-19-000068-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647420000081/0001376474-20-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000137647421000113/0001376474-21-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000137647422000177/0001376474-22-000177-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,26955,11480,12226,14974,16007,15369,11753,11905,10856,10987,10847,30072,14614,16012,20389,29399,245462,611151,1407917,2655112
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,26955,11480,12226,14974,16007,15369,11753,11905,10856,10987,10847,30072,14614,16012,20389,29399,245462,611151,1407917,2655112
34,Net Receivables,- -,- -,122569,29510,59212,122616,24407,25968,11318,15043,16119,79537,44311,17540,12389,6308,6614,8854,5026,943,30751,30107
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,36137,60163,81809,108631,95452,62271,36785,11705,6092,14294,6403,8728,9377,2505,3061,6110,30848,19986,19640,24939
37,Total Current Assets,- -,- -,185661,101153,153247,246221,135866,103608,59856,38653,33067,104818,61561,56340,36380,24825,30064,44363,281336,632080,1458308,2710158
38,PP&E,- -,- -,978249,995730,990863,888957,699128,507968,324227,120944,86065,78141,61299,44635,109288,96388,77154,39448,51267,676084,62967,460471
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,506273,269482,160010,75874,47725,25553,8782,998,- -,- -,- -,- -,- -,- -,- -,21813,- -,- -,26158,20645
41,Intangible Assets,- -,- -,506273,269482,160010,75874,47725,25553,8782,998,- -,- -,- -,- -,- -,- -,- -,21813,12979,18250,26158,20645
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339197,38359
44,Other Non-Current Assets,- -,- -,28323,6771,5250,18282,18282,5250,5250,5250,5288,5912,5250,10948,8661,7064,30864,29343,775,854,-339197,- -
45,Total Non-Current Assets,- -,- -,1512845,1271983,1156123,983113,765135,538771,338259,127192,91353,84053,66549,55583,117949,103452,108018,90604,65021,695188,89125,519475
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1698506,1373136,1309370,1229334,901001,642379,398115,165845,124420,188871,128110,111923,154329,128277,138082,134967,346357,1327268,1547433,3229633
48,Accounts Payable,- -,- -,413037,464903,317378,379980,456091,182002,208215,492533,399882,395201,482286,127077,214917,201540,135354,45353,22428,6872,50205,53148
49,Short-Term Debt,- -,- -,917703,1216567,981586,914804,912933,545436,545436,510636,77452,328078,304206,45060,46811,46811,46811,5354,7203,103651,112812,122784
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,401552,171876,187194,120784,108437,112586,128548,96066,133864,173954,198837,302129,345967,355545,369248,397931,442771,508861,777029,905496
52,Other Current Liabilities,- -,- -,382677,548027,725190,862196,1032980,1052023,1205087,1317892,1038311,1008899,281808,410763,495961,543316,581578,610107,534168,467682,557132,514165
53,Total Current Liabilities,- -,- -,2114969,2401373,2211348,2277764,2510441,1892047,2087286,2417127,1649509,1906132,1267137,885029,1103656,1147212,1132991,1058745,1006570,1087066,1497178,1595593
54,Long-Term Debt,- -,- -,435386,330322,205070,90912,- -,285200,513274,297300,274848,- -,- -,230129,199063,168025,136441,27888,20685,- -,- -,279086
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,190757,162654,187449,80827,67927,490003,185755,- -,18265,23484,784225,- -,- -,- -,- -,193812,52363,566690,401870,- -
58,Total Non-Current Liabilities,- -,- -,626143,492976,392519,171739,67927,775203,699029,297300,293113,23484,784225,230129,199063,168025,136441,221700,73048,566690,401870,279086
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,47949,17325,18825,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,618333,514682,- -
61,Total Liabilities,- -,- -,2741112,2894349,2603867,2449503,2578368,2667250,2786315,2714427,1942622,1929616,2051362,1115158,1302719,1315237,1269432,1280445,1079618,1653756,1899048,1874679
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430382,490905,544703,591776,618675,638849,554516,353505,- -
63,Common Stock,- -,- -,66,66,66,66,68,68,74,57675,79,90,91,91,91,91,119,119,136,145,165,171
64,Retained Earnings,- -,- -,-9227561,-9906169,-9680163,-9605835,-10085138,-10432789,-10824337,-11003990,-10216110,-10150780,-10340393,-10150511,-10318255,-10372296,-10378254,-10405041,-10137958,-9820668,- -,-8074427
65,Other Comprehensive Income/Loss,- -,- -,57596,57596,57596,57596,57596,57596,-2199498,-2409556,-2470912,-2515746,-2546778,-2575419,-2609486,-2640765,-2666595,-2580965,-2696320,-2704378,- -,- -
66,Other Total Stockholders Equity,- -,- -,8127293,8327294,8328004,8328004,8350107,8350254,10635561,10807289,10868741,10925691,10963828,11292222,11288355,11281307,11321604,11221734,11462032,11643897,148594,9429210
67,Total Stockholders Equity,- -,- -,-1042606,-1521213,-1294497,-1220169,-1677367,-2024871,-2388200,-2548582,-1818202,-1740745,-1923252,-1003235,-1148390,-1186960,-1131350,-1145478,-733261,-326488,502264,1354954
68,Total Liabilities And Stockholders Equity,- -,- -,1698506,1373136,1309370,1229334,901001,642379,398115,165845,124420,188871,128110,111923,154329,128277,138082,134967,346357,1327268,2401312,3229633
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-853879,- -
70,Total Liabilities & Equity,- -,- -,1698506,1373136,1309370,1229334,901001,642379,398115,165845,124420,188871,128110,111923,154329,128277,138082,134967,346357,1327268,1547433,3229633
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1092570/000095013405007522/0000950134-05-007522-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000095013406006347/0000950134-06-006347-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000095013407007234/0000950134-07-007234-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000136231008001687/0001362310-08-001687-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000136231009004592/0001362310-09-004592-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000095012310030697/0000950123-10-030697-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000118518511000399/0001185185-11-000399-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000109257012000019/0001092570-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000125408913000014/0001254089-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408914000015/0001254089-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408915000015/0001254089-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408916000041/0001254089-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000125408917000016/0001254089-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647418000068/0001376474-18-000068-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647419000068/0001376474-19-000068-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647420000081/0001376474-20-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000137647421000113/0001376474-21-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000137647422000177/0001376474-22-000177-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4032240,-3324830,-822980,-678608,226006,74328,-479303,-347651,-391548,-179653,787880,65330,-189613,223367,-167744,-54041,-5958,-26787,267083,317290,1072486,892977
74,Depreciation and Amortization,1448778,1117143,839438,872443,404966,431315,309893,297176,252338,217842,62317,54267,31694,29087,40165,32876,28530,17783,16836,15788,8969,10213
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-339197,300838
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,170,138,96,2558,3412,51481,22589,15471,53309,12659,75134,39153,26553,- -
77,Change in Working Capital,364970,- -,-1929308,-370912,242119,26558,-343032,586136,-238991,-351044,762032,-184872,595738,376887,-238587,-55111,19460,88545,289148,270248,416116,1153435
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,14758,-6664,-8974,-29229,19821,-15512,10816,6738,-7941,-2720,- -,5604,-31086,1024
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,16233,34362,72046,-4681,90359,35134,51308,-13377,-68251,-48398,-22925,-15558,-581,2943
81,Other Working Capital,- -,- -,-1929308,-2300220,-2058101,-2031543,-2374575,-1788439,-2027430,-2378474,-1616442,-1801314,-1205576,-828689,-1067276,-1122387,-1102927,-1014382,-725234,-454986,-38870,1114565
82,Other Non-Cash Items,1514081,2194798,1970611,386490,-264883,-71383,697993,-370158,424292,314244,-1586896,124468,-403729,-625604,421622,111620,-42284,-42516,-520874,-216099,-196830,-938408
83,Cash Provided by Operating Activities,-704411,-12889,57761,209413,608208,460818,185551,165503,46261,1527,25429,61751,37502,55218,78045,50815,53057,49684,127327,426380,988097,1419055
84,CAPEX,-847148,-244709,-8288,-45159,-205112,-185387,-91915,-82934,-51826,-6775,-26478,-36911,-14190,-11976,-64188,-18379,-17096,-1470,-7471,-14543,-14185,-5847
85,Acquisitions Net,-127057,-68025,- -,- -,-55920,-72918,- -,- -,- -,- -,- -,-10056,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,110122,4944,93014,57262,8670,- -,- -,-910,- -,- -,- -,- -,- -,- -,-2000,- -,-10500,-4780,218153,- -,- -,- -
89,Cash Used for Investing Activites,-864083,-307790,84726,12103,-252362,-258305,-91915,-83844,-51826,-6775,-26478,-46967,-14190,-11976,-64188,-18379,-17096,-6250,210682,-14543,-14185,-5847
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-26100,-291900,- -,-23109,-23872,- -,-29315,-31038,-31584,-5044,-5354,-27888,- -,- -
91,Common Stock Issued,164238,354254,- -,- -,- -,- -,180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20276,-178400,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-168079
94,Other Financing Activites,1404735,9850,-172107,-236991,-355100,-199765,-92783,-82297,28049,297300,- -,8456,420,-24017,- -,- -,- -,-28374,-116592,2016,400,2066
95,Cash Used/Provided by Financing Activities,1568973,364104,-172107,-236991,-355100,-199765,-92603,-82297,1949,5400,- -,-14653,-23452,-24017,-29315,-31038,-31584,-33418,-121946,-46148,-178000,-166013
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,479,43425,-29620,-15475,746,2748,1033,-638,-3616,152,-1049,131,-140,19225,-15458,1398,4377,10016,216063,365689,795912,1247195
98,Cash at the End of Period,13150,56575,26955,11480,12226,14974,16007,15369,11753,11905,10856,10987,10847,30072,14614,16012,20389,29399,245462,611151,1407917,2655112
99,Cash at the Beginning of Period,12671,13150,56575,26955,11480,12226,14974,16007,15369,11753,11905,10856,10987,10847,30072,14614,16012,19383,29399,245462,612005,1407917
100,Free Cash Flow,-1551559,-257598,49473,164254,403096,275431,93636,82569,-5565,-5248,-1049,24840,23312,43242,13857,32436,35961,48214,119856,411837,973912,1413208
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092570/000095013405007522/0000950134-05-007522-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000095013406006347/0000950134-06-006347-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000095013407007234/0000950134-07-007234-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000136231008001687/0001362310-08-001687-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000136231009004592/0001362310-09-004592-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000095012310030697/0000950123-10-030697-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000118518511000399/0001185185-11-000399-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000109257012000019/0001092570-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000125408913000014/0001254089-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408914000015/0001254089-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408915000015/0001254089-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000125408916000041/0001254089-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000125408917000016/0001254089-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647418000068/0001376474-18-000068-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647419000068/0001376474-19-000068-index.html,https://www.sec.gov/Archives/edgar/data/1092570/000137647420000081/0001376474-20-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000137647421000113/0001376474-21-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1092570/000137647422000177/0001376474-22-000177-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
