,https://roic.ai/company/MOGO,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,1549071,1695305,3786000,1937000,- -,- -,12688000
58,Total Non-Current Liabilities,39185245,41875093,41787338,56330000,55343000,61620000,53745000,58324000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,5208000,4336000,3948000
61,Total Liabilities,55629917,87316588,93325105,120908000,140928000,149346000,99232000,124090000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,38917810,45314488,45654988,71389000,75045000,94500000,106730000,392628000
64,Retained Earnings,-45599114,-26806501,-43898518,-63627000,-90784000,-101609000,-115054000,-148263000
65,Other Comprehensive Income/Loss,-1402108,-1850270,-2322253,-3140000,-6041000,-6429000,-4426000,926000
66,Other Total Stockholders Equity,1863047,3368120,6267479,9173000,13086000,15290000,17986000,24486000
67,Total Stockholders Equity,-6220365,20025837,5701696,13795000,-8694000,1752000,5236000,269777000
68,Total Liabilities And Stockholders Equity,49409552,107342425,99026801,134703000,132234000,151098000,104468000,393867000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,49409552,107342425,99026801,134703000,132234000,151098000,104468000,393867000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-13072927,-21351468,-17092017,-19729000,-22022000,-10825000,-13445000,-33209000
74,Depreciation and Amortization,1404083,1693195,2043387,3488000,7062000,8049000,8414000,12736000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-285000
76,Stock Based Compensation,311291,1188313,1066886,1343000,1320000,1732000,1371000,10838000
77,Change in Working Capital,-20027943,-54430748,-17745753,-23202000,-35108000,-22291000,-735000,-16834000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,1419614,-213862,-116000,-116000,- -,- -,- -
82,Other Non-Cash Items,8324782,15932501,19007253,16742000,19545000,8125000,48200000,-2890000
83,Cash Provided by Operating Activities,-23060714,-56968207,-12720244,-21358000,-29203000,-15210000,43805000,-29644000
84,CAPEX,-2309225,-8729435,-7336344,-5421000,-11053000,-9085000,-4819000,-9217000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-31557000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-3698000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,4878000
88,Other Investing Activites,-1994523,-4640579,-6401702,-5017000,-7644000,-8438000,-4796000,-8753000
89,Cash Used for Investing Activites,-2309225,-8729435,-7336344,-5421000,-11053000,-9085000,-4819000,-39594000
90,Debt Repayment,-290000,- -,-16588,- -,- -,-833000,-39303000,-2713000
91,Common Stock Issued,- -,50000000,- -,24397000,- -,- -,- -,113329000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,47807598,23822824,6973463,24318000,20135000,15106000,2019000,15248000
95,Cash Used/Provided by Financing Activities,47517598,73822824,6956875,48715000,20135000,14273000,-37284000,125864000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,463000
97,Net Change In Cash,22147659,8125182,-13099713,21936000,-20121000,-10022000,1702000,57089000
98,Cash at the End of Period,23598672,31723854,18624141,40560000,20439000,10417000,12119000,69208000
99,Cash at the Beginning of Period,1451013,23598672,31723854,18624000,40560000,20439000,10417000,12119000
100,Free Cash Flow,-25369939,-65697642,-20056588,-26779000,-40256000,-24295000,38986000,-38861000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
