,https://roic.ai/company/IIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88790/000008879096000004/0000088790-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88790/000089710105000850/0000897101-05-000850-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710106000606/0000897101-06-000606-index.htm,- -,https://www.sec.gov/Archives/edgar/data/88790/000089710108000593/0000897101-08-000593-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710109000465/0000897101-09-000465-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710110000562/0000897101-10-000562-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710111000364/0000897101-11-000364-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710112000440/0000897101-12-000440-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710113000348/0000897101-13-000348-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710114000317/0000897101-14-000317-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710115000290/0000897101-15-000290-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710116001998/0000897101-16-001998-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710117000321/0000897101-17-000321-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710118000246/0000897101-18-000246-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710119000223/0000897101-19-000223-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710120000158/0000897101-20-000158-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710121000183/0000897101-21-000183-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000143774922005395/0001437749-22-005395-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,2000000,4600000,3800000,9200000,16800000,16100000,13100000,7100000,5800000,3900000,8300000,3000000,2800000,1800000,4055224,3636673,2039044,294168,246430,1109402,599459,1651145,249396,385055,281000,119000,226000,217000,328000,369000,667000,373000,8047000,9162000,8608000,5584000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38093000,23451000,19793000,19420000
33,Cash and Short-Term Investments,1900000,2000000,4600000,3800000,9200000,16800000,16100000,13100000,7100000,5800000,3900000,8300000,3000000,2800000,1800000,4055224,3636673,2039044,294168,246430,1109402,599459,1651145,249396,385055,281000,119000,226000,217000,328000,369000,667000,373000,46140000,32613000,28401000,25004000
34,Net Receivables,10300000,12500000,14600000,7800000,18200000,16300000,11900000,9400000,23500000,21500000,20200000,41700000,30900000,30500000,28800000,38173397,17376784,15627864,4537830,4996705,6925357,8560037,8436446,9777388,7147370,8228000,8627000,7171000,5433000,7673000,8578000,7289000,9052000,17103000,19230000,19222000,19712000
35,Inventory,2700000,3900000,4400000,6400000,6300000,6200000,6000000,5200000,7500000,8200000,7800000,8400000,10000000,12600000,12800000,13808636,13810209,9393802,5709642,4287643,6950243,9030615,9835060,8852028,8220996,8331000,11720000,11117000,9400000,9983000,14472000,12343000,15397000,18981000,16377000,19513000,24456000
36,Other Current Assets,500000,800000,900000,1100000,1000000,1900000,2800000,1500000,2100000,2600000,2600000,2700000,3800000,4900000,4500000,4276675,2555498,16830572,8368471,7663187,591354,595576,922437,1144109,2361300,924000,1192000,2046000,2287000,1653000,1470000,1675000,2188000,2320000,2055000,2138000,5209000
37,Total Current Assets,15400000,19200000,24500000,19100000,34700000,41200000,36800000,29200000,40200000,38100000,34500000,61100000,47700000,50800000,47900000,60313932,37379164,43891282,18910111,17193965,15576356,18785687,20845088,20022921,18114721,17764000,21658000,20560000,17337000,19637000,24889000,21974000,27010000,84544000,70275000,69274000,74381000
38,PP&E,1500000,5400000,5100000,4800000,4900000,4800000,10900000,10300000,17300000,16300000,16700000,16700000,17300000,19000000,18800000,19108744,14579841,12363545,9635968,8000667,6871415,6773560,8458866,7912910,6790805,6426000,7006000,6784000,4739000,4245000,6742000,6606000,7175000,11732000,17923000,20878000,18975000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15631502,5376317,- -,- -,5754219,5927181,8238020,8266438,9716841,9709000,9709000,9709000,9194000,9194000,9551000,10555000,10808000,10808000,9551000,13714000,13873000
40,Intangible Assets,200000,200000,200000,200000,200000,200000,200000,200000,12600000,12800000,12500000,12100000,15500000,16800000,16200000,15599884,- -,- -,5264585,5264585,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2920000,2740000,2585000,- -,10785000,8999000
41,Intangible Assets,200000,200000,200000,200000,200000,200000,200000,200000,12600000,12800000,12500000,12100000,15500000,16800000,16200000,15599884,15631502,5376317,5264585,5264585,5754219,5927181,8238020,8266438,9716841,9709000,9709000,9709000,9194000,9194000,9551000,13475000,13548000,13393000,9551000,24499000,22872000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,1386774,1237178,1109000,1283000,773000,569000,387000,224000,146000,1616000,2091000,9789000,5655000,5031000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350014,348712,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,1100000,1100000,1000000,1000000,1200000,1400000,2000000,2800000,2900000,4300000,1300000,1300000,1200000,2100000,1308580,8159447,1575539,1253186,1260864,1433397,795051,1133553,1872774,1503232,1259000,1074000,1306000,881000,498000,480000,1557000,3835000,3488000,6055000,990000,1200000
45,Total Non-Current Assets,2000000,6700000,6400000,6000000,6100000,6200000,12500000,12500000,32700000,32000000,33500000,30100000,34100000,37000000,37100000,36017208,38720804,19664113,16153739,14526116,14059031,15495792,19830439,19438896,19248056,18503000,19072000,18572000,15383000,14324000,16997000,21784000,26174000,30704000,43318000,52022000,48078000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17400000,25900000,30900000,25100000,40800000,47400000,49300000,41700000,72900000,70100000,68000000,91200000,81800000,87800000,85000000,96331140,76099968,63555395,35063850,31720081,29635387,34281479,40675527,39461817,37362777,36267000,40730000,39132000,32720000,33961000,41886000,43758000,53184000,115248000,113593000,121296000,122459000
48,Accounts Payable,- -,- -,- -,- -,- -,9500000,6200000,3000000,12800000,10600000,5500000,20200000,14300000,15400000,13200000,21447745,10232880,11046373,2757942,2211909,3136555,5161450,3965914,3149671,3637329,3161000,6298000,4045000,5037000,5438000,7785000,6722000,10423000,13191000,9876000,8670000,9398000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,2900000,3600000,7900000,11400000,10909121,1496033,12494700,8237463,5863961,1286530,952730,1476665,1598844,1810255,2504000,3279000,2945000,2210000,1886000,1908000,2346000,2040000,- -,1830000,2177000,1811000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39997,40547,24000,27000,108000,8000,286000,48000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110084,110084,120478,110084,110000,110000,747000,389000,626000,55000,614000,1336000,786000,327000,184000,- -
52,Other Current Liabilities,11700000,14900000,19100000,12700000,24800000,8300000,6300000,4600000,12700000,9600000,8200000,18200000,11200000,10300000,9600000,12270284,18672556,16796193,5966858,7159752,2968598,4116767,5926946,4551704,4052993,3374000,3764000,3930000,3723000,3883000,3838000,3836000,5001000,7670000,4893000,7632000,9003000
53,Total Current Liabilities,11700000,14900000,19100000,12700000,24800000,17800000,12500000,7600000,25500000,20200000,18700000,41300000,29100000,33600000,34200000,44627150,30401469,40337266,16962263,15235622,7391683,10341031,11479609,9420697,9610661,9149000,13451000,11667000,11359000,11833000,13586000,13518000,18800000,21647000,16926000,18663000,20212000
54,Long-Term Debt,- -,3600000,2900000,3100000,3100000,- -,3100000,2700000,11600000,11100000,9100000,6800000,7000000,6300000,3700000,3211706,3214934,2736236,- -,- -,5965711,3830461,8039302,7472923,8229797,6465000,8217000,7222000,6271000,4627000,7929000,9284000,9321000,- -,- -,4726000,3431000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761456,605463,495000,385000,275000,165000,55000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,100000,200000,100000,200000,400000,1800000,1300000,1100000,1100000,1200000,200000,- -,- -,- -,- -,123529,143902,37725,79273,89273,155273,128753,169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018000,873000
57,Other Non-Current Liabilities,- -,700000,700000,600000,500000,600000,600000,4100000,4600000,4400000,4400000,4400000,4100000,4100000,4100000,4058761,3878948,3866154,5542180,3610819,2150757,4423748,2470148,1338996,1299194,1418000,1231000,1246000,1617000,1339000,1474000,1945000,4399000,1627000,6175000,5690000,4193000
58,Total Non-Current Liabilities,- -,4300000,3600000,3800000,3800000,700000,3900000,7200000,18000000,16800000,14600000,12300000,12300000,10600000,7800000,7270467,7093882,6602390,5665709,3754721,8154193,8333482,10598723,9728648,10263207,8547000,9833000,8743000,8053000,6021000,9403000,11229000,13720000,1627000,6175000,11434000,8497000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4797000,6903000,5242000
61,Total Liabilities,11700000,19200000,22700000,16500000,28600000,18500000,16400000,14800000,43500000,37000000,33300000,53600000,41400000,44200000,42000000,51897617,37495351,46939656,22627972,18990343,15545876,18674513,22078332,19149345,19873868,17696000,23284000,20410000,19412000,17854000,22989000,24747000,32520000,23274000,23101000,30097000,28709000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,5634968,5634968,5634968,5644968,5644968,5665568,5706235,5813491,5858006,5985862,6073000,5646000,5687000,5727000,5844000,5981000,6820000,6900000,8664000,8781000,8951000,9179000
64,Retained Earnings,3400000,4000000,5100000,5800000,9200000,13500000,17400000,11800000,12500000,14900000,16400000,19700000,23100000,25800000,26600000,28606413,23297747,1743256,-3231009,-3136143,-2152017,-989505,877733,1915334,-2005187,-1644000,-3069000,-2360000,-8522000,-6274000,-4046000,-8633000,-6831000,-509000,-4286000,-6810000,-6916000
65,Other Comprehensive Income/Loss,-3900000,-5700000,-6000000,-6500000,-7000000,-7600000,-8000000,-8500000,-9400000,-11300000,-13200000,-15400000,-17300000,-20000000,-22400000,-24819267,-25621190,-1265078,-738793,-539799,-212552,-184674,-220400,-317562,-213528,-237000,-390000,-402000,-331000,-402000,-721000,-1014000,-733000,-927000,-520000,-679000,-393000
66,Other Total Stockholders Equity,6200000,8400000,9100000,9300000,10000000,23000000,23500000,23600000,26300000,29500000,31500000,33300000,34600000,37800000,33200000,35011409,35293092,10502593,10760712,10760712,10788512,11074910,12126371,12856694,13721762,14379000,15259000,15797000,16434000,16939000,17721000,21383000,21581000,84999000,86770000,89702000,- -
67,Total Stockholders Equity,5700000,6700000,8200000,8600000,12200000,28900000,32900000,26900000,29400000,33100000,34700000,37600000,40400000,43600000,43000000,44433523,38604617,16615739,12435878,12729738,14089511,15606966,18597195,20312472,17488909,18571000,17446000,18722000,13308000,16107000,18935000,18556000,20917000,92227000,90745000,91164000,93655000
68,Total Liabilities And Stockholders Equity,17400000,25900000,30900000,25100000,40800000,47400000,49300000,41700000,72900000,70100000,68000000,91200000,81800000,87800000,85000000,96331140,76099968,63555395,35063850,31720081,29635387,34281479,40675527,39461817,37362777,36267000,40730000,39132000,32720000,33961000,41924000,43303000,53437000,115501000,113846000,121261000,122364000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38000,455000,-253000,-253000,-253000,35000,95000
70,Total Liabilities & Equity,17400000,25900000,30900000,25100000,40800000,47400000,49300000,41700000,72900000,70100000,68000000,91200000,81800000,87800000,85000000,96331140,76099968,63555395,35063850,31720081,29635387,34281479,40675527,39461817,37362777,36267000,40730000,39132000,32720000,33961000,41886000,43758000,53184000,115248000,113593000,121296000,122459000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88790/000008879096000004/0000088790-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88790/000089710105000850/0000897101-05-000850-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710106000606/0000897101-06-000606-index.htm,- -,https://www.sec.gov/Archives/edgar/data/88790/000089710108000593/0000897101-08-000593-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710109000465/0000897101-09-000465-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710110000562/0000897101-10-000562-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710111000364/0000897101-11-000364-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710112000440/0000897101-12-000440-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710113000348/0000897101-13-000348-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710114000317/0000897101-14-000317-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710115000290/0000897101-15-000290-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710116001998/0000897101-16-001998-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710117000321/0000897101-17-000321-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710118000246/0000897101-18-000246-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710119000223/0000897101-19-000223-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710120000158/0000897101-20-000158-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000089710121000183/0000897101-21-000183-index.htm,https://www.sec.gov/Archives/edgar/data/88790/000143774922005395/0001437749-22-005395-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,4300000,4400000,-5000000,1300000,3100000,2300000,4100000,4400000,3600000,1700000,2935786,-4617315,-21554491,-4974265,94866,1528687,1162512,1867238,1037601,-3920521,361000,-1425000,709000,-6162000,2248000,2228000,-4587000,1802000,5547000,-3777000,-2524000,-106000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,700000,700000,900000,1300000,2700000,2800000,2800000,3500000,3800000,4000000,3983505,4025394,2945699,2708010,2455757,2069170,1849354,2127568,2425704,2470156,2601000,2258000,2150000,2450000,2182000,1755000,2041000,2194000,2943000,3277000,4622000,5541000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-400000,-100000,- -,-100000,-300000,-100000,-700000,-700000,-2000000,200000,-327733,-62571,-101106,1147740,905615,-103593,41548,10000,66000,-26520,40000,-169000,-7000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,525972,560571,474000,214000,414000,532000,457000,579000,685000,844000,1395000,1886000,2382000,2184000
77,Change in Working Capital,- -,- -,- -,- -,- -,-5000000,900000,-2700000,-6900000,3200000,-2100000,4000000,-1200000,-1400000,-3500000,1986782,-8709087,-3423679,-1606168,10495,6226330,259983,920823,1236745,-2098164,110940,-408000,686000,-2915000,1826000,3499000,-2847000,-246000,54687000,-9548000,-2738000,14368000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1247981,1762565,-1192000,-354000,1555000,1327000,-2183000,-842000,1493000,-2040000,-2877000,2769000,456000,2034000
79,Inventory,- -,- -,- -,- -,- -,200000,200000,700000,200000,-600000,400000,-700000,-1300000,-600000,-500000,-826038,-2235897,1976354,356119,1464236,-2407509,-2119322,-4607,949367,729219,-164000,-3391000,789000,1221000,-677000,-4329000,1813000,-3114000,-5225000,1609000,-1190000,-4907000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-822795,743456,-468000,3155000,-2252000,1066000,389000,1588000,-1386000,3729000,1719000,-3057000,-2105000,583000
81,Other Working Capital,- -,- -,- -,- -,- -,23400000,24300000,21600000,14700000,17900000,15800000,19800000,18600000,17200000,13700000,15686782,6977695,3554016,1947848,1958343,8184673,8444656,9365479,10602224,8504060,8615000,8207000,8893000,5978000,7804000,11303000,8456000,8210000,62897000,53349000,50611000,64979000
