,https://roic.ai/company/MDIA,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-43108000,- -,146000
89,Cash Used for Investing Activites,- -,-672000,-43197000,-409000,-1257000
90,Debt Repayment,- -,- -,-918000,-1836000,-3000000
91,Common Stock Issued,- -,- -,22000000,- -,- -
92,Common Stock Repurchased,- -,- -,22000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-10518000,-1415000,13976000,3267000
95,Cash Used/Provided by Financing Activities,- -,-10518000,41667000,12140000,267000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-10518000,2083000,2088000,1950000
98,Cash at the End of Period,- -,- -,2083000,4171000,6121000
99,Cash at the Beginning of Period,- -,- -,- -,2083000,4171000
100,Free Cash Flow,- -,10518000,-39584000,-10052000,1537000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1784254/000156459020013603/0001564590-20-013603-index.htm,https://www.sec.gov/Archives/edgar/data/1784254/000156459021016257/0001564590-21-016257-index.htm,https://www.sec.gov/Archives/edgar/data/1784254/000156459022011571/0001564590-22-011571-index.htm
102,false,,,,,
