,https://roic.ai/company/GTXO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,650000,- -,200000,429000,670040,- -,- -,217870,149917
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10000,- -,319961,280000,480000,560000,710000,1480000,1355380,1489440,1946610,2558030,3718090,3909760,3402267,3279898
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100,101,101,- -
63,Common Stock,- -,- -,38680,40000,50000,70000,90000,130000,264620,355430,510370,704250,6340,7140,13803,22450
64,Retained Earnings,-20000,-80000,-7441927,-9570000,-11250000,-12710000,-13930000,-15440000,-17239360,-18519060,-19739420,-21005760,-22823190,-23559520,- -,-26053384
65,Other Comprehensive Income/Loss,- -,-1187,- -,-140000,-320000,-520000,- -,- -,- -,- -,-30604,-59249,- -,- -,- -,- -
66,Other Total Stockholders Equity,90000,106218,9564024,10149811,11561772,13294997,13310885,14014917,15903313,16982930,17782389,18152282,19367122,19954741,-3118001,23151313
67,Total Stockholders Equity,70000,26218,2160777,479811,41772,134997,-529115,-1295083,-1071427,-1180700,-1477265,-2208477,-3449628,-3597538,-3104097,-2879621
68,Total Liabilities And Stockholders Equity,80000,30000,2480738,759811,521772,694997,180885,184917,283953,308740,469345,349553,268462,312222,298170,400277
69,Minority Interest,- -,- -,- -,189,-1772,5003,-885,5083,-3,- -,-5,7,8,-2,4166,- -
70,Total Liabilities & Equity,80000,30000,2480738,760000,520000,700000,180000,190000,283950,308740,469340,349560,268470,312220,302336,400277
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375793/000114420410017686/0001144204-10-017686-index.html,- -,https://www.sec.gov/Archives/edgar/data/1375793/000114420412018583/0001144204-12-018583-index.html,https://www.sec.gov/Archives/edgar/data/1375793/000156066413000064/0001560664-13-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000156066414000023/0001560664-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000107878215000587/0001078782-15-000587-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000107878216002648/0001078782-16-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315217003273/0001493152-17-003273-index.html,https://www.sec.gov/Archives/edgar/data/1375793/000149315218004695/0001493152-18-004695-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315219005454/0001493152-19-005454-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315220005236/0001493152-20-005236-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315221007548/0001493152-21-007548-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315222009687/0001493152-22-009687-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-20000,-60000,-3401283,-2130000,-1680000,-1470000,-1220000,-1500000,-1803490,-1279710,-1220360,-1266340,-1758180,-586330,-368407,- -
74,Depreciation and Amortization,- -,- -,34484,102970,179638,196437,102139,65366,7747,3172,40935,62446,73356,41244,25526,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1025264,443531,622010,514568,313347,232298,165587,517203,331385,133656,60999,76880,- -,- -
77,Change in Working Capital,10000,-40000,1959812,-1769812,-500000,90000,-470000,-70000,-466150,68650,-106410,-441510,-1848850,-106670,736835,64940
78,Accounts Receivable,- -,- -,-63230,-52860,-24756,-115474,123767,4177,-29242,-10479,-38716,-41574,-4442,49754,-4238,- -
79,Inventory,- -,- -,-21550,35380,-85587,-110381,143394,791,-99601,42723,-53305,53114,35268,-13625,-77946,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100566,143736,-40895,-71122,- -
81,Other Working Capital,70000,30000,1989812,220000,-280000,-190000,-660000,-730000,-1196150,-1127500,-1233910,-1675420,-3524270,-3630940,-2894105,-2829165
82,Other Non-Cash Items,-10000,44570,-1980496,1805055,482730,2678,1020523,926839,1564615,24599,588897,879549,3056327,433942,-950510,-64940
83,Cash Provided by Operating Activities,-20000,-55430,-2362219,-1548256,-895622,-666317,-253991,-345497,-531691,-666086,-365553,-632199,-416348,-140934,-556556,- -
84,CAPEX,- -,- -,-173894,-207462,-104500,-67852,-14549,-1148,-3145,-26214,-20884,-7778,-14250,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,42778,146200,- -
88,Other Investing Activites,- -,- -,- -,2612,- -,- -,- -,- -,- -,-21400,-3465,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1673894,1295150,-104500,-67852,-14549,-1148,-3145,-26214,-20884,-7778,-14250,42778,146200,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-4000,-17000,-23000,-10000,-61000,-151500,-255121,- -
91,Common Stock Issued,- -,- -,4130799,- -,482443,769320,164050,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-123750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,900,129500,-10000,43500,380750,486250,705000,497000,556000,560000,305000,617189,- -
95,Cash Used/Provided by Financing Activities,100000,- -,4007049,900,611943,759320,207550,380750,482250,688000,474000,546000,499000,153500,362068,- -
96,Effect of Forex Changes on Cash,- -,-1093,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,80000,-56523,-29064,-252206,-388179,25151,-60990,34105,-52586,-4300,87563,-93977,68402,55344,-48288,- -
98,Cash at the End of Period,80000,25913,706873,454667,66488,91639,30649,64754,12168,7868,95431,1454,69856,125200,76912,- -
99,Cash at the Beginning of Period,- -,82436,735937,706873,454667,66488,91639,30649,64754,12168,7868,95431,1454,69856,125200,76912
100,Free Cash Flow,-20000,-55430,-2536113,-1755718,-1000122,-734169,-268540,-346645,-534836,-692300,-386437,-639977,-430598,-140934,-556556,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375793/000114420410017686/0001144204-10-017686-index.html,- -,https://www.sec.gov/Archives/edgar/data/1375793/000114420412018583/0001144204-12-018583-index.html,https://www.sec.gov/Archives/edgar/data/1375793/000156066413000064/0001560664-13-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000156066414000023/0001560664-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000107878215000587/0001078782-15-000587-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000107878216002648/0001078782-16-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315217003273/0001493152-17-003273-index.html,https://www.sec.gov/Archives/edgar/data/1375793/000149315218004695/0001493152-18-004695-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315219005454/0001493152-19-005454-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315220005236/0001493152-20-005236-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315221007548/0001493152-21-007548-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315222009687/0001493152-22-009687-index.htm
102,false,,,,,,,,,,,,,,,,
