,https://roic.ai/company/DFS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),378277000,442654000,346341000,505689000,356566000,594692000,844713000,504071000,1284536000,1408000000,1474000000,1371000000,1315000000,1263000000,1438000000,855000000,878000000,294000000,1615000000
23,Net Income,648631000,776253000,577915000,1076616000,588630000,927750000,1276185000,764788000,2226708000,2345000000,2470000000,2323000000,2297000000,2393000000,2099000000,2742000000,2957000000,1141000000,5449000000
24,Net Income ratio,0.5152,0.1222,0.0985,0.1730,0.1165,0.1931,0.1895,0.1149,0.3151,0.3064,0.3003,0.2740,0.2628,0.2630,0.2121,0.2560,0.2581,0.1029,0.4508
25,EPS,1.36,1.63,1.21,0.44,1.23,1.94,2.42,1.23,4.06,4.51,4.97,4.91,5.14,5.77,5.43,7.81,9.09,3.60,17.75
26,EPS Diluted,1.36,1.63,1.21,0.42,1.23,1.92,2.39,1.22,4.06,4.50,4.96,4.90,5.13,5.77,5.42,7.79,9.08,3.60,17.75
27,Weighted Average Shares Outstanding,477236000,476208602,477235927,504593000,477327627,479335000,504550000,544058000,542000000,516000000,485000000,462000000,437000000,405000000,374000000,344000000,320000000,307000000,307000000
28,Weighted Average Shares Outstanding Diluted,477236000,476208602,477235927,528956000,478878809,483470000,511803000,548760000,543000000,517000000,487000000,463000000,438000000,406000000,374000000,345000000,320000000,307000000,307000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393612/000119312508039547/0001193125-08-039547-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312509013205/0001193125-09-013205-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312510014549/0001193125-10-014549-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312511014919/0001193125-11-014919-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361212000008/0001393612-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361213000004/0001393612-13-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1393612/000139361215000007/0001393612-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361216000059/0001393612-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361217000012/0001393612-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361218000012/0001393612-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361219000011/0001393612-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361220000009/0001393612-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361221000014/0001393612-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361222000007/0001393612-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,557170000,874357000,2505304000,9121143000,13020719000,5098733000,2849843000,3926000000,6554000000,7284000000,9572000000,11914000000,13306000000,13299000000,6924000000,13564000000,18236000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,1350000000,375000000,- -,- -,1229000000,- -,- -,- -,- -,- -,- -,2661000000,- -
33,Cash and Short-Term Investments,- -,- -,557170000,874357000,2505304000,9121143000,14370719000,5473733000,2849843000,3926000000,7783000000,7284000000,9572000000,11914000000,13306000000,13299000000,6924000000,16225000000,18236000000
34,Net Receivables,- -,- -,2912092000,3293850000,139414000,159021000,1692051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,944000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,22528092000,23503230000,-2274753000,-8486579000,-16049749000,4155026000,1070558000,1148000000,65443000000,-56000000,268000000,-1108000000,-6000000,1195000000,2743000000,82229000000,- -
37,Total Current Assets,- -,- -,25997354000,27671437000,369965000,793585000,13021000,9628759000,3920401000,5074000000,73226000000,7228000000,9840000000,10806000000,13300000000,14494000000,9667000000,99398000000,- -
38,PP&E,- -,- -,624525000,660900000,658492000,552502000,499303000,460732000,483250000,534000000,654000000,670000000,693000000,734000000,825000000,936000000,1057000000,1027000000,983000000
39,Goodwill,- -,- -,255421000,533728000,- -,- -,255421000,255421000,255421000,286000000,284000000,257000000,255000000,255000000,255000000,255000000,255000000,255000000,- -
40,Intangible Assets,- -,- -,66623000,201177000,- -,- -,195636000,188973000,188018000,190000000,185000000,176000000,168000000,166000000,163000000,161000000,155000000,95000000,- -
41,Intangible Assets,- -,- -,322044000,734905000,353464000,458740000,451057000,444394000,443439000,476000000,469000000,433000000,423000000,421000000,418000000,416000000,410000000,350000000,255000000
42,Investments,- -,- -,16719000,84411000,525439000,1227944000,6385297000,5450395000,6206053000,6221000000,4991000000,3949000000,3085000000,1757000000,1568000000,3370000000,10595000000,12114000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-16719000,-84411000,-1183931000,-1780446000,-6884600000,44255319000,52595299000,57905000000,- -,66841000000,70079000000,75725000000,82402000000,88162000000,84415000000,- -,- -
45,Total Non-Current Assets,- -,- -,946569000,1395805000,353464000,458740000,451057000,50610840000,59728041000,65136000000,6114000000,71893000000,74280000000,78637000000,85213000000,92884000000,96477000000,13491000000,- -
46,Other Assets,24032743000,- -,- -,- -,- -,- -,- -,- -,- -,- -,85454000000,- -,- -,- -,- -,- -,- -,126380000000,110242000000
47,Total Assets,24032743000,- -,26943923000,29067242000,723429000,1252325000,464078000,60239599000,63648442000,70210000000,79340000000,79121000000,84120000000,89443000000,98513000000,107378000000,106144000000,112889000000,110242000000
48,Accounts Payable,- -,- -,181917000,135464000,264938000,268967000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,3773060000,3639678000,2925426000,500000000,- -,- -,50000000,- -,140000000,113000000,- -,- -,- -,- -,- -,- -,1250000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,26457636000,31473033000,35157000000,36622000000,42205000000,45776000000,- -,52637000000,50874000000,60642000000,68141000000,77706000000,81683000000,- -,- -
53,Total Current Liabilities,- -,- -,3954977000,3775142000,29648000000,32242000000,35157000000,36622000000,42255000000,45776000000,140000000,52750000000,50874000000,60642000000,68141000000,77706000000,81683000000,- -,1250000000
54,Long-Term Debt,931554000,- -,863745000,1507578000,2134093000,1735383000,2428101000,17705728000,18287178000,19727000000,20474000000,22543000000,24724000000,25443000000,26326000000,27228000000,25701000000,21241000000,18977000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-5093000,-383000,-101000,272000,-178000,2000000,- -,-3301000000,-74000000,-5100000000,-5272000000,-6511000000,-5247000000,- -,- -
58,Total Non-Current Liabilities,931554000,- -,863745000,1507578000,2129000000,1735000000,2428000000,17706000000,18287000000,19729000000,20474000000,19242000000,24650000000,20343000000,21054000000,20717000000,20454000000,21241000000,18977000000
59,Other Liabilities,21155012000,- -,19252242000,21024906000,- -,- -,4856440000,35412122000,- -,- -,88865000000,- -,49437000000,- -,- -,- -,- -,123246000000,114561000000
60,Capital Lease Obligations,- -,- -,7333000,6179000,4952000,3646000,2268000,388000,1987000,- -,1000000,1000000,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20223458000,- -,22343474000,23292470000,31776683000,33976559000,37585440000,54328122000,60541726000,65505000000,68531000000,71992000000,75661000000,80985000000,89195000000,98423000000,102137000000,102005000000,96834000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1158066000,- -,- -,- -,560000000,560000000,560000000,560000000,563000000,563000000,563000000,1056000000,- -
63,Common Stock,- -,- -,100000,100000,4777000,4805000,5448000,5471000,5497000,5000000,5000000,5000000,5000000,5000000,6000000,6000000,6000000,6000000,- -
64,Retained Earnings,- -,- -,2431805000,3008421000,2717905000,3046956000,3873262000,3126488000,5243318000,7373000000,9611000000,11467000000,13250000000,15130000000,16687000000,18906000000,21290000000,19955000000,- -
65,Other Comprehensive Income/Loss,- -,- -,45220000,129986000,32032000,-66338000,-154818000,-82548000,-51679000,-75000000,-68000000,-138000000,-160000000,-161000000,-152000000,-156000000,-119000000,45000000,- -
66,Other Total Stockholders Equity,3809285000,- -,2123324000,2636265000,2844708000,2930400000,3553589000,3407435000,3045075000,2570000000,701000000,-760000000,-2380000000,-4211000000,-6212000000,-8189000000,-9881000000,-10178000000,- -
67,Total Stockholders Equity,3809285000,- -,4600449000,5774772000,5599422000,5915823000,8435547000,6456846000,8242211000,9873000000,10809000000,11134000000,11275000000,11323000000,10892000000,11130000000,11859000000,10884000000,13408000000
68,Total Liabilities And Stockholders Equity,24032743000,- -,26943923000,29067242000,37376105000,39892382000,46020987000,60784968000,68783937000,75378000000,79340000000,83126000000,86936000000,92308000000,100087000000,109553000000,113996000000,112889000000,110242000000
69,Minority Interest,- -,- -,- -,- -,-36652676000,-38640057000,-45556909000,-545369000,-5135495000,-5168000000,- -,-4005000000,-2816000000,-2865000000,-1574000000,-2175000000,-7852000000,- -,- -
70,Total Liabilities & Equity,24032743000,- -,26943923000,29067242000,723429000,1252325000,464078000,60239599000,63648442000,70210000000,79340000000,79121000000,84120000000,89443000000,98513000000,107378000000,106144000000,112889000000,110242000000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1393612/000119312508039547/0001193125-08-039547-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312509013205/0001193125-09-013205-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312510014549/0001193125-10-014549-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312511014919/0001193125-11-014919-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361212000008/0001393612-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361213000004/0001393612-13-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1393612/000139361215000007/0001393612-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361216000059/0001393612-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361217000012/0001393612-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361218000012/0001393612-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361219000011/0001393612-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361220000009/0001393612-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361221000014/0001393612-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361222000007/0001393612-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,776253000,577915000,1076616000,588630000,927750000,1276185000,764788000,2226708000,2345000000,2470000000,2323000000,2297000000,2393000000,2099000000,2742000000,2957000000,1141000000,5449000000
74,Depreciation and Amortization,- -,193130000,214311000,222798000,234647000,147224000,203492000,172005000,20073000,267000000,334000000,369000000,391000000,351000000,393000000,435000000,436000000,485000000,531000000
75,Deferred Income Tax,- -,-25367000,-43608000,76285000,-218215000,-262354000,-61995000,112581000,232013000,146000000,322000000,-11000000,- -,- -,- -,- -,- -,-672000000,327000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,44249000,37081000,43777000,47000000,59000000,60000000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-282742000,25997354000,1674083000,-56949472000,-2170380000,-3695564000,8150738000,-11341358000,-2367401000,-521000000,-3021000000,4488000000,-8802000000,-5005000000,-8371000000,-8804000000,254000000,-86000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,541549000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,25997354000,27671437000,-29278035000,-31448415000,-35143979000,-26993241000,-38334599000,-40702000000,- -,-45522000000,-41034000000,-49836000000,-54841000000,-63212000000,-72016000000,- -,- -
82,Other Non-Cash Items,- -,926685000,-25109898000,-1328995000,58382435000,5861919000,5831525000,-5364607000,12428402000,2603401000,853000000,4106000000,-3322000000,10483000000,7721000000,10385000000,11607000000,4988000000,-202000000
83,Cash Provided by Operating Activities,- -,1587959000,1636074000,1720787000,2038025000,4504159000,3597892000,3872586000,3609615000,3041000000,3517000000,3826000000,3854000000,4425000000,5208000000,5191000000,6196000000,6196000000,6019000000
84,CAPEX,- -,-98712000,-97963000,-144151000,-118265000,-93532000,-53793000,-54676000,-111560000,-144000000,-231000000,-145000000,-168000000,-179000000,-218000000,-254000000,-284000000,-261000000,-194000000
85,Acquisitions Net,- -,- -,-323426000,-1924491000,-5000000,-90749000,- -,- -,-401158000,-49000000,- -,- -,2000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-6283000,-10529000,-73055000,-153075000,-119321000,-2954949000,-5661855000,-6451833000,-1932000000,-441000000,-503000000,-765000000,-107000000,-105000000,-2701000000,-8317000000,-8275000000,-207000000
87,Sales/Maturities of Investments,- -,5640000,5422000,6952000,8445044000,37200000,431300000,2094619000,1720900000,1794000000,1452000000,1470000000,1534000000,1366000000,233000000,856000000,1171000000,7005000000,5015000000
88,Other Investing Activites,- -,-1663879000,-3883321000,110915000,-9763849000,-5864560000,-3583338000,-1101040000,-2877899000,-5362000000,-3943000000,-5019000000,-3471000000,-5974000000,-8687000000,-8480000000,-7844000000,3045000000,-4574000000
89,Cash Used for Investing Activites,- -,-1763234000,-4309817000,-2023830000,-1595145000,-6130962000,-6160780000,-4722952000,-8121550000,-5693000000,-3163000000,-4197000000,-2868000000,-4894000000,-8777000000,-10579000000,-15274000000,1514000000,40000000
90,Debt Repayment,- -,-104451000,-321242000,-45621000,-1486271000,-397606000,-904211000,-9946440000,-6057138000,-3765000000,-3638000000,-4678000000,-3634000000,-3419000000,-5363000000,-6203000000,-6573000000,-5286000000,-4373000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,533822000,1323000,22646000,26000000,13000000,5000000,5000000,7000000,5000000,6000000,7000000,10000000,9000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-11385000,-1232799000,-434796000,-1216000000,-1296000000,-1564000000,-1715000000,-1908000000,-2656000000,-2065000000,-1768000000,-348000000,-2260000000
93,Dividends Paid,- -,-637000000,- -,-500000000,-879146000,-116956000,-101034000,-845431000,-109573000,-209000000,-399000000,-467000000,-515000000,-514000000,-527000000,-552000000,-573000000,-576000000,-636000000
94,Other Financing Activites,- -,462985000,2747438000,1166876000,9824410000,3550005000,5895272000,4951727000,8841906000,8892000000,8936000000,7805000000,7161000000,8645000000,13502000000,15960000000,9804000000,5115000000,-1056000000
95,Cash Used/Provided by Financing Activities,- -,-278466000,2426196000,621255000,7458993000,3035443000,5412464000,-7071620000,2263045000,3728000000,3616000000,1101000000,1302000000,2811000000,4961000000,7146000000,897000000,-1085000000,-8316000000
96,Effect of Forex Changes on Cash,- -,3496000,-1583000,663000,10865000,-24592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-450245000,-249130000,318875000,7912738000,1384048000,2849576000,-7921986000,-2248890000,1076000000,3970000000,730000000,2288000000,2342000000,1392000000,1758000000,-8181000000,6625000000,-2257000000
98,Cash at the End of Period,- -,804612000,555482000,874357000,8787095000,10171143000,13020719000,5098733000,2849843000,3926000000,6554000000,7284000000,9572000000,11914000000,13306000000,15145000000,6964000000,13589000000,11332000000
99,Cash at the Beginning of Period,- -,1254857000,804612000,555482000,874357000,8787095000,10171143000,13020719000,5098733000,2850000000,2584000000,6554000000,7284000000,9572000000,11914000000,13387000000,15145000000,6964000000,13589000000
100,Free Cash Flow,- -,1489247000,1538111000,1576636000,1919760000,4410627000,3544099000,3817910000,3498055000,2897000000,3286000000,3681000000,3686000000,4246000000,4990000000,4937000000,5912000000,5935000000,5825000000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393612/000119312508039547/0001193125-08-039547-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312509013205/0001193125-09-013205-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312510014549/0001193125-10-014549-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000119312511014919/0001193125-11-014919-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361212000008/0001393612-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361213000004/0001393612-13-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1393612/000139361215000007/0001393612-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361216000059/0001393612-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361217000012/0001393612-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361218000012/0001393612-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361219000011/0001393612-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361220000009/0001393612-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361221000014/0001393612-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1393612/000139361222000007/0001393612-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,
