,https://roic.ai/company/CVLG,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,20067102,28123631,35696929,42690000,28780000,-63000,24974000,28221000,13952000,17066000,9629000,-10681000,-55679000,-4722000,26008000,-1061000,23209000,20394000,39646000,67782000,32447000,28155000,58986000,16034000,-14027000,67162000
18,Operating Income ratio,- -,- -,0.0849,0.0944,0.0963,0.0903,0.0521,-0.0001,0.0442,0.0485,0.0231,0.0265,0.0141,-0.0150,-0.0719,-0.0080,0.0400,-0.0016,0.0344,0.0298,0.0551,0.0936,0.0484,0.0399,0.0666,0.0179,-0.0167,0.0642
19,Total Other Income Expenses (Gains),-11600000,-13600000,-5987148,-6273324,-5924486,-5513000,-9006000,-8326000,-4395000,-1750000,-2124000,-3392000,-6428000,-11625000,-10504000,-25326000,-16544000,-15378000,-10809000,-7647000,-7064000,-3875000,-5226000,-4858000,-976000,-4093000,-2897000,11991000
20,Income Before Tax,11300000,14600000,14079954,21850307,29772443,37177000,19774000,-8389000,20579000,26471000,11828000,13674000,3201000,-22306000,-66183000,-30048000,9464000,-16439000,12400000,12747000,32582000,63907000,27221000,23297000,58010000,11941000,-16924000,79153000
21,Income Before Tax Ratio,0.0857,0.0810,0.0596,0.0734,0.0803,0.0786,0.0358,-0.0153,0.0365,0.0454,0.0196,0.0213,0.0047,-0.0313,-0.0855,-0.0510,0.0146,-0.0252,0.0184,0.0186,0.0453,0.0882,0.0406,0.0330,0.0655,0.0133,-0.0202,0.0757
22,Income Tax expense (Gain),4000000,5300000,5102000,8148000,11489574,14900000,7899000,-1727000,11415000,14315000,8452000,8003000,4582000,-5580000,-12792000,-5018000,6175000,-2172000,6335000,7503000,14774000,21822000,10386000,-32142000,15507000,3464000,-2804000,20962000
23,Net Income,7300000,9300000,8977954,13702307,18282869,22277000,11875000,-6662000,8274000,12156000,3376000,5186000,-1381000,-16726000,-53391000,-25030000,3289000,-14267000,6065000,5244000,17808000,42085000,16835000,55439000,42503000,8477000,-42718000,60731000
24,Net Income ratio,0.0553,0.0516,0.0380,0.0460,0.0493,0.0471,0.0215,-0.0122,0.0147,0.0209,0.0056,0.0081,-0.0020,-0.0235,-0.0690,-0.0425,0.0051,-0.0219,0.0090,0.0077,0.0248,0.0581,0.0251,0.0786,0.0480,0.0095,-0.0509,0.0581
25,EPS,0.69,0.70,0.67,1.03,1.27,1.49,0.82,-0.48,0.58,0.84,0.23,0.37,-0.10,-1.19,-3.80,-1.77,0.23,-0.97,0.41,0.35,1.17,2.32,0.93,3.03,2.32,0.46,-2.46,1.79
26,EPS Diluted,0.69,0.70,0.67,1.03,1.27,1.48,0.82,-0.48,0.57,0.83,0.23,0.37,-0.10,-1.19,-3.80,-1.77,0.23,-0.97,0.41,0.35,1.15,2.30,0.92,3.02,2.30,0.45,-2.46,1.77
27,Weighted Average Shares Outstanding,10579710,13285714,13350000,13360000,14393000,14912000,14404000,13987000,14223000,14467000,14641000,14175000,13996000,14018000,14038000,14124000,14374000,14689000,14742000,14837000,15250000,18145000,18182000,18279000,18340000,18435000,17358000,16782000
28,Weighted Average Shares Outstanding Diluted,10579710,13285714,13350000,13360000,14440000,15028000,14533000,13987000,14519000,14709000,14833000,14270000,13996000,14018000,14038000,14124000,14505000,14689000,14808000,15039000,15517000,18311000,18266000,18372000,18469000,18635000,17358000,16975000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928658/000100888613000025/0001008886-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888614000033/0001008886-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888615000037/0001008886-15-000037-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888616000285/0001008886-16-000285-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888617000034/0001008886-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888618000007/0001008886-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888619000055/0001008886-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888620000028/0001008886-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000143774921005174/0001437749-21-005174-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000143774922004571/0001437749-22-004571-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4900000,500000,3491543,2609520,2926135,1046000,2287000,383000,42000,3306000,5066000,3618000,5407000,4500000,6300000,12221000,9361000,3895000,6846000,9263000,21330000,4490000,7750000,15356000,23127000,43591000,8407000,8412000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4900000,500000,3491543,2609520,2926135,1046000,2287000,383000,42000,3306000,5066000,3618000,5407000,4500000,6300000,12221000,9361000,3895000,6846000,9263000,21330000,4490000,7750000,15356000,23127000,43591000,8407000,8412000
34,Net Receivables,17500000,17500000,33186434,38756883,54265062,9295000,87526000,71271000,71106000,72898000,87216000,89460000,78952000,92186000,73352000,68425000,66984000,70619000,80130000,86744000,103022000,130039000,109649000,130766000,168877000,181735000,109074000,142362000
35,Inventory,500000,500000,880086,1120684,1928639,3046000,2949000,3471000,3226000,3581000,3581000,4661000,4985000,4102000,3894000,4004000,4481000,4611000,4550000,4718000,4402000,4004000,3980000,4232000,4067000,4210000,3119000,3323000
36,Other Current Assets,1600000,6000000,4029003,4884556,6999406,85915000,16504000,18454000,25555000,29647000,31475000,32357000,54023000,35962000,43744000,17177000,10312000,29276000,16784000,22725000,28009000,34304000,13584000,11960000,15573000,24849000,27196000,34430000
37,Total Current Assets,24500000,24500000,41587066,47371643,66119242,99302000,109266000,93579000,99929000,109432000,127338000,130096000,143367000,136750000,127290000,101827000,91138000,108401000,108310000,123450000,156763000,172837000,134963000,162314000,211644000,254385000,147796000,188527000
38,PP&E,87900000,87900000,144383951,161621002,200537084,269034000,256049000,231536000,238488000,221734000,209422000,214362000,274974000,247530000,236018000,278335000,323954000,322303000,279017000,329608000,382491000,454049000,465471000,464072000,450595000,517203000,391452000,346483000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36210000,36210000,11539000,11539000,11539000,- -,- -,- -,- -,- -,- -,- -,41598000,42518000,42518000,42518000
40,Intangible Assets,- -,- -,253000,3691000,4292000,13183000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,553000,326000,235000,169000,- -,- -,32538000,29615000,24518000,20475000
41,Intangible Assets,- -,- -,253000,3691000,4292000,13183000,- -,- -,- -,- -,- -,- -,36210000,36210000,11539000,11539000,11539000,- -,553000,326000,235000,169000,- -,- -,74136000,72133000,67036000,62993000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6133000,8737000,12192000,16788000,18526000,20145000,26106000,31906000,34365000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84661000
44,Other Non-Current Assets,200000,200000,924158,2572491,2010525,2455000,25198000,24667000,23124000,23115000,23266000,26803000,20543000,19304000,18829000,6611000,5735000,9121000,6219000,4301000,2336000,3580000,1578000,3137000,11043000,6013000,36067000,-31002000
45,Total Non-Current Assets,88100000,88100000,145561109,167884493,206839609,284672000,281247000,256203000,261612000,244849000,232688000,241165000,331727000,303044000,266386000,296485000,341228000,331424000,291922000,342972000,397254000,474586000,485575000,487354000,561880000,627255000,528920000,463135000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,112600000,112600000,187148175,215256136,272958851,383974000,390513000,349782000,361541000,354281000,360026000,371261000,475094000,439794000,393676000,398312000,432366000,439825000,400232000,466422000,554017000,647423000,620538000,649668000,773524000,881640000,676716000,651662000
48,Accounts Payable,3600000,3600000,3892208,5328346,3485098,7260000,6988000,7241000,6921000,8822000,6574000,8457000,30521000,35029000,- -,7528000,6902000,8752000,10035000,8322000,9623000,12272000,13032000,11857000,22101000,25745000,31695000,29907000
49,Short-Term Debt,9800000,9800000,50000,1565639,1943485,4218000,6505000,20150000,43000000,1300000,9000,- -,4280000,6907000,59168000,73301000,74573000,104178000,73988000,55720000,29430000,48374000,27577000,27558000,35941000,81687000,31468000,12570000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10177000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74553000,- -
52,Other Current Liabilities,2800000,2800000,4480151,9798369,14318125,20733000,79176000,77855000,77660000,90193000,105601000,106170000,75411000,68124000,50275000,38844000,40408000,37575000,44267000,45336000,65034000,65826000,47172000,41805000,69290000,53825000,-4335000,100268000
53,Total Current Liabilities,16200000,16200000,8422359,16692354,19746708,32211000,92669000,105246000,127581000,100315000,112184000,114627000,110212000,110060000,109443000,119673000,121883000,150505000,128290000,109378000,104087000,126472000,87781000,81220000,127332000,161257000,133381000,142745000
54,Long-Term Debt,27700000,27700000,83110000,80811783,84331368,140497000,74295000,29000000,1300000,12000000,8013000,33000000,104900000,86467000,107956000,134084000,141963000,128167000,95214000,169491000,159531000,196513000,168676000,164465000,166635000,200177000,47888000,20347000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84661000
56,Deferred Tax Liabilities,5100000,5100000,13886000,22155000,27358848,47412000,55727000,53634000,57072000,49824000,44130000,33910000,50685000,57902000,39669000,24525000,41821000,42670000,49837000,59077000,73717000,76981000,84157000,63344000,77467000,80330000,74553000,84661000
57,Other Non-Current Liabilities,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20453000,13099000,17788000,25355000,26001000,31428000,32218000,28116000,47478000,45297000,43510000,45438000,58948000,89765000,130252000,-30451000
58,Total Non-Current Liabilities,32900000,32900000,96996000,102966783,111690216,187909000,130022000,82634000,58372000,61824000,52143000,66910000,176038000,157468000,165413000,183964000,209785000,202265000,177269000,256684000,280726000,318791000,296343000,273247000,303050000,370272000,252693000,159218000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13570000,14817000,18086000,16094000,21918000,14978000,14578000,22202000,24739000,40493000,93610000,54906000,- -
61,Total Liabilities,49100000,49100000,105418359,119659137,131436924,220120000,222691000,187880000,185953000,162139000,164327000,181537000,286250000,267528000,274856000,303637000,331668000,352770000,305559000,366062000,384813000,445263000,384124000,354467000,430382000,531529000,386074000,301963000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,133500,133603,149103,150000,150000,151000,154000,157000,158000,158000,159000,159000,159000,160000,164000,167000,167000,169000,192000,194000,194000,195000,195000,197000,197000,185000
64,Retained Earnings,12900000,12900000,31126720,44829027,63111896,85389000,97264000,90602000,98877000,111032000,114408000,119595000,118214000,101147000,47756000,22726000,26015000,11748000,17813000,23057000,40865000,82950000,102032000,157471000,200566000,209043000,166325000,225076000
65,Other Comprehensive Income/Loss,-17200000,-17200000,-38752116,-67310934,-81821335,-80638000,-100581000,-137533000,- -,-99175000,-88967000,-86767000,-74689000,-102628000,-116839000,305000,476000,50000,320000,833000,-13101000,-17544000,-2640000,293000,204000,-1014000,-2251000,-1306000
66,Other Total Stockholders Equity,67800000,67800000,89221712,117945303,160082263,158951000,170989000,208682000,76557000,180128000,170100000,156738000,145160000,173588000,187744000,71484000,74043000,75090000,76373000,76301000,141248000,136560000,136828000,137242000,142177000,141885000,126371000,125744000
67,Total Stockholders Equity,63500000,63500000,81729816,95596999,141521927,163852000,167822000,161902000,175588000,192142000,195699000,189724000,188844000,172266000,118820000,94675000,100698000,87055000,94673000,100360000,169204000,202160000,236414000,295201000,343142000,350111000,290642000,349699000
68,Total Liabilities And Stockholders Equity,112600000,112600000,187148175,215256136,272958851,383972000,390513000,349782000,361541000,354281000,360026000,371261000,475094000,439794000,393676000,398312000,432366000,439825000,400232000,466422000,554017000,647423000,620538000,649668000,773524000,881640000,676716000,651662000
69,Minority Interest,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,112600000,112600000,187148175,215256136,272958851,383974000,390513000,349782000,361541000,354281000,360026000,371261000,475094000,439794000,393676000,398312000,432366000,439825000,400232000,466422000,554017000,647423000,620538000,649668000,773524000,881640000,676716000,651662000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928658/000100888613000025/0001008886-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888614000033/0001008886-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888615000037/0001008886-15-000037-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888616000285/0001008886-16-000285-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888617000034/0001008886-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888618000007/0001008886-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888619000055/0001008886-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888620000028/0001008886-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000143774921005174/0001437749-21-005174-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000143774922004571/0001437749-22-004571-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7300000,9300000,8977954,13702307,18282869,22277000,11875000,-6662000,8274000,12156000,3376000,5186000,-1381000,-16726000,-53391000,-25030000,3289000,-14267000,6065000,5244000,17808000,42085000,16835000,55439000,42503000,8477000,-42718000,60731000
74,Depreciation and Amortization,-9400000,-16800000,22781481,27363501,32074888,35658000,39181000,-56324000,-49497000,-43041000,-45001000,39769000,43234000,51801000,85960000,47987000,56100000,53001000,48135000,44457000,49043000,62010000,71647000,72422000,75859000,80529000,65480000,53881000
75,Deferred Income Tax,2900000,4700000,4050000,4354000,4146233,9137000,6180000,-5674000,-1537000,-9605000,-12063000,-6249000,3660000,4414000,-2456000,-8664000,17422000,-2590000,6735000,8328000,13847000,20701000,186000,-22566000,13796000,3349000,-14925000,18413000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000,695000,1118000,1226000,1284000,381000,1386000,1496000,1378000,1201000,5177000,819000,2270000,9059000
77,Change in Working Capital,-4100000,- -,24864707,-2485418,15693245,20718466,-50494000,-28264000,-15985000,36769000,6037000,315000,17686000,-6465000,-8843000,-35693000,-12899000,-11359000,22124000,34052000,38604000,-6311000,817000,33912000,3218000,8816000,-78713000,31367000
78,Accounts Receivable,-5800000,-19600000,3011000,-2581000,-12554000,-11974000,-3965000,16610000,-1317000,-4193000,-9454000,-4841000,14449000,-7631000,- -,- -,- -,- -,-10415000,-4312000,-16996000,-28120000,21207000,-23670000,-27199000,-6706000,-60849000,1338000
79,Inventory,-200000,-300000,-79000,-156000,-617000,-750000,97000,-522000,245000,-356000,- -,-1081000,-283000,865000,286000,-110000,-477000,-130000,61000,-168000,316000,398000,24000,-252000,168000,-143000,1091000,-204000
80,Accounts Payable,2300000,200000,1707000,2786000,1072000,-6606000,-228000,10736000,11781000,1343000,-6825000,278000,2187000,400000,- -,- -,- -,- -,3821000,-6287000,5556000,-10562000,-5116000,-3425000,19232000,-16066000,19831000,16345000
81,Other Working Capital,8300000,8300000,33164707,30679289,46372534,67091000,16597000,-11667000,-27652000,9117000,15154000,15469000,33155000,26690000,17847000,-17846000,-30745000,-42104000,-19980000,14072000,52676000,46365000,47182000,81094000,84312000,93128000,14415000,45782000
82,Other Non-Cash Items,18700000,11900000,-21548644,2311185,-30294319,-43305466,41919000,170688000,125912000,51437000,91764000,-13448000,-2535000,697000,19093000,51603000,5809000,6050000,-29242000,-52017000,-46944000,-34504000,11567000,-57555000,-15753000,-37959000,131646000,-100233000
83,Cash Provided by Operating Activities,15400000,9100000,39125498,45245575,39902916,44485000,48661000,73764000,67167000,47716000,44113000,25573000,60664000,33721000,40308000,30898000,70839000,32061000,55101000,40445000,73744000,85477000,102430000,82853000,124800000,64031000,63040000,73218000
84,CAPEX,-53600000,-72400000,-49142303,-55277486,-80522553,-101653000,-71427000,-55466000,-70720000,-94362000,-81615000,-109918000,-162750000,-64261000,-89024000,-113063000,-137347000,-114800000,-41787000,-135896000,-163679000,-181963000,-112794000,-110802000,-75142000,-138273000,-94049000,-3799000
85,Acquisitions Net,- -,- -,- -,-4350000,-6295000,-25806000,-7658000,-564000,- -,- -,- -,- -,-39144000,-333000,- -,-250000,- -,-1500000,-2584000,-435000,307000,- -,- -,- -,-105946000,- -,108375000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1496000,-1365000,1442000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000
88,Other Investing Activites,3400000,16700000,10219276,30772802,27540004,46632000,45801000,24705000,14369000,68487000,49179000,65992000,101282000,53486000,26378000,50305000,55075000,65559000,57525000,51930000,78776000,34287000,65507000,48749000,61687000,46609000,122278000,14206000
89,Cash Used for Investing Activites,-50200000,-55700000,-38923027,-27604684,-59057549,-80827000,-41219000,-31325000,-56351000,-25875000,-32436000,-43926000,-100612000,-11108000,-62646000,-63008000,-82272000,-50741000,13154000,-84401000,-84596000,-147676000,-47287000,-62053000,-120897000,-93029000,138046000,10344000
90,Debt Repayment,-51100000,-41900000,-40000,-18563513,-92093557,-62503000,-176034000,-99519000,-100038000,-93877000,-66510000,-93889000,-129768000,-85954000,-424881000,-71078000,-77409000,-88589000,-93962000,-81669000,-153062000,-936424000,-1139566000,-1404939000,-1696761000,-1789752000,-1636595000,-5626000
91,Common Stock Issued,50500000,- -,- -,164876,27485311,- -,- -,1271000,3881000,3615000,1961000,445000,246000,- -,- -,- -,- -,- -,- -,- -,62984000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1990000,-11657000,- -,- -,- -,-115000,- -,- -,- -,- -,- -,-4994000,- -,- -,- -,- -,-17486000,-10348000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,39100000,84000000,2867784,-124277,84079494,96965000,169833000,53905000,85000000,71685000,56622000,122006000,171259000,62434000,449019000,109224000,85982000,101803000,28658000,128042000,112997000,986777000,1087683000,1391745000,1700629000,1839214000,1417811000,-67583000
95,Cash Used/Provided by Financing Activities,38500000,42100000,2827784,-18522914,19471248,34462000,-6201000,-44343000,-11157000,-18577000,-9917000,16905000,41737000,-23520000,24138000,38031000,8573000,13214000,-65304000,46373000,22919000,45359000,-51883000,-13194000,3868000,49462000,-236270000,-83557000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,38500000,42100000,3030255,-882023,316615,-1880000,1241000,-1904000,-341000,3264000,1760000,-1448000,1789000,-907000,1800000,5921000,-2860000,-5466000,2951000,2417000,12067000,-16840000,3260000,7606000,7771000,20464000,-35184000,5000
98,Cash at the End of Period,- -,- -,3491543,2609520,2926135,1046000,2287000,383000,42000,3306000,5066000,3618000,5407000,4500000,6300000,12221000,9361000,3895000,6846000,9263000,21330000,4490000,7750000,15356000,23127000,43591000,8407000,8412000
99,Cash at the Beginning of Period,1200000,4900000,461288,3491543,2609520,2926000,1046000,2287000,383000,42000,3306000,5066000,3618000,5407000,4500000,6300000,12221000,9361000,3895000,6846000,9263000,21330000,4490000,7750000,15356000,23127000,43591000,8407000
100,Free Cash Flow,-38200000,-63300000,-10016805,-10031911,-40619637,-57168000,-22766000,18298000,-3553000,-46646000,-37502000,-84345000,-102086000,-30540000,-48716000,-82165000,-66508000,-82739000,13314000,-95451000,-89935000,-96486000,-10364000,-27949000,49658000,-74242000,-31009000,69419000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928658/000100888613000025/0001008886-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888614000033/0001008886-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888615000037/0001008886-15-000037-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888616000285/0001008886-16-000285-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888617000034/0001008886-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888618000007/0001008886-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888619000055/0001008886-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888620000028/0001008886-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000143774921005174/0001437749-21-005174-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000143774922004571/0001437749-22-004571-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
