,https://roic.ai/company/QMCI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,40664,- -,126,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,329265,388250,- -,23988,50091,111665,239663,238542,308536,404521,546439,630176,691357,780699,881137,1014379,1063769,7289,6259,4582,2641
14,Depreciation and Amortization,11851,14710,16599,16470,15267,18333,97497,238702,435682,575154,683246,702802,758351,807875,855512,882236,861216,837284,893248,1113129,1331910,1640245
15,EBITDA,-2046963,-2081529,-423527,-709340,-258166,93141,-385461,-1031653,-224709,2569,-854789,499387,883000,359177,255114,109720,197310,395115,1401493,1681399,692405,1852074
16,EBITDA ratio,-45.7647,-188.7666,-9.6539,-2.4769,-0.2557,0.0378,-0.1030,-0.1852,-0.0309,0.0003,-0.1095,0.0557,0.0895,0.0381,0.0281,0.0127,0.0222,0.0416,0.1259,0.1426,0.0558,0.1221
17,Operating Income,-2418373,-2093606,-828502,-725810,-237864,78654,-478950,-1178823,-732851,-726693,-1525415,-219891,166652,-512021,-698238,-1007167,-613390,-349223,499502,599655,-643714,1690116
18,Operating Income ratio,-54.0684,-189.8618,-18.8850,-2.5344,-0.2356,0.0319,-0.1280,-0.2117,-0.1007,-0.0963,-0.1954,-0.0245,0.0169,-0.0543,-0.0769,-0.1163,-0.0692,-0.0368,0.0449,0.0508,-0.0519,0.1114
19,Total Other Income Expenses (Gains),318895,-2633,- -,- -,-35569,-3846,-4008,-331195,-166082,-154428,-417141,-529963,-672179,-628034,-682859,-646486,-1064895,-1156715,1454,-37644,-373,-1474560
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-1510018,-898933,-881121,-1942556,-749854,-505527,-1140055,-1381097,-1653653,-1678285,-1505938,500956,562011,-644087,215556
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-0.2711,-0.1235,-0.1168,-0.2489,-0.0837,-0.0512,-0.1208,-0.1522,-0.1910,-0.1892,-0.1587,0.0450,0.0477,-0.0519,0.0142
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,51191,-26249,3066,3396,2527,4000,3883,3622,3129,3018,3082,3085,3014,2237,-3184
23,Net Income,-2058814,-2425504,-828376,-725810,-297421,24717,-594623,-1561209,-872684,-884187,-1945952,-752381,-509527,-1143938,-1384719,-1656782,-1681303,-1509020,497871,558997,-646324,212372
24,Net Income ratio,-46.0296,-219.9605,-18.8821,-2.5344,-0.2946,0.0100,-0.1589,-0.2803,-0.1199,-0.1172,-0.2493,-0.0839,-0.0516,-0.1212,-0.1526,-0.1913,-0.1895,-0.1590,0.0447,0.0474,-0.0521,0.0140
25,EPS,-0.11,-0.10,-0.02,-0.01,-0.01,0.00,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,0.01,0.01,-0.01,0.00
26,EPS Diluted,-0.11,-0.10,-0.02,-0.01,-0.01,0.00,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,0.00,0.00,-0.01,0.00
27,Weighted Average Shares Outstanding,19428480,23672406,38396310,55734866,58664204,60110229,62768422,69183701,89125890,89371320,89371320,89371320,89371320,89810105,90444162,90461165,90477798,90477798,90477798,90477798,90477798,90477798
28,Weighted Average Shares Outstanding Diluted,19804742,24749221,38396310,55734866,58664204,93416030,62768422,69183701,89125890,89371320,89371320,89371320,89371320,89810105,90444162,90461165,90477798,90477798,101577469,118745576,90477798,90477798
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101433/000119312508074432/0001193125-08-074432-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1101433/000119312510241116/0001193125-10-241116-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1101433/000113717112000123/0001137171-12-000123-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000113717113000127/0001137171-13-000127-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000113717114000058/0001137171-14-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000113717115000058/0001137171-15-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000147793216009309/0001477932-16-009309-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000147793217001444/0001477932-17-001444-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000147793218001735/0001477932-18-001735-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495419003649/0001654954-19-003649-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000165495420003374/0001654954-20-003374-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495421003312/0001654954-21-003312-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495422004062/0001654954-22-004062-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,201020,190200,143034,131265,670078,886251,357316,536624,477222,510018,427010,658100,425899,423053,251834,271700,451151,810332,815487,417910,258705
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,201020,190200,143034,131265,670078,886251,357316,536624,477222,510018,427010,658100,425899,423053,251834,271700,451151,810332,815487,417910,258705
34,Net Receivables,- -,- -,12685,28088,89215,192760,170033,299806,370221,466663,376426,654449,652603,538995,405727,419098,433889,344512,538081,680759,698334,624127
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,15404,15946,18800,18754,212955,217766,274895,350679,417543,339165,448090,346420,347620,89925,129572,178294,239263,303270,150886,222303,259625
37,Total Current Assets,- -,216424,218831,189922,239234,1075793,1274050,932017,1257524,1361428,1225609,1529549,1657123,1312514,918705,800504,883883,1034926,1651683,1647132,1338547,1142457
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3426939,4247937
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000
40,Intangible Assets,- -,- -,- -,- -,37030,37324,193460,198050,191862,185674,103487,96990,91922,88405,82468,76531,70594,64657,57029,51265,61914,64856
41,Intangible Assets,- -,- -,- -,- -,37030,37324,193460,198050,191862,185674,213487,206990,201922,198405,192468,186531,180594,174657,167029,161265,171914,174856
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,22998,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,49064,44999,48335,41783,120038,482105,803117,1006693,1137336,1192255,1263168,1298586,1398587,1505540,1422736,1388495,1437497,1718214,2617847,15886,16005
45,Total Non-Current Assets,- -,49064,44999,48335,78813,157362,675565,1001167,1221553,1323010,1405742,1470158,1500508,1596992,1698008,1609267,1569089,1612154,1885243,2779112,3614739,4438798
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,265488,263830,238257,318047,1233155,1949615,1933184,2479077,2684438,2631351,2999707,3157631,2909506,2616713,2409771,2452972,2647080,3536926,4426244,4953286,5581255
48,Accounts Payable,- -,345137,186552,79746,196462,186756,294156,560333,- -,963749,1290693,- -,- -,- -,- -,- -,1499827,- -,- -,- -,2026741,- -
49,Short-Term Debt,- -,127775,112023,126259,- -,30000,412933,501642,626729,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164843,182638
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1360,40033,101341,184683,363785,433630,447246,428577,441446,602517,525026,543507,559214,607024,549233,706819,707880,579343,544902,622497
52,Other Current Liabilities,- -,240753,238074,261220,76200,- -,- -,- -,939387,984348,- -,1059600,1156289,1258374,1249659,1309746,44212,1565972,1525147,1492303,11951,2434389
53,Total Current Liabilities,- -,713665,538009,507258,374003,401439,1070874,1495605,2013362,2376674,1732139,1662117,1681315,1801881,1808873,1916770,2093272,2272791,2233027,2071646,2748437,3239524
54,Long-Term Debt,- -,- -,- -,- -,490779,1341875,1779403,1571085,2049737,2630867,4825767,- -,6615136,7380675,8398160,9436923,- -,- -,- -,- -,133257,532782
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,19687,6546,6088,- -,- -,- -,- -,5976859,- -,- -,- -,- -,10903439,3082211,3084409,3165302,3490748,1808949
58,Total Non-Current Liabilities,- -,- -,- -,- -,510466,1348421,1785491,1571085,2049737,2630867,4825767,5976859,6615136,7380675,8398160,9436923,10903439,3082211,3084409,3165302,3624005,2341731
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76540,387408,683685,- -
61,Total Liabilities,- -,713665,538009,507258,884469,1749860,2856365,3066690,4063099,5007541,6557906,7638976,8296451,9182556,10207033,11353693,12996711,5355002,5317436,5236948,6372442,5581255
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,33715,48969,58665,58665,61187,65223,88764,89372,89372,89372,89372,89372,90445,90445,90479,90479,90479,90479,90479,90479,90479
64,Retained Earnings,- -,-5202847,-6031223,-6757033,-7054454,-7029737,-7624360,-9185569,-10058253,-10942440,-12888392,-13640773,-14150300,-15294238,-16678957,-18335739,-20017042,-21526062,-21028191,-20469194,-21115518,-20903146
65,Other Comprehensive Income/Loss,- -,-29277,-45876,-62346,-36896,-54511,-129798,-366357,-782242,-1351208,-2027538,-2723844,-3377739,-4179717,-5029292,-5905591,-6760870,-7400262,-7561005,-8469349,- -,- -
66,Other Total Stockholders Equity,- -,4750232,5753951,6491713,6466263,6506356,6782185,8329656,9167101,9881173,10900003,11635976,12299847,13110460,14027484,15206929,16143694,26127923,26718207,28037360,19605883,19637759
67,Total Stockholders Equity,- -,-448177,-274179,-269001,-566422,-516705,-906750,-1133506,-1584022,-2323103,-3926555,-4639269,-5138820,-6273050,-7590320,-8943922,-10543739,-2707922,-1780510,-810704,-1419156,-1174908
68,Total Liabilities And Stockholders Equity,- -,265488,263830,238257,318047,1233155,1949615,1933184,2479077,2684438,2631351,2999707,3157631,2909506,2616713,2409771,2452972,2647080,3536926,4426244,4953286,4406347
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1174908
70,Total Liabilities & Equity,- -,265488,263830,238257,318047,1233155,1949615,1933184,2479077,2684438,2631351,2999707,3157631,2909506,2616713,2409771,2452972,2647080,3536926,4426244,4953286,5581255
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101433/000119312508074432/0001193125-08-074432-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1101433/000119312510241116/0001193125-10-241116-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1101433/000113717112000123/0001137171-12-000123-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000113717113000127/0001137171-13-000127-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000113717114000058/0001137171-14-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000113717115000058/0001137171-15-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000147793216009309/0001477932-16-009309-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000147793217001444/0001477932-17-001444-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000147793218001735/0001477932-18-001735-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495419003649/0001654954-19-003649-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000165495420003374/0001654954-20-003374-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495421003312/0001654954-21-003312-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495422004062/0001654954-22-004062-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2058814,-2425504,-828376,-725810,-297421,24717,-594623,-1561209,-872684,-884187,-1945952,-752381,-509527,-1143938,-1384719,-1656782,-1681303,-1509020,497871,558997,-646324,212372
74,Depreciation and Amortization,11851,14710,16599,16470,15267,18333,97497,238702,435682,575154,683246,702802,758351,807875,855512,882236,861216,837284,893248,1113129,1331910,1640245
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,394668,145106,342500,39667,9976,9708,67449,303180,81486,100731,439132,411714,37872,31876
77,Change in Working Capital,-158257,-497241,178063,1842,182567,809123,-471178,-766764,-192250,-259408,508716,373962,108376,-465175,-400801,-226098,-93123,-28476,656521,156830,-985376,-687177
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-227902,-232006,-36984,-346518,-131954,-73540,100238,-121677,-108532,43420,-272001,-142678,-17575,74207
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,963111,1311496,- -,734966,867624,1008770,1098850,- -,- -,- -,- -,727756,292790
81,Other Working Capital,- -,-497241,-319178,-317336,-134769,674354,203176,-563588,-755838,-1015246,-506530,-132568,-24192,-489367,-890168,-1116266,-1209389,-1237865,-581344,-424514,-1409890,-2097067
82,Other Non-Cash Items,18470,2320571,-52820,196138,79994,-410141,1808589,1652418,1091287,983491,971399,119969,656348,1464536,1817930,1320042,1676044,1658285,-982732,-474261,1589897,961071
83,Cash Provided by Operating Activities,-2186750,-587464,-686534,-511360,-19593,442032,840285,-436853,856703,560156,559909,484019,1023524,673006,955371,622578,844320,1058804,1504040,1766409,1327979,2158387
84,CAPEX,-45163,-16256,-12534,-19806,-59187,-99469,-617312,-564304,-636145,-673308,-768113,-767027,-792934,-905207,-958217,-793797,-824454,-879353,-1069695,-1677577,-1825009,-2295628
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,57964,81626,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,3133,- -,- -,- -,-608313,-493755,-711843,-690349,-763520,-810208,-832450,-677638,-690051,-789899,-879534,-1351922,-1690816,-2211221
89,Cash Used for Investing Activites,12801,22370,-12534,-19806,-56054,-99469,-617312,-564304,-704895,-619558,-753113,-767027,-792434,-905207,-958217,-793797,-824454,-879353,-1069695,-1677577,-1825009,-2305627
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21314,-28677,-33804,-23930
91,Common Stock Issued,1660250,500000,684000,484000,- -,10500,23200,7500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-131865,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000,-55000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,107775,4248,- -,195743,185750,-30000,464722,27500,- -,226000,200000,- -,- -,- -,- -,- -,- -,-8850,- -,133257,11965
95,Cash Used/Provided by Financing Activities,1660250,607775,688248,484000,63878,196250,-6800,472222,27500,- -,226000,200000,- -,- -,- -,- -,- -,- -,-75164,-83677,99453,-11965
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-513699,42681,-10820,-47166,-11769,538813,216173,-528935,179308,-59402,32796,-83008,231090,-232201,-2846,-171219,19866,179451,359181,5155,-397577,-159205
98,Cash at the End of Period,158339,201020,190200,143034,131265,670078,886251,357316,536624,477222,510018,427010,658100,425899,423053,251834,271700,451151,810332,815487,417910,258705
99,Cash at the Beginning of Period,672038,158339,201020,190200,143034,131265,670078,886251,357316,536624,477222,510018,427010,658100,425899,423053,251834,271700,451151,810332,815487,417910
100,Free Cash Flow,-2231913,-603720,-699068,-531166,-78780,342563,222973,-1001157,220558,-113152,-208204,-283008,230590,-232201,-2846,-171219,19866,179451,434345,88832,-497030,-137241
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1101433/000119312508074432/0001193125-08-074432-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1101433/000119312510241116/0001193125-10-241116-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1101433/000113717112000123/0001137171-12-000123-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000113717113000127/0001137171-13-000127-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000113717114000058/0001137171-14-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000113717115000058/0001137171-15-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000147793216009309/0001477932-16-009309-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000147793217001444/0001477932-17-001444-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000147793218001735/0001477932-18-001735-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495419003649/0001654954-19-003649-index.html,https://www.sec.gov/Archives/edgar/data/1101433/000165495420003374/0001654954-20-003374-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495421003312/0001654954-21-003312-index.htm,https://www.sec.gov/Archives/edgar/data/1101433/000165495422004062/0001654954-22-004062-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
