,https://roic.ai/company/LCTC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-20579,6711,28151,31069,24219,-44249,-48193,-53881,-36026,206147,-41835,888573
20,Income Before Tax,618190,1215534,725650,713012,818733,397957,586786,78759,234597,687362,-1197338,619660
21,Income Before Tax Ratio,0.1010,0.1510,0.1061,0.0846,0.0876,0.0451,0.0700,0.0099,0.0278,0.0785,-0.1884,0.0878
22,Income Tax expense (Gain),211396,436605,246665,138257,213737,115703,153635,64156,17433,61536,-275408,56307
23,Net Income,406794,778929,478985,574755,604996,282254,433151,14603,217164,625826,-921930,675967
24,Net Income ratio,0.0665,0.0968,0.0700,0.0682,0.0648,0.0320,0.0517,0.0018,0.0257,0.0715,-0.1450,0.0958
25,EPS,0.17,0.32,0.20,0.24,0.25,0.12,0.18,0.01,0.09,0.26,-0.38,0.28
26,EPS Diluted,0.17,0.32,0.20,0.24,0.24,0.11,0.17,0.01,0.09,0.26,-0.38,0.27
27,Weighted Average Shares Outstanding,2360186,2422416,2422416,2431484,2433690,2453293,2454116,2454116,2454116,2454116,2454116,2454116
28,Weighted Average Shares Outstanding Diluted,2360186,2423613,2442706,2431484,2497502,2523676,2547430,2518188,2512445,2454116,2454116,2501034
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1493137/000107997312000150/0001079973-12-000150-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997313000180/0001079973-13-000180-index.html,- -,https://www.sec.gov/Archives/edgar/data/1493137/000107997315000210/0001079973-15-000210-index.htm,https://www.sec.gov/Archives/edgar/data/1493137/000107997316000865/0001079973-16-000865-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997317000193/0001079973-17-000193-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997318000196/0001079973-18-000196-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997319000151/0001079973-19-000151-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997320000208/0001079973-20-000208-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997321000200/0001079973-21-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1493137/000107997322000202/0001079973-22-000202-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,1461900,1844802,2338012,3357260,2749254,3227190,3772064,2669455,2788327,3185996,2195070,2571668
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1461900,1844802,2338012,3357260,2749254,3227190,3772064,2669455,2788327,3185996,2195070,2571668
34,Net Receivables,393118,449836,579450,557825,938727,684848,610070,714727,765765,647989,744260,562092
35,Inventory,936463,1047211,832670,736697,945425,801661,835609,1175103,1290607,1986299,2498126,2668789
36,Other Current Assets,123044,138625,161701,155640,168493,137879,158506,21804,35155,18857,77962,56897
37,Total Current Assets,2914525,3480474,3911833,4807422,4801899,4851578,5376249,4581089,4879854,5839141,5515418,5859446
38,PP&E,204672,247930,258724,290731,2606414,2723525,2523006,3007458,3021359,2879645,2563288,2588028
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,134351,116624,67092,44145,80356,102252,71909,177244,158147,145323,144702,- -
41,Intangible Assets,134351,116624,67092,44145,80356,102252,71909,177244,158147,145323,144702,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,6130,2382,2112,4762,7504,7282,3293,66531,79869,86658,148142,204449
44,Other Non-Current Assets,4242,26061,54704,12514,69687,18987,98991,259037,140452,74027,164798,297908
45,Total Non-Current Assets,349395,392997,382632,352152,2763961,2852046,2697199,3510270,3399827,3185653,3020930,3090385
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3263920,3873471,4294465,5159574,7565860,7703624,8073448,8091359,8279681,9024794,8536348,8949831
48,Accounts Payable,303528,57775,82796,149949,469570,222976,284590,297096,343783,261798,333851,445985
49,Short-Term Debt,- -,- -,- -,- -,35262,36689,40218,42101,43207,44879,512033,1267551
50,Tax Payable,12399,136109,7495,7844,44810,51071,61500,96097,61538,92931,69109,- -
51,Deferred Revenue,83339,68384,294,256285,16018,182049,115894,101900,63483,259905,196348,71604
52,Other Current Liabilities,405170,474163,459951,344792,351723,308096,279833,304290,290912,335458,312766,-703056
53,Total Current Liabilities,792037,600322,543041,751026,872573,749810,720535,745387,741385,902040,1354998,1082084
54,Long-Term Debt,- -,- -,- -,- -,1540154,1503466,1455604,1410185,1369347,1324467,1277531,- -
55,Deferred Revenue,16132,6269,- -,12532,- -,- -,8665,- -,8212,6066,3177,6430
56,Deferred Tax Liabilities,- -,- -,5559,- -,19746,19163,- -,9683,8212,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-8212,- -,- -,1267551
58,Total Non-Current Liabilities,16132,6269,5559,12532,1559900,1522629,1464269,1419868,1377559,1330533,1280708,1273981
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,808169,606591,548600,763558,2432473,2272439,2184804,2165255,2118944,2232573,2635706,2356065
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,4597646,4603304,4633655,4650812
64,Retained Earnings,-1821746,-1042817,-563832,10923,615919,898173,1331324,1345927,1563091,2188917,1266987,1942954
65,Other Comprehensive Income/Loss,-268933,-256364,-365728,-473538,-650576,-876582,-1112498,-1349499,-1649203,-1959541,- -,- -
66,Other Total Stockholders Equity,4546430,4566061,4675425,4858631,5168044,5409594,5669818,5929676,1649203,1959541,- -,- -
67,Total Stockholders Equity,2455751,3266880,3745865,4396016,5133387,5431185,5888644,5926104,6160737,6792221,5900642,6593766
68,Total Liabilities And Stockholders Equity,3263920,3873471,4294465,5159574,7565860,7703624,8073448,8091359,8279681,9024794,8536348,8949831
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3263920,3873471,4294465,5159574,7565860,7703624,8073448,8091359,8279681,9024794,8536348,8949831
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1493137/000107997312000150/0001079973-12-000150-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997313000180/0001079973-13-000180-index.html,- -,https://www.sec.gov/Archives/edgar/data/1493137/000107997315000210/0001079973-15-000210-index.htm,https://www.sec.gov/Archives/edgar/data/1493137/000107997316000865/0001079973-16-000865-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997317000193/0001079973-17-000193-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997318000196/0001079973-18-000196-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997319000151/0001079973-19-000151-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997320000208/0001079973-20-000208-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997321000200/0001079973-21-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1493137/000107997322000202/0001079973-22-000202-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,406794,778929,478985,574755,604996,282254,433151,14603,217164,625826,-921930,675967
74,Depreciation and Amortization,66638,134543,179315,199011,205094,292593,283165,288017,416896,412529,364336,254823
75,Deferred Income Tax,- -,- -,-42547,39582,-35194,6555,11613,43196,-13338,-6789,-61484,- -
76,Stock Based Compensation,- -,32200,- -,60196,- -,- -,24308,22857,17469,5658,30351,17157
77,Change in Working Capital,200524,757664,488640,687604,-127070,172442,553946,-820012,302767,798632,-776681,616942
78,Accounts Receivable,-63417,-56718,44515,-20927,-479000,234635,112920,-97929,-76810,33897,93636,10511
79,Inventory,-169415,-110748,214541,95973,-208728,138764,-33948,-366994,-175504,-715692,-531827,-5000
80,Accounts Payable,246103,-245753,25021,67153,319621,-246594,61614,12506,46687,-81985,72053,112134
81,Other Working Capital,2122488,2880152,3368792,4056396,3929326,4101768,4655714,3835702,4138469,4937101,4160420,4777362
82,Other Non-Cash Items,- -,-1107860,-470606,-349029,-406635,174776,-674889,270070,-370654,-1136988,1622,-1381946
83,Cash Provided by Operating Activities,673956,595476,633787,1212119,241191,928620,631294,-181269,570304,698868,-1363786,182943
84,CAPEX,-274791,-160074,-140577,-208071,-543699,-430967,-51761,-877261,-408897,-256906,-46273,-265867
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-120000,-77500,- -,-31632,-343205,-28168,-8954,-865415,-6750,- -,-18796,-2609
89,Cash Used for Investing Activites,-274791,-212574,-140577,-208071,-843699,-430967,-51761,-877261,-408897,-256906,-46273,-268476
90,Debt Repayment,- -,- -,- -,- -,-5498,-35261,-34659,-44079,-42535,-44293,-45964,- -
91,Common Stock Issued,- -,- -,- -,15200,- -,15544,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,41600,- -,- -,- -,- -,- -,- -,- -,- -,- -,465097,462131
95,Cash Used/Provided by Financing Activities,41600,- -,- -,15200,-5498,-19717,-34659,-44079,-42535,-44293,419133,462131
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,440765,382902,493210,1019248,-608006,477936,544874,-1102609,118872,397669,-990926,376598
98,Cash at the End of Period,1461900,1844802,2338012,3357260,2749254,3227190,3772064,2669455,2788327,3185996,2195070,2571668
99,Cash at the Beginning of Period,1021135,1461900,1844802,2338012,3357260,2749254,3227190,3772064,2669455,2788327,3185996,2195070
100,Free Cash Flow,399165,435402,493210,1004048,-302508,497653,579533,-1058530,161407,441962,-1410059,-82924
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1493137/000107997312000150/0001079973-12-000150-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997313000180/0001079973-13-000180-index.html,- -,https://www.sec.gov/Archives/edgar/data/1493137/000107997315000210/0001079973-15-000210-index.htm,https://www.sec.gov/Archives/edgar/data/1493137/000107997316000865/0001079973-16-000865-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997317000193/0001079973-17-000193-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997318000196/0001079973-18-000196-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997319000151/0001079973-19-000151-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997320000208/0001079973-20-000208-index.html,https://www.sec.gov/Archives/edgar/data/1493137/000107997321000200/0001079973-21-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1493137/000107997322000202/0001079973-22-000202-index.htm
102,false,,,,,,,,,,,,
