,https://roic.ai/company/UTI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,12527000,19856000,20124000,21244000,16702000,14504000,20222000,14892000,19253000,11205000,14910000,11406000,12118000,22409000,15253000,15197000,26289000,23164000,40595000,22689000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,17725000,13124000,3197000,3038000,14402000,30409000,12136000,13036000,16519000,17932000,18676000,18546000,22954000,28753000,30523000,28124000,25960000,33712000,32402000,29498000,24726000,26982000
37,Total Current Assets,21051000,16477000,29278000,31819000,77128000,103698000,70269000,103134000,117619000,114165000,115431000,133473000,134984000,133347000,127532000,108057000,161949000,146826000,116795000,118104000,180179000,183392000
38,PP&E,- -,- -,23669000,27446000,36925000,74417000,117298000,104595000,68258000,81168000,99040000,100377000,91939000,103070000,106927000,124144000,114033000,106664000,114848000,104126000,217406000,281126000
39,Goodwill,- -,- -,20579000,- -,- -,- -,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,8222000,9005000,9005000,8222000,8222000,8222000,8222000
40,Intangible Assets,- -,- -,- -,20579000,20579000,20579000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,20579000,8222000,9005000,9005000,8222000,8222000,8222000,8222000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3806000,3596000,5830000,4533000,4188000,11257000,1719000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5576000,8835000,11923000,20248000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,47794000,46609000,3360000,4255000,1684000,1914000,4015000,4514000,2919000,3633000,3853000,5328000,10547000,9444000,9851000,11912000,12172000,11607000,42413000,40074000,36174000,39830000
45,Total Non-Current Assets,47794000,46609000,47608000,52280000,59188000,96910000,141892000,129688000,91756000,109186000,127068000,132114000,133174000,146116000,160537000,166245000,135210000,127276000,165483000,152422000,261802000,329178000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,68845000,63086000,76886000,84099000,136316000,200608000,212161000,232822000,209375000,223351000,242499000,265587000,268158000,279463000,288069000,274302000,297159000,274102000,282278000,270526000,441981000,512570000
48,Accounts Payable,- -,- -,- -,25005000,32816000,39124000,6257000,6083000,37995000,47276000,53906000,10186000,8246000,13758000,12990000,14498000,11805000,9515000,8759000,10033000,12471000,13702000
49,Short-Term Debt,- -,- -,- -,3860000,37000,6000,- -,- -,- -,- -,- -,- -,- -,- -,5234000,737000,913000,1106000,1319000,1554000,23666000,14951000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1794000,- -,2032000,744000,79000,4336000,1187000,- -,490000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,25692000,34523000,42840000,49479000,49389000,44695000,48175000,63276000,61394000,52564000,46890000,46365000,44693000,44491000,41338000,38236000,42886000,40694000,57648000
52,Other Current Liabilities,- -,- -,43855000,6502000,3140000,7911000,40542000,40410000,3914000,6095000,5132000,33116000,38630000,31713000,37746000,36566000,37351000,34430000,44148000,42371000,44809000,46417000
53,Total Current Liabilities,- -,- -,43855000,61059000,70516000,89881000,96278000,95882000,86604000,101546000,122314000,104696000,99440000,92361000,102335000,96494000,94560000,86389000,92462000,96844000,121640000,132718000
54,Long-Term Debt,- -,- -,57886000,28014000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183078000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,5593000,5621000,11799000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,2900000,2025000,2908000,3086000,933000,2443000,- -,- -,- -,- -,3141000,3141000,329000,329000,674000,674000
57,Other Non-Current Liabilities,- -,- -,71304000,78178000,10769000,14994000,10081000,10410000,11676000,6428000,5239000,4534000,22633000,48332000,52542000,64333000,62844000,58796000,62842000,59065000,143145000,7570000
58,Total Non-Current Liabilities,- -,- -,129190000,106192000,10775000,14994000,12981000,12435000,14584000,15107000,11793000,18776000,22633000,48332000,52542000,64333000,65985000,61937000,63171000,59394000,143819000,191322000
59,Other Liabilities,160916000,166062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37712000,44790000,44054000,43141000,42034000,40715000,157755000,167303000
61,Total Liabilities,160916000,166062000,173045000,167251000,81291000,104875000,109259000,108317000,101188000,116653000,134107000,123472000,122073000,140693000,154877000,160827000,160545000,148326000,155633000,156238000,265459000,324040000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,1000,1000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,- -,- -,-95659000,-28000,-55081000,-19262000,8124000,22400000,30655000,42388000,34883000,62121000,63036000,57026000,49582000,32638000,-17454000,-30832000,-31555000,-44673000,-32971000,-21996000
65,Other Comprehensive Income/Loss,- -,- -,- -,-21531000,-24341000,-30074000,-43860000,-52877000,-66087000,-78004000,-92919000,-110903000,-127923000,-143439000,-149242000,20000,18000,- -,- -,-201531000,-182363000,-279000
66,Other Total Stockholders Equity,- -,- -,- -,-61594000,134446000,145068000,138635000,154979000,143616000,142311000,166425000,190894000,210969000,225180000,232849000,80814000,154047000,156605000,158197000,360489000,391853000,210802000
67,Total Stockholders Equity,-92071000,-102976000,-96159000,-83152000,55025000,95733000,102902000,124505000,108187000,106698000,108392000,142115000,146085000,138770000,133192000,113475000,136614000,125776000,126645000,114288000,176522000,188530000
68,Total Liabilities And Stockholders Equity,68845000,63086000,76886000,84099000,136316000,200608000,212161000,232822000,209375000,223351000,242499000,265587000,268158000,279463000,288069000,274302000,297159000,274102000,282278000,270526000,441981000,512570000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,68845000,63086000,76886000,84099000,136316000,200608000,212161000,232822000,209375000,223351000,242499000,265587000,268158000,279463000,288069000,274302000,297159000,274102000,282278000,270526000,441981000,512570000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1261654/000095015304002536/0000950153-04-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015305003145/0000950153-05-003145-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015306003008/0000950153-06-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015307002493/0000950153-07-002493-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015308002001/0000950153-08-002001-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095012309067125/0000950123-09-067125-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095012310109850/0000950123-10-109850-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000119312511324755/0001193125-11-324755-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000119312512482479/0001193125-12-482479-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165413000036/0001261654-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165414000047/0001261654-14-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165415000042/0001261654-15-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165416000085/0001261654-16-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165417000046/0001261654-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165418000042/0001261654-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165419000060/0001261654-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165420000071/0001261654-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165421000073/0001261654-21-000073-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-36220000,-9739000,9689000,20379000,28820000,35819000,27386000,15564000,8216000,11733000,28828000,27238000,9032000,3810000,2037000,-9149000,-47696000,-8128000,-32682000,-7868000,8008000,14581000
74,Depreciation and Amortization,3887000,4532000,4948000,6382000,8812000,9777000,14205000,18751000,17605000,17568000,19888000,24842000,23819000,22156000,20474000,19155000,17749000,16886000,15688000,15904000,36077000,29632000
75,Deferred Income Tax,- -,- -,2045000,484000,3299000,-1700000,-2388000,-957000,-249000,-2165000,-3541000,2513000,-8490000,-3793000,-4050000,-5394000,27928000,- -,-2812000,- -,345000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4702000,5894000,6279000,6492000,6224000,5721000,4265000,4904000,2945000,1815000,1390000,2077000,1733000
77,Change in Working Capital,- -,-4574000,-31054000,-14663000,35852000,7205000,-39826000,33261000,23763000,-18396000,-19502000,35660000,6767000,5442000,-15789000,-13634000,55826000,-6952000,-36104000,-3073000,37279000,7449000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1258000,-2701000,-11443000,8202000,-2976000,-2695000,-1483000,-13749000,8483000
79,Inventory,- -,- -,- -,-108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-1859000,2705000,1855000,-4759000,3858000,2942000,7020000,1790000
81,Other Working Capital,21051000,16477000,-14577000,-29240000,6612000,13817000,-26009000,7252000,31015000,12619000,-6883000,28777000,35544000,40986000,25197000,11563000,67389000,60437000,24333000,21260000,58539000,16954000
82,Other Non-Cash Items,32333000,9781000,34843000,23834000,-29122000,16662000,46037000,-26986000,-28241000,35709000,35914000,-38460000,-19111000,-7106000,18663000,12999000,-51327000,-14729000,40617000,15393000,-72754000,1790000
83,Cash Provided by Operating Activities,- -,- -,20471000,36416000,47661000,67763000,45414000,39633000,21094000,49151000,67481000,58072000,18509000,26733000,27056000,8242000,7384000,-9978000,-13478000,21746000,11032000,55185000
84,CAPEX,- -,- -,-11772000,-11977000,-16975000,-45839000,-46136000,-46580000,-17705000,-28524000,-37196000,-29098000,-11342000,-9352000,-12024000,-29483000,-8070000,-8765000,-20931000,-6453000,-9262000,-61586000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000,464000,-2025000,390000,291000,267000,261000,277000
86,Purchases of Investments,- -,- -,- -,- -,- -,-32002000,- -,- -,- -,-31629000,-41570000,-89538000,-96503000,-111848000,-61729000,-26061000,- -,-52368000,-894000,- -,-69678000,- -
87,Sales/Maturities of Investments,- -,- -,123000,- -,- -,16167000,16260000,- -,- -,3067000,36641000,64585000,90640000,104094000,63892000,51792000,27709000,6312000,48641000,- -,31289000,37651000
88,Other Investing Activites,- -,- -,5869000,323000,36000,194000,3000,40192000,30689000,36000,5000,64000,621000,-3655000,91000,157000,-842000,1685000,592000,34000,1630000,707000
89,Cash Used for Investing Activites,- -,- -,-5780000,-11654000,-16939000,-61480000,-29873000,-6388000,12984000,-57050000,-42120000,-53987000,-16584000,-20761000,-9202000,-2678000,17347000,-52171000,28024000,-6152000,-45760000,-22951000
90,Debt Repayment,- -,- -,-63352000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-613000,-663000,-736000,-913000,-1107000,-1319000,- -,-383000
91,Common Stock Issued,- -,- -,- -,- -,60290000,3396000,3082000,861000,497000,878000,4083000,1269000,550000,525000,- -,- -,- -,- -,- -,- -,49153000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-12946000,- -,-30029000,- -,-29542000,-16935000,- -,- -,-1849000,-5422000,-1423000,-6619000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-5000000,-12558000,- -,- -,- -,- -,- -,-36333000,- -,-7425000,-9820000,-9875000,-7310000,-2881000,-5250000,-5250000,-5250000,-5363000,-5250000
94,Other Financing Activites,- -,- -,58862000,-24391000,-31831000,-236000,792000,57000,251000,-723000,-336000,-658000,-1206000,-1263000,-1554000,-519000,68493000,-595000,-223000,-629000,-698000,30457000
95,Cash Used/Provided by Financing Activities,- -,- -,-4490000,-29391000,2955000,3160000,-26155000,918000,-28794000,-16780000,-32586000,611000,-9930000,-15980000,-13465000,-15111000,64876000,-6758000,-6580000,-7198000,43092000,24824000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,10201000,-4629000,33677000,9443000,-10614000,34163000,5284000,-24679000,-7225000,4696000,-8005000,-10008000,4389000,-9547000,89607000,-68907000,7966000,8396000,8364000,57058000
98,Cash at the End of Period,- -,- -,13554000,8925000,42602000,52045000,41431000,75594000,80878000,56199000,48974000,53670000,45665000,35657000,38985000,29438000,119045000,50138000,58104000,80555000,88919000,145977000
99,Cash at the Beginning of Period,- -,- -,3353000,13554000,8925000,42602000,52045000,41431000,75594000,80878000,56199000,48974000,53670000,45665000,34596000,38985000,29438000,119045000,50138000,72159000,80555000,88919000
100,Free Cash Flow,- -,- -,8699000,24439000,30686000,21924000,-722000,-6947000,3389000,20627000,30285000,28974000,7167000,17381000,15032000,-21241000,-686000,-18743000,-34409000,15293000,1770000,-6401000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1261654/000095015304002536/0000950153-04-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015305003145/0000950153-05-003145-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015306003008/0000950153-06-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015307002493/0000950153-07-002493-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095015308002001/0000950153-08-002001-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095012309067125/0000950123-09-067125-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000095012310109850/0000950123-10-109850-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000119312511324755/0001193125-11-324755-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000119312512482479/0001193125-12-482479-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165413000036/0001261654-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165414000047/0001261654-14-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165415000042/0001261654-15-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165416000085/0001261654-16-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165417000046/0001261654-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165418000042/0001261654-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165419000060/0001261654-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165420000071/0001261654-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1261654/000126165421000073/0001261654-21-000073-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
