,https://roic.ai/company/VISL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,2132000,5129000,1340000,528000,- -,- -,2916000,4070000,777000,2722000,14753000,13050000,7674000,5986,11894
36,Other Current Assets,- -,79000,113000,200000,190000,47000,41000,16000,49000,411000,15000,111000,626000,780000,660000,814,2470
37,Total Current Assets,3558000,8095000,35224000,31356000,27072000,687000,177000,287000,10620000,5941000,1801000,13256000,26515000,22026000,16785000,16515,59664
38,PP&E,58000,75000,546000,1457000,1024000,718000,542000,1725000,806000,816000,792000,771000,3237000,2096000,3897000,1138,2535
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,-60000,-94000,-139000,-981000,-3319000,-6324000,- -,17608000,18196000,16382000,11903000,5872000,6894000,4691000,2922000,1921,5921
41,Intangible Assets,13374000,15240000,21692000,35714000,44432000,28966000,33058000,17608000,18196000,16382000,11903000,5872000,6894000,4691000,2922000,1921,5921
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,3479000,8016000,32718000,15830000,5141000,91000,133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-3479000,-8016000,-32718000,-15830000,-5141000,-91000,-133000,- -,- -,- -,2078000,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,13432000,15315000,22238000,37171000,45456000,29684000,33600000,19333000,19002000,17198000,14773000,6643000,10131000,6787000,6819000,3059,8456
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16990000,23410000,57462000,68527000,72528000,30371000,33777000,19620000,29622000,23139000,16574000,19899000,36646000,28813000,23604000,19574,68120
48,Accounts Payable,76000,772000,1525000,2977000,1293000,487000,686000,655000,1841000,868000,1196000,1606000,10918000,7072000,6784000,4104,3075
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,17198000,129000,123000,835000,58000,2018000,400000,1160000,1405000,659
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,480000,480000,149000,186000,634000,1574000,2821000,975,2113
52,Other Current Liabilities,- -,- -,137000,480000,538000,2746000,242000,5654000,2638000,2933000,1997000,3361000,5419000,3591000,2447000,-1401233,3155
53,Total Current Liabilities,76000,772000,1662000,3457000,1831000,3233000,928000,23507000,5088000,4404000,4177000,5211000,18989000,12637000,13212000,8846,9002
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,- -,5886000,- -,- -,1507
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,978
57,Other Non-Current Liabilities,- -,- -,2000000,2000000,- -,- -,- -,- -,118000,378000,106000,49000,30000,- -,1163000,1808,- -
58,Total Non-Current Liabilities,- -,- -,2000000,2000000,- -,- -,- -,2000000,2118000,2378000,2106000,2049000,30000,5886000,1163000,1808,2485
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,247000,123000,160000,107000,48000,- -,1984000,2020000,- -
61,Total Liabilities,76000,772000,1662000,3457000,1831000,3233000,928000,25507000,7206000,6782000,6283000,7260000,19019000,18523000,14375000,10654,11487
62,Preferred Stock,- -,- -,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20997000,1224000,1290000,1318000,1374000,1521000,2106000,2115000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-6214000,-17475000,-29337000,-26007000,-5332000,-53601000,-66653000,-124112000,-151562000,-170540000,-188397000,-209299000,-219845000,-234525000,-252572000,148,-286529
65,Other Comprehensive Income/Loss,2131000,9526000,16385000,21170000,4500000,4210000,8049000,-2731000,-1827000,-2114000,-2365000,-3869000,354000,275000,207000,148000,-297
66,Other Total Stockholders Equity,- -,29363000,65462000,66589000,70155000,75008000,89347000,118841000,175805000,189011000,201053000,225807000,243172000,249755000,264517000,9849,343459
67,Total Stockholders Equity,16914000,22638000,55800000,65070000,70697000,27138000,32849000,-5887000,22416000,16357000,10291000,12639000,17627000,10290000,9229000,9997000,56633
68,Total Liabilities And Stockholders Equity,16990000,23410000,57462000,68527000,72528000,30371000,33777000,19620000,29622000,23139000,16574000,19899000,36646000,28813000,23604000,10007654,68120
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9988080,- -
70,Total Liabilities & Equity,16990000,23410000,57462000,68527000,72528000,30371000,33777000,19620000,29622000,23139000,16574000,19899000,36646000,28813000,23604000,19574,68120
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1565228/000114420414013818/v369290-10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420415020105/v401857_10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420416094443/v435325_10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420417018162/0001144204-17-018162-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000114420418018715/0001144204-18-018715-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315219004520/0001493152-19-004520-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315220005537/0001493152-20-005537-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315221008926/0001493152-21-008926-index.htm,https://www.sec.gov/Archives/edgar/data/1565228/000149315222008597/0001493152-22-008597-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-3436000,-11261000,-12015000,1992000,-1589000,-49261000,-15407000,-13787000,-27450000,-18978000,-17857000,-20902000,-10546000,-14873000,-18047000,-17575000,-16392000
74,Depreciation and Amortization,58000,102000,111000,1022000,2698000,3365000,- -,2063000,2370000,3871000,4830000,5561000,4398000,2953000,3248000,522,237000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,978000
76,Stock Based Compensation,1653000,7395000,7061000,6257000,1094000,648000,2388000,554000,796000,625000,530000,369000,2209000,3728000,2069000,715,3863000
77,Change in Working Capital,-77000,3841000,26239000,-5663000,-2658000,-27787000,1795000,-22469000,28752000,-3995000,-3913000,10421000,-519000,1863000,-5816000,-3565331,42993
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-804000,-185000,-336000,-683000,-1073000,1811000,-867000,1539,-3611000
79,Inventory,- -,- -,-2132000,-2997000,3789000,812000,528000,- -,-2621000,-1676000,354000,1045000,2015000,775000,841000,415,843000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-32000,1186000,-973000,328000,139000,2996000,-3365000,-623000,-2747000,-2388000
81,Other Working Capital,3482000,7323000,33562000,27899000,25241000,-2546000,-751000,-23220000,5532000,1537000,-2376000,8045000,7526000,9389000,3573000,7669,50662
82,Other Non-Cash Items,-15000,-3257000,-29020000,-6098000,-5477000,65999000,-526000,28078000,-18863000,3858000,8717000,-3525000,-27000,-50000,10191000,21124740,1670007
83,Cash Provided by Operating Activities,-1817000,-3180000,-7624000,-2490000,-5932000,-7036000,-11750000,-5561000,-14395000,-14619000,-7693000,-8076000,-4485000,-6379000,-8355000,-14354,-9601000
84,CAPEX,-1295000,-1985000,-7034000,-15955000,-11118000,-3752000,-6939000,-5006000,-2896000,-1905000,-2226000,-12000,-374000,-69000,-401000,-258,-201000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000,-6500000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-85000,112000,1256000,536000,239000,28000,1000,-4491000,-2896000,-1905000,-2226000,- -,- -,250000,-24000,- -,-17346000
89,Cash Used for Investing Activites,-1380000,-1873000,-5778000,-15419000,-10879000,-3724000,-6938000,-5006000,-2896000,-1905000,-2226000,-35000,-6874000,181000,-425000,-258,-17547000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-248000,-123000,-858000,-1274000,-2883000,-132000,-5993000,- -,- -
91,Common Stock Issued,5628000,9590000,79000,1021000,5122000,1500000,14891000,400000,17340000,11224000,4976000,- -,- -,- -,15983000,11,2000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-10000,-12000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,38025000,- -,1000000,4210000,3849000,10317000,5445000,664000,5411000,18071000,7924000,5567000,-1471000,17987,58310000
95,Cash Used/Provided by Financing Activities,5628000,9590000,38104000,1021000,6122000,5710000,18730000,10705000,22537000,11765000,9529000,16797000,5041000,5435000,8519000,17998,58312000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,-31000,-7000,67,-123000
97,Net Change In Cash,2431000,4537000,24702000,-16888000,-10689000,-5050000,42000,138000,5246000,-4759000,-390000,8686000,-6255000,-794000,-268000,3453,36225810
98,Cash at the End of Period,3479000,8016000,32718000,15830000,5141000,91000,133000,271000,5517000,758000,368000,9054000,2799000,2005000,1737000,5190,36231000
99,Cash at the Beginning of Period,1048000,3479000,8016000,32718000,15830000,5141000,91000,133000,271000,5517000,758000,368000,9054000,2799000,2005000,1737,5190
100,Free Cash Flow,-3112000,-5165000,-14658000,-18445000,-17050000,-10788000,-18689000,-10567000,-17291000,-16524000,-9919000,-8088000,-4859000,-6448000,-8756000,-14612,-9802000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1565228/000114420414013818/v369290-10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420415020105/v401857_10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420416094443/v435325_10k.htm,https://www.sec.gov/Archives/edgar/data/1565228/000114420417018162/0001144204-17-018162-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000114420418018715/0001144204-18-018715-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315219004520/0001493152-19-004520-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315220005537/0001493152-20-005537-index.html,https://www.sec.gov/Archives/edgar/data/1565228/000149315221008926/0001493152-21-008926-index.htm,https://www.sec.gov/Archives/edgar/data/1565228/000149315222008597/0001493152-22-008597-index.htm
102,false,,,,,,,,,,,,,,,,,
