,https://roic.ai/company/VNRX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93314/000107878213000597/0001078782-13-000597-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878214000481/0001078782-14-000481-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000107878215000395/0001078782-15-000395-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000107878216002414/0001078782-16-002414-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878217000302/0001078782-17-000302-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878218000250/0001078782-18-000250-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878219000220/0001078782-19-000220-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878220000134/0001078782-20-000134-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878221000262/0001078782-21-000262-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000147793222001740/0001477932-22-001740-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,68,- -,- -,4338,- -,- -,- -,347892,380000,890000,2138960,5916010,21678730,10116260,13427220,16966170,- -,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,68,- -,- -,4338,- -,- -,- -,347892,380000,890000,2138960,5916010,21678730,10116260,13427220,16966170,- -,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,351582,320000,120000,196760,306650,332820,450960,475200,590110,- -,- -
37,Total Current Assets,- -,68,- -,- -,4338,- -,- -,- -,699474,700000,1010000,2335720,6222660,22011550,10567220,13902420,17556280,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,22969,90000,60000,288590,783810,2119030,3480780,3119640,3362710,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1522811,1430000,1000000,808730,705380,602190,576400,466910,372310,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1522811,1430000,1000000,808730,705380,602190,576400,466910,372310,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,-10,- -,- -,- -,-10,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1545780,1520000,1060000,1097310,1489180,2721220,4057180,3586550,3735010,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,68,- -,- -,4338,- -,- -,- -,2245254,2220000,2070000,3433030,7711840,24732770,14624400,17488970,21291290,- -,- -
48,Accounts Payable,- -,64102,70000,60000,80000,100000,110000,110000,255519,- -,- -,- -,- -,281180,351740,807160,627250,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,52860,- -,- -,81338,149671,582992,561703,1002759,1080873,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216894,191512,219360,45510,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,278845,697140,743106,2521568,818952,1557139,1355748,964327,2229861,- -,- -
53,Total Current Liabilities,- -,64102,70000,60000,80000,100000,110000,110000,534364,750000,960000,2713080,1119650,2033500,2290480,2333190,3859870,1080873,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,640000,430000,351770,547870,1524160,2376050,3015320,3100980,3448204,3068622000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,621935,-10000,- -,- -,- -,- -,- -,- -,131880,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,621935,630000,430000,351770,547870,1524160,2376050,3015320,3232860,3448204,3068622000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381201,1008826,1013768,865163,1094773,993349,- -
61,Total Liabilities,- -,64102,70000,60000,80000,100000,110000,110000,1156299,1380000,1390000,3064850,1667520,3557660,4666530,5348510,7092730,- -,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1295,- -,- -,- -,- -,- -,- -,8646,10000,10000,14690,18760,26130,26520,35340,41130,- -,- -
64,Retained Earnings,- -,-92284,-110000,-140000,-170000,-190000,-210000,-220000,-3502583,-7590000,-11300000,-19509450,-29039690,-40944970,-55714180,-73722800,-89821860,- -,32000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,4638,-34276,-59795,-103832,-84171,-193297,-129343,223651,125670,-59978,- -
66,Other Total Stockholders Equity,- -,26955,40000,80000,90000,90000,100000,110000,- -,8448071,12030469,19966771,35149420,62287247,65774871,85604265,103853626,- -,- -
67,Total Stockholders Equity,- -,-64034,-72939,-56226,-78321,-95924,-107540,-114287,1088955,833795,680674,368179,6044319,21175110,9957868,12140456,14198566,16340897,- -
68,Total Liabilities And Stockholders Equity,- -,68,-2939,3774,1679,4076,2460,-4287,2245254,2213795,2070674,3433029,7711839,24732770,14624398,17488966,21291296,- -,- -
69,Minority Interest,- -,- -,2939,-3774,2659,-4076,-2460,4287,- -,6205,-674,1,1,- -,2,4,-6,- -,- -
70,Total Liabilities & Equity,- -,68,- -,- -,4338,- -,- -,- -,2245254,2220000,2070000,3433030,7711840,24732770,14624400,17488970,21291290,- -,- -
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93314/000107878213000597/0001078782-13-000597-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878214000481/0001078782-14-000481-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000107878215000395/0001078782-15-000395-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000107878216002414/0001078782-16-002414-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878217000302/0001078782-17-000302-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878218000250/0001078782-18-000250-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878219000220/0001078782-19-000220-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878220000134/0001078782-20-000134-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878221000262/0001078782-21-000262-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000147793222001740/0001477932-22-001740-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-24180,-13105,-36987,-26295,-21803,-15816,-10947,-2608463,- -,-3710289,-8213530,-9530240,-11905280,-14769210,-18008620,-16099060,- -,- -
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,118617,135743,146396,142131,236340,309406,528166,636380,902412,1041373,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,858413,282012,767483,1493334,1678748,2435088,2570095,1458607,1725461,- -
77,Change in Working Capital,- -,24117,-5966,10000,-15662,-24338,-10000,- -,292420,-215110,100000,-427360,5480370,14875040,-11701310,3292490,2127180,-14777283,1080873
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7118,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,5866,2097,- -,- -,- -,- -,- -,- -,- -,- -,1105211,2052753,- -
81,Other Working Capital,- -,-64034,-70000,-60000,-75662,-100000,-110000,-110000,165110,-50000,50000,-377360,5103010,19978050,8276740,11569230,13696410,-1080873,- -
82,Other Non-Cash Items,- -,- -,19106,-23012,24646,86087,20066,6297,511361,-3093628,97675,3590451,-6446127,-14013607,11314028,-3223372,-1128594,-4453795,-1080873
83,Cash Provided by Operating Activities,- -,-63,35,-49999,-17311,39946,-5750,-4650,-1686065,-2314582,-3084206,-4140825,-8766323,-9055693,-12193238,-14733027,-12739455,-16464244,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-34865,-90685,-714,-302989,-352243,-415091,-1425215,-301805,-511266,-1941060,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-40966,- -,- -,- -,- -,- -,- -,-55000,- -,- -,- -,- -,293312,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-40966,- -,- -,-34865,-90685,-714,-302989,-352243,-415091,-1425215,-301805,-511266,-1647748,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-255807,-102560,-54396,- -,- -,-552534,-188017,-574297,-493048,-642806,- -
91,Common Stock Issued,- -,- -,- -,49500,- -,- -,- -,- -,1595906,2576375,2828250,5626945,12497621,25302274,998413,17245346,16591076,21196532,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54434,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,2653,19392,- -,5873,1694,676446,- -,819575,110821,384981,629616,1156558,1296038,831499,121545,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,52153,19392,- -,5873,1694,2016545,2473815,3593429,5737766,12882602,25379356,1966954,17967087,16929527,20620837,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,4796,-40019,3774,-43692,13006,-145844,89028,378704,-139860,-30276,- -
97,Net Change In Cash,- -,-63,35,2154,2081,-1020,123,-2956,300411,28529,512283,1250260,3777042,15762728,-11562471,3310959,3538946,2478569,- -
98,Cash at the End of Period,- -,68,103,2257,4338,3318,3441,485,347892,376421,888704,2138964,5916006,21678734,10116263,13427222,16966168,19444737,- -
99,Cash at the Beginning of Period,- -,131,68,103,2257,4338,3318,3441,47481,347892,376421,888704,2138964,5916006,21678734,10116263,13427222,16966168,19444737
100,Free Cash Flow,- -,-63,35,-49999,-17311,39946,-5750,-4650,-1720930,-2405267,-3084920,-4443814,-9118566,-9470784,-13618453,-15034832,-13250721,-18405304,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93314/000107878213000597/0001078782-13-000597-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878214000481/0001078782-14-000481-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000107878215000395/0001078782-15-000395-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000107878216002414/0001078782-16-002414-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878217000302/0001078782-17-000302-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878218000250/0001078782-18-000250-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878219000220/0001078782-19-000220-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878220000134/0001078782-20-000134-index.html,https://www.sec.gov/Archives/edgar/data/93314/000107878221000262/0001078782-21-000262-index.htm,https://www.sec.gov/Archives/edgar/data/93314/000147793222001740/0001477932-22-001740-index.htm
102,false,,,,,,,,,,,,,,,,,,,
