,https://roic.ai/company/ARCC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.29,1.78,1.61,1.37,-1.56,-2.91,3.91,1.56,2.21,1.83,1.94,1.20,1.51,1.57,2.01,1.86,1.14,3.70
27,Weighted Average Shares Outstanding,11066767,23487935,43156462,66410968,89666243,178994000,176732000,204860000,230151000,266939000,305287000,314375000,314000000,425000000,426000000,427000000,424000000,424000000
28,Weighted Average Shares Outstanding Diluted,11066767,23487935,43156462,66410968,89666243,178994000,176732000,204860000,230151000,266939000,305287000,314375000,314000000,425000000,426000000,427000000,424000000,424000000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1287750/000110465906012366/0001104659-06-012366-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1287750/000104746909002049/0001047469-09-002049-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746910001312/0001047469-10-001312-index.html,- -,https://www.sec.gov/Archives/edgar/data/1287750/000104746912001679/0001047469-12-001679-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746913001751/0001047469-13-001751-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746914001349/0001047469-14-001349-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000104746915001240/0001047469-15-001240-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000104746916010353/0001047469-16-010353-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746917000808/0001047469-17-000808-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775018000007/0001287750-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775019000004/0001287750-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775020000008/0001287750-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000128775021000005/0001287750-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000128775022000007/0001287750-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26806160,16613334,91538878,21142004,89383000,99227000,100752000,120782000,269043000,149629000,194555000,257056000,223000000,316000000,296000000,176000000,254000000,372000000
32,Short-Term Investments,- -,- -,1235821836,1774201841,- -,381020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26806160,16613334,1327360714,1795343845,89383000,480247000,100752000,120782000,269043000,149629000,194555000,257056000,223000000,316000000,296000000,176000000,254000000,372000000
34,Net Receivables,9934973,7409850,11147157,25073078,17550000,28019000,81424000,99628000,109129000,252547000,161840000,137968000,141000000,94000000,103000000,131000000,223000000,222000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-381020000,- -,72521000,- -,- -,- -,- -,- -,- -,- -,-131000000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,106933000,127246000,182176000,292931000,- -,- -,- -,- -,- -,- -,- -,176000000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,38000000,27000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,182560147,585968375,1235821836,1774201841,1972977000,2171814000,4317990000,5094506000,5924555000,7632897000,9028379000,9055496000,8820000000,11841000000,12417000000,14426000000,15515000000,20009000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,11423000,14455000,62380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,1984400000,2186269000,4380370000,5094506000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,220455614,613645144,1347990954,1829404737,- -,- -,- -,- -,6401224000,8141504000,9497773000,9531356000,9245000000,12347000000,12895000000,14729000000,16196000000,20843000000
47,Total Assets,220455614,613645144,1347990954,1829404737,2091333000,2313515000,4562546000,5387437000,6401224000,8141504000,9497773000,9531356000,9245000000,12347000000,12895000000,14905000000,16196000000,20843000000
48,Accounts Payable,1927279,10668720,74512964,5516257,10006000,17022000,34742000,47404000,85421000,111577000,129030000,111921000,102000000,245000000,188000000,186000000,202000000,427000000
49,Short-Term Debt,55500000,18000000,482000000,681528056,114300000,474144000,538308000,463000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,77662000,69140000,98762000,119166000,- -,139423000,160546000,107624000,104000000,150000000,193000000,281000000,- -,- -
53,Total Current Liabilities,57427279,28668720,556512964,687044313,201968000,560306000,671812000,629570000,- -,251000000,289576000,219545000,206000000,395000000,381000000,467000000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,794486000,495321000,840201000,1610602000,- -,- -,- -,- -,- -,- -,- -,- -,8550000000,11137000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2986000000,3924482000,4113935000,3874000000,4854000000,5214000000,6971000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,794486000,495321000,840201000,1610602000,- -,2986000000,3924482000,4113935000,3874000000,4854000000,5214000000,6971000000,8550000000,11137000000
59,Other Liabilities,3320030,15364225,2044586,17810501,- -,- -,- -,- -,2412878000,5972060000,- -,8252414000,- -,- -,- -,- -,17570000000,23112000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,60747309,44032945,558557550,704854814,996454000,1055627000,1512013000,2240172000,2412878000,3237060000,4214058000,4358024000,4080000000,5249000000,5595000000,7438000000,9020000000,11975000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11067,37910,52037,72683,97000,110000,204000,205000,249000,298000,314000,314000,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-136415,- -,7038469,7004815,-7637000,3143000,-11336000,-10449000,-27910000,-8785000,-32846000,-894000,37000000,-81000000,127000000,-293000000,-480000000,315000000
65,Other Comprehensive Income/Loss,230947,10381735,-2849675,-19126329,-293539000,-235823000,-143661000,-232845000,-129000000,-78000000,-45000000,-145000000,-127000000,-94000000,127000000,-293000000,- -,- -
66,Other Total Stockholders Equity,159602706,559192554,785192573,1136598754,1395958000,1490458000,3205326000,3390354000,4145007000,4990931000,5361247000,5318912000,5255000000,7273000000,7046000000,8053000000,- -,- -
67,Total Stockholders Equity,159708305,569612199,789433404,1124549923,1094879000,1257888000,3050533000,3147265000,3988346000,4904444000,5283715000,5173332000,5165000000,7098000000,7300000000,7467000000,7176000000,8868000000
68,Total Liabilities And Stockholders Equity,220455614,613645144,1347990954,1829404737,2091333000,2313515000,4562546000,5387437000,6401224000,8141504000,9497773000,9531356000,9245000000,12347000000,12895000000,14905000000,16196000000,20843000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,220455614,613645144,1347990954,1829404737,2091333000,2313515000,4562546000,5387437000,6401224000,8141504000,9497773000,9531356000,9245000000,12347000000,12895000000,14905000000,16196000000,20843000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1287750/000110465906012366/0001104659-06-012366-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1287750/000104746909002049/0001047469-09-002049-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746910001312/0001047469-10-001312-index.html,- -,https://www.sec.gov/Archives/edgar/data/1287750/000104746912001679/0001047469-12-001679-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746913001751/0001047469-13-001751-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746914001349/0001047469-14-001349-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000104746915001240/0001047469-15-001240-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000104746916010353/0001047469-16-010353-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746917000808/0001047469-17-000808-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775018000007/0001287750-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775019000004/0001287750-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775020000008/0001287750-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000128775021000005/0001287750-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000128775022000007/0001287750-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,3200000,41900000,69700000,90800000,-139500000,202700000,691800000,319500000,508200000,488500000,590949000,378670000,474000000,667000000,858000000,793000000,484000000,1567000000
74,Depreciation and Amortization,- -,- -,258563,410328,503000,672000,923000,876000,829000,802000,805000,734000,1000000,1000000,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,369453,- -,- -,- -,-95035000,-338025000,-56576000,152997000,336639000,-251000000,-38576000,70031000,13545000,-189000000,14000000,90000000,291000000,208000000
78,Accounts Receivable,- -,- -,-6629380,-600645782,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,11388830,-207410,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-95035000,-433060000,-489636000,-336639000,- -,-251000000,-289576000,-219545000,-206000000,-395000000,-381000000,-291000000,- -,- -
82,Other Non-Cash Items,-191322917,-391872397,-588220741,-605366373,-74975000,146910000,-1292638000,-870287000,-1096600000,-1535905000,-1211725000,-89051000,218455000,-2527000000,-568000000,-2093000000,-1332000000,-4234000000
83,Cash Provided by Operating Activities,-187753464,-349972397,-518262178,-514156045,-309007000,12257000,-656491000,-396914000,-250932000,-1297603000,-658547000,360384000,707000000,-2048000000,304000000,-1210000000,-557000000,-2459000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-243860004,-498798732,- -,-1311301216,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,243860004,498798732,- -,1311301216,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,-778223,-2817442,-513000000,-513000000,-721200000,-392136000,-2154884000,-1738632000,-3091531000,-5654000000,-3955423000,-3697750000,-10104000000,-11228000000,-6241000000,-11422000000,-6737000000,-16829000000
91,Common Stock Issued,- -,- -,211752663,344165772,259801000,109086000,1330577000,- -,679981000,833476000,257667000,- -,- -,1839000000,- -,64000000,4000000,819000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1685000,-5000000,- -,- -,- -,-100000000,- -
93,Dividends Paid,- -,-17303309,-74516005,-99881717,-109214000,-189574000,-229765000,-277150000,-357332000,-411453000,-464373000,-487368000,-477000000,-642000000,-656000000,-694000000,-679000000,-694000000
94,Other Financing Activites,215336347,359900322,968951064,712475116,947861000,470211000,1712088000,2432726000,3168075000,6410166000,4865602000,3888920000,9845000000,12172000000,6573000000,13142000000,8219000000,19323000000
95,Cash Used/Provided by Financing Activities,214558124,339779571,593187722,443759171,377248000,-2413000,658016000,416944000,399193000,1178189000,703473000,-297883000,-741000000,2141000000,-324000000,1090000000,707000000,2619000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,26804660,-10192826,74925544,-70396874,68241000,9844000,1525000,20030000,148261000,-119414000,44926000,62501000,-34000000,93000000,-20000000,-120000000,150000000,160000000
98,Cash at the End of Period,26806160,16613334,91538878,21142004,89383000,99227000,100752000,120782000,269043000,149629000,194555000,257056000,223000000,316000000,296000000,176000000,326000000,486000000
99,Cash at the Beginning of Period,1500,26806160,16613334,91538878,21142000,89383000,99227000,100752000,120782000,269043000,149629000,194555000,257000000,223000000,316000000,296000000,176000000,326000000
100,Free Cash Flow,-187753464,-349972397,-518262178,-514156045,-309007000,12257000,-656491000,-396914000,-250932000,-1297603000,-658547000,360384000,707000000,-2048000000,304000000,-1210000000,-557000000,-2459000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1287750/000110465906012366/0001104659-06-012366-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1287750/000104746909002049/0001047469-09-002049-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746910001312/0001047469-10-001312-index.html,- -,https://www.sec.gov/Archives/edgar/data/1287750/000104746912001679/0001047469-12-001679-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746913001751/0001047469-13-001751-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746914001349/0001047469-14-001349-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000104746915001240/0001047469-15-001240-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000104746916010353/0001047469-16-010353-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000104746917000808/0001047469-17-000808-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775018000007/0001287750-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775019000004/0001287750-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1287750/000128775020000008/0001287750-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000128775021000005/0001287750-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1287750/000128775022000007/0001287750-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,
