,https://roic.ai/company/VBIV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-83884,- -,-159420,- -,- -,- -,- -,- -,- -,- -,-129000,-1780000,-431000,- -,- -,- -,- -
23,Net Income,- -,-217407,-352237,-198810,-68845,-187674,-563353,-89907,-137070,-51381,-343483,-205287,-558396,-261996,-716983,-18852836,-13154958,-6653405,-4594255,-14755000,-23205000,-38995000,-63600000,-54813000,-46230000,-69753000
24,Net Income ratio,- -,-3.0000,-5.0000,-3.0000,-1.0000,-295773.8912,-1107.8816,-182.0193,-1728.1635,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.4503,-42.3449,-45.0809,-18.9568,-24.6794,-43.5721,-110.5436
25,EPS,- -,-0.87,-1.13,-0.80,-0.28,-0.51,-1.50,-0.27,-0.31,-0.09,-0.69,-0.35,-0.39,-0.40,-0.39,-9.47,-2.81,-1.18,-1.09,-1.20,-0.77,-0.88,-0.97,-0.46,-0.21,-0.27
26,EPS Diluted,- -,-0.87,-1.13,-0.80,-0.28,-0.51,-1.50,-0.27,-0.31,-0.09,-0.69,-0.35,-0.39,-0.40,-0.39,-9.47,-2.81,-1.18,-1.09,-1.20,-0.77,-0.88,-0.97,-0.46,-0.21,-0.27
27,Weighted Average Shares Outstanding,- -,250000,312500,250000,250000,369718,374372,329910,452119,545964,649125,942765,1090516,1134106,1408796,1967235,4856727,4995271,4996360,12647348,30043501,44158692,65647781,119446377,218268979,254947202
28,Weighted Average Shares Outstanding Diluted,- -,250000,312500,250000,250000,369718,374372,329910,452119,545964,649125,942765,1090516,1134106,1408796,1967235,4856727,4995271,4996360,12647348,30043501,44158692,65647781,119446377,218268979,254947202
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764195/000100127707000160/0001001277-07-000160-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764195/000147793214003376/0001477932-14-003376-index.html,- -,https://www.sec.gov/Archives/edgar/data/764195/000149315217002629/0001493152-17-002629-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315218002611/0001493152-18-002611-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315219002481/0001493152-19-002481-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315220003413/0001493152-20-003413-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315221005171/0001493152-21-005171-index.htm,https://www.sec.gov/Archives/edgar/data/764195/000149315222006140/0001493152-22-006140-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,144938,- -,- -,- -,648,2124,74495,201388,19334,628606,544902,215030,234209,1982488,20424481,37659682,48466179,37711715,12476000,32282000,67694000,59270000,44213000,93825000,121694000
32,Short-Term Investments,- -,- -,- -,- -,- -,5338,5274,4396,4921,32613,33841,25549,30181,10055,23426,24000,20533279,3909,263,104000,- -,- -,- -,- -,25276000,- -
33,Cash and Short-Term Investments,- -,144938,- -,- -,- -,5986,7399,78891,206309,51947,662447,570451,245210,244265,2005913,20448481,58192961,48470088,37711979,12580000,32282000,67694000,59270000,44213000,119101000,121694000
34,Net Receivables,- -,- -,70447,- -,- -,14537,4403,1546,7676,120648,132307,23025,41937,99598,27577,565637,648402,45904,39363,158000,10000,143000,56000,201000,7907000,1446000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316000,830000,788000,911000,1075000,2152000,2576000
36,Other Current Assets,- -,72469,- -,- -,- -,- -,- -,0,0,188763,1453,10741,5406,- -,- -,48087,49887,50591,47417,468000,1236000,1801000,1494000,1474000,2881000,4568000
37,Total Current Assets,- -,217407,70447,- -,- -,20523,11801,80436,213985,361358,796207,604217,292553,343862,2033490,21062204,58891250,48566583,37798759,14522000,34358000,70426000,61731000,46963000,132041000,130284000
38,PP&E,- -,797159,634026,662699,619604,473784,7155,8013,9766,1951,2520,3729,1330801,1035603,3006048,186601112,124941936,124562768,116584249,1750000,1850000,2245000,8525000,11654000,12275000,14381000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8385000,8974000,8265000,2208000,2261000,2261000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13183000,59507000,63336000,58249000,60756000,62156000,62091000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13183000,67892000,72310000,66514000,62964000,64417000,64352000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,72469,70447,-66270,- -,41113,34415,36965,76040,288818,510347,906990,30426,30247,79596,39815,1451082,2487629,2790259,96000,654000,675000,835000,620000,639000,1259000
45,Total Non-Current Assets,- -,869628,704473,596429,619604,514897,41570,44979,85806,290769,512868,910719,1361226,1065850,3085644,186640928,126393018,127050397,119374508,15029000,70396000,75230000,75874000,75238000,77331000,79992000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1087035,774921,596429,619604,535421,53371,125415,299791,652127,1309074,1514937,1653779,1409713,5119134,207703132,185284268,175616980,157173267,29551000,104754000,145656000,137605000,122201000,209372000,210276000
48,Accounts Payable,- -,- -,70447,132540,206535,46078,133181,194739,54697,81032,66222,51547,118689,- -,68474,651892,389545,159896,174931,408000,2018000,1810000,6055000,1127000,3734000,4280000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,164905,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1100000,15487000,944000,839000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583000,34000,- -,2375000,882000,255000,526000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,179042,90121,75058,160818,136268,234605,320453,80142,73880,938000,5562000,9826000,13847000,12261000,12415000,26941000
53,Total Current Liabilities,- -,- -,70447,132540,206535,46078,133181,194739,54697,245936,245264,141669,193747,160818,204742,886497,709998,240037,248811,2929000,7614000,13236000,23377000,29757000,17348000,32586000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,122979,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11956000,11538000,12927000,- -,16329000,30957000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1578000,669000,669000,2797000,2909000,2849000,2277000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48639535,- -,- -,- -,- -,428000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,356000,426000,371000,1280000,1141000,574000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,122979,- -,- -,- -,- -,- -,- -,48639535,- -,- -,- -,1630000,13409000,12633000,16095000,4189000,20319000,33808000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1459000,1563000,3355000
61,Total Liabilities,- -,- -,70447,132540,206535,46078,133181,194739,177677,245936,245264,141669,193747,160818,204742,49526031,709998,240037,248811,4559000,21023000,25869000,39472000,33946000,37667000,66394000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18168679,- -,- -,- -,226708758,208674687,45779000,133312000,201806000,246417000,284965000,403528000,442235000
64,Retained Earnings,- -,-12899485,-12821416,-12259937,-12874000,-12028309,-12449123,-13617212,-15380180,-16722291,-17695478,-18113528,-20859344,-17265657,-22103430,-42036297,-63043693,-67271258,-65747126,-70335000,-104980000,-143975000,-207575000,-262388000,-308618000,-378371000
65,Other Comprehensive Income/Loss,- -,- -,- -,-66270,-68845,- -,-53667,-97085,-67187,-8267,682152,-23435,1547,-13286,-5487,-6325,16479991,15939442,13996894,-1015000,-3196000,1065000,-4158000,-752000,1265000,-1565000
66,Other Total Stockholders Equity,- -,13986521,13525889,12790097,13355914,12517652,12422981,13606912,15569482,17192182,18781788,19510231,22346545,359158,27023880,200225105,247649504,- -,- -,- -,58595000,60891000,63449000,66430000,75530000,- -
67,Total Stockholders Equity,- -,1087035,704473,463890,413070,489343,-79809,-69324,122115,406191,1063810,1373268,1460032,1248894,4914392,158177101,184574270,175376942,156924456,24992000,83731000,119787000,98133000,88255000,171705000,143882000
68,Total Liabilities And Stockholders Equity,- -,- -,774921,596429,619604,535421,53371,125415,299791,652127,1309074,1514937,1653779,1409713,5119134,207703132,185284268,175616980,157173267,29551000,104754000,145656000,137605000,122201000,209372000,210276000
69,Minority Interest,- -,1087035,- -,- -,- -,- -,-0,- -,- -,-0,- -,0,-0,- -,- -,0,- -,-0,-0,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1087035,774921,596429,619604,535421,53371,125415,299791,652127,1309074,1514937,1653779,1409713,5119134,207703132,185284268,175616980,157173267,29551000,104754000,145656000,137605000,122201000,209372000,210276000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764195/000100127707000160/0001001277-07-000160-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764195/000147793214003376/0001477932-14-003376-index.html,- -,https://www.sec.gov/Archives/edgar/data/764195/000149315217002629/0001493152-17-002629-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315218002611/0001493152-18-002611-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315219002481/0001493152-19-002481-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315220003413/0001493152-20-003413-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315221005171/0001493152-21-005171-index.htm,https://www.sec.gov/Archives/edgar/data/764195/000149315222006140/0001493152-22-006140-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-217407,-352237,-198810,-68845,-187674,-563353,-89907,-137070,-51381,-343483,-205287,-558396,-261996,-716983,-18852836,-13154958,-6653405,-4594255,-14755000,-23205000,-38995000,-63600000,-54813000,-46230000,-69753000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,601,709,1116,3097,674,698,904,645,971,5355,20135,34878,30464,1140000,606000,730000,542000,1204000,1652000,1835000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1780000,-431000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8203,233320,16055968,251658,1006354,93457,2127000,2521000,2410000,3312000,3935000,5287000,9628000
77,Change in Working Capital,- -,-217407,-217407,-132540,-73995,180980,-95825,7077,273590,-43866,435521,-88394,-363743,84238,1645704,18346959,38005544,-9854706,-10776598,-27655021,15151000,30446000,-18836000,-21148000,97487000,16277000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95792,-152586,-1513237,-476454,-503509,490000,113000,-127000,79000,-136000,130000,69000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512000,-93000,-89000,-378000,-385000,-1946000,-513000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119000,11000,-675000,3804000,-5175000,2059000,356000
81,Other Working Capital,- -,217407,- -,-132540,-206535,-25555,-121379,-114303,159288,115422,550943,462549,98806,183044,1828748,20175708,58181252,48326546,37549948,11593000,26744000,57190000,38354000,17206000,114693000,-328000
82,Other Non-Cash Items,- -,72469,428749,331350,142840,-126115,686345,54581,-437866,-93460,-285327,19569,403020,-43061,-1601050,-16637266,-39330391,9002913,10320671,30096021,-11810000,-25541000,33049000,22110000,-105246000,2105000
83,Cash Provided by Operating Activities,- -,-362345,-140895,- -,- -,-132808,27768,-27541,-300230,-185609,-192615,-273415,-518215,-211970,-438038,-1081819,-14208011,-6463966,-4926262,-9047000,-18517000,-31381000,-45533000,-48712000,-47050000,-39908000
84,CAPEX,- -,-72469,-70447,-66270,- -,-24792,-26228,-8008,-1912,- -,-220148,-403350,-285796,-55141,-1698263,-7791526,-89442,-2079764,-1960577,-549000,-585000,-640000,-5993000,-3673000,-1000000,-1995000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5328444,- -,- -,- -,- -,2126000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20525552,- -,- -,- -,- -,- -,- -,- -,-25000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4111,- -,- -,- -,- -,- -,- -,25151000
88,Other Investing Activites,- -,72469,- -,- -,- -,-311,-56,431,-39624,-233676,5188,10225,2720,-1039,- -,7146538,160367,- -,- -,23000,-41000,61000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-70447,-66270,- -,-25103,-26284,-7577,-41536,-233676,-214960,-393126,-283076,-56180,-1698263,4683456,-20454626,-2079764,-1956467,-526000,1500000,-579000,-5993000,-3673000,-26000000,23156000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1475000,-525000,- -,- -,- -,-15300000,- -
91,Common Stock Issued,- -,434814,- -,- -,- -,158629,- -,107305,336786,409093,130971,574720,405615,327077,3840117,14743316,52767459,34400,- -,- -,24109000,71905000,46558000,40250000,122185000,33293000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,122979,- -,690730,- -,- -,- -,- -,- -,- -,- -,- -,23112000,12899000,-4667000,-2941000,-2835000,15507000,11000000
95,Cash Used/Provided by Financing Activities,- -,434814,- -,- -,- -,158629,- -,107305,459765,409093,821701,574720,405615,327077,3840117,14743316,52767459,34400,- -,21637000,36483000,67238000,43617000,37415000,122392000,44293000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11436,171,-341460,-80846,-16382,19000,340000,134000,-515000,-87000,270000,328000
97,Net Change In Cash,- -,72469,- -,- -,- -,718,1483,72187,117999,-10192,414126,-91820,-395676,58926,1692380,18345124,17763362,-8590176,-6899110,12083000,19806000,35412000,-8424000,-15057000,49612000,27869000
98,Cash at the End of Period,- -,144938,- -,- -,- -,648,2124,74495,201388,208097,630059,544902,215030,234209,1982488,20424481,37659682,48466179,37711715,12476000,32282000,67694000,59270000,44213000,93825000,121694000
99,Cash at the Beginning of Period,- -,72469,140895,- -,- -,-70,641,2308,83390,218289,215933,636722,610705,175283,290108,2079357,19896320,57056356,44610825,393000,12476000,32282000,67694000,59270000,44213000,93825000
100,Free Cash Flow,- -,-434814,-211342,-66270,- -,-157600,1540,-35549,-302142,-185609,-412763,-676765,-804011,-267112,-2136301,-8873345,-14297453,-8543730,-6886839,-9596000,-19102000,-32021000,-51526000,-52385000,-48050000,-41903000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764195/000100127707000160/0001001277-07-000160-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764195/000147793214003376/0001477932-14-003376-index.html,- -,https://www.sec.gov/Archives/edgar/data/764195/000149315217002629/0001493152-17-002629-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315218002611/0001493152-18-002611-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315219002481/0001493152-19-002481-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315220003413/0001493152-20-003413-index.html,https://www.sec.gov/Archives/edgar/data/764195/000149315221005171/0001493152-21-005171-index.htm,https://www.sec.gov/Archives/edgar/data/764195/000149315222006140/0001493152-22-006140-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
