,https://roic.ai/company/SLCA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),-3259000,2329000,7162000,30651000,20761000,37183000,-11751000,-36689000,-8680000,-29132000,-99151000,-60025000,-2755000
23,Net Income,5539000,11392000,30253000,79154000,75256000,121540000,11868000,-41056000,145206000,-200808000,-329082000,-114094000,-33761000
24,Net Income ratio,0.0289,0.0465,0.1023,0.1791,0.1378,0.1386,0.0185,-0.0734,0.1170,-0.1273,-0.2232,-0.1349,-0.0306
25,EPS,0.11,0.23,0.61,1.50,1.42,2.26,0.22,-0.63,1.79,-2.63,-4.49,-1.55,-0.45
26,EPS Diluted,0.11,0.23,0.61,1.50,1.41,2.23,0.22,-0.63,1.77,-2.63,-4.49,-1.55,-0.45
27,Weighted Average Shares Outstanding,50000000,50000000,50000000,52662000,52997183,53719000,53344000,65037000,81051000,76453000,73253000,73634000,74350000
28,Weighted Average Shares Outstanding Diluted,50000000,50000000,50006000,52711000,53373050,54296000,53601000,65037000,81960000,76453000,73253000,73634000,74350000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524741/000119312513076838/0001193125-13-076838-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000119312514069687/d639815d10k.htm,https://www.sec.gov/Archives/edgar/data/1524741/000162828015001017/slca-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1524741/000162828016011647/0001628280-16-011647-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828017001655/0001628280-17-001655-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828018001983/0001628280-18-001983-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828019001568/0001628280-19-001568-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828020002217/0001628280-20-002217-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000152474121000012/0001524741-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1524741/000152474122000006/0001524741-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14474000,64500000,59199000,61022000,78256000,267281000,277077000,711225000,384567000,202498000,185740000,150920000,239425000
32,Short-Term Investments,- -,- -,- -,- -,74980000,75143000,21849000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14474000,64500000,59199000,61022000,153236000,342424000,298926000,711225000,384567000,202498000,185740000,150920000,239425000
34,Net Receivables,31761000,32194000,50495000,59564000,75207000,120881000,58706000,89006000,212586000,215486000,182238000,206934000,202759000
35,Inventory,23287000,22418000,29307000,39835000,64212000,66712000,65004000,78709000,92376000,162087000,124432000,104684000,115713000
36,Other Current Assets,6934000,7748000,36568000,16846000,28841000,32308000,16504000,14005000,13715000,20166000,16630000,23775000,18018000
37,Total Current Assets,76456000,126860000,175569000,177267000,321496000,562325000,439140000,892945000,703244000,600237000,509040000,486313000,575915000
38,PP&E,290835000,287595000,336788000,414218000,442116000,565755000,561196000,783313000,1169155000,1826303000,1570685000,1405561000,1300887000
39,Goodwill,68403000,68403000,68403000,68403000,68403000,68647000,68647000,240975000,272079000,261340000,273524000,185649000,185649000
40,Intangible Assets,18199000,17789000,17378000,16967000,16556000,21898000,20927000,140478000,150007000,194626000,183815000,159582000,150054000
41,Intangible Assets,86602000,86192000,85781000,85370000,84959000,90545000,89574000,381453000,422086000,455966000,457339000,345231000,335703000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10074000,7887000,7658000,9955000,14890000,19528000,18709000,15509000,12798000,18334000,16170000,9842000,7095000
45,Total Non-Current Assets,387511000,381674000,430227000,509543000,541965000,675828000,669479000,1180275000,1604039000,2300603000,2044194000,1760634000,1643685000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,463967000,508534000,605796000,686810000,863461000,1238153000,1108619000,2073220000,2307283000,2900840000,2553234000,2246947000,2219600000
48,Accounts Payable,9779000,12027000,36579000,37333000,37376000,85781000,49631000,70778000,148772000,178804000,181029000,90564000,134494000
49,Short-Term Debt,- -,- -,- -,7823000,8147000,8933000,3330000,4821000,4504000,13327000,18463000,59430000,32754000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5136000,5825000
51,Deferred Revenue,3802000,6512000,10393000,4855000,- -,26771000,15738000,13700000,36128000,31612000,15111000,13545000,4247000
52,Other Current Liabilities,9902000,14287000,23486000,30079000,18610000,24776000,15219000,20661000,24541000,37596000,120795000,31356000,34376000
53,Total Current Liabilities,23483000,32826000,70458000,80090000,64133000,146261000,83918000,109960000,213945000,261339000,335398000,194895000,205871000
54,Long-Term Debt,177622000,251932000,270425000,252992000,367963000,497579000,488375000,508417000,506732000,1246428000,1213985000,1274021000,1268265000
55,Deferred Revenue,21599000,13077000,2128000,- -,- -,64722000,59676000,58090000,82286000,81707000,35523000,20147000,16494000
56,Deferred Tax Liabilities,53440000,53124000,75915000,59111000,71318000,49749000,19513000,50075000,29856000,137239000,38585000,49386000,44774000
57,Other Non-Current Liabilities,60793000,60011000,64936000,62923000,50753000,76026000,72970000,73388000,77958000,121823000,213163000,81707000,70113000
58,Total Non-Current Liabilities,313454000,378144000,413404000,375026000,490034000,688076000,640534000,689970000,696832000,1587197000,1501256000,1425261000,1399646000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2954000,706000,- -,171551000,93749000,89599000
61,Total Liabilities,336937000,410970000,483862000,455116000,554167000,834337000,724452000,799930000,910777000,1848536000,1836654000,1620156000,1605517000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,500000,500000,500000,529000,534000,539000,539000,811000,812000,818000,823000,827000,845000
64,Retained Earnings,3681000,-215000,30038000,82731000,137978000,232551000,220974000,163173000,287992000,67854000,-279956000,-395496000,-429260000
65,Other Comprehensive Income/Loss,-18723000,-36631000,-55609000,-14000000,-4000000,-20000000,-16000000,-16000000,-14000000,-15000000,-20000000,-8479000,349000
66,Other Total Stockholders Equity,141572000,133910000,147005000,162434000,174782000,190726000,178654000,1125306000,1121702000,991148000,1004350000,1018408000,1032281000
67,Total Stockholders Equity,127030000,97564000,121934000,231694000,309294000,403816000,384167000,1273290000,1396506000,1044820000,705217000,615260000,604215000
68,Total Liabilities And Stockholders Equity,463967000,508534000,605796000,686810000,863461000,1238153000,1108619000,2073220000,2307283000,2893356000,2541871000,2235416000,2209732000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,7484000,11363000,11531000,9868000
70,Total Liabilities & Equity,463967000,508534000,605796000,686810000,863461000,1238153000,1108619000,2073220000,2307283000,2900840000,2553234000,2246947000,2219600000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524741/000119312513076838/0001193125-13-076838-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000119312514069687/d639815d10k.htm,https://www.sec.gov/Archives/edgar/data/1524741/000162828015001017/slca-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1524741/000162828016011647/0001628280-16-011647-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828017001655/0001628280-17-001655-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828018001983/0001628280-18-001983-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828019001568/0001628280-19-001568-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828020002217/0001628280-20-002217-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000152474121000012/0001524741-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1524741/000152474122000006/0001524741-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,5539000,11392000,30253000,79154000,75256000,121540000,11868000,-41056000,145206000,-200808000,-329082000,-114094000,-33761000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155568000,- -
75,Deferred Income Tax,-4236000,-1324000,-659000,1095000,4578000,-2442000,-10473000,-36903000,-20601000,-31070000,-101682000,-61805000,-7493000
76,Stock Based Compensation,949000,383000,1238000,2330000,3039000,7487000,3857000,12107000,25050000,22337000,15906000,14911000,18809000
77,Change in Working Capital,-3534000,41061000,11077000,-7934000,160186000,158701000,-60842000,427763000,-293686000,-150401000,-165256000,117776000,15046000
78,Accounts Receivable,1102000,-3558000,-16437000,-13239000,-16965000,-46829000,62465000,-12996000,-110920000,56815000,33837000,48441000,5026000
79,Inventory,-225000,869000,-6889000,-10528000,-24377000,34000,1708000,-10211000,-4825000,13085000,11182000,15245000,-11029000
80,Accounts Payable,- -,- -,- -,8458000,1385000,51357000,-42353000,13121000,59769000,- -,- -,- -,- -
81,Other Working Capital,52973000,94034000,105111000,97177000,257363000,416064000,355222000,782985000,489299000,338898000,173642000,291418000,-15580000
82,Other Non-Cash Items,15145000,-14774000,656000,26305000,-196608000,-113875000,117082000,-361530000,382187000,670648000,724160000,-122890000,176746000
83,Cash Provided by Operating Activities,13863000,36738000,42565000,100950000,46451000,171411000,61492000,381000,238156000,310706000,144046000,-10534000,169347000
84,CAPEX,-13350000,-15241000,-66745000,-105719000,-60470000,-92609000,-53646000,-47409000,-388208000,-349861000,-122289000,-34917000,-30517000
85,Acquisitions Net,- -,- -,- -,- -,- -,-98000000,- -,-177000000,-120000000,-743000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-75000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,53568000,21872000,- -,- -,- -,- -,- -
88,Other Investing Activites,-13308000,-15163000,-66639000,-104461000,-60113000,-92906000,-53519000,-46529000,-387672000,-323879000,-120393000,-27564000,-29856000
89,Cash Used for Investing Activites,-13308000,-15163000,-66639000,-104461000,-135113000,-190906000,49000,-201657000,-507672000,-1066879000,-120393000,-27564000,-29856000
90,Debt Repayment,-2052000,-11219000,-240476000,-6532000,-258720000,-3882000,-5093000,-5744000,-8162000,-501989000,-23508000,-16030000,-44939000
91,Common Stock Issued,- -,- -,- -,50102000,- -,- -,- -,678791000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1072000,- -,-499000,-15255000,- -,-25022000,-148469000,- -,- -,- -
93,Dividends Paid,- -,-51601000,- -,-26461000,-13300000,-26871000,-26797000,-15125000,-20377000,-19912000,-18592000,-6185000,-26000
94,Other Financing Activites,1764000,91271000,259249000,-10703000,377916000,239772000,-385000,-22498000,-3581000,1244474000,1689000,25493000,-6021000
95,Cash Used/Provided by Financing Activities,-288000,28451000,18773000,5334000,105896000,208520000,-47530000,635424000,-57142000,574104000,-40411000,3278000,-50986000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,267000,50026000,-5301000,1823000,17234000,189025000,14011000,434148000,-326658000,-182069000,-16758000,-34820000,88505000
98,Cash at the End of Period,14474000,64500000,59199000,61022000,78256000,267281000,277077000,711225000,384567000,202498000,185740000,150920000,239425000
99,Cash at the Beginning of Period,14207000,14474000,64500000,59199000,61022000,78256000,263066000,277077000,711225000,384567000,202498000,185740000,150920000
100,Free Cash Flow,513000,21497000,-24180000,-4769000,-14019000,78802000,7846000,-47028000,-150052000,-39155000,21757000,-45451000,138830000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524741/000119312513076838/0001193125-13-076838-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000119312514069687/d639815d10k.htm,https://www.sec.gov/Archives/edgar/data/1524741/000162828015001017/slca-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1524741/000162828016011647/0001628280-16-011647-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828017001655/0001628280-17-001655-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828018001983/0001628280-18-001983-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828019001568/0001628280-19-001568-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000162828020002217/0001628280-20-002217-index.html,https://www.sec.gov/Archives/edgar/data/1524741/000152474121000012/0001524741-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1524741/000152474122000006/0001524741-22-000006-index.htm
102,false,,,,,,,,,,,,,
