,https://roic.ai/company/CCJ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,-1,-1,21699941,- -,- -,- -,32122891,1,- -,42953167,84615155,35280477,-46897000,- -,-64656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-3900000,37500000,-2700000,398794,12700500,-17798761,23200231,152523996,-40859599,-11973560,-100511401,-237230621,34747063,-8096458,175233887,243711754,-568348000,-35795000,104813000,131493000,162369000,212181000,279111000,161982000,383092000,74831000,-11382000,81842000,367115000
83,Cash Provided by Operating Activities,127100000,176100000,133200000,175699603,162100071,235199690,249399595,224305639,116246418,250841989,245893340,228041757,320638446,418019571,800725991,708267363,690113000,507098000,731677000,643912000,529884000,480182000,450010000,312380000,596050000,667516000,527024000,56889000,458288000
84,CAPEX,-66800000,-106600000,-175200000,-168100589,-282100071,-706800310,-211600116,-94977505,-58274435,-90226629,-159569754,-148273339,-284928480,-459558481,-494473136,-629151287,-392719000,-470277000,-647210000,-733648000,-645651000,-480108000,-358562000,-216908000,-114028000,-55362000,-75211000,-77462000,-98784000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3717303,- -,-83856011,- -,-503156872,- -,- -,- -,-576408000,-251992000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-94807386,-42596790,-288258405,- -,- -,- -,- -,- -,-243108000,-680346000,- -,-26294000,- -,- -,- -,- -,- -,-391025000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,21962751,58295562,- -,- -,101956041,- -,- -,- -,- -,- -,- -,754434000,49535000,11569000,- -,- -,- -,- -,391025000,- -,- -
88,Other Investing Activites,2900000,100000,-77300000,6001096,-42700501,13000000,248200232,9856029,402738,102298,240886,-8696903,204454007,16715983,-32342834,-12424721,874947000,10890000,119180000,3315000,-6306000,447797000,17755000,-912000,20974000,34757000,121592000,-23567000,18486000
89,Cash Used for Investing Activites,-63900000,-106500000,-252500000,-162099493,-324800572,-693800310,36600116,-85121476,-130716332,-74425559,-447587273,-160687545,21481568,-526698509,-526815970,-1144732880,239120000,-1139733000,-528030000,-578601000,-854414000,-20742000,-340807000,-217820000,-93054000,-411630000,437406000,-101029000,-80298000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-726460000,-11629000,-14713000,-35629000,-33114000,-351046000,-10000,- -,- -,- -,-502904000,-403716000,-2727000
91,Common Stock Issued,1200000,2000000,5400000,6900096,198200143,179600619,2500000,910318,5208532,10903368,27410795,142514999,25199442,27058481,23289304,972559,441442000,18109000,7339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-12400174,-46484703,- -,- -,- -,- -,- -,- -,-429326646,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-26000000,-26000000,-26200000,-26399890,-27000715,-28899381,-28699363,-28021896,-44987265,-45182562,-32274894,-34262059,-39969764,-52659599,-66906346,-80495386,-92603000,-106132000,-146017000,-158066000,-158165000,-158200000,-158313000,-158310000,-158297000,-71224000,-31613000,-31638000,-31839000
94,Other Financing Activites,-90200000,-18300000,134300000,5799643,86600429,234698143,-238399884,-77925915,54855142,-117777778,232531238,-54239261,115972787,-156700839,35914192,619496115,495272000,11707000,-35216000,480683000,-48778000,425354000,-69507000,-70446000,-69494000,-72976000,-72403000,337367000,-12206000
95,Cash Used/Provided by Financing Activities,-115000000,-42300000,113500000,-13700151,257799857,385399381,-276999421,-151522196,15076409,-152056972,227667139,54013679,101202465,-182301957,-437029496,539973288,117651000,-87945000,-188607000,286988000,-240057000,-83892000,-227830000,-228756000,-227791000,-144200000,-606920000,-97987000,-46772000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15905928,-9661589,1875582,-39037640,33737251,-9877000,-4028000,7618000,-559000,2997000,3126000,10648000,-4130000,-3863000,8222000,-6607000,-1922000,-2153000
97,Net Change In Cash,-51800000,27300000,-5900000,- -,95099357,-73199690,9000290,-12338032,606495,24359459,25973206,105463163,433660891,-289104147,-202157116,137243808,1037007000,-724608000,22658000,351740000,-561590000,378674000,-107979000,-138326000,271342000,119908000,350903000,-144049000,329065000
98,Cash at the End of Period,-6800000,20500000,14600000,14600521,109699786,36500000,45500579,33131374,33737663,58095688,84069303,189532037,623193395,334089003,131931671,269175571,1101229000,376621000,399279000,749824000,187909000,566583000,458604000,320278000,591620000,711528000,1062431000,918382000,1247447000
99,Cash at the Beginning of Period,45000000,-6800000,20500000,14600521,14600429,109699690,36500289,45469406,33131168,33736229,58096097,84068874,189532504,623193150,334088787,131931763,64222000,1101229000,376621000,398084000,749499000,187909000,566583000,458604000,320278000,591620000,711528000,1062431000,918382000
100,Free Cash Flow,60300000,69500000,-42000000,7599014,-120000000,-471600620,37799479,129328134,57971983,160615360,86323586,79768418,35709966,-41538910,306252855,79116076,297394000,36821000,84467000,-89736000,-115767000,74000,91448000,95472000,482022000,612154000,451813000,-20573000,359504000
