,https://roic.ai/company/ISSC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836690/000119312503099866/0001193125-03-099866-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000095011604003712/0000950116-04-003712-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465905060486/0001104659-05-060486-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465906080985/0001104659-06-080985-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746907010035/0001047469-07-010035-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746908013098/0001047469-08-013098-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746909010731/0001047469-09-010731-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746910010410/0001047469-10-010410-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746911010093/0001047469-11-010093-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746912011253/0001047469-12-011253-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465913091577/0001104659-13-091577-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465914086815/0001104659-14-086815-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465916089879/0001104659-16-089879-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465916162610/0001104659-16-162610-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465917073638/0001104659-17-073638-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465918074460/0001104659-18-074460-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465919075583/0001104659-19-075583-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465920138570/0001104659-20-138570-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465921152604/0001104659-21-152604-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,38657433,42769837,52245754,48789744,65867167,83172582,62984829,49151078,35031932,35565694,40916346,42625854,42977501,16386207,15214584,16282039,18767661,24680301,20390713,22416830,12603967,8265606
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,38657433,42769837,52245754,48789744,65867167,83172582,62984829,49151078,35031932,35565694,40916346,42625854,42977501,16386207,15214584,16282039,18767661,24680301,20390713,22416830,12603967,8265606
34,Net Receivables,- -,8394304,8330126,5300421,6955207,5003100,5479936,3333131,6248606,4218443,6188706,2529976,3124114,5573948,11028876,11845591,6701773,6215695,4489928,3451471,2428719,4369111,4046337
35,Inventory,- -,4265144,5701673,3352649,2840648,5191628,3911626,6466156,9363795,9361257,5306985,4656392,3508595,3801547,4377513,5470786,4597316,3645828,4179654,4280108,4470694,4291335,4545392
36,Other Current Assets,- -,4742482,2356270,1306253,1333564,1649387,4984568,5148627,7108699,1820896,1731406,1505120,1314271,2024370,2644889,3995331,1768347,740275,831555,542656,642049,11856009,833076
37,Total Current Assets,- -,56059363,59157906,62205077,59919163,77711282,97548712,77932743,71872178,50432528,48792791,49607834,50572834,54377366,34437485,36526292,29349475,29369459,34181438,28664948,29958292,33120422,17690411
38,PP&E,- -,4123166,8084874,10144895,9548491,9620231,9361052,8970473,9377337,8958346,8343701,7761538,7476362,7214378,7320495,7467663,7095330,6962562,6669011,8786737,8444692,8220998,8186459
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2820500,289050,- -,- -,- -,158600,105200,100400,83200,71200,68600,68600,49200,112851,62474
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2820500,289050,- -,- -,- -,158600,105200,100400,83200,71200,68600,68600,49200,112851,62474
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,204012,- -,- -,- -,- -,- -,- -,328060,216790,- -,- -,- -,846887,650998,57707,- -,- -,- -,- -,- -,- -,1063822
44,Other Non-Current Assets,- -,359986,808646,266713,408971,137114,125114,329664,187710,- -,399520,221150,208408,- -,116333,10448,85748,85748,118715,113393,104841,91566,82834
45,Total Non-Current Assets,- -,4687164,8893520,10411608,9957462,9757345,9486166,9300137,12713607,9464186,8743221,7982688,7684770,8219865,8193026,7636218,7264278,7119510,6856326,8968730,8598733,8425415,9395589
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,60746527,68051426,72616685,69876625,87468627,107034878,87232880,84585785,59896714,57536012,57590522,58257604,62597231,42630511,44162510,36613753,36488969,41037764,37633678,38557025,41545837,27086000
48,Accounts Payable,- -,1856048,473785,246814,578306,1696247,305516,358818,4077789,2349981,1207990,543877,443516,1139464,2372137,2402652,1435981,1503771,1321251,1529792,1079073,790892,623620
49,Short-Term Debt,- -,19794,15696,17111,100000,107257,107257,107891,9908,9908,9908,9908,13189,- -,- -,- -,- -,- -,- -,- -,- -,45126,14296
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152658,664842,1017318,972428,537451,267323,258688,143183,212322,483797,385287
51,Deferred Revenue,- -,173975,146071,137936,98036,526023,176650,591626,660415,450923,- -,157933,232630,1426552,447525,526320,756745,179585,280354,356801,29231,313365,417504
52,Other Current Liabilities,- -,3064947,2268066,2644909,3146409,4754641,3503814,3122542,4670832,5130463,2950416,2585060,2551389,2723812,3672909,4077290,2568531,1889908,1760037,1463021,1110918,12497734,1416819
53,Total Current Liabilities,- -,5114764,2903618,3046770,3922751,7084168,4093237,4180877,9418944,7941275,4168314,3296778,3240724,5289828,6492571,7006262,4761257,3573264,3361642,3349614,2219222,13647117,2472239
54,Long-Term Debt,- -,4235000,4235000,4235000,4235000,4235000,4235000,4235000,4335000,4335000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28680
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60792,8688,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,43120,205828,328177,411857,635967,490070,- -,414636,642651,649929,566963,128998,132202,132999,507184,67701,67742,129594,129651,129689,- -
57,Other Non-Current Liabilities,- -,574267,490984,402877,332407,282615,204576,125580,98062,401677,265513,167090,189130,98002,11491,11725,2826,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,4809267,4769104,4843705,4895584,4929472,5075543,4850650,4433062,5151313,968956,825707,756093,227000,143693,144724,510010,67701,67742,129594,129651,129689,28680
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,20681,13113,4587,47542,37633,36899,25468,13189,98002,11491,11725,2826,- -,- -,- -,- -,45126,42976
61,Total Liabilities,- -,9924031,7672722,7890475,8818335,12013640,9168780,9031527,13852006,13092588,5137270,4122485,3996817,5516828,6636264,7150986,5271267,3640965,3429384,3479208,2348873,13776806,2500919
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12594,13024,13052,13081,13515,18047,18088,18161,18177,18207,18245,18287,18329,18632,18715,18756,18813,18880,18937,19006,19311,19343
64,Retained Earnings,- -,6928510,14459275,19869553,25410742,37342940,55921733,53039341,44194053,20152615,25161276,25909652,26626242,29605236,6484634,6684902,818768,2805569,7374196,3720291,5570587,-2340530,-5882820
65,Other Comprehensive Income/Loss,- -,-1683973,-2238916,-3021918,-3670430,-4369851,-5091881,-5846272,-6721274,-7669226,-8416031,-9034593,-9567335,-10040788,-10374495,-10814062,-11280207,-11683198,-12087395,-12451691,-12864970,-13237157,- -
66,Other Total Stockholders Equity,- -,45565365,48145321,47865523,39304897,42468383,47018199,30990196,33242839,34302560,35635290,36574733,37183593,37497626,39865476,41121969,41785169,41706820,42302699,42866933,43483529,43327407,30448558
67,Total Stockholders Equity,- -,50822496,60378704,64726210,61058290,75454987,97866098,78201353,70733779,46804126,52398742,53468037,54260787,57080403,35994247,37011524,31342486,32848004,37608380,34154470,36208152,27769031,24585081
68,Total Liabilities And Stockholders Equity,- -,60746527,68051426,72616685,69876625,87468627,107034878,87232880,84585785,59896714,57536012,57590522,58257604,62597231,42630511,44162510,36613753,36488969,41037764,37633678,38557025,41545837,27086000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,60746527,68051426,72616685,69876625,87468627,107034878,87232880,84585785,59896714,57536012,57590522,58257604,62597231,42630511,44162510,36613753,36488969,41037764,37633678,38557025,41545837,27086000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836690/000119312503099866/0001193125-03-099866-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000095011604003712/0000950116-04-003712-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465905060486/0001104659-05-060486-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465906080985/0001104659-06-080985-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746907010035/0001047469-07-010035-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746908013098/0001047469-08-013098-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746909010731/0001047469-09-010731-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746910010410/0001047469-10-010410-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746911010093/0001047469-11-010093-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746912011253/0001047469-12-011253-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465913091577/0001104659-13-091577-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465914086815/0001104659-14-086815-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465916089879/0001104659-16-089879-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465916162610/0001104659-16-162610-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465917073638/0001104659-17-073638-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465918074460/0001104659-18-074460-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465919075583/0001104659-19-075583-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465920138570/0001104659-20-138570-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465921152604/0001104659-21-152604-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4180635,6749557,7530765,5410278,5541190,11932197,18584802,-2882392,-8845288,-7897248,5008661,748376,716590,2978994,1886917,200268,-5866134,1986801,4568627,-3653905,1850296,3269783,5064902
74,Depreciation and Amortization,264785,391257,554943,860943,714210,729993,797990,858641,946215,1048267,1085316,826748,672196,529325,545620,576478,570314,493361,449189,436208,451278,433510,432176
75,Deferred Income Tax,1786260,-440816,58943,164859,99599,83680,252151,-272756,-635096,1227955,-89357,-11081,751,-2434379,-248725,-901144,2689561,486117,41,61852,57,38,-1193511
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691110,371437,170586,639083,912403,810191,466321,251394,191749,199995,173492,177343,341330
77,Change in Working Capital,-460769,50944599,5309689,2904019,-3161895,14630702,22828361,-19703609,-11298632,-19961981,2133224,1686579,1021054,1755428,-21142624,1575116,-4931812,1207977,5023601,-5504462,2423736,-1755018,48048
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2156111,3658730,-611363,-853025,-510922,69571,2025168,-2116941,1762494,225336,1101356,-2020574,322774
79,Inventory,-688688,-1086792,-1610564,2349024,590496,-2396538,1223783,-2593391,-2997639,-1854289,3547616,650593,676301,-406408,-624416,-1289478,647728,951488,-626655,-100454,-289314,112848,-153611
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1141991,-664113,-100362,695948,1232673,30515,-966671,67790,-182520,208541,-450719,-288181,-167272
81,Other Working Capital,- -,50944599,56254288,59158307,55996412,70627114,93455475,73751866,62453234,42491253,44624477,46311056,47332110,49087538,27944914,29520030,24588218,25796195,30819796,25315334,27739070,284134,104139
82,Other Non-Cash Items,190000,-55168162,-9877370,4008313,2868814,-11283501,-26467931,20369412,9256942,39185584,-3509405,1978408,-305011,-2087620,15894092,-2973115,8473339,-863597,-4167529,6719336,-2791461,66511,-100446
83,Cash Provided by Operating Activities,5960911,2476435,3576970,13348412,6061918,16093071,15995373,-1630704,-10575859,13602577,5319549,5600467,2276166,1380831,-2152317,-712206,1401589,3562053,6065678,-1740976,2107398,2192167,4592499
84,CAPEX,-592189,-3769233,-4516651,-2947743,-156260,-791393,-528064,-456528,-1276508,-573357,-332515,-189790,-255454,-217533,-605301,-719522,-188509,-352762,-153038,-2548612,-81281,-118797,-340678
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-4141689,3824224,317465,- -,- -,- -,-240000,-2616500,3000,620,- -,- -,- -,18500,600,69545,1108,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-592189,-7910922,-692427,-2630278,-156260,-791393,-528064,-696528,-3893008,-570357,-331895,-189790,-255454,-217533,-586801,-718922,-118964,-351654,-153038,-2548612,-81281,-118797,-340678
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10642,-11431,-12278,-13189,- -,- -,- -,- -,- -,- -,- -,-1203900,- -
91,Common Stock Issued,- -,35137667,1244771,24003,19200,1786925,1845674,189295,492721,33218,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1250000,-9363757,- -,- -,-18086428,- -,-1048198,-108250,-48630,-298926,-798462,-696,- -,-254170,-724777,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16731514,- -,- -,- -,- -,-25007519,- -,- -,- -,- -,- -,- -,- -,-19788092
94,Other Financing Activites,-832265,4315646,-16910,-16220,-17111,-11180,-7568,36612,142395,1515,-4335000,36,- -,- -,1156039,259505,39000,- -,- -,- -,- -,498567,17010
95,Cash Used/Provided by Financing Activities,-832265,39453313,1227861,-1242217,-9361668,1775745,1838106,-17860521,635116,-17744979,-4453892,-60025,-311204,-811651,-23852176,259505,-215170,-724777,- -,- -,- -,-705333,-19771082
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4536457,34018826,4112404,9475917,-3456010,17077423,17305415,-20187753,-13833751,-4712759,533762,5350652,1709508,351647,-26591294,-1171623,1067455,2485622,5912640,-4289588,2026117,1368037,-15519261
98,Cash at the End of Period,4638607,38657433,42769837,52245754,48789744,65867167,83172582,62984829,49151078,44438319,35565694,40916346,42625854,42977501,16386207,15214584,16282039,18767661,24680301,20390713,22416830,23784867,8265606
99,Cash at the Beginning of Period,102150,4638607,38657433,42769837,52245754,48789744,65867167,83172582,62984829,49151078,35031932,35565694,40916346,42625854,42977501,16386207,15214584,16282039,18767661,24680301,20390713,22416830,23784867
100,Free Cash Flow,5368722,-1292798,-939681,10400669,5905658,15301678,15467309,-2087232,-11852367,13029220,4987034,5410677,2020712,1163298,-2757618,-1431728,1213080,3209291,5912640,-4289588,2026117,2073370,4251821
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836690/000119312503099866/0001193125-03-099866-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000095011604003712/0000950116-04-003712-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465905060486/0001104659-05-060486-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465906080985/0001104659-06-080985-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746907010035/0001047469-07-010035-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746908013098/0001047469-08-013098-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746909010731/0001047469-09-010731-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746910010410/0001047469-10-010410-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746911010093/0001047469-11-010093-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000104746912011253/0001047469-12-011253-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465913091577/0001104659-13-091577-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465914086815/0001104659-14-086815-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465916089879/0001104659-16-089879-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465916162610/0001104659-16-162610-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465917073638/0001104659-17-073638-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465918074460/0001104659-18-074460-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465919075583/0001104659-19-075583-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465920138570/0001104659-20-138570-index.htm,https://www.sec.gov/Archives/edgar/data/836690/000110465921152604/0001104659-21-152604-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
