,https://roic.ai/company/DXC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-5700000,-5600000,-6400000,-3300000,7200000,-4000000,-19000000,-16200000,-10900000,-29400000,-30300000,-81200000,-271100000,-34000000,-81588000,-485700000,-142500000,-139500000,-183300000,-169300000,-140700000,-441800000,-304100000,-238400000,-225000000,-131000000,-3023000000,-391000000,-225000000,-401000000,-213000000,-310000000,-967000000,-365000000,-5912000000,1047000000
20,Income Before Tax,42700000,58100000,71300000,84500000,103200000,102600000,109200000,128200000,149100000,173700000,231400000,303300000,190900000,511400000,611472000,330300000,496800000,611600000,746900000,715400000,821100000,607000000,917900000,949100000,1038000000,968000000,-4347000000,480000000,910000000,-276000000,10000000,-174000000,1671000000,1515000000,-5228000000,654000000
21,Income Before Tax Ratio,0.0509,0.0563,0.0619,0.0648,0.0688,0.0590,0.0517,0.0517,0.0577,0.0515,0.0545,0.0540,0.0289,0.0668,0.0653,0.0309,0.0435,0.0539,0.0506,0.0509,0.0562,0.0409,0.0556,0.0567,0.0644,0.0603,-0.2738,0.0320,0.0700,-0.0227,0.0014,-0.0229,0.0680,0.0730,-0.2670,0.0369
22,Income Tax expense (Gain),18800000,25900000,27800000,32000000,37700000,37600000,41000000,50100000,58200000,63000000,89700000,110900000,-69500000,170200000,208600000,97100000,152700000,171400000,227500000,219000000,244100000,218200000,373300000,-166100000,204000000,243000000,-121000000,-35000000,289000000,-312000000,-62000000,-74000000,-111000000,288000000,130000000,800000000
23,Net Income,23900000,32200000,43500000,52500000,65500000,65000000,68200000,78100000,95800000,110700000,141700000,192400000,260400000,341200000,402872000,233200000,344100000,440200000,519400000,810200000,634000000,388800000,544600000,1115200000,817000000,740000000,-4242000000,961000000,674000000,-8000000,251000000,-123000000,1751000000,1257000000,-5369000000,-149000000
24,Net Income ratio,0.0285,0.0312,0.0377,0.0402,0.0437,0.0374,0.0323,0.0315,0.0371,0.0328,0.0334,0.0343,0.0394,0.0445,0.0430,0.0218,0.0301,0.0388,0.0352,0.0576,0.0434,0.0262,0.0330,0.0666,0.0507,0.0461,-0.2672,0.0641,0.0519,-0.0007,0.0353,-0.0162,0.0713,0.0606,-0.2743,-0.0084
25,EPS,0.28,0.35,0.46,0.55,0.68,0.67,0.69,0.78,0.54,1.04,0.74,1.27,1.68,2.16,2.42,1.39,2.02,2.55,2.77,4.27,3.41,2.21,3.26,7.37,5.36,4.79,-27.37,6.22,4.56,-0.06,1.76,-0.88,6.15,4.53,-20.76,-0.59
26,EPS Diluted,0.27,0.35,0.46,0.55,0.68,0.67,0.69,0.78,0.53,1.04,0.71,1.23,1.64,2.11,2.37,1.37,2.01,2.54,2.75,4.22,3.38,2.16,3.20,7.31,5.28,4.73,-27.37,6.18,4.47,-0.06,1.73,-0.88,6.04,4.47,-20.76,-0.59
27,Weighted Average Shares Outstanding,85357143,92000000,94565217,95454545,96323529,97014925,98840580,100128205,101612903,105933014,113373494,151496063,155000000,157962963,166476033,168300000,170054000,172317000,187273000,189575000,176263000,176263000,167233000,151388000,152462000,154488000,155012000,154590000,147647000,142557000,138280000,140390000,284930000,277540000,258570000,254140000
28,Weighted Average Shares Outstanding Diluted,88518519,92000000,94565217,95454545,96323529,97014925,98840580,100128205,101612903,105933014,113373494,156422764,158780488,161706161,169988186,170800000,171279000,173119000,188704000,191799000,179733000,179733000,170168000,152388000,154754000,156605000,155012000,155557000,150761000,145780000,141330000,140390000,289770000,281430000,258570000,254140000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1688568/000168856818000036/0001688568-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856819000055/0001688568-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856820000032/0001688568-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856821000029/0001688568-21-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299600000,609700000,1010300000,1290700000,1050100000,698900000,2297300000,2784000000,1837000000,1093000000,2054000000,2443000000,2098000000,1178000000,1263000000,2648000000,2899000000,3679000000,2968000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299600000,609700000,1010300000,1290700000,1050100000,698900000,2297300000,2784000000,1837000000,1093000000,2054000000,2443000000,2098000000,1178000000,1263000000,2648000000,2899000000,3679000000,2968000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3320200000,3616300000,3537700000,3746300000,4184300000,4459800000,3786400000,3849000000,3719000000,3257000000,3199000000,2759000000,2369000000,1831000000,1643000000,5913000000,5181000000,4392000000,4156000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468300000,641200000,1141800000,1268900000,1472000000,1764500000,1623500000,1789000000,2001000000,533000000,420000000,426000000,438000000,403000000,341000000,1056000000,986000000,916000000,1084000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4088100000,4867200000,5689800000,6305900000,6706400000,6923200000,7707200000,8422000000,7557000000,4883000000,5673000000,5628000000,4905000000,3412000000,3247000000,9617000000,9066000000,8987000000,8208000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1987600000,2178400000,2365400000,2320100000,2539100000,2764600000,2353000000,2241000000,2496000000,2441000000,2184000000,2031000000,1583000000,1025000000,903000000,3646000000,3179000000,4975000000,4312000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2604800000,2343400000,2306300000,2505200000,3975200000,3783600000,3866000000,4038000000,1752000000,1516000000,1667000000,1671000000,1277000000,1855000000,9652000000,7606000000,2017000000,641000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279100000,1535000000,1740900000,1628600000,1542800000,1452800000,1159800000,1153000000,1209000000,1504000000,1116000000,1077000000,1077000000,1046000000,1794000000,8091000000,5939000000,5731000000,4043000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279100000,4139800000,4084300000,3934900000,4048000000,5428000000,4943400000,5019000000,5247000000,3256000000,2632000000,2744000000,2748000000,2323000000,3649000000,17743000000,13545000000,7748000000,4684000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,345000000,381000000,373000000,355000000,265000000,289000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3078400000,618600000,494400000,382400000,437000000,659000000,615100000,773000000,820000000,609000000,762000000,986000000,965000000,631000000,483000000,2542000000,3429000000,4031000000,4545000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6345100000,6936800000,6944100000,6637400000,7024100000,8851600000,7911500000,8033000000,8563000000,6306000000,5578000000,5761000000,5296000000,4324000000,5416000000,24304000000,20508000000,17019000000,13830000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10433200000,11804000000,12633900000,12943300000,13730500000,15774800000,15618700000,16455000000,16120000000,11189000000,11251000000,11389000000,10201000000,7736000000,8663000000,33921000000,29574000000,26006000000,22038000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643200000,810400000,836000000,705100000,855700000,798100000,636500000,409000000,517000000,478000000,373000000,394000000,422000000,341000000,410000000,1708000000,1666000000,1598000000,914000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274800000,60200000,85700000,85300000,93700000,838400000,61900000,75000000,170000000,1254000000,234000000,681000000,904000000,710000000,738000000,2073000000,1942000000,1758000000,1585000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217800000,301700000,395800000,655400000,752900000,310000000,317200000,284000000,396000000,57000000,- -,- -,- -,- -,- -,- -,- -,87000000,398000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222600000,334200000,562700000,629100000,1025500000,1078500000,915300000,1189000000,987000000,619000000,664000000,701000000,680000000,549000000,556000000,1839000000,1838000000,1021000000,1079000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1846600000,2048400000,2393500000,2721600000,3284700000,2875300000,2402500000,2449000000,2504000000,2185000000,2078000000,1686000000,1595000000,1008000000,1246000000,4232000000,4007000000,3518000000,4572000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2987200000,3253200000,3877900000,4141100000,5259600000,5590300000,4016200000,4122000000,4178000000,4536000000,3349000000,3462000000,3601000000,2608000000,2950000000,9852000000,9453000000,7895000000,8150000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2204900000,2306400000,1303000000,1376800000,1412200000,2635300000,4172600000,3669000000,2409000000,1486000000,2498000000,2207000000,1765000000,1934000000,2225000000,6306000000,5470000000,8672000000,5383000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501000000,557000000,412000000,348000000,286000000,802000000,256000000,735000000,622000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1235600000,485600000,550000000,511000000,357000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634700000,740700000,958300000,653500000,1173200000,851800000,1434400000,1606000000,1462000000,1976000000,1743000000,1219000000,1474000000,814000000,1036000000,3124000000,2670000000,3575000000,2575000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2839600000,3047100000,2261300000,2030300000,2585400000,4722700000,6092600000,5825000000,4382000000,3819000000,4742000000,3983000000,3651000000,3096000000,3547000000,10232000000,8396000000,12982000000,8580000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,771000000,482000000,2591000000,2350000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5826800000,6300300000,6139200000,6171400000,7845000000,10313000000,10108800000,9947000000,8560000000,8355000000,8091000000,7445000000,7252000000,5704000000,6497000000,20084000000,17849000000,20877000000,16730000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187200000,188300000,191700000,194900000,181100000,159200000,159700000,162000000,163000000,164000000,159000000,155000000,148000000,149000000,152000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4408100000,5042100000,4250600000,- -,4892400000,5709000000,6296000000,1930000000,2564000000,2770000000,912000000,33000000,-170000000,1301000000,478000000,-5177000000,-5331000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142500000,198400000,254900000,106800000,-68500000,100600000,-1003900000,-1052000000,-690000000,-1093000000,-1354000000,-898000000,21000000,-111000000,-162000000,58000000,-244000000,-603000000,-302000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4561700000,5117000000,1640000000,1428100000,1522300000,5202000000,1461700000,1627000000,1735000000,1778000000,1766000000,1886000000,1840000000,1954000000,2068000000,12125000000,11165000000,10562000000,10603000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4606400000,5503700000,6494700000,6771900000,5885500000,5461800000,5509900000,6446000000,7504000000,2779000000,3135000000,3913000000,2921000000,2025000000,1888000000,13487000000,11402000000,4785000000,4973000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10433200000,11804000000,12633900000,12943300000,13730500000,15774800000,15618700000,16393000000,16064000000,11134000000,11226000000,11358000000,10173000000,7729000000,8385000000,33571000000,29251000000,25662000000,21703000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,56000000,55000000,25000000,31000000,28000000,7000000,278000000,350000000,323000000,344000000,335000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10433200000,11804000000,12633900000,12943300000,13730500000,15774800000,15618700000,16455000000,16120000000,11189000000,11251000000,11389000000,10201000000,7736000000,8663000000,33921000000,29574000000,26006000000,22038000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1688568/000168856818000036/0001688568-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856819000055/0001688568-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856820000032/0001688568-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1688568/000168856821000029/0001688568-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,65500000,65000000,68200000,78100000,95800000,110700000,141700000,192400000,260400000,341200000,402872000,233200000,344100000,440200000,519400000,810200000,634000000,388800000,544600000,1115200000,817000000,740000000,-4242000000,961000000,674000000,-8000000,251000000,-123000000,1751000000,1257000000,-5369000000,-149000000
74,Depreciation and Amortization,- -,- -,- -,- -,34000000,40200000,81700000,118700000,130700000,172600000,252100000,333200000,386900000,445000000,545723000,649300000,857600000,857500000,1038100000,1145500000,1187500000,1162000000,1286400000,1270000000,1156000000,1140000000,1212000000,1134000000,1018000000,977000000,767000000,658000000,2014000000,2023000000,1960000000,1988000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91200000,68791000,42300000,129900000,145900000,182400000,192700000,48700000,-51900000,-65300000,247100000,8000000,100000000,-115000000,101000000,75000000,-449000000,-37000000,-92000000,-842000000,97000000,-56000000,-403000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58700000,60300000,54400000,64000000,56000000,36000000,49000000,73000000,68000000,45000000,75000000,93000000,74000000,68000000,56000000
77,Change in Working Capital,- -,- -,- -,- -,-22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63600000,1037300000,513100000,197900000,352900000,-718000000,-113900000,2358100000,609000000,-921000000,-3032000000,1977000000,-158000000,-862000000,-500000000,-507000000,-532000000,-152000000,1479000000,-1034000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,168000000,237000000,129000000,586000000,202000000,-947000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-690000000,-449000000,-335000000,-357000000,54000000,-96000000,-52000000,-565000000,-527000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63600000,1100900000,1614000000,1811900000,2164800000,1446800000,1332900000,3691000000,4300000000,3379000000,347000000,2324000000,2166000000,1304000000,804000000,297000000,-235000000,-387000000,1092000000,58000000
82,Other Non-Cash Items,- -,- -,- -,- -,-8400000,-29000000,-44700000,-3000000,-34700000,-55900000,-28600000,-25200000,-64000000,-63300000,-71118000,-70600000,-89800000,-1332700000,-575500000,-404800000,-671800000,739000000,-369200000,-3058400000,-1011000000,449000000,7317000000,-3103000000,-122000000,1707000000,276000000,967000000,759000000,-1516000000,4268000000,-334000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,69100000,76200000,105200000,193800000,191800000,227400000,365200000,500400000,583300000,814100000,946268000,854200000,1305400000,1148200000,1677500000,1941500000,1551300000,1578600000,1342900000,1986400000,1643000000,1564000000,1176000000,1119000000,1560000000,1433000000,802000000,978000000,3243000000,1783000000,2350000000,124000000
84,CAPEX,- -,- -,- -,- -,-33800000,-27000000,-52700000,-95400000,-118600000,-103300000,-259800000,-322400000,-452600000,-582700000,-585593000,-897200000,-1202000000,-886200000,-1347100000,-1476800000,-1220500000,-952800000,-1213600000,-1026900000,-927000000,-965000000,-975000000,-672000000,-688000000,-648000000,-641000000,-487000000,-763000000,-558000000,-585000000,-515000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-294239000,-695000000,-32900000,-82800000,44100000,798600000,-43600000,-131500000,-1591100000,-100300000,9000000,-39000000,-372000000,1074000000,58000000,-62000000,-517000000,-431000000,-203000000,-430000000,-1997000000,5131000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-63700000,- -,-29300000,- -,-193300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,- -,- -,- -,-75000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,49400000,- -,43600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,- -
88,Other Investing Activites,- -,- -,- -,- -,-20000000,-37700000,-319300000,-5200000,-234700000,-106200000,-205600000,-356200000,-129400000,-122400000,-296724000,-651200000,-501300000,-272700000,-597500000,-538800000,-253500000,-55300000,-251000000,-239000000,-221000000,-190000000,-367000000,-223000000,-204000000,-93000000,-237000000,-249000000,394000000,796000000,247000000,-205000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-53800000,-128400000,-322600000,-129900000,-309700000,-402800000,-465400000,-678600000,-582000000,-705100000,-1176556000,-2243400000,-1205700000,-994000000,-1278400000,-595400000,-1124000000,-872700000,-2718700000,-1038000000,-790000000,-892000000,-1308000000,456000000,-566000000,-536000000,-1180000000,-926000000,-33000000,69000000,-2137000000,4665000000
