,https://roic.ai/company/LBPS,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,39218000,97391000,93157000,77738000,52605000,30610000,35421000,58794000
48,Accounts Payable,1375000,2891000,1163000,1803000,1931000,1224000,3300000,1675000
49,Short-Term Debt,- -,- -,- -,10000,11000,68000,73000,108000
50,Tax Payable,- -,42000,581000,264000,278000,255000,223000,411000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,410000,1418000,3774000,3169000,3235000,4968000,3079000,4835000
53,Total Current Liabilities,1785000,4309000,4937000,4982000,5177000,6260000,6452000,6618000
54,Long-Term Debt,- -,- -,- -,26000,15000,1043000,986000,12696000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,385000,385000,963000,965000,966000,964000,13000,14000
57,Other Non-Current Liabilities,- -,- -,774000,1979000,684000,- -,- -,7050000
58,Total Non-Current Liabilities,385000,385000,1737000,2970000,1665000,2007000,999000,19760000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,36000,26000,1111000,1059000,962000
61,Total Liabilities,2170000,4694000,6674000,7952000,6842000,8267000,7451000,26378000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,130000,161000,162000,164000,164000,164000,329000,646000
64,Retained Earnings,-2380000,-9568000,-19431000,-39876000,-63566000,-87024000,-112783000,-180173000
65,Other Comprehensive Income/Loss,-65000,-207000,-588000,-1323000,-2278000,907000,- -,- -
66,Other Total Stockholders Equity,39282000,102311000,106340000,110821000,111443000,108296000,140424000,211943000
67,Total Stockholders Equity,36967000,92697000,86483000,69786000,45763000,22343000,27970000,32416000
68,Total Liabilities And Stockholders Equity,39137000,97391000,93157000,77738000,52605000,30610000,35421000,58794000
69,Minority Interest,81000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39218000,97391000,93157000,77738000,52605000,30610000,35421000,58794000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-2021000,-7547000,-9863000,-20445000,-23690000,-24066000,-25963000,-31938000
74,Depreciation and Amortization,114000,253000,618000,982000,1201000,1281000,1206000,1353000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,7000,131000,302000,268000,267000,3334000,711000
77,Change in Working Capital,-456000,-1153000,-3829000,-1223000,-783000,2997000,-1553000,-7212000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-115000,87000,-210000,-15000,-37000,92000,-93000,25643
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-1455000,-633000,-583000,3194000,67000,-2035000,303000,-830000
83,Cash Provided by Operating Activities,-3818000,-9073000,-13526000,-17190000,-22937000,-21556000,-22673000,-37916000
84,CAPEX,-264000,-859000,-2319000,-2079000,-541000,-595000,-178000,-279000
85,Acquisitions Net,238000,-402000,-1615000,- -,-660000,- -,- -,- -
86,Purchases of Investments,-3007000,-80657000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,43553000,1978000,27959000,10174000,- -,- -
88,Other Investing Activites,-984000,156000,715000,315000,374000,80000,-15000,- -
89,Cash Used for Investing Activites,-4017000,-81748000,40410000,408000,27136000,9716000,-178000,-279000
90,Debt Repayment,-500000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,38100000,64751000,- -,- -,- -,- -,29740000,24844000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-942000,-976000,- -,-14000,-11000,-377000,-1950000,21574000
95,Cash Used/Provided by Financing Activities,36658000,63775000,- -,-14000,-11000,-377000,27790000,46418000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,760000
97,Net Change In Cash,- -,-27046000,26884000,-16796000,4188000,-12217000,4939000,8983000
98,Cash at the End of Period,28823000,1777000,28661000,11865000,16053000,3836000,8775000,20973000
99,Cash at the Beginning of Period,- -,28823000,1777000,28661000,11865000,16053000,3836000,11990000
100,Free Cash Flow,-4082000,-9932000,-15845000,-19269000,-23478000,-22151000,-22851000,-38195000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,
