,https://roic.ai/company/KDP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418135/000095013409006140/0000950134-09-006140-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000095012310018549/0000950123-10-018549-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000144530511000302/dps2010123110k.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813512000006/0001418135-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813513000006/0001418135-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813514000008/dps-10kx123113.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813515000006/dps-10kx123114.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813516000050/0001418135-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813517000010/0001418135-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813518000006/0001418135-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813519000007/0001418135-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813520000007/0001418135-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813521000005/0001418135-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813522000005/0001418135-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19000000,28000000,35000000,67000000,214000000,280000000,315000000,701000000,366000000,153000000,237000000,911000000,1787000000,61000000,83000000,75000000,240000000,567000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19000000,28000000,35000000,67000000,214000000,280000000,315000000,701000000,366000000,153000000,237000000,911000000,1787000000,61000000,83000000,75000000,240000000,567000000
34,Net Receivables,- -,- -,1164000000,2190000000,583000000,540000000,571000000,635000000,602000000,622000000,617000000,628000000,646000000,710000000,1223000000,1184000000,1144000000,1274000000
35,Inventory,- -,- -,300000000,325000000,263000000,262000000,244000000,212000000,197000000,200000000,204000000,209000000,202000000,229000000,626000000,654000000,762000000,894000000
36,Other Current Assets,- -,- -,133000000,157000000,177000000,197000000,179000000,209000000,170000000,144000000,153000000,69000000,101000000,117000000,227000000,360000000,242000000,322000000
37,Total Current Assets,- -,- -,1632000000,2739000000,1237000000,1279000000,1309000000,1757000000,1335000000,1119000000,1211000000,1817000000,2736000000,1117000000,2159000000,2273000000,2388000000,3057000000
38,PP&E,- -,- -,755000000,868000000,990000000,1109000000,1168000000,1152000000,1202000000,1173000000,1141000000,1156000000,1138000000,1198000000,2310000000,2525000000,2857000000,3167000000
39,Goodwill,- -,- -,3180000000,3183000000,2983000000,2983000000,2984000000,2980000000,2983000000,2988000000,2990000000,2988000000,2993000000,3561000000,20011000000,20172000000,20184000000,20182000000
40,Intangible Assets,- -,- -,3651000000,3617000000,2712000000,2702000000,2691000000,2677000000,2684000000,2694000000,2684000000,2663000000,2656000000,3781000000,23967000000,24117000000,23968000000,23856000000
41,Intangible Assets,- -,- -,6831000000,6800000000,5695000000,5685000000,5675000000,5657000000,5667000000,5682000000,5674000000,5651000000,5649000000,7342000000,43978000000,44289000000,44152000000,44038000000
42,Investments,- -,- -,- -,13000000,12000000,9000000,11000000,13000000,14000000,36000000,39000000,71000000,74000000,73000000,231000000,192000000,130000000,89000000
43,Tax Assets,- -,- -,9000000,8000000,140000000,151000000,144000000,131000000,130000000,85000000,74000000,64000000,62000000,62000000,26000000,29000000,45000000,42000000
44,Other Non-Current Assets,- -,- -,119000000,100000000,564000000,543000000,552000000,573000000,580000000,106000000,134000000,110000000,132000000,230000000,214000000,210000000,207000000,205000000
45,Total Non-Current Assets,- -,- -,7714000000,7789000000,7401000000,7497000000,7550000000,7526000000,7593000000,7082000000,7062000000,7052000000,7055000000,8905000000,46759000000,47245000000,47391000000,47541000000
46,Other Assets,7625000000,7433000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7625000000,7433000000,9346000000,10528000000,8638000000,8776000000,8859000000,9283000000,8928000000,8201000000,8273000000,8869000000,9791000000,10022000000,48918000000,49518000000,49779000000,50598000000
48,Accounts Payable,- -,- -,788000000,987000000,234000000,252000000,851000000,265000000,283000000,271000000,289000000,277000000,303000000,365000000,2300000000,3176000000,3740000000,4316000000
49,Short-Term Debt,- -,- -,708000000,126000000,5000000,- -,404000000,452000000,250000000,66000000,3000000,507000000,10000000,79000000,1484000000,1703000000,2461000000,459000000
50,Tax Payable,- -,- -,- -,- -,- -,4000000,18000000,530000000,45000000,33000000,10000000,27000000,4000000,11000000,60000000,75000000,39000000,144000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,65000000,65000000,65000000,65000000,64000000,64000000,64000000,64000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,195000000,22000000,562000000,602000000,18000000,1133000000,634000000,628000000,682000000,735000000,674000000,730000000,1918000000,1595000000,1493000000,1710000000
53,Total Current Liabilities,- -,- -,1691000000,1135000000,801000000,854000000,1338000000,1915000000,1232000000,1030000000,1038000000,1583000000,1051000000,1238000000,5702000000,6474000000,7694000000,6485000000
54,Long-Term Debt,3468000000,2858000000,3084000000,2912000000,3522000000,2960000000,1687000000,2249000000,2498000000,2453000000,2588000000,2746000000,4325000000,4230000000,14201000000,12827000000,12021000000,12807000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,1515000000,1449000000,1386000000,1318000000,1250000000,1181000000,1117000000,1055000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1292000000,1324000000,981000000,1038000000,1083000000,586000000,630000000,755000000,801000000,787000000,812000000,614000000,5923000000,6030000000,5993000000,5986000000
57,Other Non-Current Liabilities,- -,- -,29000000,136000000,727000000,737000000,777000000,821000000,902000000,368000000,302000000,389000000,352000000,434000000,559000000,930000000,241000000,348000000
58,Total Non-Current Liabilities,3468000000,2858000000,4405000000,4372000000,5230000000,4735000000,5062000000,5105000000,5416000000,4894000000,4941000000,5103000000,6606000000,6333000000,20683000000,19787000000,18255000000,19141000000
59,Other Liabilities,8987000000,7865000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,7000000,56000000,56000000,- -,136000000,153000000,183000000,331000000,806000000,994000000,1384000000
61,Total Liabilities,5519000000,5007000000,6096000000,5507000000,6031000000,5589000000,6400000000,7020000000,6648000000,5924000000,5979000000,6686000000,7657000000,7571000000,26385000000,26261000000,25949000000,25626000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3000000,3000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,14000000,14000000,14000000,14000000
64,Retained Earnings,- -,- -,- -,- -,-430000000,87000000,400000000,740000000,1080000000,1393000000,1771000000,2165000000,2266000000,2651000000,1178000000,1582000000,2061000000,3199000000
65,Other Comprehensive Income/Loss,- -,- -,3250000000,20000000,-106000000,-59000000,-28000000,-110000000,-110000000,-88000000,-137000000,-195000000,-229000000,-202000000,-130000000,104000000,77000000,-26000000
66,Other Total Stockholders Equity,2106000000,2426000000,3749000000,5001000000,3140000000,3156000000,2085000000,1631000000,1308000000,970000000,658000000,211000000,95000000,- -,21471000000,21557000000,21677000000,21785000000
67,Total Stockholders Equity,2106000000,2426000000,3250000000,5021000000,2607000000,3187000000,2459000000,2263000000,2280000000,2277000000,2294000000,2183000000,2134000000,2451000000,22533000000,23257000000,23829000000,24972000000
68,Total Liabilities And Stockholders Equity,7625000000,7433000000,9346000000,10528000000,8638000000,8776000000,8859000000,9283000000,8928000000,8201000000,8273000000,8869000000,9791000000,10022000000,48918000000,49518000000,49778000000,50598000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -
70,Total Liabilities & Equity,7625000000,7433000000,9346000000,10528000000,8638000000,8776000000,8859000000,9283000000,8928000000,8201000000,8273000000,8869000000,9791000000,10022000000,48918000000,49518000000,49779000000,50598000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418135/000095013409006140/0000950134-09-006140-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000095012310018549/0000950123-10-018549-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000144530511000302/dps2010123110k.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813512000006/0001418135-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813513000006/0001418135-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813514000008/dps-10kx123113.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813515000006/dps-10kx123114.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813516000050/0001418135-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813517000010/0001418135-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813518000006/0001418135-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813519000007/0001418135-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813520000007/0001418135-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813521000005/0001418135-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813522000005/0001418135-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,446000000,477000000,510000000,497000000,-312000000,555000000,528000000,606000000,629000000,624000000,703000000,764000000,847000000,1076000000,586000000,1254000000,1325000000,2146000000
74,Depreciation and Amortization,- -,79000000,139000000,169000000,208000000,207000000,223000000,232000000,240000000,234000000,235000000,227000000,224000000,229000000,462000000,484000000,653000000,708000000
75,Deferred Income Tax,- -,56000000,14000000,55000000,-241000000,103000000,37000000,-498000000,91000000,138000000,43000000,29000000,29000000,-201000000,-81000000,-23000000,-51000000,31000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,19000000,29000000,34000000,35000000,37000000,48000000,44000000,45000000,36000000,35000000,64000000,85000000,88000000
77,Change in Working Capital,- -,- -,-59000000,1663000000,-1168000000,-11000000,-454000000,-129000000,261000000,-14000000,84000000,61000000,1451000000,-1806000000,-3422000000,-658000000,-1105000000,351000000
78,Accounts Receivable,- -,- -,- -,- -,- -,5000000,-2000000,-73000000,36000000,-13000000,- -,-26000000,-31000000,-47000000,82000000,-7000000,-5000000,-152000000
79,Inventory,- -,18000000,13000000,-14000000,57000000,3000000,19000000,29000000,17000000,-3000000,-8000000,-11000000,3000000,- -,185000000,-24000000,-107000000,-133000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-30000000,10000000,-6000000,29000000,-9000000,32000000,24000000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-59000000,1604000000,436000000,425000000,-29000000,-158000000,103000000,89000000,173000000,234000000,1685000000,-121000000,-3543000000,-4201000000,-5306000000,114000000
82,Other Non-Cash Items,164000000,-29000000,-23000000,-1781000000,2222000000,-8000000,2172000000,515000000,-798000000,-153000000,-91000000,-134000000,-1657000000,1704000000,4033000000,1353000000,1549000000,-450000000
83,Cash Provided by Operating Activities,610000000,583000000,581000000,603000000,709000000,865000000,2535000000,760000000,458000000,866000000,1022000000,991000000,939000000,1038000000,1613000000,2474000000,2456000000,2874000000
84,CAPEX,-71000000,-44000000,-158000000,-230000000,-304000000,-317000000,-246000000,-218000000,-200000000,-184000000,-171000000,-180000000,-182000000,-208000000,-180000000,-365000000,-517000000,-455000000
85,Acquisitions Net,- -,- -,-435000000,-30000000,- -,- -,-1000000,-2000000,- -,-10000000,-19000000,-20000000,-4000000,-1555000000,-18984000000,-24000000,-5000000,578000000
86,Purchases of Investments,- -,- -,-53000000,-2000000,- -,-8000000,- -,-2000000,- -,- -,- -,-15000000,-1000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,36000000,53000000,98000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,184000000,291000000,91000000,-923000000,4000000,74000000,22000000,2000000,- -,-6000000,4000000,20000000,-4000000,-6000000,33000000,204000000,150000000,55000000
89,Cash Used for Investing Activites,184000000,283000000,-502000000,-1087000000,-300000000,-251000000,-225000000,-217000000,-193000000,-195000000,-185000000,-194000000,-189000000,-1763000000,-19131000000,-150000000,-316000000,210000000
90,Debt Repayment,- -,-279000000,- -,- -,- -,-1805000000,-978000000,-400000000,-450000000,-250000000,-65000000,-5000000,-900000000,-574000000,-5364000000,-3491000000,-3107000000,-9331000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000000,- -,29000000,140000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1113000000,-522000000,-400000000,-400000000,-400000000,-521000000,-519000000,-399000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-80000000,-213000000,-2065000000,- -,-194000000,-251000000,-284000000,-302000000,-317000000,-355000000,-386000000,-414000000,-232000000,-844000000,-846000000,-955000000
94,Other Financing Activites,-799000000,-536000000,8000000,728000000,440000000,1251000000,5000000,1021000000,531000000,72000000,35000000,767000000,1935000000,480000000,14173000000,1971000000,1934000000,7384000000
95,Cash Used/Provided by Financing Activities,-799000000,-815000000,-72000000,515000000,-1625000000,-554000000,-2280000000,-152000000,-603000000,-880000000,-747000000,-114000000,130000000,-907000000,17577000000,-2364000000,-1990000000,-2762000000
96,Effect of Forex Changes on Cash,- -,-42000000,- -,1000000,-11000000,6000000,5000000,-5000000,3000000,-4000000,-6000000,-9000000,-4000000,3000000,-15000000,12000000,-6000000,-9000000
97,Net Change In Cash,- -,9000000,7000000,32000000,147000000,66000000,35000000,386000000,-335000000,-213000000,84000000,674000000,876000000,-1629000000,44000000,-28000000,144000000,313000000
98,Cash at the End of Period,- -,28000000,35000000,67000000,214000000,280000000,315000000,701000000,366000000,153000000,237000000,911000000,1787000000,158000000,139000000,111000000,255000000,568000000
99,Cash at the Beginning of Period,- -,19000000,28000000,35000000,67000000,214000000,280000000,315000000,701000000,366000000,153000000,237000000,911000000,1787000000,95000000,139000000,111000000,255000000
100,Free Cash Flow,539000000,539000000,423000000,373000000,405000000,548000000,2289000000,542000000,258000000,682000000,851000000,811000000,757000000,830000000,1433000000,2109000000,1939000000,2419000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418135/000095013409006140/0000950134-09-006140-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000095012310018549/0000950123-10-018549-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000144530511000302/dps2010123110k.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813512000006/0001418135-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813513000006/0001418135-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813514000008/dps-10kx123113.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813515000006/dps-10kx123114.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813516000050/0001418135-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813517000010/0001418135-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813518000006/0001418135-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813519000007/0001418135-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813520000007/0001418135-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1418135/000141813521000005/0001418135-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418135/000141813522000005/0001418135-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,
