,https://roic.ai/company/APTS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1481832/000114420412015257/0001144204-12-015257-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183213000022/0001481832-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183214000031/0001481832-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183215000020/0001481832-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183216000103/0001481832-16-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183217000050/0001481832-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183218000013/0001481832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183219000011/0001481832-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183220000010/0001481832-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183221000012/0001481832-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183222000021/0001481832-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,22275,4548020,2973509,9180431,3113270,2439605,12321787,21042862,38958000,94381000,28657000,30205000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22275,4548020,2973509,9180431,3113270,2439605,12321787,21042862,38958000,94381000,28657000,30205000
34,Net Receivables,- -,23811,39223378,132192993,194357989,301554521,407843525,491674567,487606000,482486000,414118000,289812000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,567346,540232,38516342,4707865,12539440,55392984,51968519,48732000,42872000,47059000,32675000
37,Total Current Assets,22275,5139177,42737119,179889766,202179124,316533566,475558296,564685948,575296000,619739000,489834000,352692000
38,PP&E,- -,79082885,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,907883,12702980,19381473,79156400,102743389,135961000,154803000,127138000,59622000
41,Intangible Assets,- -,- -,- -,907883,12702980,19381473,79156400,102743389,135961000,154803000,127138000,59622000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6657000,5992000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,807537,8243478,80554811,160839046,481528308,959613994,1866117906,2584940288,3699701000,3996018000,3657450000,3145062000
45,Total Non-Current Assets,807537,87326363,80554811,161746929,494231288,978995467,1945274306,2687683677,3835662000,4150821000,3791245000,3210676000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,829812,92465540,123291930,341636695,696410412,1295529033,2420832602,3252369625,4410958000,4770560000,4281079000,3563368000
48,Accounts Payable,- -,1158530,1110964,1638401,4941703,12644818,20814910,31252705,38618000,42191000,41912000,36517000
49,Short-Term Debt,665050,- -,14801197,29390000,24500000,34500000,127500000,41800000,57000000,- -,22000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,65446,301575,- -,- -,- -,- -,27947352,43484000,39722000,36010000,61202000
52,Other Current Liabilities,- -,986663,1053511,3343577,5739996,8450896,13701269,20708101,25969000,31671000,51349000,41629000
53,Total Current Liabilities,665050,2210639,17267247,34371978,35181699,55595714,162016179,121708158,165071000,113584000,151271000,139348000
54,Long-Term Debt,- -,55637000,55637000,140516000,362409466,702389934,1337592195,1801632343,2304806000,2636511000,2609278000,2343364000
55,Deferred Revenue,- -,- -,301575,- -,- -,- -,- -,27947352,43484000,39722000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,820962,- -,28533,695998,7237373,12089595,35963066,20316079,288212000,46627000,82082000,58622000
58,Total Non-Current Liabilities,820962,55637000,55967108,141211998,369646839,714479529,1373555261,1849895774,2636502000,2722860000,2691360000,2401986000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1486012,57847639,73234355,175583976,404828538,770075243,1535571440,1971603932,2801573000,2836444000,2842631000,2541334000
62,Preferred Stock,- -,- -,198,893,1928,4830,9144,12373,16000,21000,19000,16000
63,Common Stock,366,51493,52885,152945,214039,227616,264982,385647,418000,464000,500000,530000
64,Retained Earnings,-766199,-9261623,-9408253,-13391341,-11297852,-13698520,-23231643,4449353,- -,-7244000,-192446000,-172000000
65,Other Comprehensive Income/Loss,- -,-2698305,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,109632,46526335,59412744,177824720,300576349,536450877,906737470,1271039723,1607712000,1938057000,1631646000,1195775000
67,Total Stockholders Equity,-656201,34617900,50057574,164587217,289494464,522984803,883779953,1275887096,1608146000,1931298000,1439719000,1024321000
68,Total Liabilities And Stockholders Equity,829811,92465539,123291929,340171193,694323002,1293060046,2419351393,3247491028,4409719000,4767742000,4282350000,3565655000
69,Minority Interest,1,1,1,1465502,2087410,2468987,1481209,4878597,1239000,2818000,-1271000,-2287000
70,Total Liabilities & Equity,829812,92465540,123291930,341636695,696410412,1295529033,2420832602,3252369625,4410958000,4770560000,4281079000,3563368000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1481832/000114420412015257/0001144204-12-015257-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183213000022/0001481832-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183214000031/0001481832-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183215000020/0001481832-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183216000103/0001481832-16-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183217000050/0001481832-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183218000013/0001481832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183219000011/0001481832-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183220000010/0001481832-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183221000012/0001481832-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183222000021/0001481832-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-766199,-8495424,-146630,-3983088,2093489,-2400668,-9533123,27680996,43467000,-7244000,-177788000,20446000
74,Depreciation and Amortization,- -,2698305,3595298,15250130,16328715,38096334,78139798,116776809,171136000,179300000,201677000,169193000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,238152,1251216,1191637,1784349,2362453,2524042,3470284,1703000,1223000,4267000,5914000
77,Change in Working Capital,-172236,3571313,22541334,120047916,21479637,93940427,52604265,129435673,-32752790,95930000,-167592000,2802000
78,Accounts Receivable,- -,-23811,12358,-375738,-1723648,-2341649,-4331216,-12105325,-7631000,-20565000,-24437000,-5432000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-57884,-346221,1124078,4866996,3112553,2382465,2876000,1518000,7084000,3208000
81,Other Working Capital,-642775,2928538,25469872,145517788,166997425,260937852,313542117,442977790,410225000,506155000,338563000,- -
82,Other Non-Cash Items,- -,2515614,-23062277,-123820525,-26250128,-96777123,-62073513,-191074691,-38172210,-123578000,187328000,-16313000
83,Cash Provided by Operating Activities,-938435,527960,4178941,8686070,15436062,35221423,61661469,86289071,145381000,145631000,47892000,182042000
84,CAPEX,- -,-87907613,-334401,-35515408,-301624765,-424940275,-1009769295,-681377837,-886593000,-667160000,- -,-30313000
85,Acquisitions Net,- -,- -,273364,1136230,448150,726709,-839600,-2034398,4534000,-146000,31406000,- -
86,Purchases of Investments,- -,-6000000,-29072112,-86401588,-54939135,-114026945,-151027549,-148345526,-45927000,-30941000,-50000,-2742000
87,Sales/Maturities of Investments,- -,- -,- -,- -,13857393,18772024,3703514,2633592,4331000,80305000,3898000,12706000
88,Other Investing Activites,- -,222702,-3737860,-18286745,-16283734,-18281449,31691986,205821925,162305000,-710275000,208871000,64071000
89,Cash Used for Investing Activites,- -,-93684911,-32536608,-137725734,-356423742,-533510211,-1126583594,-723752904,-881805000,-661057000,244125000,74035000
90,Debt Repayment,- -,-1905050,-1962656,-130189734,-159226637,-321975271,-424171607,-492622533,-679577000,-510896000,-928308000,-428083000
91,Common Stock Issued,109998,46117663,17830828,93951272,142647322,269836616,413860859,376680450,408644000,501076000,4522000,28154000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-9367000,-12124000,-314154000,-379997000
93,Dividends Paid,- -,-1293162,-3098210,-8475984,-17415139,-32951857,-57456014,-89375218,-124292000,-156266000,-203846000,-191186000
94,Other Financing Activites,850712,54763245,14013194,179961032,368914973,582705635,1142571069,851502209,1155694000,743199000,1088232000,702199000
95,Cash Used/Provided by Financing Activities,960710,97682696,26783156,135246586,334920519,497615123,1074804307,646184908,751102000,564989000,-353554000,-268913000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4525745,-1574511,6206922,-6067161,-673665,9882182,8721075,14678000,49563000,-61537000,-12836000
98,Cash at the End of Period,22275,4548020,2973509,9180431,3113270,2439605,12321787,21042862,87690000,137253000,75716000,62880000
99,Cash at the Beginning of Period,- -,22275,4548020,2973509,9180431,3113270,2439605,12321787,73012000,87690000,137253000,75716000
100,Free Cash Flow,-938435,-87379653,4178941,8686070,15436062,35221423,61661469,86289071,145381000,145631000,47892000,151729000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1481832/000114420412015257/0001144204-12-015257-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183213000022/0001481832-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183214000031/0001481832-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183215000020/0001481832-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183216000103/0001481832-16-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183217000050/0001481832-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183218000013/0001481832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183219000011/0001481832-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183220000010/0001481832-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183221000012/0001481832-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1481832/000148183222000021/0001481832-22-000021-index.htm
102,false,,,,,,,,,,,,
