,https://roic.ai/company/IMII,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,EBITDA,- -,- -,-10000,-70000,-30000,-1350000,-2590000,-100000,-280000,-1692371,-4478375,23087267,-617545,-643851,1725297,4842801
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2707,3.8772,-0.1700,-0.1623,0.3482,1168655.6124
17,Operating Income,- -,- -,-4860,-70514,-31265,-1350268,-2602166,-93406,-260482,-735661,-1761878,-2970345,-1687977,-1846279,-803704,36901
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4999,-0.4988,-0.4648,-0.4653,-0.1622,8904.8792
19,Total Other Income Expenses (Gains),- -,- -,-5140,514,1265,268,2166,-6594,-9518,-914339,-8477700,20325145,-1696553,-3780771,-6170266,-36899
20,Income Before Tax,- -,- -,-10000,-70000,-30000,-1350000,-2600000,-100000,-270000,-1650000,-10239578,17354800,-3384530,-5627050,-6973970,2
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.9053,2.9145,-0.9319,-1.4182,-1.4075,0.5651
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-10000,-70000,-30000,-1350000,-2600000,-100000,-270000,-1650000,-10236284,17354160,-3384160,-5626010,-6974930,2
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.9044,2.9144,-0.9318,-1.4179,-1.4076,0.5651
25,EPS,- -,- -,-0.20,-0.22,-0.22,-11.00,-33.00,-1.25,-0.17,-0.44,-0.22,0.35,-0.07,-0.11,-0.12,0.03
26,EPS Diluted,- -,- -,-0.20,-0.22,-0.22,-11.00,-33.00,-1.25,-0.17,-0.44,-0.22,0.35,-0.07,-0.11,-0.12,0.00
27,Weighted Average Shares Outstanding,- -,- -,54858,259297,263636,188137,80212,81640,1618033,3835949,44353548,49103382,51635405,53501213,57056526,68440532
28,Weighted Average Shares Outstanding Diluted,- -,- -,54858,259297,263636,188137,80212,81640,1618033,3835949,44353548,49103382,51635405,53501213,57056526,538868082
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1416090/000121390008001916/0001213900-08-001916-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000121390009002591/0001213900-09-002591-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1416090/000135448812005419/0001354488-12-005419-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000149315213002318/0001493152-13-002318-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315214003691/0001493152-14-003691-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1416090/000149315217004017/0001493152-17-004017-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315218005247/0001493152-18-005247-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315219004619/0001493152-19-004619-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000149315220005161/0001493152-20-005161-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315221008929/0001493152-21-008929-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,10000,10000,10000,10000,- -,30000,10000,137639,194650,51800,50860,48000,34358
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118166
33,Cash and Short-Term Investments,- -,- -,- -,10000,10000,10000,10000,- -,30000,10000,137639,194650,51800,50860,48000,152524
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15095,11090,170,5550,20540,11870
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,969986,1483830,1430180,570610,855070,736749
36,Other Current Assets,- -,- -,- -,- -,- -,10000,- -,- -,40000,130000,18057,24750,46440,26380,11860,22281
37,Total Current Assets,- -,- -,- -,10000,10000,20000,10000,- -,70000,140000,1140777,1714320,1528590,653400,935470,923424
38,PP&E,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,1759673,1236530,882060,664040,443350,413811
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,950000,950000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,950000,950000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118166
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,10000,- -,10000,- -,- -,24769,26040,25590,36860,36800,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,30000,- -,10000,950000,950000,1784442,1262570,907650,700900,480150,531977
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,10000,10000,50000,10000,10000,1020000,1090000,2925219,2976890,2436240,1354300,1415620,1455401
48,Accounts Payable,- -,- -,- -,- -,- -,- -,40000,70000,- -,- -,309085,- -,- -,- -,750530,3454485
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,790000,576397,2073193,6909607,7237575,8269275,7548262,9431286
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,20000,120000,40000,90000,260000,583603,15578331,5759613,7799805,10827105,23271988,16101749
53,Total Current Liabilities,- -,- -,- -,- -,20000,120000,80000,160000,1050000,1160000,17960609,12669220,15037380,19096380,31570780,28987520
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1655,- -,- -,- -,1566630,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77716,248560,344830,332930,505100,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79371,248560,344830,332930,2071730,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1980052
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,20000,120000,80000,160000,1050000,1160000,18039980,12917780,15382210,19429310,33642510,30967572
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,1,1,1,1
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2554,510,520,540,600,787
64,Retained Earnings,- -,- -,-10000,-80000,-110000,-1460000,-4060000,-4160000,-4430000,-6080000,-13427504,-12999110,-16383270,-22009290,-37011080,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-235492,-549675,-555635,-557134,-525951,-673185
66,Other Total Stockholders Equity,- -,- -,6251,91456,95951,1391319,3993234,4000671,4391354,6010574,-1446169,3607390,3992408,4490872,14548369,-28786170
67,Total Stockholders Equity,- -,- -,-3749,11456,-14049,-68681,-66766,-159329,-38646,-69426,-15106611,-9940884,-12945976,-18075011,-22988061,-29458567
68,Total Liabilities And Stockholders Equity,- -,- -,- -,10000,5951,51319,13234,671,1011354,1090574,2933369,2976896,2436234,1354299,10654449,1509005
69,Minority Interest,- -,- -,- -,- -,4049,-1319,-3234,9329,8646,-574,-8150,-6,6,1,-9238829,-53604
70,Total Liabilities & Equity,- -,- -,- -,10000,10000,50000,10000,10000,1020000,1090000,2925219,2976890,2436240,1354300,1415620,1455401
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1416090/000121390008001916/0001213900-08-001916-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000121390009002591/0001213900-09-002591-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1416090/000135448812005419/0001354488-12-005419-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000149315213002318/0001493152-13-002318-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315214003691/0001493152-14-003691-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1416090/000149315217004017/0001493152-17-004017-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315218005247/0001493152-18-005247-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315219004619/0001493152-19-004619-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000149315220005161/0001493152-20-005161-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315221008929/0001493152-21-008929-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-10000,-70000,-30000,-1350000,-2600000,-100000,-270000,-1650000,-10236284,17354160,-3384160,-5626010,-6974930,2
74,Depreciation and Amortization,- -,- -,- -,- -,- -,2215,8972,820,207,- -,362172,799474,639097,225395,212006,49794
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,365092,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,799,10000,-20000,-90000,30000,-90000,-820000,-40000,5197507,22790700,-2553890,-4934190,-12192330,2571214
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3139,3153,-17368,16640,-14990,9222
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,733896,-137502,82653,839691,-284455,118320
80,Accounts Payable,- -,- -,- -,- -,- -,- -,37500,30000,-67500,- -,-29134,- -,2181020,2565603,2801163,2460170
81,Other Working Capital,- -,- -,- -,10000,-10000,-100000,-70000,-160000,-980000,-1020000,- -,-10954900,-13508790,-18442980,-30635310,-28064096
82,Other Non-Cash Items,- -,- -,6201,-9360,29521,897464,1642048,120972,947460,982863,4711538,-40250722,5259031,10159776,18525409,-2640819
83,Cash Provided by Operating Activities,- -,- -,-3000,-69360,-20479,-540321,-918980,-68208,-142333,-342045,34933,693612,-39922,-175029,-429845,-19809
84,CAPEX,- -,- -,- -,- -,- -,-26462,-2099,- -,- -,- -,- -,-311547,-287501,-30499,-1723,-11818
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10613
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,592919
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-431507,-581690,- -,- -,- -,249660
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-26462,-2099,- -,- -,- -,-377975,-893237,-287501,-30499,-1723,820148
90,Debt Repayment,- -,- -,- -,-3100,- -,-39295,-23881,- -,-160000,-142000,-439450,-3372458,-2384381,-4399153,-5383743,-3067001
91,Common Stock Issued,- -,- -,50,80000,- -,500000,900000,- -,101025,168500,49000,- -,49000,131010,48750,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,3100,- -,17400,109669,41984,65908,229507,290115,694909,3629847,2519989,4467793,5763975,2252600
95,Cash Used/Provided by Financing Activities,- -,- -,3150,76900,17400,570374,918103,65908,170532,316615,304459,257389,184608,199650,428982,-814401
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2746,-751,-35,4933,-275,424
97,Net Change In Cash,- -,- -,3150,7540,-3079,3591,-2976,-2300,28199,-25430,-41329,57013,-142850,-945,-2861,-13638
98,Cash at the End of Period,- -,- -,150,7690,4611,8202,5226,2926,31125,5695,137639,194652,51802,50857,47996,34358
99,Cash at the Beginning of Period,- -,- -,- -,150,7690,4611,8202,5226,2926,31125,178968,137639,194652,51802,50857,47996
100,Free Cash Flow,- -,- -,-3000,-69360,-20479,-566783,-921079,-68208,-142333,-342045,34933,382065,-327423,-205528,-431568,-31627
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1416090/000121390008001916/0001213900-08-001916-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000121390009002591/0001213900-09-002591-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1416090/000135448812005419/0001354488-12-005419-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000149315213002318/0001493152-13-002318-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315214003691/0001493152-14-003691-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1416090/000149315217004017/0001493152-17-004017-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315218005247/0001493152-18-005247-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315219004619/0001493152-19-004619-index.html,https://www.sec.gov/Archives/edgar/data/1416090/000149315220005161/0001493152-20-005161-index.htm,https://www.sec.gov/Archives/edgar/data/1416090/000149315221008929/0001493152-21-008929-index.htm
102,false,,,,,,,,,,,,,,,,
