,https://roic.ai/company/FORD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3800000,5100000,3600000,3900000,1900000,4245417,4507343,4925655,4984352,5118276,6248372,6109418,6618660,5693054,4931757,5802851,8079632,7237699,5671537,6653402,7305737,4463208,3593173,6307424,9678265,7605890,8899418
11,COGS and Expenses,15700000,19700000,11700000,13000000,16100000,14027199,13551379,15658347,17761979,18411356,39530575,28882356,23965573,21639074,18789879,20567691,25792057,32666795,30204691,33458595,31526435,26862942,24166143,34238851,40506413,35445741,39786995
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284475,42941,107686,61882,4626,33916,3022,- -,- -,- -,- -,60932,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115447,201004,174962,171957
14,Depreciation and Amortization,300000,200000,200000,200000,100000,154557,135995,128090,133283,118383,123850,102662,89955,64782,75585,53602,74307,103973,75188,64482,53445,52754,22372,228189,311581,271973,327290
15,EBITDA,-800000,-1800000,600000,-600000,1300000,301776,-498933,803682,1384497,1815535,12612904,2595830,-712884,-980087,-1018041,-1507189,-2882282,-9514973,-131191,-735424,-1380536,659316,601718,975956,-3095607,-1319179,1023052
16,EBITDA ratio,-0.0516,-0.1006,0.0472,-0.0462,0.0631,0.0209,-0.0379,0.0491,0.0733,0.0904,0.2432,0.0848,-0.0322,-0.0491,-0.0584,-0.0793,-0.1265,-0.3236,-0.0042,-0.0220,-0.0460,0.0240,0.0243,0.0283,-0.0828,-0.0383,0.0262
17,Operating Income,-200000,-1800000,1000000,- -,4500000,382836,-374821,704361,1137252,1661880,12338387,1725487,-1815060,-1665205,-1349454,-1570864,-3015017,-3263791,705815,-98677,-1512544,616954,598470,260652,-3097383,-1982383,-764999
18,Operating Income ratio,-0.0129,-0.1006,0.0787,- -,0.2184,0.0266,-0.0284,0.0430,0.0602,0.0828,0.2379,0.0564,-0.0819,-0.0834,-0.0774,-0.0827,-0.1324,-0.1110,0.0228,-0.0030,-0.0504,0.0225,0.0242,0.0076,-0.0828,-0.0575,-0.0196
19,Total Other Income Expenses (Gains),-300000,-200000,-400000,-400000,-3000000,-235617,-260107,-28769,113962,35272,150667,767681,1012221,620336,255828,10073,58428,-34187,-699873,-375195,-120400,-10392,-19124,371668,-510809,216269,1288804
20,Income Before Tax,-500000,-2000000,600000,-800000,1500000,147219,-634928,675592,1251214,1697152,12489054,2493168,-802839,-1044869,-1093626,-1560791,-2956589,-3297978,5942,-473872,-1632944,606562,579346,632320,-3608192,-1766114,523805
21,Income Before Tax Ratio,-0.0323,-0.1117,0.0472,-0.0615,0.0728,0.0102,-0.0482,0.0413,0.0662,0.0845,0.2408,0.0815,-0.0362,-0.0523,-0.0627,-0.0822,-0.1298,-0.1122,0.0002,-0.0142,-0.0544,0.0221,0.0234,0.0183,-0.0965,-0.0512,0.0134
22,Income Tax expense (Gain),-200000,-900000,200000,300000,400000,55129,1344000,-180000,-194200,-241979,3054615,952000,-249380,-155620,300499,124032,-56050,15110,507,- -,- -,- -,- -,-747000,-4162,9167,- -
23,Net Income,-900000,-1100000,200000,-1100000,800000,92090,-1978928,855592,1445414,1939131,9434439,1541168,-553459,-889249,-1394125,-1684823,-2900539,-9634056,-206886,-799906,-1433981,606562,579346,1379320,-3604030,-1775281,523805
24,Net Income ratio,-0.0581,-0.0615,0.0157,-0.0846,0.0388,0.0064,-0.1502,0.0523,0.0765,0.0966,0.1819,0.0504,-0.0250,-0.0445,-0.0799,-0.0887,-0.1273,-0.3277,-0.0067,-0.0240,-0.0478,0.0221,0.0234,0.0400,-0.0963,-0.0515,0.0134
25,EPS,-0.56,-0.48,0.04,-0.23,0.14,0.02,-0.33,0.15,0.25,0.32,1.37,0.20,-0.07,-0.11,-0.18,-0.21,-0.36,-1.19,-0.09,-0.12,-0.23,0.07,0.07,0.15,-0.38,-0.19,0.05
26,EPS Diluted,-0.56,-0.48,0.04,-0.23,0.14,0.01,-0.33,0.15,0.24,0.30,1.26,0.19,-0.07,-0.11,-0.18,-0.21,-0.36,-1.19,-0.09,-0.12,-0.23,0.07,0.07,0.15,-0.38,-0.19,0.05
27,Weighted Average Shares Outstanding,1607143,2178987,3809090,4650641,5751266,6088516,5908349,5825641,5815424,6136809,6873217,7855637,7844376,7888727,7926277,7983257,8080344,8101661,8111226,8186926,8342168,8521188,8727322,9264670,9532034,9583441,9950094
28,Weighted Average Shares Outstanding Diluted,1607143,2178987,3809090,4650641,5821554,6761884,5908349,5825641,5954354,6442188,7482510,8005111,7844376,7888727,7926277,7983257,8080344,8101661,8111226,8186926,8342168,8675583,8823059,9354669,9532034,9583441,10443018
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38264/000100329702000006/forward10ksb405.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329702000229/forward10k1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329703000453/forward10ksb.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329704000465/forward10k1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329705000378/forward10k.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329706000437/forward10ksb1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329707000315/0001003297-07-000315-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329708000271/0001003297-08-000271-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329709000288/0001003297-09-000288-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329710000300/0001003297-10-000300-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329711000378/0001003297-11-000378-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329712000514/0001003297-12-000514-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329714000017/es201310k.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329714000579/0001003297-14-000579-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329715000510/0001003297-15-000510-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329716000907/0001003297-16-000907-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329717000352/0001003297-17-000352-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329718000182/0001003297-18-000182-index.html,https://www.sec.gov/Archives/edgar/data/38264/000168316819004079/0001683168-19-004079-index.html,https://www.sec.gov/Archives/edgar/data/38264/000168316820004344/0001683168-20-004344-index.htm,https://www.sec.gov/Archives/edgar/data/38264/000168316821006416/0001683168-21-006416-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,1400000,700000,1200000,840532,1376572,1207311,2125300,4487415,15291739,18609371,20267791,19862426,20103502,18471520,14911844,4608246,6616995,6477132,4042124,4760620,4622981,4369866,3092813,2924627,1410365
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75034,- -,- -,- -,- -,- -,- -,420605,1080747,1051230,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,200000,1400000,700000,1200000,840532,1376572,1207311,2125300,4487415,15366773,18609371,20267791,19862426,20103502,18471520,14911844,5028851,7697742,7528362,4042124,4760620,4622981,4369866,3092813,2924627,1410365
34,Net Receivables,- -,2900000,2900000,3300000,4700000,2525253,2561691,2680916,3460085,3609559,12708684,6069058,4135117,3659553,3259462,4621181,4894118,7533491,4382406,6124871,5454129,4864423,6218563,9024518,6695120,7602316,8760715
35,Inventory,- -,1900000,900000,1100000,1000000,857082,753926,718986,708235,811694,1113157,2449065,1072360,1363862,666485,1036386,1045219,3380813,2050710,2374837,2866464,2572980,2120971,1568914,1608827,1275694,2062557
36,Other Current Assets,- -,700000,1800000,600000,1200000,594697,269728,234624,256176,354489,429659,412461,908527,636081,228938,240651,1018227,989431,729535,401549,296012,141421,157930,248434,441502,419472,561072
37,Total Current Assets,- -,5700000,7000000,5700000,8100000,4817564,4961917,4841837,6549796,9263157,29618273,27539955,26383795,25521922,24258387,24369738,21869408,16932586,14860393,16429619,12658729,12339444,13120445,15211732,11838262,12222109,12794709
38,PP&E,- -,700000,600000,200000,500000,572177,457132,341187,258323,264043,243845,190084,160644,124854,162468,115205,302158,138774,129987,98990,78733,43030,20658,358975,243002,3727042,3911239
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2182427,2182427,1758682,1758682
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1411182,1248712,1531000,1318658
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3593609,3431139,3289682,3077340
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326941,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,164500,331300,617199,- -,- -,29898,359681,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2400000,2400000,2200000,1200000,1547586,301651,41337,40607,44967,44467,51932,57538,98259,59532,46032,88716,40442,40493,40962,40962,12843,12843,63550,255008,116697,72251
45,Total Non-Current Assets,- -,3100000,3000000,2400000,1700000,2119763,758783,547024,630230,926209,288312,242016,248080,582794,222000,161237,390874,179216,170480,139952,119695,55873,33501,4016134,4256090,7133421,7060830
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8800000,10000000,8100000,9800000,6937327,5720700,5388861,7180026,10189366,29906585,27781971,26631875,26104716,24480387,24530975,22260282,17111802,15030873,16569571,12778424,12395317,13153946,19227866,16094352,19355530,19855539
48,Accounts Payable,- -,1600000,1900000,1200000,2300000,784950,1051609,1306381,1140960,1813543,5159020,2141191,1904946,2206630,1824091,2439273,2947562,5936848,3541193,666630,122803,62136,67351,329967,315444,197022,391992
49,Short-Term Debt,- -,1600000,1600000,1800000,1000000,374360,26030,27814,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2176988,2994740,3861464,343197
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19152,47256,44128,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,713105,309571,169642,125013,219831,485078,187695
52,Other Current Liabilities,- -,600000,700000,1600000,1400000,503170,1708157,291984,743450,757026,1905425,690413,303185,189827,133857,885332,630031,1986991,1295895,5767679,4494001,3797846,3949568,4992322,4765665,4282802,6285159
53,Total Current Liabilities,- -,3800000,4200000,4600000,4700000,1662480,2785796,1626179,1884410,2570569,7064445,2831604,2208131,2396457,1957948,3324605,3577593,7923839,4837088,6434309,5329909,4169553,4186561,7624290,8295680,8826366,7208043
54,Long-Term Debt,- -,1300000,1500000,- -,- -,112595,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54335,- -,529973,3559053
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,- -,- -,- -,86565,58751,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,799475,948567,115202,51486,36963,449646,87373,3416857,1645000
58,Total Non-Current Liabilities,- -,1300000,1600000,- -,- -,112595,86565,58751,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,799475,948567,115202,51486,36963,503981,87373,3946830,5204053
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120917,66379,3649926,- -
61,Total Liabilities,- -,5100000,5800000,4600000,4700000,1775075,2872361,1684930,1884410,2570569,7064445,2831604,2208131,2396457,1957948,3324605,3577593,7923839,5636563,7382876,5445111,4221039,4223524,8128271,8383053,12773196,12412096
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,62865,62865,62865,65027,67899,83970,84249,84889,86219,86436,87616,87943,88116,88191,91598,86418,87808,89208,95338,95338,98838,100612
64,Retained Earnings,- -,-1800000,-1800000,-2900000,-2000000,-2233479,-4784419,-3928827,-2483413,-544282,8890157,10431325,9877866,8988617,7594492,5909669,3009130,-6624926,-7378700,-8371806,-10281367,-9674805,-9095459,-7716139,-11320169,-13095450,-12571645
65,Other Comprehensive Income/Loss,- -,-1600000,-1400000,-100000,-200000,-212515,-321725,-449812,-533202,-651585,-768496,-871158,-961114,-1025895,-770391,-817254,-827153,-35941,-20451,-20411,-21785,-21785,- -,-469481,-618581,-483000,- -
66,Other Total Stockholders Equity,- -,7100000,7400000,6500000,7200000,7545381,7891618,8019705,8247204,8746765,14636509,15305951,15422103,15659318,15611902,16026339,16412769,15760714,16705270,17487314,17550047,17783060,17936673,19189877,19554711,20062684,19914476
67,Total Stockholders Equity,- -,3700000,4200000,3500000,5100000,5162252,2848339,3703931,5295616,7618797,22842140,24950367,24423744,23708259,22522439,21206370,18682689,9187963,9394310,9186695,7333313,8174278,8930422,11099595,7711299,6583072,7443443
68,Total Liabilities And Stockholders Equity,- -,8800000,10000000,8100000,9800000,6937327,5720700,5388861,7180026,10189366,29906585,27781971,26631875,26104716,24480387,24530975,22260282,17111802,15030873,16569571,12778424,12395317,13153946,19227866,16094352,19356268,19855539
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-738,- -
70,Total Liabilities & Equity,- -,8800000,10000000,8100000,9800000,6937327,5720700,5388861,7180026,10189366,29906585,27781971,26631875,26104716,24480387,24530975,22260282,17111802,15030873,16569571,12778424,12395317,13153946,19227866,16094352,19355530,19855539
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38264/000100329702000006/forward10ksb405.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329702000229/forward10k1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329703000453/forward10ksb.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329704000465/forward10k1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329705000378/forward10k.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329706000437/forward10ksb1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329707000315/0001003297-07-000315-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329708000271/0001003297-08-000271-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329709000288/0001003297-09-000288-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329710000300/0001003297-10-000300-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329711000378/0001003297-11-000378-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329712000514/0001003297-12-000514-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329714000017/es201310k.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329714000579/0001003297-14-000579-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329715000510/0001003297-15-000510-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329716000907/0001003297-16-000907-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329717000352/0001003297-17-000352-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329718000182/0001003297-18-000182-index.html,https://www.sec.gov/Archives/edgar/data/38264/000168316819004079/0001683168-19-004079-index.html,https://www.sec.gov/Archives/edgar/data/38264/000168316820004344/0001683168-20-004344-index.htm,https://www.sec.gov/Archives/edgar/data/38264/000168316821006416/0001683168-21-006416-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-900000,-1100000,200000,-1100000,800000,92090,-1978928,855592,1445414,1939131,9434439,1541168,-553459,-889249,-1394125,-1684823,-2900539,-9634056,-206886,-799906,-1433981,606562,579346,1379320,-3604030,-1775281,523805
74,Depreciation and Amortization,300000,200000,200000,200000,100000,154557,135995,128090,133283,118383,123850,102662,89955,64782,75585,53602,74307,103973,75188,64482,53445,52754,22372,228189,311581,271973,327290
75,Deferred Income Tax,-200000,-900000,100000,300000,300000,70027,1344000,-180000,-210000,-391612,470965,132647,-226639,-99491,409130,- -,- -,- -,- -,- -,- -,- -,- -,-747000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194357,268718,376858,175271,436422,232700,69751,236070,155013,289853,215734,245154,68855
77,Change in Working Capital,900000,1900000,900000,-1700000,2300000,-244916,-978963,1039537,1449728,2027202,15861240,2154523,-532687,-1050199,-825026,-1255306,-2753318,-9283068,1014558,-27995,-2666490,841071,763993,-1346442,-4044860,-146839,2190923
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376690,-1370594,725841,- -,2862208,-1742465,670742,589706,-1354140,-587626,263806,-733228,-1664868
79,Inventory,-500000,300000,300000,-100000,100000,134982,103156,34940,10751,-243093,-409095,-1598845,763596,-823303,737194,-399697,-20358,-3504109,1681045,-324127,-491627,293484,452009,552057,-39913,333133,-786863
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-382539,615182,- -,- -,-2416091,2319203,- -,- -,- -,574936,-975265,245679,2306277
81,Other Working Capital,- -,1900000,2800000,1100000,3400000,3155084,2176121,3215658,4665386,6692588,22553828,24708351,24175664,23125465,22300439,21045133,18291815,9008747,10023305,9995310,7328820,8169891,8933884,7587442,3542582,3395743,5586666
82,Other Non-Cash Items,-600000,-3500000,-1100000,1300000,-2800000,644056,850258,-736673,-1902668,-1590936,-18777271,-727161,3080913,1559284,1892165,927393,3409649,7851098,931130,765188,1955370,-968173,-1658363,1152565,5151846,1142047,-3639184
83,Cash Provided by Operating Activities,-500000,-3400000,300000,-1000000,700000,715814,-627638,1106546,915757,2102168,7113223,3203839,1858083,-414873,352086,-1690416,-1793043,-10786782,2250412,234469,-2021905,768284,-137639,956485,-1969729,-262946,-528311
84,CAPEX,-200000,-100000,-100000,-200000,-400000,-262569,-81945,-12145,-61065,-124103,-108653,-48900,-60515,-28992,-124958,-8566,-276633,-72467,-74187,-33485,-33189,-48121,- -,-55881,-33138,-68456,-67207
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1329565,- -,-321604,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-444349,-88634554,-5783928,-10898,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75034,- -,- -,- -,- -,- -,1000000,87275809,5566758,952127,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,400000,400000,100000,1700000,300000,-123318,454968,262368,3591,- -,1000,- -,- -,- -,- -,- -,-1490000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,200000,300000,- -,1500000,- -,-385887,373023,250223,-57474,-124103,-107653,26134,-60515,-28992,-124958,-8566,-1766633,483184,-1432932,-250655,908040,-48121,- -,-1385446,-33138,-390060,-67207
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1824154,-824186,-1303750,-1150000
91,Common Stock Issued,800000,3100000,500000,400000,100000,- -,- -,- -,237820,463773,3542391,87659,92750,38500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-54532,-326186,- -,-91549,-79723,- -,- -,-231898,- -,- -,- -,- -,- -,- -,-47178,-12198,-1667,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14527,-76499,-21208,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-300000,300000,-1600000,-300000,-655013,1125640,-1526030,-86565,- -,256363,- -,- -,- -,13948,67000,- -,- -,1205796,- -,-1287737,- -,- -,2000000,1550000,1788570,231256
95,Cash Used/Provided by Financing Activities,800000,2800000,800000,-1200000,-200000,-709545,799454,-1526030,59706,384050,3798754,87659,-139148,38500,13948,67000,- -,- -,1191269,-123677,-1321143,-1667,- -,175846,725814,484820,-918744
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,9388,-8799,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,800000,2800000,800000,-1200000,500000,-370230,536040,-169261,917989,2362115,10804324,3317632,1658420,-405365,241076,-1631982,-3559676,-10303598,2008749,-139863,-2435008,718496,-137639,-253115,-1277053,-168186,-1514262
98,Cash at the End of Period,- -,- -,- -,- -,1200000,840532,1376572,1207311,2125300,4487415,15291739,18609371,20267791,19862426,20103502,18471520,14911844,4608246,6616995,6477132,4042124,4760620,4622981,4369866,3092813,2924627,1410365
99,Cash at the Beginning of Period,- -,500000,200000,1400000,700000,1210762,840532,1376572,1207311,2125300,4487415,15291739,18609371,20267791,19862426,20103502,18471520,14911844,4608246,6616995,6477132,4042124,4760620,4622981,4369866,3092813,2924627
100,Free Cash Flow,-700000,-3500000,200000,-1200000,300000,453245,-709583,1094401,854692,1978065,7004570,3154939,1797568,-443865,227128,-1698982,-2069676,-10859249,2176225,200984,-2055094,720163,-137639,900604,-2002867,-331402,-595518
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38264/000100329702000006/forward10ksb405.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329702000229/forward10k1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329703000453/forward10ksb.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329704000465/forward10k1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329705000378/forward10k.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329706000437/forward10ksb1.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329707000315/0001003297-07-000315-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329708000271/0001003297-08-000271-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329709000288/0001003297-09-000288-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329710000300/0001003297-10-000300-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329711000378/0001003297-11-000378-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329712000514/0001003297-12-000514-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329714000017/es201310k.htm,https://www.sec.gov/Archives/edgar/data/38264/000100329714000579/0001003297-14-000579-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329715000510/0001003297-15-000510-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329716000907/0001003297-16-000907-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329717000352/0001003297-17-000352-index.html,https://www.sec.gov/Archives/edgar/data/38264/000100329718000182/0001003297-18-000182-index.html,https://www.sec.gov/Archives/edgar/data/38264/000168316819004079/0001683168-19-004079-index.html,https://www.sec.gov/Archives/edgar/data/38264/000168316820004344/0001683168-20-004344-index.htm,https://www.sec.gov/Archives/edgar/data/38264/000168316821006416/0001683168-21-006416-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
