,https://roic.ai/company/BB,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16,EBITDA ratio,-0.2959,0.0940,0.2398,0.2438,0.0571,-0.0701,-0.2802,0.1718,0.1021,0.2769,0.3244,0.3308,0.2827,0.2596,0.2799,0.1646,0.0614,-0.8680,0.0927,0.1546,-0.7403,0.6255,0.2500,0.0615,-1.0246,0.2716
17,Operating Income,-2557358,-598673,4805147,10068000,-4651000,-58715977,-128649515,37023000,34054000,419147677,806707378,1736612467,2722096000,3237870000,4636000000,1490000000,-1235000000,-7163000000,-423000000,-223000000,-1181000000,283000000,60000000,-149000000,-1107000000,248000000
18,Operating Income ratio,-0.3571,-0.0256,0.1028,0.1185,-0.0210,-0.1997,-0.4190,0.0623,0.0252,0.2032,0.2657,0.2881,0.2460,0.2165,0.2329,0.0808,-0.1115,-1.0514,-0.1268,-0.1032,-0.9022,0.3036,0.0664,-0.1433,-1.2396,0.3454
19,Total Other Income Expenses (Gains),2703493,1297123,3703968,5968000,8171000,20383132,11440183,10606000,37107000,66108963,52109208,79911947,78267000,28640000,8000000,21000000,15000000,-21000000,38000000,-59000000,-27000000,123000000,17000000,1000000,-6000000,-229000000
20,Income Before Tax,- -,698451,8509116,16036000,3520000,-38332845,-117209331,47629000,71161000,485256639,858816585,1816524414,2800363000,3266510000,4644000000,1511000000,-1220000000,-7184000000,-385000000,-282000000,-1208000000,406000000,77000000,-148000000,-1113000000,19000000
21,Income Before Tax Ratio,- -,0.0299,0.1820,0.1887,0.0159,-0.1304,-0.3818,0.0801,0.0527,0.2353,0.2828,0.3013,0.2531,0.2184,0.2333,0.0820,-0.1102,-1.0545,-0.1154,-0.1306,-0.9228,0.4356,0.0852,-0.1423,-1.2464,0.0265
22,Income Tax expense (Gain),-73067,299336,2202359,5538000,9731000,-9860645,31780288,-4200000,-142226000,103807784,227339007,518280551,907747000,809366000,1233000000,347000000,-592000000,-1311000000,-81000000,-74000000,-2000000,1000000,-16000000,4000000,-9000000,7000000
23,Net Income,- -,399115,6306756,10498000,-6211000,-28472200,-148989620,51829000,213387000,381448855,631477579,1297942917,1892616000,2457144000,3411000000,1164000000,-646000000,-5873000000,-304000000,-208000000,-1206000000,405000000,93000000,-152000000,-1104000000,12000000
24,Net Income ratio,- -,0.0171,0.1349,0.1236,-0.0281,-0.0968,-0.4853,0.0872,0.1580,0.1849,0.2080,0.2153,0.1710,0.1643,0.1713,0.0631,-0.0583,-0.8620,-0.0912,-0.0963,-0.9213,0.4345,0.1029,-0.1462,-1.2363,0.0167
25,EPS,- -,0.00,0.02,0.03,-0.01,-0.06,-0.32,0.11,0.38,0.67,1.14,2.31,3.35,4.35,6.36,2.22,-1.23,-11.18,-0.58,-0.40,-2.30,0.76,0.17,-0.27,-1.97,0.02
26,EPS Diluted,- -,0.00,0.02,0.03,-0.01,-0.06,-0.32,0.10,0.36,0.65,1.11,2.26,3.30,4.31,6.34,2.22,-1.23,-11.18,-0.58,-0.86,-2.30,0.74,0.15,-0.32,-1.97,0.02
27,Weighted Average Shares Outstanding,340812000,340812000,380549680,393675000,465825000,474001350,463748045,478421538,561544737,566458171,554556522,562282634,565059000,564492000,535986000,524101000,524160000,525168000,527684000,526303000,525265000,532888000,540477000,553861000,561305000,561305000
28,Weighted Average Shares Outstanding Diluted,340812000,340812000,380549680,419920000,465825000,474001350,463748045,501570968,587303670,583799505,571311212,574722537,574156000,569759000,538330000,524190000,524160000,525168000,527684000,651303000,525265000,545886000,616467000,614361000,561305000,561305000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070235/000107023520000025/0001070235-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1070235/000107023521000029/0001070235-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1070235/000107023522000048/0001070235-22-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6941400,1796017,9510188,126000,508822000,340394704,340984521,1156419000,610354000,458783304,677042766,1188129069,835546000,1550861000,1791000000,1527000000,1549000000,1579000000,1233000000,957000000,734000000,816000000,548000000,377000000,214000000,378000000
32,Short-Term Investments,- -,74734281,56260272,218116000,213105000,304010394,- -,- -,315495000,175263928,310035642,422034310,682666000,360614000,330000000,247000000,1105000000,950000000,1658000000,1420000000,644000000,1443000000,368000000,532000000,525000000,334000000
33,Cash and Short-Term Investments,6941400,76530299,65770460,218242000,721927000,644405098,340984521,1156419000,925849000,634047231,987078407,1610163379,1518212000,1911475000,2121000000,1774000000,2654000000,2529000000,2891000000,2377000000,1378000000,2259000000,916000000,909000000,739000000,712000000
34,Net Receivables,8037410,10476769,12313191,33274000,64162000,48606391,45381396,107362000,240875000,346567388,612719383,1253316778,2269845000,2800115000,4279000000,3693000000,3222000000,1497000000,769000000,389000000,232000000,248000000,222000000,235000000,217000000,147000000
35,Inventory,11544644,10776105,19520913,36852000,68044000,37468052,31302863,42836000,92489000,134301489,255868741,397515314,682400000,621611000,618000000,1027000000,603000000,244000000,122000000,143000000,26000000,3000000,- -,- -,- -,- -
36,Other Current Assets,146135,299336,3904182,6014000,2932000,6662408,11088871,48788000,285035000,139593760,63311533,227312829,371129000,479455000,470000000,562000000,622000000,787000000,385000000,102000000,55000000,38000000,56000000,52000000,50000000,-684000000
37,Total Current Assets,26669589,98082508,101508746,294382000,857065000,737141949,428757650,1355405000,1544248000,1254509868,1918978065,3488308300,4841586000,5812656000,7488000000,7056000000,7101000000,5057000000,4167000000,3011000000,1691000000,2548000000,1194000000,1196000000,1006000000,175000000
38,PP&E,5772322,9678539,14815872,39297000,95208000,151806744,161326602,147709000,210112000,325775680,487506105,708178887,1334648000,1956581000,2504000000,2748000000,2395000000,942000000,556000000,412000000,91000000,64000000,85000000,194000000,111000000,91000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,28978205,109915565,114815555,137572000,150561000,508000000,304000000,- -,- -,76000000,618000000,559000000,569000000,1463000000,1437000000,849000000,844000000
40,Intangible Assets,- -,- -,- -,- -,- -,30390742,82140115,94378000,112766000,85787506,138161341,471468547,1066527000,1326363000,1798000000,3286000000,3448000000,1424000000,1375000000,1213000000,602000000,477000000,1068000000,915000000,771000000,522000000
41,Intangible Assets,- -,- -,- -,- -,- -,30390742,82140115,94378000,112766000,114765711,248076906,586284102,1204099000,1476924000,2306000000,3590000000,3448000000,1424000000,1451000000,1831000000,1161000000,1046000000,2531000000,2352000000,1620000000,1366000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,958248000,577000000,337000000,221000000,129000000,316000000,197000000,269000000,55000000,55000000,32000000,37000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,28591172,- -,- -,- -,- -,8337753,4560320,404000,- -,- -,- -,- -,- -,- -,33000000,- -,3000000,2000000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,3548000,17790000,- -,190199303,333886000,753868000,613297455,425588364,741216636,720635000,- -,- -,- -,- -,- -,59000000,50000000,51000000,64000000,62000000,114000000,44000000,- -
45,Total Non-Current Assets,5772322,9678539,14815872,42845000,112998000,210788658,433666019,575973000,1076746000,1053838846,1169509129,2040239945,3259786000,4391753000,5387000000,6675000000,6064000000,2495000000,2382000000,2523000000,1572000000,1232000000,2735000000,2692000000,1812000000,1457000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32441911,107761046,116324618,337227000,970063000,947930607,862423669,1931378000,2620994000,2308348714,3088487194,5528548245,8101372000,10204409000,12875000000,13731000000,13165000000,7552000000,6549000000,5534000000,3263000000,3780000000,3929000000,3888000000,2818000000,1632000000
48,Accounts Payable,1461347,1796017,7708258,11033000,45892000,46922794,18610566,35570000,68464000,94797645,130250524,271929939,448339000,615620000,832000000,744000000,1064000000,474000000,235000000,270000000,103000000,46000000,48000000,31000000,20000000,22000000
49,Short-Term Debt,1096011,- -,- -,185000,198000,384908,6148473,193000,223000,261569,270960,350099,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,637000000,33000000,66000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95650000,179000000,- -,- -,- -,- -,9000000,- -,18000000,17000000,18000000,6000000,9000000
51,Deferred Revenue,- -,- -,- -,- -,- -,9770666,14348772,16498000,16235000,20933474,28442747,37353301,53834000,67573000,108000000,263000000,542000000,580000000,470000000,392000000,245000000,195000000,214000000,264000000,225000000,207000000
52,Other Current Liabilities,73067,498894,2602788,8092000,14712000,2445416,110124025,156614000,545892000,162228427,387529055,1169442389,1613178000,1748584000,2690000000,2382000000,1842000000,1214000000,658000000,377000000,258000000,223000000,209000000,189000000,151000000,- -
53,Total Current Liabilities,2630425,2294911,10311046,19310000,60802000,59523784,149231836,208875000,630814000,278221114,546493285,1479075727,2115351000,2431777000,3630000000,3389000000,3448000000,2268000000,1363000000,1039000000,606000000,464000000,471000000,1121000000,429000000,295000000
54,Long-Term Debt,- -,- -,- -,6526000,6328000,11871165,5781146,6240000,6504000,6839719,6341052,7281867,- -,- -,- -,- -,- -,1627000000,1707000000,1277000000,591000000,782000000,665000000,- -,810000000,507000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,109000000,69000000,37000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,27812128,52524146,65262945,87917000,169969000,276000000,232000000,245000000,32000000,48000000,10000000,9000000,6000000,2000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100107,- -,- -,- -,- -,- -,- -,-0,- -,30970255,23976000,- -,31000000,10000000,12000000,- -,- -,- -,- -,23000000,19000000,129000000,6000000,- -
58,Total Non-Current Liabilities,- -,- -,-100107,6526000,6328000,11871165,5781146,6240000,6504000,34651847,58865198,103515067,111893000,169969000,307000000,242000000,257000000,1659000000,1755000000,1287000000,600000000,811000000,822000000,238000000,885000000,544000000
59,Other Liabilities,- -,- -,-200215,- -,- -,23742330,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,123000000,- -
61,Total Liabilities,2630425,2294911,10210939,25836000,67130000,71394949,155012982,215115000,637318000,312872961,605358483,1582590794,2227244000,2601746000,3937000000,3631000000,3705000000,3927000000,3118000000,2326000000,1206000000,1275000000,1293000000,1359000000,1314000000,839000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2418000000,2444000000,2448000000,2512000000,2560000000,2688000000,2760000000,2823000000,- -
64,Retained Earnings,-438404,1297123,7508043,18130000,11919000,-18000701,-171187379,-119206000,94181000,147784251,359173295,1686563,3545710000,5274365000,6749000000,7913000000,7267000000,1394000000,1010000000,768000000,-438000000,-45000000,-32000000,-198000000,-1306000000,-1294000000
65,Other Comprehensive Income/Loss,-657606,-2195132,-4805147,-9705000,-18833000,-35328563,3442064,6081000,-2771000,-1970749,-11514278,30378397,457000,51092000,-10000000,40000000,-4000000,-8000000,-23000000,-8000000,-17000000,-10000000,-20000000,-33000000,-13000000,-19000000
66,Other Total Stockholders Equity,30907497,106364144,103410784,302966000,909847000,929864921,942768187,1934663000,1892495000,1849691502,2135955415,3914270888,2916836000,2277298000,2199000000,2147000000,2197000000,-179000000,- -,- -,- -,- -,- -,- -,- -,1313000000
67,Total Stockholders Equity,29811486,105466135,106113680,311391000,902933000,876535658,707410687,1716263000,1983676000,1995475753,2483128710,3945957450,5874128000,7602663000,8938000000,10100000000,9460000000,3625000000,3431000000,3208000000,2057000000,2505000000,2636000000,2529000000,1504000000,793000000
68,Total Liabilities And Stockholders Equity,32441911,107761047,116324618,337227000,970063000,947930607,862423669,1931378000,2620994000,2308348714,3088487194,5528548244,8101372000,10204409000,12875000000,13731000000,13165000000,7552000000,6549000000,5534000000,3263000000,3780000000,3929000000,3888000000,2818000000,1632000000
69,Minority Interest,0,-1,- -,- -,- -,-1,-0,- -,- -,0,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32441911,107761046,116324618,337227000,970063000,947930607,862423669,1931378000,2620994000,2308348714,3088487194,5528548245,8101372000,10204409000,12875000000,13731000000,13165000000,7552000000,6549000000,5534000000,3263000000,3780000000,3929000000,3888000000,2818000000,1632000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070235/000107023520000025/0001070235-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1070235/000107023521000029/0001070235-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1070235/000107023522000048/0001070235-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,399115,6306756,10498000,-6211000,-28472200,-148989620,51829000,213387000,381448855,631477579,1297942917,1892616000,2457144000,3411000000,1164000000,-646000000,-5873000000,-304000000,-208000000,-1206000000,405000000,93000000,-152000000,-1104000000,12000000
74,Depreciation and Amortization,438404,1496681,2702896,4683000,9123000,17735764,31174750,54529000,66760000,85731598,126336109,177924735,327896000,615621000,927000000,1523000000,1918000000,1270000000,694000000,616000000,239000000,177000000,149000000,212000000,198000000,176000000
75,Deferred Income Tax,-73067,- -,- -,3650000,5011000,-16916960,29270054,- -,-143651000,77809664,101560814,-67455831,-36623000,51363000,92000000,-5000000,87000000,-149000000,62000000,-105000000,33000000,-7000000,-25000000,- -,-3000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58038000,72000000,97000000,86000000,68000000,50000000,60000000,60000000,49000000,67000000,63000000,44000000,36000000
77,Change in Working Capital,-13371328,71748432,-4589896,183874300,521191000,-118644835,-398092351,867004186,-233096000,62854753,396196026,636747794,717002427,654644000,477121000,-191000000,-14000000,-864000000,15000000,-832000000,-887000000,999000000,-1361000000,-648000000,502000000,-697000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-480610000,-1352000000,898000000,709000000,1381000000,469000000,200000000,157000000,49000000,-9000000,18000000,29000000,44000000
79,Inventory,-8475815,299336,-9309973,-17040000,-31192000,30559702,6207525,-11561000,-49653000,-41964785,-121219874,-140802160,-286133000,60789000,42000000,-409000000,426000000,359000000,123000000,-21000000,117000000,23000000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167281000,216000000,-90000000,296000000,-590000000,-240000000,14000000,-167000000,-82000000,-15000000,-17000000,-11000000,2000000
81,Other Working Capital,24039164,95787596,91197700,275072000,796263000,677618165,279525814,1146530000,913434000,976288753,1372484779,2009232573,2726235000,3380879000,3858000000,3667000000,3653000000,2789000000,2804000000,1972000000,1085000000,2084000000,723000000,75000000,577000000,-120000000
82,Other Non-Cash Items,73067,-73444671,-2717933,-218452300,-523968000,163999003,489429652,-909527186,374582000,-458001016,-520011512,-463433536,-1449046427,-801936000,-970121000,324000000,872000000,5389000000,296000000,726000000,1537000000,-919000000,1177000000,551000000,445000000,445000000
83,Cash Provided by Operating Activities,-12932924,199557,1701823,-15747000,5146000,17700772,2792485,63835000,277982000,149843855,735559016,1581726079,1451845000,3034874000,4009000000,2912000000,2303000000,-159000000,813000000,257000000,-224000000,704000000,100000000,26000000,82000000,-28000000
84,CAPEX,-6064592,-5886946,-8709330,-24419000,-68146000,-73899350,-39705343,-21815000,-109363000,-202100664,-314297005,-728329164,-1521434000,-1430816000,-1596000000,-3119000000,-1418000000,-1363000000,-508000000,-102000000,-69000000,-45000000,-49000000,-44000000,-44000000,-8000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-9706682,-22009592,- -,-3888000,-3788751,-116172629,-6219531,-48425000,-143375000,-494000000,-226000000,-60000000,-7000000,-119000000,-698000000,-5000000,- -,-1402000000,1000000,- -,- -
86,Purchases of Investments,- -,- -,-76582042,-259968000,-388672000,-925663925,-232136632,-211060000,-842170000,-301875101,-263187647,-2013899228,-1424398000,-1339933000,-1287000000,-605000000,-1768000000,-1928000000,-3751000000,-3090000000,-1796000000,-3526000000,-2897000000,-1181000000,-1044000000,- -
87,Sales/Maturities of Investments,- -,- -,28930994,98848000,393683000,834707648,346291244,67817000,94407000,574977658,329134786,1590875812,1170734000,1443997000,1679000000,926000000,1006000000,2209000000,2857000000,3447000000,2499000000,2938000000,3972000000,1036000000,1047000000,13000000
88,Other Investing Activites,- -,- -,0,- -,-20812000,-7104303,-31024616,-31774000,-17061000,-0,- -,-1,- -,-421400000,-557000000,-2217000000,-1005000000,-1031000000,-73000000,-66000000,43000000,-27000000,-31000000,-32000000,-60000000,202000000
89,Cash Used for Investing Activites,-6064592,-5886946,-56360379,-185539000,-83947000,-181666613,21415062,-196832000,-878075000,67213141,-364522495,-1157572112,-1823523000,-1470127000,-1698000000,-3024000000,-2240000000,-1040000000,-1173000000,-439000000,724000000,-630000000,-375000000,-188000000,-65000000,207000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6099000,- -,- -,- -,- -,- -,- -,-1315000000,- -,- -,-2000000,-611000000,- -
91,Common Stock Issued,28569341,82117908,- -,198535000,615551000,1490644,1156029,994640000,54151000,23230684,44527342,72743435,27024000,30246000,67000000,9000000,- -,3000000,67000000,4000000,5000000,8000000,5000000,9000000,19000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5523681,-24523829,- -,- -,-390567815,-203902512,- -,- -,-869471000,-2153000000,-156000000,-25000000,-16000000,- -,-93000000,- -,-18000000,- -,- -,- -,- -
93,Dividends Paid,- -,-299336,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3068829,-6186282,600644,-6903000,-28062000,-302928,-614547,-45759000,-199000,-228623,5737142,7907833,-1657000,1943000,-1000000,-2000000,-11000000,1237000000,-51000000,11000000,588000000,12000000,- -,- -,365000000,10000000
95,Cash Used/Provided by Financing Activities,25500511,75632290,600644,191632000,587489000,-4335965,-23982347,948881000,53952000,-367565754,-153638027,80651268,25367000,-843381000,-2087000000,-149000000,-36000000,1224000000,16000000,-78000000,-722000000,2000000,5000000,7000000,-227000000,10000000
96,Effect of Forex Changes on Cash,- -,- -,- -,162000,8000,-3999,-20018,-146000,76000,-56906,172974,4046707,-2541000,-6051000,16000000,-3000000,-5000000,5000000,-2000000,-16000000,-1000000,6000000,-3000000,-1000000,2000000,-1000000
97,Net Change In Cash,6576063,69944901,-54158019,-9492000,508696000,-168305803,205182,815738000,-546065000,-150565663,217571468,508851943,-348852000,715315000,240000000,-264000000,22000000,30000000,-346000000,-276000000,-223000000,82000000,-273000000,-156000000,-208000000,188000000
98,Cash at the End of Period,6941400,76630077,9510188,126000,508822000,340394704,340984521,1156419000,610354000,458783304,677042766,1188129069,835546000,1550861000,1791000000,1527000000,1549000000,1579000000,1233000000,957000000,734000000,816000000,582000000,426000000,218000000,406000000
99,Cash at the Beginning of Period,365337,6685176,63668207,9618000,126000,508700507,340779338,340681000,1156419000,609348967,459471297,679277127,1184398000,835546000,1551000000,1791000000,1527000000,1549000000,1579000000,1233000000,957000000,734000000,855000000,582000000,426000000,218000000
100,Free Cash Flow,-18997516,-5687389,-7007507,-40166000,-63000000,-56198578,-36912857,42020000,168619000,-52256810,421262011,853396915,-69589000,1604058000,2413000000,-207000000,885000000,-1522000000,305000000,155000000,-293000000,659000000,51000000,-18000000,38000000,-36000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070235/000107023520000025/0001070235-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1070235/000107023521000029/0001070235-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1070235/000107023522000048/0001070235-22-000048-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
